Date,Open,High,Low,Close,Adj Close,Volume
19/06/1998,0.21,0.22,0.2,0.21,0.19,61454400
22/06/1998,0.21,0.21,0.21,0.21,0.19,6979200
23/06/1998,0.21,0.21,0.2,0.21,0.19,9638400
24/06/1998,0.21,0.21,0.21,0.21,0.19,1732800
25/06/1998,0.22,0.24,0.22,0.23,0.21,18417600
26/06/1998,0.24,0.27,0.23,0.25,0.23,10267200
29/06/1998,0.25,0.27,0.25,0.26,0.24,4588800
30/06/1998,0.26,0.26,0.25,0.25,0.23,4747200
01/07/1998,0.25,0.25,0.25,0.25,0.23,16401600
02/07/1998,0.25,0.25,0.25,0.25,0.23,3355200
06/07/1998,0.25,0.25,0.25,0.25,0.23,2208000
07/07/1998,0.25,0.25,0.25,0.25,0.23,3652800
08/07/1998,0.25,0.25,0.25,0.25,0.23,1286400
09/07/1998,0.25,0.33,0.25,0.29,0.27,14769600
10/07/1998,0.29,0.3,0.29,0.3,0.27,1291200
13/07/1998,0.31,0.31,0.29,0.29,0.26,5025600
14/07/1998,0.29,0.32,0.29,0.32,0.29,5457600
15/07/1998,0.32,0.37,0.32,0.33,0.3,8016000
16/07/1998,0.33,0.34,0.31,0.33,0.3,4713600
17/07/1998,0.33,0.34,0.32,0.34,0.31,974400
20/07/1998,0.34,0.37,0.33,0.35,0.32,5347200
21/07/1998,0.37,0.39,0.36,0.37,0.34,10684800
22/07/1998,0.38,0.38,0.32,0.36,0.33,4641600
23/07/1998,0.36,0.37,0.33,0.35,0.32,2116800
24/07/1998,0.35,0.35,0.32,0.34,0.31,1881600
27/07/1998,0.33,0.34,0.32,0.34,0.31,46747200
28/07/1998,0.34,0.34,0.31,0.32,0.29,3052800
29/07/1998,0.33,0.33,0.31,0.33,0.3,2534400
30/07/1998,0.33,0.34,0.32,0.34,0.31,3014400
31/07/1998,0.34,0.34,0.33,0.33,0.3,921600
03/08/1998,0.33,0.34,0.33,0.33,0.3,4032000
04/08/1998,0.33,0.34,0.33,0.33,0.3,3633600
05/08/1998,0.33,0.37,0.33,0.35,0.31,8592000
06/08/1998,0.34,0.34,0.33,0.33,0.31,211200
07/08/1998,0.35,0.36,0.35,0.35,0.32,3302400
10/08/1998,0.38,0.38,0.35,0.36,0.32,2184000
11/08/1998,0.36,0.36,0.32,0.35,0.32,2265600
12/08/1998,0.36,0.37,0.35,0.36,0.33,1320000
13/08/1998,0.36,0.37,0.36,0.36,0.33,1699200
14/08/1998,0.37,0.38,0.36,0.37,0.34,2092800
17/08/1998,0.37,0.37,0.36,0.36,0.33,2284800
18/08/1998,0.37,0.41,0.37,0.4,0.36,9902400
19/08/1998,0.4,0.41,0.39,0.39,0.36,6028800
20/08/1998,0.4,0.4,0.38,0.38,0.35,1041600
21/08/1998,0.37,0.38,0.34,0.38,0.34,3796800
24/08/1998,0.39,0.39,0.36,0.37,0.34,2697600
25/08/1998,0.39,0.4,0.38,0.39,0.36,4881600
26/08/1998,0.38,0.38,0.36,0.37,0.33,6859200
27/08/1998,0.35,0.36,0.32,0.33,0.3,7881600
28/08/1998,0.33,0.34,0.31,0.32,0.29,4603200
31/08/1998,0.33,0.33,0.25,0.25,0.23,6499200
01/09/1998,0.26,0.33,0.24,0.31,0.28,5654400
02/09/1998,0.32,0.35,0.3,0.31,0.28,4756800
03/09/1998,0.27,0.3,0.27,0.3,0.27,2174400
04/09/1998,0.3,0.32,0.29,0.3,0.28,1459200
08/09/1998,0.32,0.35,0.3,0.34,0.31,2947200
09/09/1998,0.33,0.34,0.31,0.33,0.3,1368000
10/09/1998,0.31,0.32,0.31,0.32,0.3,6283200
11/09/1998,0.33,0.33,0.31,0.32,0.3,403200
14/09/1998,0.33,0.34,0.32,0.33,0.3,662400
15/09/1998,0.33,0.33,0.32,0.32,0.29,796800
16/09/1998,0.32,0.32,0.31,0.31,0.28,1262400
17/09/1998,0.3,0.31,0.3,0.31,0.28,2899200
18/09/1998,0.3,0.31,0.3,0.31,0.28,129600
21/09/1998,0.3,0.32,0.3,0.32,0.29,1377600
22/09/1998,0.32,0.32,0.32,0.32,0.29,2164800
23/09/1998,0.32,0.34,0.32,0.33,0.3,3364800
24/09/1998,0.32,0.34,0.32,0.32,0.29,1651200
25/09/1998,0.32,0.34,0.32,0.33,0.3,1790400
28/09/1998,0.33,0.34,0.33,0.33,0.3,1536000
29/09/1998,0.33,0.34,0.32,0.33,0.31,1684800
30/09/1998,0.32,0.33,0.32,0.32,0.29,1540800
01/10/1998,0.32,0.33,0.31,0.32,0.29,1296000
02/10/1998,0.32,0.34,0.32,0.34,0.31,1065600
05/10/1998,0.33,0.33,0.32,0.32,0.29,4780800
