Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,10.29,10.46,10.27,10.46,4.86,1900200
03/01/1990,10.54,10.69,10.52,10.65,4.95,2757000
04/01/1990,10.69,10.77,10.62,10.65,4.95,1798200
05/01/1990,10.54,10.6,10.46,10.48,4.87,2063400
08/01/1990,10.48,10.67,10.42,10.65,4.95,1605000
09/01/1990,10.65,10.67,10.52,10.56,4.91,1033200
10/01/1990,10.5,10.58,10.48,10.58,4.92,1430400
11/01/1990,10.67,10.67,10.62,10.65,4.95,1036200
12/01/1990,10.56,10.58,10.46,10.5,4.88,1153200
15/01/1990,10.48,10.5,10.4,10.4,4.83,1551600
16/01/1990,10.21,10.46,10.21,10.42,4.84,2451600
17/01/1990,10.4,10.4,10.29,10.31,4.79,1945800
18/01/1990,10.29,10.33,10.19,10.33,4.8,3229800
19/01/1990,10.48,10.5,10.42,10.5,4.88,1342800
22/01/1990,10.5,10.54,10.4,10.4,4.83,810600
23/01/1990,10.46,10.52,10.42,10.44,4.85,1498200
24/01/1990,10.19,10.79,10.1,10.77,5.01,4348200
25/01/1990,10.77,10.77,10.58,10.62,4.94,2871600
26/01/1990,10.58,10.67,10.38,10.46,4.86,1567800
29/01/1990,10.54,10.67,10.44,10.67,4.96,2575800
30/01/1990,10.65,10.94,10.62,10.9,5.06,4817400
31/01/1990,10.88,11.02,10.79,10.96,5.09,3558600
01/02/1990,11.0,11.19,11.0,11.04,5.13,3456600
02/02/1990,11.04,11.29,11.02,11.12,5.17,3735000
05/02/1990,11.06,11.15,11.0,11.02,5.12,2280000
06/02/1990,11.02,11.17,10.94,11.15,5.18,1729800
07/02/1990,11.12,11.29,11.06,11.29,5.25,3842400
08/02/1990,11.29,11.33,11.21,11.23,5.22,2538000
09/02/1990,11.23,11.27,11.17,11.21,5.21,1506600
12/02/1990,11.21,11.21,11.1,11.12,5.17,1209600
13/02/1990,11.15,11.21,11.12,11.17,5.19,1725600
14/02/1990,11.25,11.31,11.17,11.21,5.21,3125400
15/02/1990,11.21,11.23,11.12,11.21,5.21,853800
16/02/1990,11.23,11.25,11.06,11.1,5.16,2602200
20/02/1990,10.83,11.08,10.81,11.08,5.15,2415600
21/02/1990,10.92,11.21,10.92,11.17,5.19,2879400
22/02/1990,11.25,11.6,11.25,11.48,5.33,4360800
23/02/1990,11.38,11.6,11.29,11.29,5.25,3001800
26/02/1990,11.25,11.46,11.25,11.42,5.31,2500200
27/02/1990,11.4,11.67,11.38,11.65,5.41,3962400
28/02/1990,11.67,11.77,11.65,11.77,5.47,3006600
01/03/1990,11.71,11.73,11.6,11.65,5.41,3008400
02/03/1990,11.65,11.67,11.6,11.65,5.41,2173800
05/03/1990,11.56,11.62,11.5,11.5,5.34,1444200
06/03/1990,11.52,11.62,11.48,11.62,5.4,1672200
07/03/1990,11.71,11.88,11.69,11.81,5.49,2328600
08/03/1990,11.77,11.81,11.67,11.81,5.49,1455600
09/03/1990,11.83,12.17,11.83,11.98,5.57,4429800
12/03/1990,11.92,11.96,11.9,11.92,5.54,2262000
13/03/1990,11.92,11.94,11.88,11.88,5.52,1564800
14/03/1990,11.85,11.98,11.85,11.98,5.57,1251000
15/03/1990,12.02,12.12,11.98,12.06,5.61,1359600
16/03/1990,12.04,12.27,12.04,12.27,5.7,2314800
19/03/1990,12.17,12.21,12.12,12.21,5.67,3483600
20/03/1990,12.17,12.25,12.08,12.12,5.63,2529600
21/03/1990,12.12,12.15,11.96,12.02,5.59,1405800
22/03/1990,12.08,12.08,11.77,11.81,5.49,2682000
23/03/1990,11.88,11.96,11.88,11.9,5.53,1533600
26/03/1990,11.88,12.0,11.88,11.98,5.61,798000
27/03/1990,11.98,12.08,11.9,12.08,5.65,1204800
28/03/1990,12.15,12.25,12.12,12.25,5.73,1231800
29/03/1990,12.23,12.27,12.21,12.23,5.72,545400
30/03/1990,12.19,12.21,12.04,12.15,5.68,973800
02/04/1990,12.0,12.04,11.9,12.0,5.62,1410000
03/04/1990,12.0,12.25,11.98,12.21,5.71,1587000
04/04/1990,12.23,12.44,12.23,12.4,5.8,2257200
05/04/1990,12.42,12.56,12.38,12.42,5.81,1183800
06/04/1990,12.44,12.48,12.29,12.42,5.81,1876200
09/04/1990,12.4,12.46,12.33,12.4,5.8,1110000
10/04/1990,12.33,12.42,12.33,12.4,5.8,961800
11/04/1990,12.4,12.4,12.31,12.33,5.77,841200
12/04/1990,12.33,12.58,12.33,12.48,5.84,1701000
16/04/1990,12.56,12.79,12.56,12.71,5.95,2233800
17/04/1990,12.67,13.02,12.62,13.0,6.08,2565000
18/04/1990,12.94,12.98,12.83,12.85,6.02,2475600
19/04/1990,12.75,12.85,12.69,12.73,5.96,2020200
20/04/1990,12.73,12.79,12.54,12.58,5.89,1844400
