Date,Open,High,Low,Close,Adj Close,Volume
15/10/1993,6.5,8.0,6.5,7.33,7.33,9098400
18/10/1993,7.33,7.67,7.25,7.58,7.58,951900
19/10/1993,7.42,7.67,7.17,7.17,7.17,1142100
20/10/1993,7.17,7.42,7.0,7.08,7.08,610200
21/10/1993,7.0,7.88,7.0,7.75,7.75,996900
22/10/1993,7.75,8.17,7.67,7.83,7.83,745500
25/10/1993,7.83,8.25,7.83,8.12,8.12,278400
26/10/1993,8.0,8.25,8.0,8.0,8.0,239700
27/10/1993,8.17,8.17,7.83,7.83,7.83,224100
28/10/1993,8.08,8.08,7.67,7.92,7.92,253500
29/10/1993,7.75,8.0,7.75,7.75,7.75,55500
01/11/1993,7.96,8.0,7.75,7.75,7.75,222900
02/11/1993,8.0,8.0,7.75,7.79,7.79,144600
03/11/1993,7.67,8.0,7.67,8.0,8.0,511200
04/11/1993,7.92,7.92,7.58,7.58,7.58,158700
05/11/1993,7.83,7.83,7.58,7.58,7.58,184800
08/11/1993,7.58,7.83,7.5,7.5,7.5,298500
09/11/1993,7.67,7.67,7.5,7.58,7.58,158700
10/11/1993,7.5,7.67,7.5,7.5,7.5,291900
11/11/1993,7.5,7.67,7.5,7.67,7.67,573300
12/11/1993,7.67,7.67,7.5,7.5,7.5,84300
15/11/1993,7.5,7.67,7.33,7.58,7.58,168600
16/11/1993,7.67,7.67,7.33,7.38,7.38,96900
17/11/1993,7.33,7.67,7.33,7.33,7.33,135300
18/11/1993,7.58,7.58,6.08,6.67,6.67,549300
19/11/1993,6.67,7.0,6.67,6.83,6.83,120300
22/11/1993,7.0,7.0,6.33,6.58,6.58,140100
23/11/1993,6.58,6.83,6.42,6.67,6.67,281100
24/11/1993,6.42,6.67,6.42,6.42,6.42,82200
26/11/1993,6.42,6.67,6.42,6.42,6.42,111600
29/11/1993,6.42,6.5,6.25,6.38,6.38,124200
30/11/1993,6.25,6.5,6.25,6.5,6.5,224400
01/12/1993,6.58,6.83,6.25,6.83,6.83,157800
02/12/1993,7.0,7.42,6.92,7.42,7.42,199500
03/12/1993,7.42,7.42,7.08,7.08,7.08,35100
06/12/1993,7.42,7.42,7.0,7.0,7.0,63000
07/12/1993,6.92,7.17,6.58,6.58,6.58,28200
08/12/1993,6.58,7.0,6.58,6.58,6.58,101700
09/12/1993,6.58,7.0,6.58,6.58,6.58,19500
10/12/1993,6.67,6.67,6.58,6.58,6.58,10500
13/12/1993,6.58,6.92,6.25,6.54,6.54,180900
14/12/1993,6.25,6.42,6.25,6.29,6.29,77400
15/12/1993,6.25,6.42,5.83,5.92,5.92,170700
16/12/1993,6.17,6.17,5.5,5.58,5.58,252300
17/12/1993,5.58,6.0,5.58,6.0,6.0,234900
20/12/1993,6.0,6.0,5.67,5.67,5.67,224400
21/12/1993,6.0,6.08,5.67,6.08,6.08,94200
