Date,Open,High,Low,Close,Adj Close,Volume
14/06/2007,28.0,30.5,28.0,28.75,21.38,3279100
15/06/2007,29.5,29.8,28.88,29.08,21.63,790100
18/06/2007,29.32,30.2,29.3,29.93,22.26,1591000
19/06/2007,30.0,30.3,29.6,29.7,22.09,1585100
20/06/2007,30.04,30.1,29.57,29.81,22.17,855900
21/06/2007,30.06,31.95,29.61,31.21,23.21,842700
22/06/2007,31.5,32.17,31.0,31.7,23.57,1490700
25/06/2007,31.5,32.0,31.01,31.3,23.28,490000
26/06/2007,31.3,31.65,30.25,30.41,22.62,853900
27/06/2007,30.6,30.8,29.57,29.58,22.0,1127300
28/06/2007,29.88,29.9,29.16,29.5,21.94,488900
29/06/2007,29.99,30.3,27.93,28.5,21.19,3085200
02/07/2007,28.55,29.15,27.2,27.5,20.45,10999000
03/07/2007,27.5,27.5,26.15,26.67,19.83,8600100
05/07/2007,26.25,26.92,25.74,25.93,19.28,8422000
06/07/2007,25.64,25.86,25.21,25.64,19.07,7211800
09/07/2007,25.72,26.54,25.44,25.54,18.99,11675200
10/07/2007,25.6,25.65,24.8,24.9,18.52,8591800
11/07/2007,25.02,25.27,24.75,25.21,18.75,10251400
12/07/2007,25.59,26.59,25.21,26.34,19.59,10297300
13/07/2007,26.47,27.43,26.02,27.16,20.2,6752500
16/07/2007,27.21,27.45,26.66,26.84,19.96,9892000
17/07/2007,26.96,26.99,26.31,26.5,19.71,5434600
18/07/2007,26.45,26.5,25.7,26.36,19.6,4594800
19/07/2007,26.25,26.95,26.25,26.71,19.86,4868900
20/07/2007,26.71,27.12,26.25,26.3,19.56,5751300
23/07/2007,26.3,26.51,26.1,26.12,19.42,4711800
24/07/2007,25.54,25.6,24.93,25.0,18.59,5483800
25/07/2007,24.76,24.84,23.75,24.1,17.92,8391500
26/07/2007,23.26,24.88,22.75,24.62,18.31,9834900
27/07/2007,24.26,24.7,23.33,23.33,17.35,6678000
30/07/2007,23.4,23.93,22.37,23.57,17.53,5056000
31/07/2007,23.65,24.1,22.83,23.05,17.14,4132300
01/08/2007,22.68,23.07,22.05,22.88,17.02,5583900
02/08/2007,22.5,24.05,22.48,23.37,17.38,3032900
03/08/2007,22.66,23.11,21.53,21.99,16.35,5256100
06/08/2007,22.24,23.53,21.25,22.15,16.47,6010700
07/08/2007,22.05,23.53,21.72,22.88,17.02,3885200
08/08/2007,23.5,24.57,23.0,24.29,18.06,5645200
09/08/2007,23.4,23.96,22.06,22.16,16.48,4554600
10/08/2007,21.75,21.95,20.35,20.86,15.51,10813200
13/08/2007,21.26,22.29,21.26,22.1,16.44,7115200
14/08/2007,22.29,22.66,21.71,21.96,16.33,3845000
15/08/2007,21.89,22.4,21.16,21.66,16.11,3690300
16/08/2007,20.5,23.14,20.47,22.85,16.99,5503500
17/08/2007,23.89,23.99,22.91,23.18,17.24,5668600
20/08/2007,23.1,23.5,22.48,23.45,17.44,3786500
21/08/2007,23.09,23.96,23.07,23.67,17.6,2471000
22/08/2007,23.66,24.0,23.25,23.73,17.65,3601000
23/08/2007,23.94,24.03,23.18,23.7,17.63,2904000
24/08/2007,23.42,24.02,23.38,23.99,17.84,2001000
27/08/2007,24.02,24.04,23.7,23.83,17.72,1629600
28/08/2007,23.32,23.55,22.56,22.71,16.89,4219100
29/08/2007,22.57,23.58,21.59,23.33,17.35,2932600
30/08/2007,22.82,23.0,22.5,22.76,16.93,2269400
31/08/2007,23.01,23.88,22.54,23.14,17.21,3092600
04/09/2007,23.05,23.56,22.63,23.43,17.42,2459400
05/09/2007,22.68,23.12,22.36,22.55,16.77,2703300
06/09/2007,22.51,22.52,22.05,22.28,16.57,3297000
07/09/2007,21.98,21.98,20.86,21.11,15.7,3985000
10/09/2007,21.17,21.52,20.25,20.56,15.29,2746400
11/09/2007,20.52,21.15,20.47,20.61,15.33,2838100
12/09/2007,20.45,21.44,20.25,21.0,15.62,3052400
13/09/2007,21.0,21.74,21.0,21.34,15.87,2328500
14/09/2007,21.29,21.56,21.01,21.27,15.82,1839600
17/09/2007,21.21,21.41,20.5,21.32,15.86,2233500
18/09/2007,21.4,23.09,21.16,23.09,17.17,3637000
19/09/2007,23.22,23.82,23.02,23.41,17.41,4394100
20/09/2007,23.27,24.0,22.61,22.66,16.85,2683300
21/09/2007,22.75,22.8,21.98,22.4,16.66,10196300
24/09/2007,22.7,23.48,22.24,22.26,16.55,4334300
25/09/2007,22.26,22.26,21.17,21.72,16.15,9227000
26/09/2007,21.65,21.94,21.21,21.25,15.8,4631500
27/09/2007,21.16,21.33,20.59,20.67,15.37,5640600
28/09/2007,20.7,20.87,20.33,20.8,15.47,3736300
01/10/2007,21.0,21.59,20.63,21.57,16.04,3324900
02/10/2007,21.57,22.14,21.27,21.37,15.89,2774300
03/10/2007,21.3,22.1,21.25,21.35,15.92,2493400
04/10/2007,21.5,22.07,21.38,22.02,16.42,3491400
05/10/2007,22.23,22.9,22.2,22.73,16.95,3201100
08/10/2007,22.6,22.76,22.48,22.65,16.89,2088800
09/10/2007,22.67,23.33,22.61,23.03,17.18,3488500
10/10/2007,23.0,23.01,22.5,22.65,16.89,4030500
11/10/2007,22.85,23.13,21.94,22.03,16.43,3776600
12/10/2007,22.09,22.29,21.85,22.13,16.5,1775200
15/10/2007,22.1,22.2,20.91,21.38,15.94,2822500
16/10/2007,21.34,21.37,20.77,20.93,15.61,3155500
17/10/2007,21.63,21.73,20.44,20.78,15.5,3501000
18/10/2007,20.61,20.74,20.27,20.53,15.31,4580600
19/10/2007,20.49,20.54,19.69,19.8,14.77,7103200
22/10/2007,19.08,19.76,18.85,19.68,14.68,4088400
23/10/2007,20.0,20.17,19.06,19.41,14.48,4104800
24/10/2007,19.39,19.5,17.79,18.39,13.71,8320900
25/10/2007,18.38,18.64,16.91,17.56,13.1,10096200
26/10/2007,18.68,19.01,17.99,18.93,14.12,9463800
29/10/2007,19.16,19.87,19.16,19.49,14.54,6023500
30/10/2007,19.4,20.41,19.13,20.14,15.02,5484300
31/10/2007,20.8,20.91,19.0,19.3,14.39,8865500
01/11/2007,18.95,18.98,17.5,18.52,13.81,7765900
02/11/2007,18.67,18.67,17.67,18.18,13.56,10119800
05/11/2007,18.14,18.23,17.74,18.15,13.54,4607700
06/11/2007,18.14,18.47,17.86,18.24,13.6,3727400
07/11/2007,17.5,18.02,17.14,17.26,12.87,7694400
08/11/2007,17.16,17.79,16.96,17.7,13.2,5583200
09/11/2007,17.0,17.99,17.0,17.82,13.29,4576800
12/11/2007,17.95,18.7,17.53,18.01,13.43,5020800
13/11/2007,18.2,19.5,17.97,19.0,14.17,6170400
14/11/2007,18.88,19.3,18.27,18.29,13.64,3774400
15/11/2007,18.18,18.3,17.59,17.68,13.19,4739100
16/11/2007,17.76,18.05,17.5,17.76,13.24,3061800
19/11/2007,17.2,17.2,16.65,16.74,12.48,6857900
20/11/2007,16.89,17.09,15.98,16.44,12.26,6536900
21/11/2007,15.72,16.55,15.72,16.25,12.12,6162200
23/11/2007,16.39,16.85,15.95,16.68,12.44,1605200
26/11/2007,17.0,17.0,16.2,16.3,12.16,5691600
27/11/2007,16.25,16.79,16.25,16.75,12.49,3894100
28/11/2007,16.91,17.68,16.9,17.65,13.16,4580500
29/11/2007,17.76,17.76,17.21,17.28,12.89,3924100
30/11/2007,17.77,18.58,17.21,17.37,12.95,7056800
03/12/2007,17.37,17.85,16.28,16.39,12.22,7066400
04/12/2007,16.32,16.68,16.19,16.21,12.09,5385500
05/12/2007,16.33,16.83,16.31,16.45,12.27,2925600
06/12/2007,16.63,17.32,16.47,17.32,12.92,2490100
07/12/2007,16.83,17.13,16.4,16.76,12.5,4843000
10/12/2007,16.77,17.75,16.68,17.27,12.88,3549000
11/12/2007,17.26,17.26,16.29,16.32,12.17,3755400
12/12/2007,16.72,17.1,16.12,16.51,12.31,7542400
13/12/2007,16.4,16.47,15.8,16.42,12.25,6276600
14/12/2007,16.16,16.19,15.5,15.64,11.66,6832200
