Date,Open,High,Low,Close,Adj Close,Volume
13/11/2009,22.0,23.1,21.75,22.73,20.59,22079100
16/11/2009,22.9,23.1,22.13,23.1,20.92,2080000
17/11/2009,23.03,23.17,22.5,23.04,20.87,1328000
18/11/2009,23.0,23.02,22.5,22.55,20.43,918300
19/11/2009,22.27,23.14,22.27,22.87,20.72,1031500
20/11/2009,22.5,23.33,22.5,23.21,21.02,1080900
23/11/2009,23.7,23.98,23.18,23.4,21.2,741100
24/11/2009,23.6,23.65,23.25,23.5,21.29,633100
25/11/2009,23.0,23.8,22.99,23.74,21.5,362600
27/11/2009,22.74,23.3,22.74,23.15,20.97,141400
30/11/2009,23.12,23.12,22.62,23.0,20.83,853000
01/12/2009,23.44,23.57,23.0,23.31,21.11,803500
02/12/2009,23.29,23.75,23.25,23.6,21.38,571300
03/12/2009,23.82,23.82,23.0,23.31,21.11,410000
04/12/2009,23.47,23.98,23.3,23.85,21.6,318100
07/12/2009,23.77,23.77,23.28,23.63,21.4,271500
08/12/2009,23.5,23.75,23.0,23.63,21.4,652900
09/12/2009,23.63,24.12,23.5,24.0,21.74,609400
10/12/2009,24.77,24.77,23.39,23.7,21.47,848400
11/12/2009,23.6,23.74,23.11,23.34,21.14,600300
14/12/2009,23.29,23.33,22.75,22.8,20.65,489100
15/12/2009,22.8,22.89,22.52,22.69,20.55,700100
16/12/2009,22.84,23.05,22.55,22.73,20.59,585400
17/12/2009,22.75,22.75,22.08,22.44,20.33,634000
18/12/2009,22.61,22.61,22.11,22.57,20.44,2105100
21/12/2009,22.5,22.61,22.17,22.6,20.47,536400
22/12/2009,22.58,22.61,22.3,22.4,20.29,766100
23/12/2009,23.22,23.25,22.4,22.41,20.3,1103000
24/12/2009,22.46,22.6,22.1,22.15,20.06,254300
28/12/2009,22.15,22.68,22.15,22.62,20.49,804300
29/12/2009,22.69,22.8,22.53,22.61,20.48,123500
30/12/2009,22.52,22.8,22.52,22.61,20.48,173300
31/12/2009,22.8,22.84,22.38,22.43,20.32,156700
04/01/2010,22.55,23.4,22.4,23.08,20.91,437200
