Date,Open,High,Low,Close,Adj Close,Volume
17/12/1996,3.75,3.75,3.5,3.5,2.58,1272400
18/12/1996,3.5,3.59,3.31,3.56,2.62,1186800
19/12/1996,3.59,3.72,3.59,3.66,2.69,528800
20/12/1996,3.62,3.72,3.62,3.72,2.74,233200
23/12/1996,3.75,3.84,3.72,3.81,2.81,57200
24/12/1996,3.84,3.91,3.84,3.91,2.88,14000
26/12/1996,3.91,3.94,3.81,3.81,2.81,22000
27/12/1996,3.81,3.81,3.81,3.81,2.81,800
30/12/1996,3.84,3.84,3.78,3.78,2.78,28400
31/12/1996,3.75,3.78,3.75,3.78,2.78,15600
02/01/1997,3.75,3.75,3.66,3.66,2.69,710000
03/01/1997,3.66,3.78,3.66,3.75,2.76,1579600
06/01/1997,3.78,3.81,3.75,3.78,2.78,2490800
07/01/1997,3.81,4.0,3.78,4.0,2.94,641200
08/01/1997,4.06,4.19,4.03,4.03,2.97,336000
09/01/1997,4.03,4.09,4.03,4.06,2.99,459200
10/01/1997,4.09,4.12,4.06,4.09,3.01,812800
13/01/1997,4.09,4.09,4.0,4.06,2.99,3370000
14/01/1997,4.22,4.44,4.19,4.44,3.27,2018000
15/01/1997,4.31,4.34,4.09,4.09,3.01,2648400
16/01/1997,4.0,4.06,3.97,4.0,2.94,2926000
17/01/1997,4.0,4.06,3.97,4.03,2.97,1323600
20/01/1997,4.0,4.03,3.97,3.97,2.92,2368400
21/01/1997,4.0,4.03,4.0,4.0,2.94,2347200
22/01/1997,4.03,4.03,4.0,4.0,2.94,2797600
23/01/1997,4.06,4.16,4.06,4.09,3.01,1058800
24/01/1997,4.09,4.28,4.03,4.03,2.97,1254800
27/01/1997,4.03,4.09,4.03,4.03,2.97,1658000
28/01/1997,4.03,4.19,4.0,4.0,2.94,1005600
29/01/1997,4.0,4.09,3.97,4.0,2.94,1512000
30/01/1997,4.0,4.06,3.97,4.0,2.94,2211200
31/01/1997,3.94,4.0,3.91,3.94,2.9,1540400
03/02/1997,3.94,4.06,3.91,4.06,2.99,1889600
04/02/1997,4.06,4.12,4.03,4.12,3.04,1865600
05/02/1997,4.12,4.16,4.09,4.16,3.06,458400
06/02/1997,4.12,4.16,4.12,4.12,3.04,643600
07/02/1997,4.12,4.22,4.09,4.19,3.08,2542800
10/02/1997,4.12,4.16,4.09,4.12,3.04,944000
11/02/1997,4.06,4.16,4.06,4.12,3.04,772000
12/02/1997,4.09,4.12,4.06,4.09,3.01,400400
13/02/1997,4.09,4.28,4.09,4.22,3.11,1190800
14/02/1997,4.22,4.22,4.09,4.12,3.04,1210800
18/02/1997,4.06,4.16,4.06,4.12,3.04,2076800
19/02/1997,4.09,4.19,4.09,4.16,3.06,830800
20/02/1997,4.12,4.38,4.12,4.22,3.11,1074000
21/02/1997,4.22,4.28,4.19,4.25,3.13,638800
24/02/1997,4.25,4.41,4.25,4.41,3.24,1108000
25/02/1997,4.41,4.47,4.38,4.44,3.27,462000
26/02/1997,4.38,4.41,4.31,4.34,3.2,525600
27/02/1997,4.31,4.44,4.25,4.28,3.15,854800
28/02/1997,4.16,4.28,4.06,4.22,3.11,514400
03/03/1997,4.16,4.31,4.16,4.22,3.11,385600
04/03/1997,4.25,4.25,4.19,4.22,3.11,803600
05/03/1997,4.19,4.22,4.09,4.16,3.06,1542000
