Date,Open,High,Low,Close,Adj Close,Volume
05/06/1992,1.65,1.69,1.65,1.65,1.12,14561059
08/06/1992,1.65,1.69,1.65,1.65,1.12,1306967
09/06/1992,1.65,1.65,1.58,1.58,1.07,1942140
10/06/1992,1.58,1.63,1.58,1.58,1.07,666466
11/06/1992,1.58,1.58,1.5,1.5,1.02,1383534
12/06/1992,1.5,1.56,1.5,1.5,1.02,502679
15/06/1992,1.5,1.56,1.5,1.56,1.06,209727
16/06/1992,1.52,1.58,1.5,1.52,1.03,340890
17/06/1992,1.52,1.58,1.52,1.52,1.03,523985
18/06/1992,1.5,1.58,1.5,1.5,1.02,323579
19/06/1992,1.5,1.58,1.5,1.5,1.02,986716
22/06/1992,1.5,1.54,1.5,1.5,1.02,630513
23/06/1992,1.5,1.54,1.5,1.5,1.02,332235
24/06/1992,1.54,1.54,1.5,1.5,1.02,302273
25/06/1992,1.5,1.54,1.5,1.5,1.02,351543
26/06/1992,1.5,1.54,1.5,1.54,1.05,424115
29/06/1992,1.52,1.54,1.5,1.5,1.02,215719
30/06/1992,1.54,1.54,1.5,1.54,1.05,191085
01/07/1992,1.5,1.58,1.5,1.54,1.05,289623
02/07/1992,1.58,1.58,1.5,1.5,1.02,518659
06/07/1992,1.5,1.54,1.5,1.54,1.05,95875
07/07/1992,1.5,1.54,1.5,1.5,1.02,229701
08/07/1992,1.5,1.5,1.43,1.43,0.97,450081
09/07/1992,1.43,1.48,1.39,1.39,0.95,96541
10/07/1992,1.39,1.46,1.39,1.39,0.95,177103
13/07/1992,1.41,1.46,1.39,1.46,1.0,150471
14/07/1992,1.43,1.5,1.39,1.46,1.0,383501
15/07/1992,1.54,1.54,1.46,1.54,1.05,95875
16/07/1992,1.46,1.5,1.46,1.5,1.02,15313
17/07/1992,1.46,1.54,1.46,1.54,1.05,169779
20/07/1992,1.52,1.54,1.46,1.54,1.05,217717
21/07/1992,1.46,1.54,1.46,1.46,1.0,45940
22/07/1992,1.46,1.54,1.46,1.46,1.0,58590
23/07/1992,1.5,1.54,1.5,1.5,1.02,65248
24/07/1992,1.5,1.54,1.43,1.5,1.02,151137
27/07/1992,1.43,1.45,1.43,1.45,0.98,234362
28/07/1992,1.5,1.5,1.43,1.5,1.02,259662
29/07/1992,1.43,1.58,1.43,1.58,1.07,263657
30/07/1992,1.5,1.61,1.5,1.54,1.05,547288
31/07/1992,1.56,1.63,1.56,1.58,1.07,396817
03/08/1992,1.61,1.61,1.58,1.58,1.07,89883
04/08/1992,1.58,1.61,1.56,1.56,1.06,116515
05/08/1992,1.56,1.61,1.54,1.61,1.1,165784
06/08/1992,1.6,1.6,1.56,1.56,1.06,268983
07/08/1992,1.54,1.6,1.54,1.54,1.05,316255
10/08/1992,1.54,1.58,1.54,1.58,1.07,146476
11/08/1992,1.56,1.6,1.54,1.54,1.05,49269
12/08/1992,1.54,1.6,1.54,1.54,1.05,1646525
13/08/1992,1.54,1.54,1.54,1.54,1.05,128500
14/08/1992,1.54,1.61,1.54,1.61,1.1,344885
17/08/1992,1.58,1.61,1.54,1.54,1.05,83891
18/08/1992,1.54,1.54,1.54,1.54,1.05,65914
19/08/1992,1.54,1.61,1.46,1.5,1.02,458071
20/08/1992,1.5,1.54,1.43,1.5,1.02,336895
21/08/1992,1.5,1.5,1.43,1.46,1.0,253670
24/08/1992,1.5,1.5,1.46,1.46,1.0,19308
25/08/1992,1.5,1.5,1.5,1.5,1.02,1332
26/08/1992,1.43,1.45,1.43,1.43,0.97,94544
27/08/1992,1.5,1.5,1.43,1.5,1.02,189753
28/08/1992,1.48,1.54,1.46,1.54,1.05,251007
31/08/1992,1.46,1.54,1.46,1.54,1.05,291621
01/09/1992,1.54,1.54,1.46,1.46,1.0,51267
02/09/1992,1.48,1.48,1.46,1.46,1.0,89883
03/09/1992,1.43,1.5,1.43,1.43,0.97,521988
04/09/1992,1.39,1.43,1.28,1.35,0.92,856885
08/09/1992,1.39,1.39,1.28,1.28,0.87,118513
09/09/1992,1.31,1.39,1.2,1.2,0.82,454742
10/09/1992,1.2,1.31,1.16,1.2,0.82,817603
11/09/1992,1.16,1.2,1.16,1.2,0.82,897499
14/09/1992,1.16,1.24,1.16,1.24,0.84,675788
15/09/1992,1.24,1.28,1.2,1.24,0.84,992043
16/09/1992,1.2,1.28,1.2,1.22,0.83,27298
17/09/1992,1.26,1.33,1.26,1.31,0.89,633176
18/09/1992,1.28,1.33,1.28,1.33,0.91,25300
21/09/1992,1.33,1.35,1.28,1.33,0.91,47272
22/09/1992,1.28,1.35,1.28,1.31,0.89,144479
23/09/1992,1.28,1.33,1.28,1.31,0.89,1382202
24/09/1992,1.35,1.35,1.31,1.31,0.89,133160
25/09/1992,1.31,1.35,1.31,1.31,0.89,407470
28/09/1992,1.31,1.35,1.31,1.31,0.89,62585
29/09/1992,1.39,1.39,1.31,1.33,0.91,115184
30/09/1992,1.31,1.37,1.31,1.31,0.89,373514
01/10/1992,1.31,1.31,1.31,1.31,0.89,23303
02/10/1992,1.31,1.39,1.31,1.35,0.92,10653
05/10/1992,1.26,1.26,1.24,1.24,0.84,18642
06/10/1992,1.28,1.28,1.24,1.24,0.84,203069
07/10/1992,1.24,1.24,1.24,1.24,0.84,0
08/10/1992,1.24,1.35,1.24,1.24,0.84,158461
09/10/1992,1.24,1.28,1.2,1.2,0.82,337561
12/10/1992,1.18,1.24,1.18,1.22,0.83,161124
13/10/1992,1.24,1.24,1.2,1.2,0.82,107194
14/10/1992,1.2,1.24,1.05,1.09,0.74,546622
15/10/1992,1.05,1.16,1.05,1.16,0.79,273644
16/10/1992,1.05,1.16,1.05,1.16,0.79,618529
19/10/1992,1.16,1.16,1.05,1.16,0.79,71906
20/10/1992,1.05,1.16,1.05,1.09,0.74,194414
21/10/1992,1.16,1.16,1.05,1.16,0.79,49269
22/10/1992,1.16,1.16,1.07,1.09,0.74,82559
23/10/1992,1.16,1.16,1.09,1.09,0.74,55927
26/10/1992,1.09,1.16,1.09,1.09,0.74,136489
27/10/1992,1.16,1.16,1.09,1.16,0.79,26632
28/10/1992,1.09,1.2,1.09,1.2,0.82,189753
29/10/1992,1.13,1.2,1.13,1.2,0.82,77899
30/10/1992,1.2,1.2,1.13,1.15,0.78,98538
02/11/1992,1.2,1.24,1.2,1.24,0.84,71906
03/11/1992,1.24,1.24,1.2,1.2,0.82,12650
