Date,Open,High,Low,Close,Adj Close,Volume
29/10/2004,12.0,12.01,12.0,12.0,5.45,5951800
01/11/2004,12.0,12.01,12.0,12.0,5.45,764400
02/11/2004,12.0,12.01,12.0,12.0,5.45,950100
03/11/2004,12.02,12.2,12.01,12.15,5.51,433600
04/11/2004,12.18,12.18,12.05,12.06,5.47,311200
05/11/2004,12.05,12.1,12.0,12.08,5.48,391800
08/11/2004,12.13,12.13,12.0,12.01,5.45,91100
09/11/2004,12.0,12.06,12.0,12.01,5.45,97600
10/11/2004,12.0,12.04,12.0,12.01,5.45,177500
11/11/2004,12.0,12.02,12.0,12.02,5.46,92700
12/11/2004,12.01,12.38,12.01,12.29,5.58,354900
15/11/2004,12.32,12.45,12.2,12.39,5.62,268100
16/11/2004,12.49,12.65,12.31,12.5,5.67,252500
17/11/2004,12.55,12.6,12.35,12.51,5.68,425000
18/11/2004,12.5,12.74,12.5,12.72,5.77,179700
19/11/2004,12.72,12.74,12.5,12.71,5.77,202600
22/11/2004,12.61,12.73,12.51,12.63,5.73,105200
23/11/2004,12.55,12.95,12.52,12.8,5.81,204200
24/11/2004,12.75,12.95,12.7,12.79,5.8,141700
26/11/2004,12.4,12.78,12.4,12.65,5.74,42900
29/11/2004,12.65,12.75,12.55,12.68,5.75,174200
30/11/2004,12.66,12.85,12.65,12.76,5.79,148800
01/12/2004,12.66,13.17,12.66,13.15,5.97,162500
02/12/2004,13.05,13.07,12.78,12.95,5.88,212800
03/12/2004,12.9,13.2,12.9,13.15,5.97,138300
06/12/2004,13.16,13.19,13.05,13.12,5.95,126600
07/12/2004,13.06,13.2,13.0,13.0,5.9,116200
08/12/2004,12.8,13.0,12.7,12.86,5.84,112300
09/12/2004,12.86,12.95,12.5,12.85,5.83,139200
10/12/2004,12.75,13.05,12.55,12.97,5.89,186000
13/12/2004,12.87,13.04,12.7,12.91,5.86,215700
14/12/2004,12.81,13.1,12.79,12.9,5.85,169400
15/12/2004,13.0,13.14,12.89,13.05,5.92,200300
16/12/2004,13.03,13.09,12.93,13.05,5.92,230000
17/12/2004,13.05,13.55,12.94,13.4,6.08,887700
20/12/2004,13.5,13.5,13.0,13.34,6.05,222800
21/12/2004,13.4,13.5,13.29,13.45,6.1,82700
22/12/2004,13.4,13.7,13.21,13.7,6.22,194000
23/12/2004,13.7,14.1,13.65,13.94,6.33,107900
27/12/2004,14.0,14.04,13.52,13.6,6.17,112500
28/12/2004,13.68,13.77,13.47,13.53,6.14,111100
29/12/2004,12.95,13.47,12.95,13.28,6.1,109400
30/12/2004,13.33,13.57,13.2,13.3,6.11,48900
31/12/2004,13.29,13.69,13.29,13.47,6.18,55500
03/01/2005,13.54,13.6,13.39,13.59,6.24,189100
04/01/2005,13.61,13.77,13.55,13.65,6.27,154400
05/01/2005,13.6,13.66,12.5,13.2,6.06,302600
06/01/2005,13.1,13.65,13.0,13.39,6.15,93300
07/01/2005,13.42,13.42,13.08,13.26,6.09,124300
10/01/2005,13.2,13.74,13.1,13.3,6.11,79800
11/01/2005,13.3,13.53,13.05,13.26,6.09,136400
12/01/2005,13.27,13.4,13.2,13.3,6.11,111600
13/01/2005,13.3,13.6,13.28,13.37,6.14,77500
14/01/2005,13.38,13.77,13.38,13.59,6.24,28100
18/01/2005,13.49,13.8,13.23,13.7,6.29,185900
19/01/2005,13.7,13.87,13.5,13.65,6.27,233600
20/01/2005,13.6,13.65,13.4,13.56,6.23,42100
21/01/2005,13.6,13.64,13.46,13.6,6.24,51400
24/01/2005,13.7,13.75,13.45,13.52,6.21,48000
25/01/2005,13.5,13.66,13.5,13.5,6.2,61100
26/01/2005,13.55,13.84,13.55,13.71,6.29,105300
27/01/2005,13.63,13.8,13.57,13.7,6.29,106000
28/01/2005,13.7,13.83,13.65,13.8,6.34,48100
31/01/2005,13.85,14.0,13.79,13.8,6.34,64800
01/02/2005,13.75,13.83,13.6,13.8,6.34,102900
02/02/2005,13.85,14.03,13.84,13.95,6.41,118100
03/02/2005,13.97,14.05,13.85,13.98,6.42,51200
04/02/2005,13.98,14.05,13.93,13.96,6.41,122900
07/02/2005,13.9,14.15,13.9,14.05,6.45,48300
08/02/2005,13.95,14.09,13.93,14.0,6.43,251800
09/02/2005,14.02,14.05,13.84,13.85,6.36,122000
10/02/2005,13.9,14.22,13.9,14.11,6.48,75400
11/02/2005,14.05,14.6,14.0,14.56,6.69,125800
14/02/2005,14.6,14.63,14.4,14.5,6.66,120600
15/02/2005,14.51,14.61,14.3,14.47,6.64,89700
16/02/2005,14.4,14.55,14.4,14.5,6.66,115600
17/02/2005,14.45,14.45,13.96,14.0,6.43,70000
18/02/2005,14.05,14.1,13.92,14.0,6.43,78800
22/02/2005,13.95,13.99,13.7,13.88,6.37,47100
23/02/2005,13.88,13.95,13.8,13.85,6.36,55400
24/02/2005,13.9,14.0,13.73,13.98,6.42,25100
25/02/2005,14.0,14.07,14.0,14.05,6.45,54000
28/02/2005,14.0,14.45,14.0,14.33,6.58,66600
01/03/2005,14.35,14.35,13.74,14.25,6.54,129900
02/03/2005,14.2,14.67,14.2,14.5,6.66,57100
03/03/2005,14.55,14.75,14.3,14.41,6.62,21300
04/03/2005,14.45,14.65,14.4,14.49,6.65,181100
07/03/2005,14.5,14.7,14.45,14.52,6.67,43300
08/03/2005,14.55,14.55,14.24,14.25,6.54,16200
09/03/2005,14.15,14.38,14.0,14.26,6.55,46300
10/03/2005,14.25,14.4,14.2,14.31,6.57,61900
11/03/2005,14.16,14.21,13.92,13.98,6.53,204300
14/03/2005,14.03,14.64,13.98,14.64,6.84,23900
15/03/2005,14.68,14.81,13.98,14.17,6.62,111600
