Date,Open,High,Low,Close,Adj Close,Volume
07/03/1995,1.12,1.17,1.05,1.17,1.17,33796744
08/03/1995,1.17,1.17,1.07,1.09,1.09,6521513
09/03/1995,1.09,1.12,1.09,1.11,1.11,2101950
10/03/1995,1.14,1.19,1.11,1.16,1.16,2832469
13/03/1995,1.19,1.19,1.15,1.15,1.15,982631
14/03/1995,1.19,1.2,1.15,1.17,1.17,1029713
15/03/1995,1.17,1.23,1.14,1.2,1.2,4979981
16/03/1995,1.23,1.25,1.17,1.17,1.17,900619
17/03/1995,1.17,1.2,1.17,1.17,1.17,1731375
20/03/1995,1.17,1.21,1.17,1.17,1.17,1728338
21/03/1995,1.19,1.22,1.18,1.18,1.18,3614625
22/03/1995,1.19,1.22,1.18,1.19,1.19,3474900
23/03/1995,1.2,1.2,1.18,1.19,1.19,2789944
24/03/1995,1.22,1.22,1.19,1.19,1.19,536119
27/03/1995,1.22,1.28,1.19,1.27,1.27,773044
28/03/1995,1.27,1.33,1.23,1.33,1.33,1257525
29/03/1995,1.33,1.38,1.23,1.28,1.28,1635694
30/03/1995,1.28,1.35,1.25,1.32,1.32,1085906
31/03/1995,1.35,1.38,1.3,1.35,1.35,552825
03/04/1995,1.38,1.5,1.37,1.45,1.45,3178744
04/04/1995,1.45,1.48,1.38,1.38,1.38,1746563
05/04/1995,1.38,1.45,1.38,1.44,1.44,1278788
06/04/1995,1.44,1.44,1.42,1.42,1.42,1328906
07/04/1995,1.44,1.44,1.37,1.42,1.42,747225
10/04/1995,1.37,1.42,1.37,1.42,1.42,214144
11/04/1995,1.42,1.43,1.38,1.43,1.43,83531
12/04/1995,1.4,1.43,1.4,1.4,1.4,1742006
13/04/1995,1.4,1.43,1.4,1.43,1.43,30375
17/04/1995,1.43,1.44,1.4,1.4,1.4,200475
18/04/1995,1.4,1.43,1.38,1.38,1.38,991744
19/04/1995,1.43,1.43,1.38,1.43,1.43,145800
20/04/1995,1.41,1.42,1.37,1.37,1.37,176175
21/04/1995,1.37,1.42,1.37,1.37,1.37,252113
24/04/1995,1.37,1.37,1.37,1.37,1.37,6075
25/04/1995,1.37,1.39,1.34,1.35,1.35,911250
26/04/1995,1.34,1.37,1.33,1.34,1.34,352350
27/04/1995,1.34,1.4,1.34,1.4,1.4,1198294
28/04/1995,1.38,1.5,1.37,1.48,1.48,850500
01/05/1995,1.45,1.55,1.45,1.53,1.53,944663
02/05/1995,1.55,1.63,1.53,1.58,1.58,1327388
03/05/1995,1.63,1.63,1.58,1.61,1.61,280969
04/05/1995,1.58,1.61,1.58,1.61,1.61,59231
05/05/1995,1.58,1.61,1.56,1.61,1.61,718369
08/05/1995,1.56,1.61,1.56,1.59,1.59,133650
09/05/1995,1.61,1.61,1.56,1.59,1.59,59231
10/05/1995,1.56,1.61,1.56,1.61,1.61,10631
11/05/1995,1.56,1.6,1.56,1.56,1.56,21263
12/05/1995,1.56,1.66,1.56,1.66,1.66,508781
15/05/1995,1.65,1.71,1.65,1.66,1.66,572569
16/05/1995,1.7,1.71,1.66,1.69,1.69,1142100
17/05/1995,1.68,1.69,1.68,1.69,1.69,739631
18/05/1995,1.66,1.67,1.51,1.55,1.55,1240819
19/05/1995,1.58,1.58,1.56,1.58,1.58,103275
22/05/1995,1.56,1.58,1.53,1.53,1.53,156431
23/05/1995,1.53,1.58,1.53,1.58,1.58,205031
24/05/1995,1.58,1.58,1.42,1.45,1.45,1000856
25/05/1995,1.5,1.5,1.45,1.45,1.45,18225
26/05/1995,1.5,1.5,1.45,1.5,1.5,50119
30/05/1995,1.47,1.5,1.45,1.45,1.45,82013
31/05/1995,1.45,1.48,1.45,1.48,1.48,119981
01/06/1995,1.5,1.5,1.45,1.45,1.45,136688
02/06/1995,1.45,1.5,1.45,1.47,1.47,39488
05/06/1995,1.5,1.51,1.45,1.5,1.5,195919
06/06/1995,1.53,1.53,1.5,1.5,1.5,127575
07/06/1995,1.51,1.56,1.5,1.56,1.56,558900
08/06/1995,1.56,1.66,1.56,1.65,1.65,446513
09/06/1995,1.65,1.66,1.61,1.63,1.63,332606
12/06/1995,1.66,1.66,1.63,1.65,1.65,215663
13/06/1995,1.66,1.66,1.63,1.63,1.63,28856
14/06/1995,1.63,1.65,1.63,1.63,1.63,36450
15/06/1995,1.66,1.66,1.63,1.63,1.63,24300
16/06/1995,1.63,1.66,1.63,1.65,1.65,10631
19/06/1995,1.63,1.65,1.56,1.57,1.57,373613
20/06/1995,1.61,1.61,1.58,1.6,1.6,180731
21/06/1995,1.59,1.61,1.58,1.58,1.58,80494
22/06/1995,1.56,1.58,1.55,1.58,1.58,782156
23/06/1995,1.58,1.68,1.55,1.65,1.65,479925
26/06/1995,1.65,1.65,1.64,1.64,1.64,33413
27/06/1995,1.64,1.68,1.64,1.68,1.68,51638
28/06/1995,1.64,1.7,1.64,1.7,1.7,167063
29/06/1995,1.7,1.7,1.65,1.7,1.7,85050
30/06/1995,1.71,1.77,1.7,1.74,1.74,437400
03/07/1995,1.74,1.74,1.74,1.74,1.74,7594
05/07/1995,1.74,1.76,1.72,1.76,1.76,1102613
06/07/1995,1.78,1.84,1.74,1.8,1.8,589275
07/07/1995,1.83,1.83,1.78,1.8,1.8,217181
10/07/1995,1.83,1.83,1.78,1.78,1.78,60750
11/07/1995,1.83,1.91,1.83,1.91,1.91,384244
12/07/1995,1.91,1.91,1.88,1.91,1.91,28856
13/07/1995,1.93,1.99,1.91,1.99,1.99,475369
