Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,7.26,7.26,7.2,7.26,0.78,58414
03/01/1990,7.23,7.26,7.2,7.2,0.78,34697
04/01/1990,7.23,7.23,7.2,7.23,0.78,41724
05/01/1990,7.2,7.29,7.17,7.17,0.77,72907
08/01/1990,7.23,7.29,7.17,7.29,0.79,120780
09/01/1990,7.23,7.26,7.17,7.2,0.78,85644
10/01/1990,7.17,7.23,7.17,7.17,0.77,149328
11/01/1990,7.23,7.26,7.2,7.26,0.78,107604
12/01/1990,7.2,7.23,7.17,7.2,0.78,18007
15/01/1990,7.17,7.23,7.14,7.17,0.77,34697
16/01/1990,7.17,7.23,7.17,7.17,0.77,12737
17/01/1990,7.17,7.23,7.17,7.17,0.77,31183
18/01/1990,7.17,7.23,7.17,7.23,0.78,12737
19/01/1990,7.23,7.26,7.23,7.26,0.78,41724
22/01/1990,7.23,7.23,7.17,7.23,0.78,25474
23/01/1990,7.2,7.2,7.06,7.12,0.77,305683
24/01/1990,7.09,7.12,7.03,7.06,0.76,32501
25/01/1990,7.06,7.06,7.06,7.06,0.76,14933
26/01/1990,7.12,7.12,7.06,7.06,0.76,28548
29/01/1990,7.09,7.12,6.94,7.0,0.76,144497
30/01/1990,6.8,6.83,6.72,6.72,0.74,143179
31/01/1990,6.72,6.77,6.57,6.57,0.73,72468
01/02/1990,6.63,6.63,6.6,6.6,0.73,99259
02/02/1990,6.55,6.55,6.52,6.55,0.72,1984306
05/02/1990,6.52,6.52,6.49,6.52,0.72,125611
06/02/1990,6.52,6.52,6.4,6.4,0.71,294264
07/02/1990,6.46,6.49,6.4,6.46,0.71,223114
08/02/1990,6.49,6.55,6.43,6.46,0.71,130003
09/02/1990,6.52,6.55,6.52,6.52,0.72,60170
12/02/1990,6.55,6.55,6.49,6.49,0.72,59731
13/02/1990,6.55,6.55,6.49,6.52,0.72,82570
14/02/1990,6.52,6.52,6.4,6.43,0.71,151085
15/02/1990,6.43,6.55,6.38,6.52,0.72,134834
16/02/1990,6.49,6.55,6.46,6.46,0.71,52704
20/02/1990,6.49,6.49,6.35,6.43,0.71,64562
21/02/1990,6.43,6.46,6.38,6.38,0.71,39528
22/02/1990,6.43,6.46,6.38,6.46,0.71,47873
23/02/1990,6.46,6.46,6.38,6.38,0.71,51826
26/02/1990,6.38,6.46,6.38,6.46,0.71,68076
27/02/1990,6.46,6.52,6.46,6.49,0.72,43481
28/02/1990,6.52,6.52,6.46,6.46,0.71,32062
01/03/1990,6.46,6.49,6.46,6.49,0.72,12298
02/03/1990,6.49,6.52,6.46,6.49,0.72,75103
05/03/1990,6.52,6.52,6.46,6.49,0.72,328082
06/03/1990,6.49,6.52,6.46,6.52,0.72,129125
07/03/1990,6.52,6.52,6.46,6.52,0.72,79495
08/03/1990,6.52,6.52,6.49,6.49,0.72,100138
09/03/1990,6.49,6.52,6.49,6.49,0.72,68515
12/03/1990,6.49,6.52,6.49,6.52,0.72,23278
13/03/1990,6.52,6.52,6.49,6.49,0.72,132638
14/03/1990,6.49,6.49,6.46,6.49,0.72,71150
15/03/1990,6.49,6.49,6.43,6.46,0.71,42602
16/03/1990,6.46,6.49,6.43,6.43,0.71,72468
19/03/1990,6.43,6.52,6.43,6.52,0.72,65880
20/03/1990,6.49,6.55,6.49,6.55,0.72,105847
21/03/1990,6.52,6.66,6.52,6.6,0.73,72468
22/03/1990,6.57,6.6,6.55,6.6,0.73,68076
23/03/1990,6.63,6.66,6.6,6.63,0.73,19325
26/03/1990,6.63,6.63,6.55,6.6,0.73,91793
27/03/1990,6.6,6.6,6.57,6.6,0.73,21521
28/03/1990,6.6,6.6,6.52,6.55,0.72,55339
29/03/1990,6.55,6.6,6.52,6.6,0.73,60170
30/03/1990,6.6,6.66,6.55,6.66,0.74,119462
02/04/1990,6.6,6.66,6.55,6.55,0.72,137030
03/04/1990,6.6,6.6,6.55,6.55,0.72,52265
04/04/1990,6.52,6.6,6.52,6.55,0.72,129125
05/04/1990,6.6,6.6,6.46,6.49,0.72,49630
06/04/1990,6.49,6.6,6.49,6.6,0.73,49630
09/04/1990,6.6,6.6,6.55,6.55,0.72,21082
10/04/1990,6.57,6.63,6.57,6.63,0.73,82570
11/04/1990,6.6,6.66,6.57,6.6,0.73,36893
12/04/1990,6.57,6.6,6.57,6.57,0.73,52265
16/04/1990,6.57,6.66,6.57,6.66,0.74,58414
17/04/1990,6.66,6.66,6.6,6.66,0.74,93989
18/04/1990,6.69,6.72,6.6,6.6,0.73,384739
19/04/1990,6.66,6.69,6.6,6.69,0.74,74664
20/04/1990,6.66,6.8,6.66,6.72,0.74,196322
23/04/1990,6.66,6.66,6.55,6.66,0.74,111557
24/04/1990,6.69,6.83,6.66,6.77,0.75,147132
25/04/1990,6.77,6.83,6.72,6.75,0.75,72468
26/04/1990,6.75,6.75,6.63,6.66,0.74,48312
27/04/1990,6.69,6.77,6.69,6.75,0.75,46994
30/04/1990,6.57,6.63,6.52,6.63,0.75,155916
01/05/1990,6.66,6.75,6.6,6.75,0.77,32940
02/05/1990,6.77,6.77,6.63,6.66,0.76,163822
03/05/1990,6.66,6.66,6.6,6.6,0.75,90475
04/05/1990,6.66,6.66,6.6,6.63,0.75,94867
07/05/1990,6.66,6.69,6.6,6.66,0.76,78617
08/05/1990,6.66,6.69,6.6,6.66,0.76,37332
09/05/1990,6.66,6.66,6.6,6.6,0.75,46116
10/05/1990,6.57,6.63,6.55,6.63,0.75,68515
11/05/1990,6.6,6.63,6.57,6.57,0.75,103212
14/05/1990,6.6,6.6,6.55,6.6,0.75,125611
15/05/1990,6.6,6.63,6.6,6.6,0.75,64123
16/05/1990,6.63,6.63,6.55,6.57,0.75,91793
17/05/1990,6.55,6.69,6.55,6.69,0.76,198079
18/05/1990,6.69,6.8,6.69,6.75,0.77,58414
21/05/1990,6.77,6.86,6.77,6.83,0.78,48751
22/05/1990,6.89,6.89,6.8,6.89,0.78,104969
23/05/1990,6.89,6.92,6.77,6.86,0.78,94867
24/05/1990,6.89,6.97,6.83,6.97,0.79,43042
25/05/1990,6.97,6.97,6.92,6.97,0.79,57974
29/05/1990,6.97,7.0,6.94,6.94,0.79,47873
30/05/1990,6.94,7.03,6.94,7.0,0.79,39528
31/05/1990,7.0,7.0,6.97,6.97,0.79,39089
01/06/1990,7.0,7.03,6.97,6.97,0.79,49630
04/06/1990,6.94,7.09,6.94,7.0,0.79,316224
05/06/1990,7.03,7.12,7.0,7.12,0.81,78178
06/06/1990,7.09,7.12,6.94,6.97,0.79,227945
07/06/1990,6.92,7.03,6.92,6.97,0.79,192370
08/06/1990,6.97,7.0,6.94,6.94,0.79,63684
11/06/1990,6.94,7.03,6.92,7.03,0.8,90914
