Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,6.03,6.1,5.97,6.1,3.29,565090
03/01/1990,6.1,6.1,5.99,5.99,3.24,545398
04/01/1990,5.99,6.03,5.99,6.01,3.25,523917
05/01/1990,5.97,6.01,5.97,5.99,3.24,417701
08/01/1990,5.95,6.03,5.95,6.03,3.26,381898
09/01/1990,6.01,6.03,5.97,5.97,3.23,441570
10/01/1990,5.93,6.07,5.93,6.07,3.28,536448
11/01/1990,6.03,6.05,5.99,6.03,3.26,574041
12/01/1990,5.95,5.95,5.8,5.82,3.15,257185
15/01/1990,5.82,5.82,5.7,5.7,3.08,465438
16/01/1990,5.66,5.7,5.61,5.7,3.08,680256
17/01/1990,5.66,5.68,5.59,5.66,3.06,285827
18/01/1990,5.61,5.76,5.59,5.72,3.09,467825
19/01/1990,5.7,5.76,5.61,5.61,3.03,399203
22/01/1990,5.64,5.68,5.45,5.51,2.98,511386
23/01/1990,5.53,5.55,5.4,5.51,2.98,674289
24/01/1990,5.51,5.68,5.36,5.64,3.04,395026
25/01/1990,5.61,5.66,5.49,5.53,2.99,401590
26/01/1990,5.49,5.7,5.49,5.7,3.08,508402
29/01/1990,5.68,5.78,5.53,5.7,3.08,695771
30/01/1990,5.68,5.78,5.66,5.72,3.09,381898
31/01/1990,5.76,5.97,5.76,5.97,3.23,521530
01/02/1990,5.93,5.95,5.84,5.91,3.19,177821
02/02/1990,5.95,6.1,5.95,6.03,3.26,1449423
05/02/1990,5.99,6.03,5.97,5.99,3.24,696368
06/02/1990,5.99,6.03,5.99,6.01,3.25,723817
07/02/1990,5.97,6.07,5.93,6.05,3.27,621778
08/02/1990,6.03,6.05,5.93,5.99,3.24,354449
09/02/1990,5.97,6.16,5.95,6.1,3.29,609844
12/02/1990,6.07,6.14,6.05,6.12,3.31,420088
13/02/1990,6.1,6.31,6.1,6.24,3.37,2338530
14/02/1990,6.24,6.24,6.18,6.18,3.34,1124213
15/02/1990,6.2,6.2,6.16,6.18,3.34,511386
16/02/1990,6.2,6.24,6.12,6.14,3.32,747088
20/02/1990,6.07,6.12,6.01,6.12,3.31,493484
21/02/1990,6.05,6.12,6.03,6.12,3.31,442763
22/02/1990,6.1,6.26,6.1,6.12,3.32,522723
23/02/1990,6.12,6.16,6.05,6.07,3.3,427845
26/02/1990,6.03,6.16,6.03,6.14,3.33,793632
27/02/1990,6.16,6.28,6.16,6.26,3.4,534061
28/02/1990,6.22,6.31,6.22,6.24,3.39,871802
01/03/1990,6.24,6.26,6.18,6.22,3.38,729187
02/03/1990,6.2,6.2,6.18,6.2,3.37,392042
05/03/1990,6.2,6.22,6.12,6.12,3.32,476179
06/03/1990,6.14,6.18,6.1,6.18,3.36,407557
07/03/1990,6.14,6.18,6.12,6.12,3.32,664145
08/03/1990,6.1,6.2,6.07,6.2,3.37,477970
09/03/1990,6.16,6.22,6.14,6.14,3.33,309696
12/03/1990,6.1,6.16,6.1,6.12,3.32,383688
13/03/1990,6.12,6.2,6.12,6.16,3.34,1159419
14/03/1990,6.12,6.16,6.12,6.16,3.34,846143
15/03/1990,6.16,6.2,6.14,6.18,3.36,1254297
16/03/1990,6.18,6.28,6.18,6.2,3.37,2273488
19/03/1990,6.16,6.58,6.16,6.49,3.53,2457276
20/03/1990,6.49,6.7,6.47,6.47,3.51,1134954
21/03/1990,6.47,6.47,6.39,6.43,3.49,727397
22/03/1990,6.41,6.49,6.39,6.41,3.48,1174337
23/03/1990,6.43,6.51,6.41,6.47,3.51,431426
26/03/1990,6.51,6.56,6.47,6.49,3.53,378915
27/03/1990,6.49,6.6,6.47,6.6,3.58,376528
28/03/1990,6.56,6.58,6.45,6.47,3.51,497661
29/03/1990,6.45,6.49,6.43,6.47,3.51,318646
30/03/1990,6.45,6.49,6.39,6.43,3.49,929684
02/04/1990,6.39,6.39,6.35,6.39,3.47,356239
03/04/1990,6.41,6.49,6.41,6.45,3.5,1251910
04/04/1990,6.45,6.45,6.39,6.39,3.47,317453
05/04/1990,6.37,6.45,6.37,6.39,3.47,552559
06/04/1990,6.35,6.37,6.2,6.24,3.39,888510
09/04/1990,6.22,6.28,6.22,6.28,3.41,515563
10/04/1990,6.26,6.28,6.26,6.28,3.41,219591
11/04/1990,6.28,6.37,6.26,6.37,3.46,803776
12/04/1990,6.37,6.49,6.37,6.47,3.51,1814613
16/04/1990,6.51,6.54,6.39,6.39,3.47,360416
17/04/1990,6.37,6.45,6.37,6.45,3.5,419491
18/04/1990,6.47,6.47,6.31,6.37,3.46,810937
19/04/1990,6.33,6.39,6.31,6.33,3.44,435603
20/04/1990,6.28,6.33,6.16,6.16,3.34,369367
23/04/1990,6.14,6.16,6.1,6.12,3.32,371754
24/04/1990,6.16,6.26,6.16,6.26,3.4,332968
25/04/1990,6.26,6.28,6.24,6.26,3.4,374141
26/04/1990,6.22,6.28,6.2,6.28,3.41,594329
27/04/1990,6.26,6.28,6.22,6.28,3.41,736348
30/04/1990,6.26,6.31,6.24,6.31,3.42,290004
01/05/1990,6.31,6.33,6.28,6.33,3.44,834806
02/05/1990,6.33,6.35,6.31,6.33,3.44,557333
03/05/1990,6.28,6.33,6.28,6.31,3.42,717253
04/05/1990,6.31,6.35,6.28,6.31,3.42,195126
07/05/1990,6.33,6.41,6.33,6.41,3.48,1206560
08/05/1990,6.41,6.51,6.39,6.51,3.54,765587
09/05/1990,6.56,6.68,6.54,6.66,3.62,530481
10/05/1990,6.62,6.75,6.62,6.68,3.63,1180901
11/05/1990,6.7,6.85,6.68,6.85,3.72,565090
14/05/1990,6.81,6.91,6.79,6.83,3.71,523320
15/05/1990,6.79,6.79,6.66,6.75,3.66,554946
16/05/1990,6.75,6.75,6.66,6.72,3.65,506612
17/05/1990,6.75,6.79,6.7,6.7,3.64,738138
18/05/1990,6.7,6.72,6.64,6.7,3.64,393833
21/05/1990,6.7,6.85,6.68,6.81,3.7,739928
22/05/1990,6.81,6.87,6.77,6.81,3.71,398010
23/05/1990,6.79,6.81,6.72,6.75,3.68,299551
24/05/1990,6.75,6.77,6.7,6.75,3.68,295971
25/05/1990,6.72,6.79,6.7,6.72,3.67,442167
29/05/1990,6.7,6.85,6.7,6.85,3.74,1567573
30/05/1990,6.89,6.91,6.85,6.91,3.77,860464
31/05/1990,6.87,6.89,6.79,6.79,3.7,418895
01/06/1990,6.83,6.87,6.7,6.72,3.67,952359
04/06/1990,6.7,6.81,6.64,6.75,3.68,1220881
05/06/1990,6.75,6.77,6.72,6.77,3.69,750072
06/06/1990,6.77,6.77,6.75,6.75,3.68,192739
07/06/1990,6.77,6.79,6.72,6.72,3.67,241073
08/06/1990,6.77,6.79,6.68,6.77,3.69,199900
11/06/1990,6.75,6.81,6.75,6.79,3.7,130084
12/06/1990,6.83,6.83,6.75,6.77,3.69,415911
13/06/1990,6.81,6.81,6.66,6.68,3.64,368770
14/06/1990,6.7,6.7,6.66,6.7,3.66,350869
15/06/1990,6.62,6.64,6.56,6.6,3.6,720236
18/06/1990,6.64,6.66,6.54,6.58,3.59,313276
19/06/1990,6.62,6.68,6.62,6.66,3.63,662355
20/06/1990,6.68,6.68,6.64,6.66,3.63,226752
21/06/1990,6.64,6.7,6.64,6.7,3.66,248831
22/06/1990,6.7,6.75,6.64,6.66,3.63,755442
25/06/1990,6.7,6.7,6.56,6.56,3.58,208254
26/06/1990,6.6,6.66,6.54,6.54,3.56,140825
27/06/1990,6.51,6.58,6.49,6.58,3.59,342515
28/06/1990,6.6,6.6,6.47,6.51,3.55,446940
29/06/1990,6.54,6.56,6.51,6.54,3.56,337145
02/07/1990,6.56,6.56,6.49,6.54,3.56,78767
03/07/1990,6.54,6.54,6.47,6.51,3.55,210044
05/07/1990,6.47,6.47,6.35,6.37,3.47,501241
06/07/1990,6.37,6.54,6.37,6.49,3.54,510789
09/07/1990,6.49,6.54,6.47,6.49,3.54,460068
10/07/1990,6.47,6.49,6.43,6.45,3.52,328194
11/07/1990,6.47,6.49,6.43,6.49,3.54,759619
12/07/1990,6.54,6.54,6.49,6.54,3.56,525707
13/07/1990,6.51,6.56,6.47,6.49,3.54,1271005
