Date,Open,High,Low,Close,Adj Close,Volume
09/05/1995,5.44,5.96,5.44,5.81,3.27,2629321
10/05/1995,5.96,6.33,5.96,6.18,3.48,4705896
11/05/1995,6.18,6.41,6.18,6.33,3.56,3039098
12/05/1995,6.33,6.41,6.26,6.26,3.52,1584909
15/05/1995,6.26,6.33,6.26,6.26,3.52,1119421
16/05/1995,6.26,6.33,6.18,6.26,3.52,1203826
17/05/1995,6.26,6.26,6.03,6.11,3.44,1458888
18/05/1995,6.11,6.26,6.11,6.18,3.48,420349
19/05/1995,6.26,6.26,6.11,6.18,3.48,414476
22/05/1995,6.48,6.78,6.41,6.63,3.73,1283868
23/05/1995,6.56,6.78,6.48,6.7,3.77,1303502
24/05/1995,6.7,6.7,6.56,6.56,3.69,989708
25/05/1995,6.56,6.56,6.33,6.41,3.61,510628
26/05/1995,6.48,6.48,6.41,6.48,3.65,613659
30/05/1995,6.41,6.78,6.26,6.63,3.73,1501510
31/05/1995,6.48,6.7,6.41,6.56,3.69,2194037
01/06/1995,6.48,6.56,6.33,6.48,3.65,1504531
02/06/1995,6.41,6.48,6.33,6.41,3.61,834657
05/06/1995,6.41,6.63,6.33,6.56,3.69,3204050
06/06/1995,6.48,6.63,6.48,6.56,3.69,2015158
07/06/1995,6.56,6.7,6.48,6.56,3.69,1190066
08/06/1995,6.56,6.78,6.56,6.63,3.73,1448149
09/06/1995,6.56,6.7,6.56,6.56,3.69,1782918
12/06/1995,6.63,6.63,6.56,6.56,3.69,2554648
13/06/1995,6.48,6.63,6.48,6.63,3.73,1734422
14/06/1995,6.56,6.7,6.56,6.63,3.73,1136201
15/06/1995,6.63,6.85,6.63,6.7,3.77,1744826
16/06/1995,6.7,6.78,6.63,6.63,3.73,1245609
19/06/1995,6.63,6.78,6.56,6.78,3.82,1539098
20/06/1995,6.7,6.85,6.63,6.7,3.77,2288343
21/06/1995,6.7,6.7,6.48,6.48,3.65,1784260
22/06/1995,6.48,6.56,6.33,6.41,3.61,2418056
23/06/1995,6.48,6.7,6.48,6.48,3.65,1266417
26/06/1995,6.48,6.63,6.41,6.41,3.61,1429858
27/06/1995,6.41,6.7,6.41,6.63,3.73,1263900
28/06/1995,6.48,6.7,6.48,6.7,3.77,1961125
29/06/1995,6.56,6.78,6.56,6.63,3.73,1098109
30/06/1995,6.7,6.7,6.48,6.48,3.65,1102137
03/07/1995,6.41,6.56,6.41,6.56,3.69,299866
05/07/1995,6.48,6.7,6.48,6.63,3.73,938528
06/07/1995,6.63,6.7,6.48,6.48,3.65,1517116
07/07/1995,6.48,6.7,6.33,6.63,3.73,1615785
10/07/1995,6.56,6.63,6.41,6.41,3.61,627251
11/07/1995,6.33,6.56,6.33,6.41,3.61,1358877
12/07/1995,6.41,6.41,6.26,6.26,3.52,1030317
13/07/1995,6.18,6.26,6.03,6.26,3.52,2453798
14/07/1995,6.11,6.26,6.03,6.26,3.52,1149961
17/07/1995,6.26,6.33,6.18,6.18,3.48,947421
18/07/1995,6.18,6.33,6.18,6.26,3.52,4018067
19/07/1995,6.26,6.26,6.11,6.18,3.48,1287728
20/07/1995,6.18,6.26,6.11,6.18,3.48,1097103
21/07/1995,6.18,6.26,6.11,6.18,3.48,960007
24/07/1995,6.11,6.41,6.11,6.33,3.56,1604374
25/07/1995,6.26,6.48,6.26,6.33,3.56,898087
26/07/1995,6.33,6.41,6.26,6.41,3.61,1296286
27/07/1995,6.33,6.56,6.33,6.48,3.65,1643976
28/07/1995,6.41,6.48,6.33,6.33,3.56,651751
31/07/1995,6.33,6.48,6.33,6.48,3.65,731793
01/08/1995,6.41,6.41,6.26,6.26,3.52,1008502
02/08/1995,6.26,6.41,6.26,6.26,3.52,1249469
03/08/1995,6.26,6.33,6.26,6.26,3.52,979975
04/08/1995,6.26,6.33,6.11,6.11,3.44,1071093
07/08/1995,6.11,6.26,6.11,6.26,3.52,1070086
08/08/1995,6.26,6.41,6.18,6.26,3.52,1603535
09/08/1995,6.26,6.33,6.11,6.11,3.44,1522486
10/08/1995,6.11,6.18,5.88,5.96,3.35,1727207
11/08/1995,5.96,6.11,5.81,5.88,3.31,1148618
14/08/1995,5.88,5.96,5.81,5.88,3.31,991218
15/08/1995,5.88,5.96,5.81,5.88,3.31,1258194
16/08/1995,5.88,6.03,5.81,5.96,3.35,1688108
17/08/1995,5.96,6.11,5.96,6.11,3.44,1783253
18/08/1995,6.18,6.41,6.18,6.33,3.56,1335216
21/08/1995,6.33,6.48,6.11,6.11,3.44,1349815
22/08/1995,6.33,6.7,6.33,6.56,3.69,2717250
23/08/1995,6.48,6.63,6.33,6.33,3.56,1014040
24/08/1995,6.33,6.41,6.26,6.26,3.52,822743
25/08/1995,6.26,6.33,6.18,6.18,3.48,1359716
28/08/1995,6.26,6.26,6.03,6.18,3.48,474382
29/08/1995,6.11,6.18,6.03,6.11,3.44,598221
30/08/1995,6.03,6.18,5.96,6.03,3.4,1036861
31/08/1995,6.03,6.18,6.03,6.11,3.44,1533393
01/09/1995,6.03,6.11,5.96,5.96,3.35,612485
05/09/1995,6.03,6.11,5.96,6.03,3.4,731290
06/09/1995,6.18,6.63,6.18,6.48,3.65,2635194
07/09/1995,6.41,6.63,6.41,6.48,3.65,883656
08/09/1995,6.48,6.7,6.48,6.7,3.77,906309
11/09/1995,6.7,7.0,6.7,6.93,3.9,1534400
12/09/1995,7.0,7.0,6.7,6.93,3.9,877615
13/09/1995,6.78,6.93,6.7,6.85,3.86,1074617
14/09/1995,6.7,6.85,6.7,6.85,3.86,531435
15/09/1995,6.93,6.93,6.48,6.56,3.69,929466
18/09/1995,6.56,6.7,6.48,6.63,3.73,882649
19/09/1995,6.63,6.85,6.63,6.78,3.82,863352
20/09/1995,6.78,6.93,6.56,6.56,3.69,1477179
21/09/1995,6.56,6.56,6.41,6.56,3.69,1510739
22/09/1995,6.41,6.63,6.33,6.56,3.69,829791
25/09/1995,6.56,6.78,6.48,6.78,3.82,555935
26/09/1995,6.7,6.85,6.7,6.85,3.86,887515
27/09/1995,6.7,6.85,6.7,6.85,3.86,829455
28/09/1995,6.78,6.93,6.7,6.93,3.9,755957
29/09/1995,6.85,6.93,6.78,6.85,3.86,628594
02/10/1995,6.78,6.93,6.7,6.85,3.86,1453350
03/10/1995,6.78,6.85,6.7,6.85,3.86,763508
04/10/1995,6.78,6.85,6.63,6.63,3.73,822072
05/10/1995,6.63,6.78,6.56,6.78,3.83,437968
06/10/1995,6.7,6.78,6.63,6.78,3.83,453910
09/10/1995,6.7,6.85,6.7,6.85,3.87,424880
10/10/1995,6.7,6.93,6.7,6.93,3.91,737163
11/10/1995,6.85,6.93,6.85,6.93,3.91,457769
12/10/1995,6.93,7.08,6.85,7.0,3.96,361450
13/10/1995,7.0,7.08,6.93,6.93,3.91,452903
16/10/1995,6.85,6.93,6.78,6.93,3.91,697897
17/10/1995,6.85,6.93,6.78,6.85,3.87,446359
18/10/1995,6.85,6.93,6.85,6.85,3.87,274527
19/10/1995,6.85,7.0,6.85,7.0,3.96,496029
20/10/1995,6.93,7.0,6.93,7.0,3.96,402226
23/10/1995,6.93,7.15,6.85,7.08,4.0,868218
24/10/1995,7.08,7.11,6.93,7.0,3.96,382090
25/10/1995,6.93,7.0,6.85,6.93,3.91,544692
26/10/1995,6.85,7.0,6.78,6.78,3.83,455923
27/10/1995,6.78,6.85,6.7,6.7,3.79,1034679
30/10/1995,6.7,6.85,6.7,6.78,3.83,791196
31/10/1995,6.78,6.93,6.7,6.78,3.83,908155
01/11/1995,6.7,6.85,6.7,6.78,3.83,541839
02/11/1995,6.78,7.0,6.78,7.0,3.96,444177
03/11/1995,6.93,7.0,6.93,7.0,3.96,485793
06/11/1995,7.0,7.08,6.93,7.0,3.96,538315
07/11/1995,7.0,7.08,7.0,7.0,3.96,494518
08/11/1995,7.0,7.08,7.0,7.08,4.0,199687
09/11/1995,7.08,7.15,7.0,7.08,4.0,509621
10/11/1995,7.0,7.0,6.93,6.93,3.91,166965
13/11/1995,7.0,7.0,6.93,6.93,3.91,217474
14/11/1995,6.93,7.0,6.7,6.78,3.83,709140
15/11/1995,6.78,7.0,6.7,7.0,3.96,1196275
16/11/1995,6.93,7.0,6.85,6.85,3.87,707629
17/11/1995,6.93,6.93,6.78,6.85,3.87,1170265
20/11/1995,6.85,6.93,6.85,6.93,3.91,315472
21/11/1995,6.85,7.0,6.85,6.85,3.87,534456
22/11/1995,6.85,6.85,6.63,6.7,3.79,807473
24/11/1995,6.7,6.78,6.63,6.7,3.79,242812
27/11/1995,6.7,6.93,6.7,6.85,3.87,1158854
28/11/1995,6.85,7.0,6.85,7.0,3.96,747399
29/11/1995,6.93,7.0,6.85,7.0,3.96,294496
30/11/1995,6.85,6.93,6.78,6.85,3.87,538147
01/12/1995,6.85,7.0,6.85,7.0,3.96,424041
04/12/1995,6.93,7.0,6.85,7.0,3.96,254726
05/12/1995,6.93,7.0,6.85,7.0,3.96,603423
06/12/1995,7.15,7.23,6.93,7.0,3.96,2025394
07/12/1995,6.93,6.93,6.85,6.93,3.91,515326
08/12/1995,6.85,6.93,6.7,6.85,3.87,1208357
11/12/1995,6.85,6.93,6.78,6.93,3.91,516165
12/12/1995,6.85,6.93,6.85,6.93,3.91,482604
13/12/1995,6.85,6.93,6.78,6.93,3.91,857814
14/12/1995,6.93,7.23,6.78,7.23,4.08,802607
15/12/1995,7.15,7.15,6.93,7.0,3.96,1971865
18/12/1995,7.0,7.08,7.0,7.08,4.0,465153
19/12/1995,7.08,7.15,7.0,7.15,4.04,589495
20/12/1995,7.08,7.15,6.93,7.0,3.96,931480
21/12/1995,7.0,7.08,7.0,7.0,3.96,406253
22/12/1995,7.0,7.0,6.85,6.85,3.87,717194
26/12/1995,6.85,6.93,6.85,6.93,3.91,157568
27/12/1995,6.93,7.0,6.93,6.93,3.91,243651
28/12/1995,6.93,7.0,6.85,6.93,3.91,274024
29/12/1995,6.93,7.08,6.85,7.08,4.0,553250
02/01/1996,6.93,7.08,6.85,7.0,3.96,547041
03/01/1996,6.93,7.0,6.85,6.93,3.91,535798
04/01/1996,7.0,7.0,6.7,6.85,3.87,1321457
05/01/1996,6.7,6.78,6.7,6.7,3.79,1090558
08/01/1996,6.7,6.78,6.63,6.78,3.83,132733
09/01/1996,6.7,6.78,6.48,6.63,3.75,483276
10/01/1996,6.56,6.56,6.33,6.48,3.66,667524
11/01/1996,6.41,6.7,6.41,6.63,3.75,763173
12/01/1996,6.63,7.0,6.63,7.0,3.96,760488
15/01/1996,7.0,7.0,6.93,6.93,3.91,322184
16/01/1996,7.0,7.0,6.93,7.0,3.96,377895
17/01/1996,6.93,7.0,6.93,6.93,3.91,602081
18/01/1996,6.93,7.0,6.85,6.85,3.87,551740
19/01/1996,6.78,6.93,6.78,6.93,3.91,477235
22/01/1996,6.93,7.0,6.93,7.0,3.96,367826
23/01/1996,6.93,7.0,6.85,6.93,3.91,445352
24/01/1996,6.93,7.08,6.93,7.08,4.0,323862
25/01/1996,7.0,7.0,6.93,7.0,3.96,524388
26/01/1996,6.93,7.0,6.85,6.93,3.91,467670
29/01/1996,6.93,7.0,6.85,6.85,3.87,1143249
30/01/1996,6.93,6.93,6.78,6.85,3.87,1125461
31/01/1996,6.78,6.85,6.78,6.85,3.87,722228
01/02/1996,6.78,6.89,6.7,6.85,3.87,816199
02/02/1996,6.85,7.08,6.7,7.0,3.96,2487527
05/02/1996,7.0,7.23,6.93,7.15,4.04,1669146
06/02/1996,7.15,7.3,7.15,7.3,4.12,458776
07/02/1996,7.23,7.6,7.23,7.6,4.29,1025115
08/02/1996,7.67,7.9,7.45,7.67,4.33,734982
09/02/1996,7.67,7.75,7.52,7.6,4.29,546538
12/02/1996,7.52,7.67,7.52,7.67,4.33,256908
13/02/1996,7.45,7.45,7.3,7.3,4.12,404240
14/02/1996,7.3,7.45,7.15,7.45,4.21,369337
15/02/1996,7.37,7.52,7.3,7.45,4.21,754279
16/02/1996,7.52,7.52,7.37,7.45,4.21,477570
20/02/1996,7.3,7.3,7.08,7.23,4.08,621546
21/02/1996,7.23,7.52,7.23,7.45,4.21,676082
22/02/1996,7.45,7.67,7.45,7.45,4.21,308592
23/02/1996,7.37,7.52,7.3,7.37,4.17,639333
26/02/1996,7.3,7.45,7.23,7.3,4.12,482940
27/02/1996,7.37,7.52,7.3,7.45,4.21,469348
28/02/1996,7.45,7.52,7.37,7.45,4.21,429410
29/02/1996,7.37,7.45,7.3,7.37,4.17,751426
01/03/1996,7.45,7.52,7.37,7.45,4.21,624063
04/03/1996,7.45,7.67,7.45,7.6,4.29,759145
05/03/1996,7.6,7.67,7.52,7.6,4.29,509621
06/03/1996,7.52,7.6,7.45,7.6,4.29,232409
07/03/1996,7.52,7.67,7.45,7.52,4.25,461797
08/03/1996,7.52,7.67,7.37,7.52,4.25,893556
11/03/1996,7.52,7.82,7.52,7.75,4.38,1232185
12/03/1996,7.75,7.9,7.67,7.75,4.38,1709084
13/03/1996,7.67,7.82,7.67,7.82,4.42,653764
14/03/1996,7.75,7.82,7.67,7.75,4.38,762334
15/03/1996,7.82,7.97,7.75,7.9,4.46,1768990
18/03/1996,7.9,8.19,7.9,8.12,4.59,996588
19/03/1996,8.12,8.27,8.12,8.12,4.59,1022094
20/03/1996,8.12,8.19,7.82,7.9,4.46,690681
21/03/1996,7.9,7.9,7.75,7.82,4.42,525394
22/03/1996,7.75,7.9,7.75,7.9,4.46,810829
