Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,24.3,24.46,24.3,24.41,4.98,375151
03/01/1990,24.46,24.57,24.3,24.46,4.99,280158
04/01/1990,24.52,24.52,24.19,24.3,4.96,595881
05/01/1990,24.3,24.3,23.97,24.02,4.9,292549
08/01/1990,23.92,23.97,23.75,23.86,4.87,248724
09/01/1990,23.81,23.92,23.37,23.43,4.78,241611
10/01/1990,23.32,23.53,23.21,23.53,4.8,443297
11/01/1990,23.64,23.7,23.53,23.64,4.83,186084
12/01/1990,23.32,23.43,22.77,22.77,4.65,252854
15/01/1990,22.55,22.77,22.44,22.55,4.6,274652
16/01/1990,22.55,22.77,22.34,22.77,4.65,324213
17/01/1990,22.77,22.77,22.44,22.55,4.6,161992
18/01/1990,22.34,22.72,22.23,22.55,4.6,318018
19/01/1990,22.61,22.94,22.5,22.88,4.67,1652269
22/01/1990,22.88,23.15,22.66,22.88,4.67,404750
23/01/1990,22.77,22.99,22.66,22.99,4.69,186772
24/01/1990,22.23,23.04,22.23,23.04,4.7,564676
25/01/1990,23.21,23.21,22.94,22.99,4.69,417599
26/01/1990,22.88,22.99,22.66,22.88,4.67,358630
29/01/1990,22.83,23.04,22.72,22.94,4.68,304709
30/01/1990,22.83,22.99,22.77,22.99,4.69,355647
31/01/1990,22.94,23.43,22.88,23.43,4.78,504101
01/02/1990,23.32,23.43,23.26,23.43,4.78,586015
02/02/1990,23.32,23.53,23.32,23.53,4.8,152125
05/02/1990,23.53,23.53,23.37,23.48,4.79,231056
06/02/1990,23.43,23.53,23.37,23.53,4.8,326278
07/02/1990,23.48,23.53,23.37,23.48,4.79,464177
08/02/1990,23.64,23.75,23.53,23.7,4.84,360236
09/02/1990,23.7,23.7,23.53,23.64,4.83,1016234
12/02/1990,23.21,23.43,23.15,23.32,4.83,2654047
13/02/1990,23.37,23.43,23.26,23.43,4.85,3329318
14/02/1990,23.43,23.59,23.32,23.53,4.87,221190
15/02/1990,23.59,23.59,23.43,23.53,4.87,125280
16/02/1990,23.48,23.59,23.32,23.37,4.84,325360
20/02/1990,23.26,23.26,22.99,23.15,4.79,192738
21/02/1990,23.04,23.21,22.99,23.1,4.78,329261
22/02/1990,23.1,23.21,23.04,23.04,4.77,133769
23/02/1990,22.94,23.1,22.88,23.04,4.77,186772
26/02/1990,22.99,23.37,22.99,23.26,4.82,437331
27/02/1990,23.26,23.81,23.26,23.81,4.93,935697
28/02/1990,23.75,23.92,23.7,23.86,4.94,273504
01/03/1990,23.86,24.02,23.75,23.97,4.96,255378
02/03/1990,23.97,24.08,23.81,24.02,4.97,224402
05/03/1990,24.02,24.13,23.92,23.97,4.96,217289
06/03/1990,23.97,24.08,23.86,24.08,4.99,99581
