Date,Open,High,Low,Close,Adj Close,Volume
31/10/1995,3.47,4.2,3.47,4.07,4.07,15479500
01/11/1995,3.9,3.95,3.88,3.9,3.9,3056500
02/11/1995,3.95,4.22,3.9,4.18,4.18,1185500
03/11/1995,4.18,4.22,3.85,4.0,4.0,1823500
06/11/1995,3.97,4.0,3.88,3.9,3.9,339500
07/11/1995,3.88,3.97,3.75,3.8,3.8,627500
08/11/1995,3.7,3.83,3.6,3.83,3.83,1214000
09/11/1995,3.83,4.07,3.83,4.05,4.05,831000
10/11/1995,4.07,4.15,4.05,4.1,4.1,458500
13/11/1995,4.12,4.2,4.1,4.15,4.15,251500
14/11/1995,4.18,4.2,4.12,4.15,4.15,365500
15/11/1995,4.12,4.12,4.05,4.1,4.1,593500
16/11/1995,4.1,4.12,4.07,4.1,4.1,426500
17/11/1995,4.1,4.15,4.1,4.15,4.15,80500
20/11/1995,4.2,4.3,4.2,4.3,4.3,253500
21/11/1995,4.3,4.35,4.3,4.3,4.3,707000
22/11/1995,4.28,4.43,4.28,4.4,4.4,235500
24/11/1995,4.47,4.53,4.45,4.53,4.53,29500
27/11/1995,4.5,4.93,4.5,4.85,4.85,189000
28/11/1995,4.95,5.35,4.95,5.32,5.32,700500
29/11/1995,5.3,5.85,5.28,5.6,5.6,1008000
30/11/1995,5.45,5.47,5.32,5.38,5.38,705500
01/12/1995,5.35,5.47,5.3,5.38,5.38,754000
04/12/1995,5.2,5.28,5.12,5.25,5.25,341000
05/12/1995,5.28,5.35,5.25,5.32,5.32,55500
06/12/1995,5.5,5.78,5.5,5.68,5.68,658000
07/12/1995,5.7,5.72,5.65,5.65,5.65,576500
08/12/1995,5.62,5.72,5.62,5.7,5.7,502500
11/12/1995,5.72,5.75,5.7,5.72,5.72,335000
12/12/1995,5.72,5.97,5.72,5.93,5.93,274000
13/12/1995,5.95,5.97,5.95,5.95,5.95,484000
14/12/1995,5.9,6.0,5.9,5.95,5.95,272500
15/12/1995,5.95,5.95,5.93,5.95,5.95,114500
18/12/1995,5.95,5.95,5.7,5.72,5.72,170000
19/12/1995,5.68,5.68,5.45,5.45,5.45,342500
20/12/1995,5.47,5.47,5.18,5.28,5.28,71500
21/12/1995,5.28,5.35,5.2,5.2,5.2,407500
22/12/1995,5.22,5.25,5.2,5.2,5.2,224000
26/12/1995,5.22,5.22,5.2,5.2,5.2,152000
27/12/1995,5.25,5.6,5.25,5.6,5.6,469500
28/12/1995,5.6,5.6,5.57,5.6,5.6,175000
29/12/1995,5.62,6.0,5.62,6.0,6.0,595000
02/01/1996,5.9,5.9,5.85,5.85,5.85,57000
03/01/1996,5.95,6.0,5.9,5.9,5.9,160500
04/01/1996,5.93,5.93,5.65,5.65,5.65,117500
05/01/1996,5.68,5.68,5.62,5.62,5.62,7500
08/01/1996,5.62,5.62,5.6,5.6,5.6,4000
09/01/1996,5.57,5.65,5.5,5.5,5.5,330000
10/01/1996,5.43,5.55,5.4,5.55,5.55,93000
11/01/1996,5.55,5.57,5.53,5.55,5.55,62000
12/01/1996,5.57,5.8,5.57,5.75,5.75,104000
15/01/1996,5.8,5.85,5.8,5.85,5.85,7000
16/01/1996,5.9,5.97,5.9,5.97,5.97,74000
17/01/1996,5.97,5.97,5.9,5.95,5.95,91000
18/01/1996,5.9,5.9,5.68,5.68,5.68,163000
19/01/1996,5.7,5.72,5.6,5.68,5.68,39000
22/01/1996,5.68,5.68,5.6,5.62,5.62,42000
23/01/1996,5.65,5.65,5.6,5.6,5.6,47000
24/01/1996,5.68,5.7,5.57,5.57,5.57,62500
25/01/1996,5.6,5.6,5.6,5.6,5.6,18000
26/01/1996,5.55,5.57,5.53,5.53,5.53,36000
29/01/1996,5.53,5.53,5.4,5.47,5.47,173000
30/01/1996,5.45,5.5,5.45,5.47,5.47,35500
31/01/1996,5.5,5.55,5.5,5.55,5.55,114500
01/02/1996,5.53,5.7,5.47,5.7,5.7,120000
02/02/1996,5.72,5.9,5.72,5.88,5.88,155000
05/02/1996,5.9,5.95,5.9,5.95,5.95,60500
06/02/1996,5.93,6.28,5.93,6.25,6.25,521500
07/02/1996,6.32,6.45,6.32,6.4,6.4,448500
08/02/1996,6.4,6.4,6.03,6.15,6.15,550000
09/02/1996,6.1,6.15,6.05,6.07,6.07,164000
12/02/1996,6.07,6.22,6.07,6.22,6.22,124000
13/02/1996,6.2,6.2,5.88,5.88,5.88,308500
14/02/1996,5.88,5.88,5.85,5.88,5.88,100000
15/02/1996,5.85,5.85,5.75,5.8,5.8,181500
16/02/1996,5.8,5.88,5.78,5.88,5.88,641000
20/02/1996,5.82,5.85,5.8,5.8,5.8,67500
21/02/1996,5.82,5.85,5.82,5.82,5.82,163000
22/02/1996,5.8,6.05,5.8,6.05,6.05,64500
23/02/1996,6.05,6.1,5.97,6.0,6.0,283500
26/02/1996,6.05,6.1,6.05,6.1,6.1,211500
27/02/1996,6.05,6.12,6.03,6.12,6.12,62500
28/02/1996,6.15,6.15,5.97,5.97,5.97,19500
29/02/1996,5.95,5.95,5.88,5.9,5.9,37500
01/03/1996,5.95,5.95,5.9,5.95,5.95,10500
04/03/1996,5.97,5.97,5.97,5.97,5.97,500
05/03/1996,6.0,6.0,5.93,6.0,6.0,66000
06/03/1996,6.0,6.0,5.93,5.93,5.93,303500
07/03/1996,5.93,6.07,5.93,6.07,6.07,72500
08/03/1996,6.03,6.03,5.95,6.0,6.0,126500
11/03/1996,5.95,5.95,5.85,5.9,5.9,138000
12/03/1996,5.93,5.93,5.88,5.88,5.88,70000
13/03/1996,5.9,5.93,5.88,5.93,5.93,326500
14/03/1996,5.93,5.95,5.93,5.95,5.95,205000
15/03/1996,5.95,5.95,5.88,5.93,5.93,18000
18/03/1996,5.97,6.05,5.95,5.95,5.95,67000
19/03/1996,5.95,5.97,5.9,5.95,5.95,435000
20/03/1996,5.95,5.95,5.9,5.93,5.93,82500
21/03/1996,5.9,5.93,5.88,5.88,5.88,333000
22/03/1996,5.9,5.9,5.82,5.82,5.82,51000
25/03/1996,5.8,5.97,5.8,5.97,5.97,148500
26/03/1996,6.0,6.15,6.0,6.12,6.12,213000
27/03/1996,6.15,6.2,6.05,6.18,6.18,320000
28/03/1996,6.15,6.25,6.15,6.2,6.2,201000
29/03/1996,6.2,6.22,6.12,6.22,6.22,170000
01/04/1996,6.2,6.65,6.2,6.57,6.57,240500
02/04/1996,6.57,6.57,6.53,6.55,6.55,39500
03/04/1996,6.6,6.72,6.57,6.62,6.62,218000
04/04/1996,6.65,7.05,6.65,7.0,7.0,11919000
08/04/1996,7.0,7.07,6.93,7.05,7.05,1440000
09/04/1996,7.2,7.2,7.05,7.1,7.1,1014500
10/04/1996,7.15,7.32,7.12,7.25,7.25,1009000
11/04/1996,7.3,7.3,7.12,7.12,7.12,933000
12/04/1996,7.12,7.12,7.03,7.07,7.07,288500
15/04/1996,7.05,7.1,7.05,7.07,7.07,57500
16/04/1996,7.1,7.15,7.1,7.15,7.15,655000
17/04/1996,7.18,7.28,7.18,7.25,7.25,563000
18/04/1996,7.28,7.28,7.05,7.07,7.07,251500
19/04/1996,7.07,7.12,7.03,7.1,7.1,431000
22/04/1996,7.1,7.25,7.1,7.2,7.2,343000
23/04/1996,7.25,7.65,7.25,7.62,7.62,788000
24/04/1996,7.65,8.07,7.65,8.07,8.07,445000
25/04/1996,8.05,8.1,7.95,7.95,7.95,935500
26/04/1996,7.82,7.9,7.82,7.88,7.88,417000
29/04/1996,7.8,7.8,7.55,7.6,7.6,213500
30/04/1996,7.62,7.65,7.43,7.65,7.65,667000
01/05/1996,7.68,7.72,7.62,7.7,7.7,259500
02/05/1996,7.75,7.75,7.22,7.28,7.28,1032000
03/05/1996,7.25,7.3,7.03,7.1,7.1,548000
06/05/1996,7.07,7.5,7.07,7.5,7.5,822000
07/05/1996,7.6,7.8,7.57,7.8,7.8,531000
08/05/1996,7.85,7.88,7.68,7.88,7.88,264000
09/05/1996,7.85,7.97,7.85,7.97,7.97,237000
10/05/1996,7.93,8.65,7.93,8.65,8.65,404000
13/05/1996,8.7,9.1,8.62,9.02,9.02,284500
14/05/1996,9.0,9.05,8.75,8.77,8.77,334500
15/05/1996,8.75,8.75,8.55,8.65,8.65,179500
16/05/1996,8.6,8.65,8.45,8.45,8.45,85000
17/05/1996,8.4,8.4,8.2,8.23,8.23,86000
20/05/1996,8.23,8.27,8.18,8.25,8.25,34000
21/05/1996,8.27,8.27,8.18,8.18,8.18,29000
22/05/1996,8.2,8.2,8.0,8.02,8.02,315500
23/05/1996,8.07,8.07,7.82,7.93,7.93,583500
24/05/1996,7.95,8.23,7.95,8.2,8.2,116000
28/05/1996,8.27,8.27,8.05,8.05,8.05,47000
29/05/1996,8.02,8.05,7.93,7.93,7.93,297000
30/05/1996,7.97,8.3,7.93,8.23,8.23,369000
31/05/1996,8.18,8.25,8.15,8.25,8.25,567500
03/06/1996,8.23,8.27,8.23,8.27,8.27,70000
04/06/1996,8.27,8.27,8.15,8.18,8.18,43000
05/06/1996,8.12,8.12,7.7,7.97,7.97,294500
06/06/1996,8.0,8.07,8.0,8.07,8.07,98000
07/06/1996,8.02,8.02,7.9,7.9,7.9,15000
10/06/1996,7.93,7.93,7.72,7.72,7.72,37000
11/06/1996,7.72,7.75,7.7,7.7,7.7,143500
12/06/1996,7.72,7.75,7.7,7.72,7.72,100500
13/06/1996,7.72,7.72,7.7,7.7,7.7,10000
14/06/1996,7.68,7.78,7.68,7.78,7.78,32000
17/06/1996,7.75,7.78,7.72,7.75,7.75,109000
18/06/1996,7.75,7.78,7.7,7.78,7.78,57000
19/06/1996,7.75,7.82,7.68,7.78,7.78,323000
20/06/1996,7.75,7.75,7.72,7.75,7.75,271500
