Date,Open,High,Low,Close,Adj Close,Volume
24/09/1998,0.94,0.95,0.78,0.83,0.76,518656090
25/09/1998,0.8,0.81,0.72,0.79,0.72,121255834
28/09/1998,0.83,0.89,0.81,0.85,0.78,89772883
29/09/1998,0.87,0.88,0.84,0.86,0.79,39289536
30/09/1998,0.83,0.84,0.76,0.79,0.72,44113766
01/10/1998,0.75,0.76,0.7,0.7,0.64,44433101
02/10/1998,0.71,0.73,0.61,0.7,0.64,46816704
05/10/1998,0.69,0.69,0.61,0.63,0.58,33832339
06/10/1998,0.67,0.67,0.56,0.64,0.59,40270349
07/10/1998,0.61,0.62,0.54,0.54,0.5,35058355
08/10/1998,0.49,0.51,0.44,0.51,0.47,57172262
09/10/1998,0.54,0.57,0.52,0.54,0.49,38519712
12/10/1998,0.56,0.56,0.55,0.55,0.51,28198368
13/10/1998,0.55,0.56,0.51,0.52,0.47,15430694
14/10/1998,0.51,0.56,0.51,0.53,0.48,30935520
15/10/1998,0.53,0.57,0.53,0.57,0.52,29144966
16/10/1998,0.59,0.64,0.58,0.63,0.58,43343942
19/10/1998,0.65,0.81,0.65,0.8,0.73,78151392
20/10/1998,0.86,0.91,0.79,0.82,0.75,109292198
21/10/1998,0.86,0.9,0.83,0.89,0.81,65703053
22/10/1998,0.91,0.94,0.86,0.9,0.83,53323142
23/10/1998,0.91,0.92,0.87,0.88,0.81,32309798
26/10/1998,1.05,1.29,1.03,1.29,1.18,389981434
27/10/1998,1.43,1.59,1.41,1.45,1.33,571032634
28/10/1998,1.37,1.49,1.34,1.4,1.29,254555136
29/10/1998,1.42,1.45,1.4,1.4,1.28,81150854
30/10/1998,1.42,1.48,1.4,1.46,1.34,94944960
02/11/1998,1.52,1.54,1.47,1.47,1.35,123707866
03/11/1998,1.49,1.5,1.46,1.47,1.35,45978451
04/11/1998,1.5,1.5,1.43,1.45,1.33,44632685
05/11/1998,1.42,1.47,1.38,1.42,1.3,66085114
06/11/1998,1.41,1.48,1.41,1.47,1.35,48966509
09/11/1998,1.48,1.81,1.48,1.81,1.65,202355366
10/11/1998,1.98,2.46,1.95,2.3,2.1,577698739
11/11/1998,2.23,2.37,2.0,2.03,1.86,306874656
12/11/1998,2.0,2.33,1.97,2.21,2.02,223699450
13/11/1998,2.28,2.33,2.1,2.17,1.99,135688608
16/11/1998,2.27,2.28,2.14,2.24,2.05,82411085
17/11/1998,2.24,2.33,2.17,2.26,2.07,81555725
18/11/1998,2.29,2.6,2.2,2.59,2.37,201192077
