Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.53,3.59,3.48,3.59,2.23,236800
03/01/1990,3.58,3.67,3.58,3.66,2.27,1187200
04/01/1990,3.66,3.8,3.66,3.73,2.32,1714400
05/01/1990,3.77,3.88,3.77,3.84,2.39,1227200
08/01/1990,3.81,3.84,3.78,3.8,2.36,668800
09/01/1990,3.8,3.89,3.8,3.88,2.41,1501600
10/01/1990,3.84,3.86,3.81,3.81,2.37,600000
11/01/1990,3.78,3.84,3.75,3.75,2.33,538400
12/01/1990,3.72,3.72,3.59,3.59,2.23,1188000
15/01/1990,3.41,3.42,3.33,3.34,2.08,2026400
16/01/1990,3.3,3.39,3.27,3.36,2.09,2199200
17/01/1990,3.38,3.38,3.31,3.31,2.06,247200
18/01/1990,3.28,3.36,3.27,3.36,2.09,668800
19/01/1990,3.39,3.41,3.34,3.36,2.09,2926400
22/01/1990,3.36,3.36,3.23,3.23,2.01,211200
23/01/1990,3.25,3.31,3.22,3.25,2.02,199200
24/01/1990,3.2,3.2,3.11,3.17,1.97,1144000
25/01/1990,3.19,3.19,3.14,3.14,1.95,248800
26/01/1990,3.14,3.16,3.09,3.14,1.95,302400
29/01/1990,3.16,3.16,3.12,3.12,1.94,2869600
30/01/1990,3.12,3.16,3.08,3.11,1.93,191200
31/01/1990,3.12,3.19,3.12,3.16,1.96,291200
01/02/1990,3.16,3.19,3.12,3.19,1.98,404000
02/02/1990,3.16,3.23,3.16,3.23,2.01,1016000
05/02/1990,3.2,3.25,3.19,3.23,2.01,4783200
06/02/1990,3.22,3.22,3.19,3.22,2.0,173600
07/02/1990,3.2,3.33,3.2,3.31,2.06,236800
08/02/1990,3.28,3.33,3.28,3.28,2.04,121600
09/02/1990,3.28,3.28,3.22,3.22,2.0,197600
12/02/1990,3.19,3.19,3.14,3.14,1.95,231200
13/02/1990,3.12,3.14,3.09,3.12,1.94,231200
14/02/1990,3.12,3.16,3.11,3.16,1.96,140800
15/02/1990,3.16,3.16,3.12,3.12,1.94,28800
16/02/1990,3.12,3.12,3.06,3.12,1.94,1397600
20/02/1990,3.09,3.09,2.98,3.09,1.92,212800
21/02/1990,3.08,3.14,3.08,3.14,1.95,284000
22/02/1990,3.12,3.16,3.05,3.05,1.89,179200
23/02/1990,3.03,3.06,2.98,2.98,1.85,212000
26/02/1990,3.0,3.09,3.0,3.05,1.89,473600
27/02/1990,3.02,3.09,3.02,3.09,1.92,536800
28/02/1990,3.09,3.11,3.06,3.06,1.9,337600
01/03/1990,3.06,3.08,3.02,3.02,1.87,325600
02/03/1990,3.03,3.08,3.0,3.06,1.9,168000
05/03/1990,3.11,3.11,3.05,3.05,1.89,656000
06/03/1990,3.05,3.09,3.05,3.09,1.92,255200
07/03/1990,3.09,3.19,3.08,3.11,1.93,435200
08/03/1990,3.11,3.14,3.08,3.12,1.94,396000
09/03/1990,3.11,3.14,3.08,3.08,1.91,336800
12/03/1990,3.06,3.11,3.06,3.09,1.92,191200
13/03/1990,3.06,3.11,3.06,3.06,1.9,408000
14/03/1990,3.05,3.06,3.03,3.05,1.91,358400
15/03/1990,3.05,3.09,3.05,3.08,1.93,225600
16/03/1990,3.09,3.11,3.06,3.08,1.93,225600
19/03/1990,3.06,3.09,3.06,3.09,1.94,71200
20/03/1990,3.06,3.08,3.05,3.06,1.92,492000
21/03/1990,3.08,3.08,3.05,3.06,1.92,136000
22/03/1990,3.08,3.08,3.05,3.06,1.92,191200
23/03/1990,3.06,3.08,3.05,3.08,1.93,124800
26/03/1990,3.06,3.09,3.05,3.05,1.91,108000
27/03/1990,3.05,3.14,3.05,3.14,1.96,231200
28/03/1990,3.16,3.19,3.16,3.17,1.98,232800
29/03/1990,3.14,3.14,3.02,3.05,1.91,331200
30/03/1990,3.03,3.05,2.94,2.98,1.87,1363200
02/04/1990,2.97,2.97,2.91,2.94,1.84,578400
03/04/1990,2.92,2.97,2.92,2.95,1.85,469600
04/04/1990,2.97,2.98,2.92,2.92,1.83,386400
05/04/1990,2.92,2.94,2.91,2.91,1.82,212800
06/04/1990,2.92,2.92,2.89,2.92,1.83,533600
09/04/1990,2.94,2.94,2.91,2.94,1.84,313600
10/04/1990,2.92,2.95,2.92,2.92,1.83,192000
11/04/1990,2.92,2.94,2.92,2.94,1.84,75200
12/04/1990,2.92,2.94,2.91,2.91,1.82,160000
16/04/1990,2.92,2.92,2.91,2.91,1.82,116800
17/04/1990,2.91,2.91,2.89,2.89,1.81,303200
18/04/1990,2.94,2.97,2.92,2.94,1.84,440000
19/04/1990,2.95,2.98,2.94,2.95,1.85,502400
20/04/1990,2.95,2.97,2.88,2.92,1.83,347200
23/04/1990,2.91,2.92,2.89,2.91,1.82,225600
