Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.0,8.06,7.81,7.94,2.76,167400
03/01/1990,8.12,8.25,8.0,8.0,2.78,1674800
04/01/1990,7.94,8.06,7.88,8.06,2.8,356000
05/01/1990,8.0,8.19,8.0,8.0,2.78,804000
08/01/1990,8.0,8.0,7.81,7.88,2.74,318800
09/01/1990,7.88,8.12,7.88,8.06,2.8,423600
10/01/1990,8.0,8.25,8.0,8.25,2.87,487200
11/01/1990,8.38,8.69,8.31,8.62,3.0,300600
12/01/1990,8.62,8.62,8.25,8.44,2.93,206200
15/01/1990,8.38,8.38,8.19,8.19,2.84,38400
16/01/1990,8.19,8.19,7.88,8.12,2.82,246800
17/01/1990,8.12,8.31,8.0,8.25,2.87,144200
18/01/1990,8.25,8.25,8.0,8.0,2.78,193000
19/01/1990,8.12,8.19,8.0,8.06,2.8,65200
22/01/1990,8.06,8.06,7.75,7.75,2.69,61000
23/01/1990,7.81,7.81,7.62,7.62,2.65,245200
24/01/1990,7.62,7.62,7.31,7.44,2.58,271200
25/01/1990,7.44,7.44,7.31,7.31,2.54,114600
26/01/1990,7.38,7.44,7.25,7.38,2.56,219600
29/01/1990,7.44,7.44,7.25,7.25,2.52,77200
30/01/1990,7.25,7.38,7.0,7.06,2.45,157000
31/01/1990,7.06,7.19,6.88,7.19,2.5,305400
01/02/1990,7.31,7.44,7.31,7.38,2.56,138000
02/02/1990,7.44,7.62,7.38,7.5,2.61,282600
05/02/1990,7.62,7.69,7.44,7.44,2.58,516400
06/02/1990,7.5,7.5,7.25,7.44,2.58,158400
07/02/1990,7.44,7.75,7.44,7.75,2.69,278800
08/02/1990,7.81,8.19,7.81,8.0,2.78,308000
09/02/1990,8.0,8.0,7.88,7.94,2.76,178600
12/02/1990,8.0,8.0,7.88,7.94,2.76,39600
13/02/1990,7.94,7.94,7.81,7.94,2.76,73600
14/02/1990,7.88,7.88,7.81,7.88,2.74,111800
15/02/1990,7.81,7.88,7.75,7.81,2.73,415800
16/02/1990,7.75,7.88,7.75,7.88,2.76,122000
20/02/1990,7.94,8.0,7.81,7.94,2.78,648200
21/02/1990,7.88,8.12,7.88,8.06,2.82,331400
22/02/1990,8.06,8.25,8.06,8.06,2.82,37400
23/02/1990,8.0,8.19,8.0,8.19,2.87,82000
26/02/1990,8.12,8.19,7.81,8.0,2.8,157400
27/02/1990,8.0,8.0,7.94,8.0,2.8,26400
28/02/1990,8.0,8.0,7.81,7.94,2.78,48000
01/03/1990,7.75,7.88,7.75,7.75,2.71,175400
02/03/1990,7.69,7.88,7.69,7.75,2.71,37800
05/03/1990,7.75,7.94,7.69,7.81,2.73,76600
06/03/1990,7.81,7.94,7.81,7.88,2.76,58800
07/03/1990,7.88,7.88,7.75,7.75,2.71,14400
08/03/1990,7.75,8.0,7.75,7.88,2.76,218800
09/03/1990,7.88,8.0,7.88,8.0,2.8,147400
12/03/1990,8.0,8.12,8.0,8.06,2.82,65600
13/03/1990,8.06,8.06,7.94,8.0,2.8,124400
14/03/1990,8.06,8.19,8.06,8.12,2.84,71000
15/03/1990,8.06,8.25,8.06,8.25,2.89,113400
16/03/1990,8.38,8.5,8.25,8.44,2.95,212800
19/03/1990,8.38,8.56,8.38,8.5,2.98,95600
20/03/1990,8.44,8.5,8.25,8.38,2.93,155400
21/03/1990,8.44,8.44,8.38,8.38,2.93,16200
22/03/1990,8.44,8.44,8.12,8.12,2.84,133000
23/03/1990,8.19,8.19,8.06,8.19,2.87,63600
26/03/1990,8.19,8.31,8.19,8.25,2.89,56200
27/03/1990,8.25,8.38,8.25,8.25,2.89,228600
28/03/1990,8.38,8.38,8.25,8.31,2.91,27000
29/03/1990,8.25,8.31,8.19,8.31,2.91,133600
30/03/1990,8.38,8.44,8.25,8.38,2.93,65000
02/04/1990,8.31,8.44,8.31,8.44,2.95,54200
03/04/1990,8.38,8.5,8.38,8.44,2.95,99600
04/04/1990,8.38,8.5,8.38,8.5,2.98,128400
05/04/1990,8.5,8.69,8.44,8.5,2.98,275000
06/04/1990,8.62,8.62,8.44,8.56,3.0,128000
09/04/1990,8.56,8.56,8.31,8.31,2.91,213200
10/04/1990,8.31,8.44,8.25,8.31,2.91,72800
11/04/1990,8.44,8.56,8.44,8.56,3.0,258600
12/04/1990,8.69,9.0,8.69,9.0,3.15,400800
16/04/1990,9.12,9.19,8.88,9.06,3.17,195600
17/04/1990,9.12,9.44,9.06,9.38,3.28,65200
18/04/1990,9.25,9.5,9.19,9.44,3.3,190400
