Date,Open,High,Low,Close,Adj Close,Volume
17/11/1995,8.12,8.72,8.09,8.62,6.46,35659200
20/11/1995,8.59,8.81,8.19,8.31,6.23,8434000
21/11/1995,8.25,8.28,7.94,8.16,6.11,6440000
22/11/1995,8.12,8.53,8.12,8.41,6.3,3480800
24/11/1995,8.47,8.72,8.44,8.72,6.53,1279200
27/11/1995,8.72,8.91,8.62,8.75,6.55,2403200
28/11/1995,8.75,8.78,8.5,8.62,6.46,1054800
29/11/1995,8.59,8.97,8.56,8.75,6.55,1331200
30/11/1995,8.84,9.19,8.81,9.09,6.81,2426000
01/12/1995,9.09,9.12,8.94,9.0,6.74,978400
04/12/1995,9.03,9.09,8.84,8.91,6.67,594000
05/12/1995,8.91,8.91,8.62,8.78,6.58,1148800
06/12/1995,8.75,9.0,8.75,8.81,6.6,1216000
07/12/1995,8.88,8.91,8.69,8.75,6.55,641200
08/12/1995,8.72,8.97,8.62,8.97,6.72,668800
11/12/1995,9.0,9.09,8.97,9.09,6.81,660000
12/12/1995,9.03,9.06,8.72,8.75,6.55,971600
13/12/1995,8.81,8.81,8.53,8.69,6.51,528400
14/12/1995,8.72,8.72,8.44,8.44,6.32,639200
15/12/1995,8.5,8.56,8.34,8.38,6.27,1366400
18/12/1995,8.38,8.41,8.25,8.28,6.2,741600
19/12/1995,8.25,8.53,8.22,8.44,6.32,643600
20/12/1995,8.47,8.69,8.47,8.62,6.46,360400
21/12/1995,8.59,8.78,8.56,8.69,6.51,301600
22/12/1995,8.72,8.75,8.62,8.75,6.55,208400
26/12/1995,8.72,8.72,8.5,8.53,6.39,240000
27/12/1995,8.62,8.84,8.62,8.84,6.62,351600
28/12/1995,8.88,8.91,8.78,8.81,6.6,344400
29/12/1995,8.78,8.84,8.66,8.72,6.53,219200
02/01/1996,8.72,8.78,8.66,8.75,6.55,169200
03/01/1996,8.78,8.94,8.66,8.72,6.53,682000
04/01/1996,8.75,8.81,8.53,8.66,6.48,414800
05/01/1996,8.53,8.59,8.28,8.44,6.32,773600
08/01/1996,8.44,8.47,8.38,8.47,6.34,48800
09/01/1996,8.5,8.5,8.38,8.38,6.27,864000
10/01/1996,8.28,8.38,8.12,8.28,6.2,458400
11/01/1996,8.31,8.56,8.31,8.47,6.34,477600
12/01/1996,8.44,8.69,8.41,8.69,6.51,338400
15/01/1996,8.69,8.75,8.62,8.66,6.48,580800
16/01/1996,8.59,8.59,8.22,8.44,6.32,512800
17/01/1996,8.31,8.38,8.12,8.38,6.27,126400
18/01/1996,8.28,8.34,8.03,8.16,6.11,696000
19/01/1996,8.16,8.19,8.06,8.09,6.06,792800
22/01/1996,8.09,8.47,8.09,8.31,6.23,568800
23/01/1996,8.25,8.28,8.16,8.16,6.11,798400
24/01/1996,8.12,8.28,8.12,8.28,6.2,776400
25/01/1996,8.25,8.56,8.25,8.56,6.41,1303200
26/01/1996,8.56,8.59,8.5,8.56,6.41,634800
29/01/1996,8.59,8.59,8.38,8.44,6.32,652000
30/01/1996,8.44,9.41,8.38,9.25,6.93,2810800
31/01/1996,9.19,9.53,9.12,9.22,6.91,1136400
01/02/1996,9.19,9.22,8.84,9.03,6.76,516800
02/02/1996,9.09,9.31,9.09,9.25,6.93,702400
05/02/1996,9.31,9.47,9.25,9.41,7.05,756400
06/02/1996,9.41,9.56,9.38,9.47,7.09,455200
07/02/1996,9.53,9.84,9.5,9.78,7.33,650800
08/02/1996,9.75,9.81,9.53,9.56,7.16,571600
09/02/1996,9.62,9.62,9.47,9.59,7.19,520800
12/02/1996,9.53,9.56,9.25,9.34,7.0,619200
13/02/1996,9.25,9.28,9.12,9.19,6.88,204400
14/02/1996,9.22,9.44,9.16,9.16,6.86,410000
15/02/1996,9.28,9.44,9.28,9.34,7.0,348800
16/02/1996,9.34,9.34,9.16,9.19,6.88,322400
20/02/1996,9.06,9.19,8.94,9.06,6.79,633200
21/02/1996,9.09,9.22,9.09,9.12,6.84,497600
22/02/1996,9.12,9.12,8.78,9.09,6.81,1184000
23/02/1996,9.12,9.34,9.09,9.31,6.98,532400
26/02/1996,9.31,9.34,9.19,9.25,6.93,359600
27/02/1996,9.31,9.38,9.12,9.16,6.86,1742400
28/02/1996,9.19,9.25,9.19,9.22,6.91,921600
29/02/1996,9.22,9.38,9.12,9.16,6.86,812400
01/03/1996,9.28,9.53,9.22,9.47,7.09,605600
04/03/1996,9.5,9.5,9.31,9.38,7.02,650800
05/03/1996,9.31,9.47,9.28,9.41,7.05,511200
06/03/1996,9.44,9.47,9.31,9.31,6.98,445600
07/03/1996,9.28,9.34,9.2,9.22,6.91,547600
08/03/1996,9.06,9.22,8.84,9.0,6.74,625200
11/03/1996,9.0,9.0,8.84,8.88,6.65,217200
12/03/1996,8.91,8.91,8.41,8.66,6.48,598000
13/03/1996,8.69,8.94,8.59,8.91,6.69,335600
14/03/1996,8.91,8.97,8.84,8.91,6.69,273600
15/03/1996,8.97,8.97,8.62,8.72,6.55,371600
18/03/1996,8.75,8.97,8.75,8.97,6.73,257600
19/03/1996,8.97,8.97,8.75,8.91,6.69,276800
20/03/1996,8.88,8.91,8.66,8.72,6.55,236400
21/03/1996,8.72,8.72,8.59,8.66,6.5,520000
22/03/1996,8.66,8.66,8.59,8.66,6.5,198000
25/03/1996,8.81,8.81,8.72,8.78,6.59,284000
26/03/1996,8.81,9.22,8.78,9.0,6.76,327200
27/03/1996,9.06,9.19,9.03,9.09,6.83,275600
28/03/1996,9.16,9.22,9.06,9.09,6.83,236800
29/03/1996,9.09,9.12,8.91,8.94,6.71,280800
01/04/1996,8.97,9.09,8.84,9.09,6.83,214800
02/04/1996,9.03,9.09,8.88,8.91,6.69,640400
03/04/1996,8.84,8.84,8.69,8.78,6.59,164400
04/04/1996,8.84,8.84,8.69,8.78,6.59,82400
08/04/1996,8.66,8.69,8.59,8.69,6.52,186000
09/04/1996,8.72,8.72,8.66,8.69,6.52,285200
10/04/1996,8.69,8.69,8.56,8.66,6.5,228000
11/04/1996,8.69,8.72,8.62,8.66,6.5,222400
12/04/1996,8.62,8.75,8.62,8.75,6.57,238400
15/04/1996,8.78,8.94,8.75,8.84,6.64,185600
16/04/1996,8.78,8.88,8.75,8.88,6.66,159600
