Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.12,3.12,3.03,3.05,2.04,194400
03/01/1990,3.06,3.06,3.03,3.03,2.03,361600
04/01/1990,3.03,3.06,2.95,2.95,1.98,166400
05/01/1990,2.94,2.94,2.86,2.91,1.95,100800
08/01/1990,2.88,2.89,2.84,2.86,1.91,880800
09/01/1990,2.83,2.84,2.81,2.81,1.88,282400
10/01/1990,2.77,2.77,2.69,2.7,1.81,784000
11/01/1990,2.72,2.77,2.7,2.75,1.84,347200
12/01/1990,2.72,2.73,2.69,2.72,1.82,159200
15/01/1990,2.73,2.73,2.72,2.72,1.82,25600
16/01/1990,2.69,2.7,2.62,2.7,1.81,172800
17/01/1990,2.72,2.81,2.72,2.72,1.82,216000
18/01/1990,2.69,2.72,2.69,2.7,1.81,157600
19/01/1990,2.73,2.75,2.73,2.75,1.84,8800
22/01/1990,2.73,2.75,2.72,2.73,1.83,56800
23/01/1990,2.77,2.77,2.73,2.75,1.84,101600
24/01/1990,2.73,2.73,2.69,2.69,1.8,26400
25/01/1990,2.69,2.72,2.67,2.72,1.82,249600
26/01/1990,2.7,2.72,2.67,2.67,1.79,45600
29/01/1990,2.69,2.69,2.62,2.64,1.77,444000
30/01/1990,2.62,2.66,2.58,2.66,1.78,548000
31/01/1990,2.69,2.86,2.69,2.86,1.92,757600
01/02/1990,2.88,2.88,2.84,2.86,1.92,149600
02/02/1990,2.88,2.91,2.88,2.88,1.93,720000
05/02/1990,2.91,2.91,2.88,2.88,1.93,163200
06/02/1990,2.88,2.91,2.84,2.89,1.94,99200
07/02/1990,2.91,2.94,2.91,2.94,1.97,32800
08/02/1990,2.97,3.12,2.97,3.05,2.04,346400
09/02/1990,3.08,3.12,2.97,3.0,2.01,179200
12/02/1990,3.0,3.0,2.91,2.91,1.95,28000
13/02/1990,2.94,2.95,2.94,2.95,1.98,26400
14/02/1990,2.95,2.97,2.94,2.94,1.97,32800
15/02/1990,2.95,2.97,2.95,2.95,1.98,152000
