Date,Open,High,Low,Close,Adj Close,Volume
08/02/2012,13.75,15.05,13.25,14.0,14.0,3336200
09/02/2012,14.17,14.22,13.75,13.91,13.91,580500
10/02/2012,14.0,14.03,13.77,13.96,13.96,336300
13/02/2012,13.91,14.42,13.63,13.65,13.65,175900
14/02/2012,13.6,13.79,13.3,13.44,13.44,122200
15/02/2012,13.5,14.07,13.3,13.4,13.4,175000
16/02/2012,13.4,13.7,13.4,13.54,13.54,71200
17/02/2012,13.61,13.99,13.5,13.58,13.58,142800
21/02/2012,13.61,14.34,13.56,13.71,13.71,248700
22/02/2012,13.99,14.22,13.75,13.96,13.96,274900
23/02/2012,13.97,14.0,13.84,13.94,13.94,82500
24/02/2012,13.93,13.93,13.55,13.71,13.71,120000
27/02/2012,13.65,13.84,13.63,13.66,13.66,235300
28/02/2012,13.75,13.84,13.75,13.83,13.83,68000
29/02/2012,13.88,14.15,13.85,14.13,14.13,68100
01/03/2012,14.15,15.35,14.1,15.0,15.0,610100
02/03/2012,15.07,15.7,14.97,15.14,15.14,237700
05/03/2012,15.07,15.15,14.78,15.09,15.09,184900
06/03/2012,14.98,15.27,14.84,15.0,15.0,130600
07/03/2012,15.04,15.34,15.04,15.23,15.23,110100
08/03/2012,14.54,15.53,14.45,15.23,15.23,120600
09/03/2012,15.18,15.59,15.08,15.32,15.32,166200
12/03/2012,14.95,15.4,14.95,15.14,15.14,91300
13/03/2012,15.14,16.48,15.07,15.78,15.78,316600
14/03/2012,15.67,16.35,15.67,16.2,16.2,160300
15/03/2012,16.18,17.13,16.18,17.0,17.0,228800
16/03/2012,16.91,17.26,16.2,16.8,16.8,326100
19/03/2012,17.12,17.92,16.9,17.41,17.41,297800
20/03/2012,17.44,17.5,16.9,17.41,17.41,96800
21/03/2012,17.5,17.75,17.24,17.38,17.38,211000
22/03/2012,17.18,17.32,16.44,16.6,16.6,99200
23/03/2012,16.56,17.35,16.56,17.1,17.1,227600
26/03/2012,17.31,17.38,16.75,16.98,16.98,144100
27/03/2012,17.75,21.25,17.58,21.11,21.11,1373200
28/03/2012,21.0,21.05,18.99,20.0,20.0,851100
29/03/2012,19.73,20.8,19.0,20.1,20.1,544900
30/03/2012,20.29,20.7,19.75,20.52,20.52,408500
02/04/2012,20.39,21.99,20.39,21.71,21.71,440500
03/04/2012,21.52,22.23,21.11,22.2,22.2,212200
04/04/2012,21.79,21.87,20.56,21.15,21.15,193400
05/04/2012,21.03,21.4,20.61,20.96,20.96,102100
09/04/2012,20.58,21.43,19.76,21.27,21.27,97000
10/04/2012,21.14,22.07,21.06,21.8,21.8,204500
11/04/2012,21.93,23.62,21.78,22.59,22.59,199800
12/04/2012,22.67,23.53,22.35,23.25,23.25,93500
13/04/2012,23.12,23.12,22.45,22.65,22.65,100000
16/04/2012,22.87,23.21,20.91,21.2,21.2,146400
17/04/2012,21.28,21.28,19.97,20.26,20.26,135000
18/04/2012,20.14,21.11,19.8,20.18,20.18,138800
19/04/2012,20.25,20.71,19.77,20.39,20.39,78200
20/04/2012,20.56,20.92,20.01,20.04,20.04,107500
23/04/2012,19.63,20.6,19.08,20.17,20.17,135900
24/04/2012,20.24,21.27,19.38,19.78,19.78,194300
25/04/2012,20.0,20.18,19.38,19.84,19.84,76700
26/04/2012,19.88,20.24,19.76,20.05,20.05,124700
27/04/2012,20.1,20.82,19.85,20.09,20.09,176400
