Date,Open,High,Low,Close,Adj Close,Volume
12/08/1993,14.5,14.5,13.69,14.31,2.86,13086600
13/08/1993,14.25,14.25,13.88,13.88,2.77,1277800
16/08/1993,13.88,14.0,13.81,14.0,2.8,559000
17/08/1993,14.0,14.12,13.94,14.06,2.81,545600
18/08/1993,14.06,14.06,14.06,14.06,2.81,469200
19/08/1993,14.06,14.06,13.81,13.81,2.76,409400
20/08/1993,13.88,14.06,13.88,13.94,2.79,540800
23/08/1993,13.94,14.06,13.88,14.0,2.8,335600
24/08/1993,14.0,14.19,14.0,14.19,2.84,234400
25/08/1993,14.06,14.06,14.0,14.0,2.8,102600
26/08/1993,14.0,14.31,14.0,14.31,2.86,180400
27/08/1993,14.31,14.31,14.06,14.12,2.82,119600
30/08/1993,14.06,14.25,14.06,14.12,2.82,71400
31/08/1993,14.12,14.44,14.12,14.38,2.87,147000
01/09/1993,14.44,14.5,14.31,14.31,2.86,141600
02/09/1993,14.5,14.5,14.38,14.5,2.9,217600
03/09/1993,14.44,14.81,14.44,14.62,2.92,178800
07/09/1993,14.56,14.81,14.56,14.69,2.94,167600
08/09/1993,14.81,14.88,14.5,14.5,2.9,276200
09/09/1993,14.5,14.88,14.5,14.62,2.92,74400
10/09/1993,14.56,15.25,14.56,15.12,3.02,245000
13/09/1993,14.94,15.0,14.88,15.0,3.0,251200
14/09/1993,14.75,14.81,14.56,14.75,2.95,127000
15/09/1993,14.75,14.75,14.56,14.75,2.95,162400
16/09/1993,14.88,14.88,14.69,14.88,2.97,88800
17/09/1993,14.81,15.06,14.75,15.06,3.01,113000
20/09/1993,14.81,14.94,14.75,14.75,2.97,15400
21/09/1993,14.88,14.88,14.69,14.81,2.98,286000
22/09/1993,14.75,14.94,14.69,14.94,3.01,54800
23/09/1993,14.88,14.88,14.69,14.81,2.98,51000
24/09/1993,14.75,15.06,14.75,15.06,3.03,265000
27/09/1993,15.06,15.75,15.06,15.69,3.16,675400
28/09/1993,15.62,15.81,15.5,15.75,3.17,360800
29/09/1993,15.75,16.12,15.75,15.75,3.17,823200
30/09/1993,15.69,15.75,15.5,15.56,3.13,138000
01/10/1993,15.56,15.75,15.56,15.56,3.13,31600
04/10/1993,15.5,15.5,15.12,15.25,3.07,27600
05/10/1993,15.25,15.44,15.19,15.25,3.07,87600
06/10/1993,15.12,15.56,15.12,15.5,3.12,327600
07/10/1993,15.38,15.75,15.38,15.56,3.13,40400
08/10/1993,15.69,17.5,15.69,17.12,3.45,1242600
11/10/1993,17.0,17.25,17.0,17.0,3.42,885200
12/10/1993,17.0,18.25,17.0,18.0,3.62,708200
13/10/1993,18.12,18.12,17.75,17.75,3.57,55600
14/10/1993,17.75,17.75,17.75,17.75,3.57,55000
15/10/1993,17.75,18.38,17.75,18.12,3.65,200600
18/10/1993,18.06,18.31,17.75,18.06,3.63,47200
19/10/1993,17.94,17.94,17.5,17.5,3.52,173400
20/10/1993,17.5,17.56,17.06,17.44,3.51,141600
21/10/1993,17.31,17.31,17.19,17.25,3.47,32200
22/10/1993,17.19,17.75,17.19,17.5,3.52,161000
25/10/1993,17.44,17.62,17.12,17.38,3.5,48000
26/10/1993,17.12,17.12,16.94,16.94,3.41,27000
27/10/1993,16.75,16.81,16.69,16.75,3.37,122400
28/10/1993,16.75,17.0,16.5,17.0,3.42,75400
29/10/1993,17.12,17.31,17.0,17.31,3.48,224400
01/11/1993,17.25,17.38,17.19,17.38,3.5,24400
02/11/1993,17.25,17.38,17.19,17.31,3.48,68800
03/11/1993,17.31,17.5,17.25,17.5,3.52,233600
04/11/1993,17.44,17.44,16.88,16.88,3.4,267400
05/11/1993,16.88,17.5,16.88,17.38,3.5,333200
08/11/1993,17.5,17.94,17.38,17.94,3.61,164600
09/11/1993,18.12,18.25,17.94,17.94,3.61,192800
10/11/1993,17.81,17.81,17.62,17.62,3.55,6800
11/11/1993,17.5,17.5,17.19,17.38,3.5,95800
12/11/1993,17.5,17.5,17.38,17.44,3.51,70400
15/11/1993,17.31,17.31,16.75,17.25,3.47,138000
16/11/1993,17.19,17.19,16.88,16.94,3.41,12200
17/11/1993,16.81,16.88,16.31,16.44,3.31,190800
18/11/1993,16.25,16.31,15.56,15.75,3.17,310600
19/11/1993,15.75,15.81,15.56,15.75,3.17,180200
22/11/1993,15.69,15.69,15.62,15.69,3.16,52200
23/11/1993,15.69,15.75,15.5,15.56,3.13,163200
24/11/1993,15.44,15.69,15.38,15.56,3.13,289200
26/11/1993,15.56,15.56,15.5,15.5,3.12,19000
29/11/1993,15.62,15.75,15.44,15.5,3.12,96400
30/11/1993,15.44,16.25,15.44,16.25,3.27,162600
01/12/1993,16.12,16.12,15.62,15.81,3.18,117600
02/12/1993,15.62,15.62,15.44,15.62,3.19,28200
03/12/1993,15.5,15.5,15.31,15.5,3.17,34800
06/12/1993,15.31,15.69,15.31,15.69,3.2,191800
07/12/1993,15.69,15.75,15.5,15.75,3.22,22600
08/12/1993,15.75,15.75,15.5,15.5,3.17,27000
09/12/1993,15.5,15.69,15.5,15.56,3.18,52400
10/12/1993,15.69,15.69,15.5,15.62,3.19,146000
13/12/1993,15.69,15.69,15.5,15.62,3.19,257200
14/12/1993,15.62,15.62,14.88,14.88,3.04,168800
15/12/1993,14.75,15.5,14.56,15.5,3.17,409600
16/12/1993,15.5,16.12,15.5,15.75,3.22,119800
17/12/1993,15.88,15.88,15.62,15.62,3.19,59400
20/12/1993,15.62,15.75,15.56,15.62,3.19,54600
21/12/1993,15.75,15.75,15.25,15.38,3.14,239000
22/12/1993,15.5,15.56,15.5,15.5,3.17,16600
23/12/1993,15.56,15.75,15.5,15.5,3.17,51000
27/12/1993,15.5,15.5,15.5,15.5,3.17,50000
28/12/1993,15.62,15.94,15.62,15.94,3.26,239000
29/12/1993,15.88,15.94,15.75,15.81,3.23,394600
30/12/1993,15.75,15.75,15.5,15.75,3.22,160000
31/12/1993,15.81,15.94,15.56,15.94,3.26,56000
03/01/1994,15.81,15.81,15.25,15.25,3.12,82200
04/01/1994,15.38,15.5,15.38,15.44,3.15,269000
05/01/1994,15.44,15.44,14.94,15.0,3.06,48000
06/01/1994,15.0,15.0,14.88,14.94,3.05,56200
07/01/1994,14.88,14.88,14.31,14.44,2.95,235600
10/01/1994,14.44,14.56,14.44,14.5,2.96,136400
