Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,6.16,6.18,6.13,6.18,2.11,629711
03/01/1990,6.16,6.17,6.11,6.16,2.1,516307
04/01/1990,6.14,6.17,6.07,6.07,2.08,449925
05/01/1990,6.02,6.06,6.01,6.06,2.07,454535
08/01/1990,6.06,6.11,6.05,6.1,2.08,451769
09/01/1990,6.07,6.1,6.01,6.01,2.05,364181
10/01/1990,6.01,6.06,5.99,5.99,2.05,531059
11/01/1990,5.99,6.01,5.94,5.94,2.03,624179
12/01/1990,5.86,5.88,5.69,5.75,1.96,239714
15/01/1990,5.69,5.78,5.64,5.75,1.96,505244
16/01/1990,5.72,5.79,5.72,5.79,1.98,308863
17/01/1990,5.76,5.8,5.69,5.75,1.96,303331
18/01/1990,5.73,5.8,5.73,5.79,1.98,858361
19/01/1990,5.79,5.79,5.67,5.67,1.94,318082
22/01/1990,5.68,5.69,5.56,5.56,1.9,359571
23/01/1990,5.56,5.57,5.48,5.48,1.87,573470
24/01/1990,5.42,5.48,5.4,5.48,1.87,1784027
25/01/1990,5.5,5.5,5.45,5.48,1.87,663824
26/01/1990,5.45,5.59,5.44,5.59,1.91,713611
29/01/1990,5.61,5.72,5.59,5.68,1.94,240636
30/01/1990,5.63,5.72,5.6,5.71,1.97,478506
31/01/1990,5.69,5.75,5.69,5.75,1.98,437939
01/02/1990,5.75,5.75,5.69,5.71,1.97,1110061
02/02/1990,5.67,5.69,5.63,5.68,1.96,293189
05/02/1990,5.64,5.65,5.53,5.56,1.92,930275
06/02/1990,5.53,5.59,5.5,5.5,1.9,1784027
07/02/1990,5.48,5.55,5.46,5.53,1.91,1630056
08/02/1990,5.53,5.55,5.53,5.55,1.91,772617
09/02/1990,5.53,5.57,5.53,5.53,1.91,593754
12/02/1990,5.53,5.55,5.5,5.5,1.9,668434
13/02/1990,5.45,5.52,5.45,5.49,1.89,629711
14/02/1990,5.52,5.56,5.5,5.56,1.92,153048
15/02/1990,5.56,5.57,5.53,5.56,1.92,306097
16/02/1990,5.55,5.55,5.42,5.49,1.89,507088
20/02/1990,5.42,5.45,5.4,5.45,1.88,186239
21/02/1990,5.42,5.56,5.42,5.55,1.91,743114
22/02/1990,5.55,5.56,5.48,5.48,1.89,624179
23/02/1990,5.48,5.48,5.42,5.45,1.88,677654
26/02/1990,5.45,5.45,5.4,5.4,1.86,1234528
27/02/1990,5.45,5.45,5.41,5.44,1.88,1280627
28/02/1990,5.44,5.55,5.44,5.55,1.91,2407284
01/03/1990,5.53,5.56,5.53,5.53,1.91,676732
02/03/1990,5.55,5.57,5.53,5.55,1.91,1009566
05/03/1990,5.55,5.6,5.53,5.55,1.91,1695517
06/03/1990,5.57,5.57,5.53,5.56,1.92,2644232
07/03/1990,5.57,5.65,5.57,5.64,1.95,567938
08/03/1990,5.64,5.91,5.64,5.86,2.02,886942
09/03/1990,5.83,5.91,5.83,5.88,2.03,460989
12/03/1990,5.88,6.05,5.86,6.02,2.08,775383
13/03/1990,5.99,6.1,5.98,6.07,2.1,1096231
14/03/1990,6.05,6.05,5.97,5.98,2.06,297799
15/03/1990,5.99,6.02,5.97,5.99,2.07,685951
16/03/1990,6.05,6.05,5.97,5.99,2.07,658292
19/03/1990,5.98,5.99,5.97,5.98,2.06,342976
20/03/1990,5.99,6.05,5.98,5.99,2.07,188083
21/03/1990,5.98,6.06,5.98,6.02,2.08,332834
22/03/1990,6.03,6.09,6.02,6.03,2.08,521839
23/03/1990,6.02,6.03,6.01,6.02,2.08,221275
26/03/1990,6.05,6.07,6.05,6.05,2.09,448081
27/03/1990,6.05,6.13,6.03,6.11,2.11,221275
