Date,Open,High,Low,Close,Adj Close,Volume
27/03/2000,1.27,1.39,1.27,1.38,1.38,11026800
28/03/2000,1.38,1.38,1.33,1.34,1.34,3232800
29/03/2000,1.33,1.34,1.32,1.33,1.33,1311600
30/03/2000,1.33,1.33,1.28,1.28,1.28,5650800
31/03/2000,1.24,1.24,1.13,1.13,1.13,23794800
03/04/2000,1.17,1.23,1.15,1.15,1.15,34460400
04/04/2000,1.18,1.19,1.03,1.17,1.17,39410400
05/04/2000,1.16,1.19,1.15,1.16,1.16,19048800
06/04/2000,1.17,1.2,1.16,1.19,1.19,21543600
07/04/2000,1.2,1.27,1.2,1.2,1.2,41714400
10/04/2000,1.23,1.25,1.21,1.21,1.21,15842400
11/04/2000,1.19,1.22,1.19,1.19,1.19,19770000
12/04/2000,1.18,1.21,1.18,1.19,1.19,25639200
13/04/2000,1.19,1.22,1.19,1.2,1.2,20623200
14/04/2000,1.2,1.21,1.18,1.2,1.2,7878000
17/04/2000,1.19,1.2,1.17,1.19,1.19,8976000
18/04/2000,1.2,1.21,1.16,1.17,1.17,8688000
19/04/2000,1.19,1.22,1.19,1.2,1.2,13987200
20/04/2000,1.19,1.23,1.19,1.22,1.22,13676400
24/04/2000,1.2,1.22,1.18,1.19,1.19,11445600
25/04/2000,1.19,1.26,1.16,1.26,1.26,13906800
26/04/2000,1.26,1.38,1.25,1.28,1.28,15963600
27/04/2000,1.26,1.26,1.21,1.23,1.23,12255600
28/04/2000,1.23,1.25,1.21,1.25,1.25,10617600
01/05/2000,1.25,1.25,1.2,1.23,1.23,12930000
02/05/2000,1.22,1.23,1.2,1.21,1.21,8053200
03/05/2000,1.18,1.21,1.17,1.19,1.19,12493200
04/05/2000,1.2,1.23,1.19,1.23,1.23,10831200
05/05/2000,1.24,1.28,1.24,1.26,1.26,5132400
08/05/2000,1.28,1.3,1.27,1.27,1.27,4306800
09/05/2000,1.29,1.29,1.25,1.25,1.25,4030800
10/05/2000,1.25,1.28,1.24,1.27,1.27,2325600
11/05/2000,1.27,1.29,1.23,1.24,1.24,6861600
12/05/2000,1.24,1.31,1.24,1.31,1.31,2305200
15/05/2000,1.29,1.41,1.29,1.36,1.36,3985200
16/05/2000,1.38,1.41,1.36,1.38,1.38,3790800
17/05/2000,1.38,1.38,1.32,1.33,1.33,7551600
18/05/2000,1.33,1.34,1.29,1.3,1.3,6236400
19/05/2000,1.3,1.3,1.28,1.28,1.28,1891200
22/05/2000,1.29,1.31,1.28,1.3,1.3,1888800
23/05/2000,1.29,1.33,1.29,1.3,1.3,2601600
24/05/2000,1.3,1.4,1.3,1.37,1.37,6796800
25/05/2000,1.36,1.47,1.36,1.44,1.44,9045600
26/05/2000,1.45,1.51,1.44,1.5,1.5,6882000
30/05/2000,1.5,1.65,1.5,1.65,1.65,11426400
31/05/2000,1.65,1.72,1.65,1.69,1.69,9780000
01/06/2000,1.67,1.69,1.61,1.66,1.66,4317600
02/06/2000,1.66,1.68,1.55,1.6,1.6,3984000
05/06/2000,1.58,1.58,1.51,1.51,1.51,6038400
06/06/2000,1.52,1.52,1.4,1.43,1.43,11726400
07/06/2000,1.46,1.55,1.46,1.54,1.54,7087200
08/06/2000,1.52,1.54,1.52,1.54,1.54,4168800
09/06/2000,1.53,1.58,1.53,1.54,1.54,3777600
12/06/2000,1.55,1.58,1.53,1.55,1.55,2486400
13/06/2000,1.54,1.55,1.52,1.53,1.53,2751600
14/06/2000,1.55,1.55,1.52,1.54,1.54,4534800
15/06/2000,1.54,1.55,1.53,1.53,1.53,2157600
16/06/2000,1.53,1.54,1.49,1.5,1.5,3186000
19/06/2000,1.46,1.53,1.46,1.51,1.51,4202400
20/06/2000,1.5,1.51,1.47,1.48,1.48,5400000
21/06/2000,1.49,1.58,1.48,1.58,1.58,3040800
22/06/2000,1.56,1.72,1.53,1.62,1.62,4728000
23/06/2000,1.63,1.69,1.63,1.66,1.66,9175200
26/06/2000,1.67,1.69,1.6,1.66,1.66,6289200
27/06/2000,1.66,1.67,1.56,1.59,1.59,6909600
28/06/2000,1.56,1.71,1.51,1.7,1.7,5900400
29/06/2000,1.71,1.75,1.69,1.69,1.69,4351200
30/06/2000,1.69,1.71,1.54,1.54,1.54,11492400
03/07/2000,1.57,1.73,1.57,1.71,1.71,3105600
05/07/2000,1.71,1.73,1.64,1.64,1.64,1996800
06/07/2000,1.65,1.7,1.65,1.69,1.69,1980000
07/07/2000,1.71,1.72,1.67,1.71,1.71,3145200
10/07/2000,1.71,1.78,1.71,1.77,1.77,5170800
11/07/2000,1.79,1.86,1.78,1.83,1.83,6969600
12/07/2000,1.85,1.94,1.82,1.84,1.84,3907200
13/07/2000,1.83,1.98,1.83,1.94,1.94,6889200
14/07/2000,1.96,1.96,1.89,1.91,1.91,4441200
17/07/2000,1.93,1.94,1.88,1.9,1.9,3199200
18/07/2000,1.94,2.0,1.94,1.99,1.99,5367600
19/07/2000,2.01,2.12,2.0,2.02,2.02,5704800
20/07/2000,2.03,2.04,1.98,2.01,2.01,2203200
21/07/2000,1.99,2.08,1.97,2.07,2.07,4594800
24/07/2000,2.08,2.08,2.04,2.06,2.06,2688000
25/07/2000,2.06,2.08,2.04,2.04,2.04,2793600
26/07/2000,2.04,2.04,1.97,1.99,1.99,2577600
27/07/2000,1.97,1.99,1.91,1.96,1.96,2414400
28/07/2000,1.95,1.96,1.91,1.92,1.92,1878000
31/07/2000,1.92,1.94,1.8,1.82,1.82,3301200
01/08/2000,1.81,1.89,1.81,1.89,1.89,2619600
02/08/2000,1.89,1.92,1.89,1.9,1.9,5104800
