Date,Open,High,Low,Close,Adj Close,Volume
12/10/2012,17.82,18.28,17.5,17.5,14.29,6467100
15/10/2012,17.55,17.83,17.5,17.75,14.5,633100
16/10/2012,17.57,17.95,17.25,17.79,14.53,180300
17/10/2012,17.7,18.07,17.5,17.7,14.46,121000
18/10/2012,17.6,17.87,17.52,17.7,14.46,146100
19/10/2012,17.72,17.8,17.41,17.41,14.22,298100
22/10/2012,17.5,17.51,16.93,17.03,13.91,359800
23/10/2012,16.85,17.3,16.75,17.13,13.99,166100
24/10/2012,16.92,17.47,16.92,17.39,14.2,158200
25/10/2012,17.98,17.98,16.25,17.03,13.91,206900
26/10/2012,17.51,17.51,16.6,17.14,14.0,199500
31/10/2012,16.5,17.03,16.5,17.03,13.91,36400
01/11/2012,17.1,17.48,16.51,17.23,14.07,203000
02/11/2012,16.99,17.23,16.56,17.0,13.89,72100
05/11/2012,16.79,17.0,16.5,16.71,13.65,33300
06/11/2012,16.52,17.48,16.09,17.01,13.89,370600
07/11/2012,16.75,17.4,16.75,17.06,13.94,155800
08/11/2012,16.29,17.27,16.29,16.75,13.68,141600
09/11/2012,16.33,16.94,16.33,16.55,13.52,209600
12/11/2012,16.46,16.55,16.36,16.5,13.48,12800
13/11/2012,16.52,16.76,15.97,16.04,13.1,47600
14/11/2012,15.97,16.47,15.65,16.05,13.11,123400
15/11/2012,16.38,17.26,15.71,16.7,13.64,367000
16/11/2012,16.91,17.69,16.27,16.82,13.74,104600
19/11/2012,16.85,17.25,16.5,17.12,13.98,77200
20/11/2012,17.14,17.29,16.83,17.13,13.99,251400
21/11/2012,17.12,17.48,16.85,17.2,14.05,33100
23/11/2012,17.25,17.55,17.06,17.32,14.15,94000
26/11/2012,17.3,17.42,17.06,17.26,14.1,77400
27/11/2012,17.07,17.33,16.93,17.23,14.07,55800
28/11/2012,17.45,17.49,16.98,17.25,14.09,94000
29/11/2012,17.46,18.35,17.2,18.16,14.83,164400
30/11/2012,18.44,18.48,17.77,18.0,14.7,44200
03/12/2012,18.01,18.5,17.39,18.1,14.78,47600
04/12/2012,18.23,18.23,17.41,17.83,14.56,30100
05/12/2012,17.58,18.1,17.58,17.98,14.69,33000
06/12/2012,17.76,17.78,17.32,17.62,14.39,41900
