Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,0.24,0.23,0.24,0.15,2022400
03/01/1990,0.0,0.24,0.24,0.24,0.15,1036800
04/01/1990,0.0,0.25,0.24,0.25,0.15,3366400
05/01/1990,0.0,0.25,0.24,0.24,0.15,2329600
08/01/1990,0.0,0.25,0.24,0.24,0.15,1587200
09/01/1990,0.0,0.24,0.24,0.24,0.15,2739200
10/01/1990,0.0,0.24,0.23,0.23,0.15,8883200
11/01/1990,0.0,0.24,0.23,0.24,0.15,332800
12/01/1990,0.0,0.24,0.23,0.23,0.14,4800000
15/01/1990,0.0,0.23,0.23,0.23,0.14,1100800
16/01/1990,0.0,0.22,0.22,0.22,0.14,857600
17/01/1990,0.0,0.23,0.22,0.23,0.14,3084800
18/01/1990,0.0,0.23,0.22,0.22,0.14,371200
19/01/1990,0.0,0.23,0.23,0.23,0.15,1254400
22/01/1990,0.0,0.24,0.23,0.23,0.15,3865600
23/01/1990,0.0,0.24,0.24,0.24,0.15,1894400
24/01/1990,0.0,0.24,0.24,0.24,0.15,2713600
25/01/1990,0.0,0.25,0.24,0.24,0.15,2432000
26/01/1990,0.0,0.24,0.23,0.23,0.14,5606400
29/01/1990,0.0,0.23,0.23,0.23,0.14,6156800
30/01/1990,0.0,0.23,0.22,0.23,0.14,2828800
31/01/1990,0.0,0.23,0.22,0.23,0.14,2342400
01/02/1990,0.0,0.23,0.22,0.23,0.14,998400
02/02/1990,0.0,0.23,0.23,0.23,0.14,652800
05/02/1990,0.0,0.23,0.22,0.23,0.14,652800
06/02/1990,0.0,0.23,0.22,0.23,0.15,755200
07/02/1990,0.0,0.24,0.23,0.23,0.15,1984000
08/02/1990,0.0,0.24,0.24,0.24,0.15,4211200
09/02/1990,0.0,0.25,0.24,0.25,0.16,5964800
12/02/1990,0.0,0.25,0.24,0.24,0.15,2969600
13/02/1990,0.0,0.25,0.24,0.24,0.15,153600
14/02/1990,0.0,0.25,0.24,0.25,0.16,230400
15/02/1990,0.0,0.25,0.24,0.24,0.15,4633600
16/02/1990,0.0,0.25,0.24,0.25,0.16,1011200
20/02/1990,0.0,0.25,0.24,0.24,0.15,819200
21/02/1990,0.0,0.25,0.24,0.25,0.16,665600
22/02/1990,0.0,0.27,0.25,0.26,0.17,6860800
23/02/1990,0.0,0.26,0.26,0.26,0.16,1459200
26/02/1990,0.0,0.26,0.25,0.26,0.16,4153600
27/02/1990,0.0,0.27,0.26,0.27,0.17,1971200
28/02/1990,0.0,0.27,0.26,0.27,0.17,6112000
01/03/1990,0.0,0.27,0.26,0.27,0.17,1836800
02/03/1990,0.0,0.27,0.26,0.27,0.17,550400
05/03/1990,0.0,0.28,0.27,0.28,0.17,1299200
06/03/1990,0.0,0.28,0.28,0.28,0.17,409600
07/03/1990,0.0,0.29,0.28,0.28,0.18,3635200
08/03/1990,0.0,0.29,0.28,0.28,0.18,9190400
09/03/1990,0.0,0.29,0.26,0.28,0.17,2406400
12/03/1990,0.0,0.28,0.27,0.27,0.17,857600
13/03/1990,0.0,0.29,0.27,0.28,0.17,2316800
14/03/1990,0.0,0.29,0.28,0.29,0.18,2771200
15/03/1990,0.0,0.29,0.28,0.29,0.18,1728000
16/03/1990,0.0,0.3,0.29,0.29,0.18,4217600
19/03/1990,0.0,0.3,0.29,0.29,0.18,2099200
20/03/1990,0.0,0.3,0.29,0.29,0.18,1625600
21/03/1990,0.0,0.3,0.29,0.3,0.19,1356800
22/03/1990,0.0,0.3,0.29,0.29,0.19,2489600
23/03/1990,0.0,0.3,0.3,0.3,0.19,1548800
26/03/1990,0.3,0.31,0.3,0.31,0.2,5344000
27/03/1990,0.31,0.32,0.31,0.31,0.2,3046400
28/03/1990,0.3,0.32,0.3,0.31,0.2,2515200
29/03/1990,0.32,0.32,0.31,0.31,0.2,6848000
30/03/1990,0.31,0.32,0.31,0.32,0.2,2163200
02/04/1990,0.31,0.32,0.3,0.32,0.2,806400
03/04/1990,0.32,0.33,0.31,0.33,0.21,3040000
04/04/1990,0.33,0.34,0.32,0.32,0.2,5286400
05/04/1990,0.33,0.33,0.32,0.33,0.21,1606400
06/04/1990,0.33,0.33,0.32,0.32,0.2,204800
09/04/1990,0.33,0.34,0.32,0.33,0.21,1875200
10/04/1990,0.33,0.34,0.33,0.34,0.21,1721600
11/04/1990,0.34,0.34,0.33,0.33,0.21,3462400
12/04/1990,0.34,0.34,0.33,0.34,0.21,1721600
16/04/1990,0.33,0.36,0.33,0.34,0.22,3859200
17/04/1990,0.35,0.36,0.34,0.34,0.22,5011200
18/04/1990,0.34,0.35,0.34,0.35,0.22,2336000
19/04/1990,0.34,0.35,0.34,0.35,0.22,640000
20/04/1990,0.34,0.35,0.33,0.34,0.21,11174400
23/04/1990,0.34,0.34,0.32,0.33,0.21,1433600
24/04/1990,0.33,0.34,0.33,0.33,0.21,2163200
25/04/1990,0.33,0.34,0.33,0.34,0.21,3084800
26/04/1990,0.34,0.34,0.34,0.34,0.22,3756800
27/04/1990,0.34,0.34,0.34,0.34,0.21,563200
30/04/1990,0.34,0.34,0.34,0.34,0.21,236800
01/05/1990,0.34,0.35,0.34,0.34,0.21,1964800
02/05/1990,0.35,0.35,0.34,0.35,0.22,3616000
03/05/1990,0.35,0.36,0.34,0.35,0.22,1708800
04/05/1990,0.35,0.36,0.35,0.36,0.22,800000
07/05/1990,0.36,0.37,0.35,0.36,0.23,5324800
08/05/1990,0.37,0.38,0.36,0.37,0.23,7513600
09/05/1990,0.36,0.37,0.36,0.37,0.23,1817600
10/05/1990,0.37,0.38,0.36,0.37,0.23,5792000
11/05/1990,0.38,0.4,0.37,0.39,0.24,6137600
14/05/1990,0.39,0.39,0.38,0.39,0.24,4723200
15/05/1990,0.39,0.39,0.39,0.39,0.25,915200
16/05/1990,0.39,0.39,0.39,0.39,0.25,928000
17/05/1990,0.39,0.4,0.39,0.39,0.25,832000
18/05/1990,0.4,0.4,0.39,0.39,0.25,1043200
21/05/1990,0.39,0.39,0.39,0.39,0.24,1580800
22/05/1990,0.39,0.39,0.39,0.39,0.25,268800
