Date,Open,High,Low,Close,Adj Close,Volume
10/07/1995,11.81,12.25,11.81,12.25,6.73,5438000
11/07/1995,12.56,12.56,12.38,12.5,6.86,4907000
12/07/1995,12.5,13.06,12.44,13.06,7.17,1055800
13/07/1995,13.0,13.12,12.94,13.06,7.17,1373600
14/07/1995,13.0,13.06,12.94,13.0,7.14,985600
17/07/1995,13.0,13.0,12.88,12.94,7.1,947600
18/07/1995,12.94,12.94,12.56,12.62,6.93,727400
19/07/1995,12.56,12.56,11.69,11.88,6.52,558200
20/07/1995,11.75,11.81,11.75,11.81,6.49,464600
21/07/1995,11.88,12.19,11.88,12.06,6.62,721200
24/07/1995,12.06,12.25,12.06,12.06,6.62,509000
25/07/1995,12.12,12.38,12.06,12.12,6.66,847000
26/07/1995,12.25,12.56,12.25,12.56,6.9,1584800
27/07/1995,12.5,12.88,12.5,12.88,7.07,2082600
28/07/1995,12.88,13.69,12.69,13.69,7.52,14640800
31/07/1995,13.62,13.62,13.25,13.5,7.41,2544600
01/08/1995,13.44,13.44,13.25,13.31,7.31,1956000
02/08/1995,13.31,13.31,12.62,12.69,6.97,2307600
03/08/1995,12.56,13.0,12.56,13.0,7.14,1762800
04/08/1995,12.88,12.94,12.5,12.69,6.97,903800
07/08/1995,12.62,12.62,12.44,12.56,6.9,837000
08/08/1995,12.5,12.56,12.44,12.44,6.83,729000
09/08/1995,12.44,12.44,12.19,12.25,6.73,586600
10/08/1995,12.25,12.56,12.25,12.38,6.8,1319400
11/08/1995,12.38,12.62,12.38,12.5,6.86,1152000
14/08/1995,12.5,12.5,12.12,12.25,6.73,379800
15/08/1995,12.25,12.38,12.25,12.31,6.76,349600
16/08/1995,12.44,12.5,12.31,12.38,6.8,440200
17/08/1995,12.38,12.56,12.31,12.56,6.9,410600
18/08/1995,12.56,12.56,12.19,12.25,6.73,598800
21/08/1995,12.31,12.44,12.12,12.12,6.66,440400
22/08/1995,12.19,12.25,11.88,12.0,6.59,444200
23/08/1995,12.06,12.06,11.56,11.81,6.49,193200
24/08/1995,11.81,11.81,11.56,11.62,6.38,1284000
25/08/1995,11.62,11.94,11.44,11.81,6.49,733400
28/08/1995,11.81,11.81,11.5,11.62,6.38,447600
29/08/1995,11.62,11.62,11.31,11.44,6.28,368600
30/08/1995,11.31,11.75,11.31,11.56,6.35,398000
31/08/1995,11.62,11.69,11.56,11.69,6.42,417400
01/09/1995,11.62,11.81,11.62,11.75,6.45,594600
05/09/1995,11.88,11.94,11.69,11.81,6.49,487600
06/09/1995,11.88,12.0,11.81,11.94,6.56,476400
07/09/1995,11.88,11.88,11.56,11.62,6.38,618000
08/09/1995,11.62,11.69,11.56,11.62,6.38,1015600
11/09/1995,11.62,12.0,11.56,11.88,6.52,279000
12/09/1995,11.88,12.0,11.69,12.0,6.59,290000
13/09/1995,12.19,12.44,12.19,12.19,6.69,325000
14/09/1995,12.19,12.25,12.06,12.25,6.73,491800
15/09/1995,12.38,12.44,12.25,12.38,6.8,1108600
18/09/1995,12.38,12.44,12.31,12.44,6.83,609400
19/09/1995,12.38,12.44,12.31,12.44,6.83,581600
20/09/1995,12.38,12.44,12.31,12.38,6.8,597600
21/09/1995,12.38,12.44,12.31,12.38,6.8,437400
22/09/1995,12.25,12.38,12.19,12.31,6.76,832200
25/09/1995,12.38,12.44,12.25,12.38,6.8,436400
26/09/1995,12.31,12.44,12.25,12.31,6.76,571000
27/09/1995,12.38,12.56,12.31,12.31,6.76,893200
28/09/1995,12.38,12.69,12.38,12.69,6.97,728200
29/09/1995,12.69,13.0,12.62,12.81,7.04,300800
02/10/1995,12.88,12.88,12.75,12.88,7.07,292800
03/10/1995,12.81,12.88,12.62,12.81,7.04,197600
04/10/1995,12.81,12.81,12.44,12.5,6.86,232000
05/10/1995,12.62,12.62,12.38,12.44,6.83,397000
06/10/1995,12.44,12.62,12.38,12.5,6.86,124400
