Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,11.62,12.12,11.62,12.03,10.01,2050400
03/01/1990,12.03,12.22,12.03,12.19,10.14,1594800
04/01/1990,12.0,12.09,11.81,12.09,10.07,744800
05/01/1990,11.94,12.06,11.78,11.78,9.8,586400
08/01/1990,11.69,11.84,11.62,11.81,9.83,1668400
09/01/1990,11.78,11.81,11.72,11.78,9.8,374400
10/01/1990,11.72,11.72,11.62,11.62,9.67,507200
11/01/1990,11.69,11.81,11.69,11.78,9.8,449200
12/01/1990,11.72,11.72,11.53,11.59,9.65,604400
15/01/1990,11.59,11.59,11.44,11.47,9.54,337600
16/01/1990,11.38,11.69,11.31,11.69,9.73,900000
17/01/1990,11.66,11.69,11.41,11.5,9.57,164800
18/01/1990,11.41,11.69,11.41,11.69,9.73,395600
19/01/1990,11.69,11.75,11.5,11.69,9.73,817200
22/01/1990,11.38,11.5,11.06,11.06,9.21,896800
23/01/1990,11.19,11.28,11.09,11.19,9.31,782000
24/01/1990,11.0,11.19,10.97,11.12,9.26,518000
25/01/1990,11.19,11.25,11.12,11.12,9.26,455200
26/01/1990,11.12,11.19,11.12,11.16,9.28,522800
29/01/1990,11.16,11.22,11.06,11.16,9.28,388800
30/01/1990,11.12,11.19,11.03,11.06,9.21,845200
31/01/1990,11.12,11.31,11.09,11.25,9.36,645200
01/02/1990,11.25,11.25,11.12,11.22,9.34,337200
02/02/1990,11.19,11.5,11.16,11.44,9.52,465600
05/02/1990,11.44,11.62,11.38,11.41,9.49,574000
06/02/1990,11.41,11.66,11.41,11.5,9.57,1093200
07/02/1990,11.41,11.44,11.34,11.38,9.47,1200000
08/02/1990,11.41,11.88,11.41,11.69,9.73,874000
09/02/1990,11.69,11.88,11.69,11.78,9.8,428000
12/02/1990,11.75,11.78,11.53,11.66,9.7,460000
13/02/1990,11.69,11.88,11.66,11.75,9.78,877200
14/02/1990,11.75,11.88,11.75,11.75,9.78,472800
15/02/1990,11.75,11.75,11.62,11.66,9.7,179200
16/02/1990,11.59,11.62,11.5,11.56,9.62,497600
20/02/1990,11.47,11.62,11.44,11.62,9.67,544400
21/02/1990,11.53,11.66,11.5,11.62,9.67,528400
22/02/1990,11.69,11.88,11.66,11.72,9.75,570400
23/02/1990,11.66,11.88,11.66,11.81,9.83,876800
26/02/1990,11.75,12.88,11.75,12.88,10.72,1674400
27/02/1990,12.5,12.78,12.38,12.66,10.53,1478000
28/02/1990,12.59,12.91,12.44,12.5,10.4,2512000
01/03/1990,12.44,12.72,12.44,12.5,10.4,778400
02/03/1990,12.5,12.72,12.47,12.53,10.43,896400
05/03/1990,12.5,12.59,12.47,12.5,10.4,555200
06/03/1990,12.44,13.06,12.44,13.06,10.87,530000
07/03/1990,13.06,13.5,13.03,13.19,10.98,1859600
08/03/1990,13.06,13.41,13.06,13.22,11.0,940400
09/03/1990,13.19,13.31,13.09,13.12,10.92,619600
12/03/1990,13.25,13.5,13.22,13.44,11.18,815600
13/03/1990,13.5,13.84,13.5,13.72,11.42,1012000
14/03/1990,13.78,13.78,13.62,13.62,11.34,698000
15/03/1990,13.53,13.53,13.19,13.22,11.0,780800
16/03/1990,13.28,13.47,13.12,13.47,11.21,849200
19/03/1990,13.38,13.94,13.38,13.75,11.44,1704800
20/03/1990,13.75,14.5,13.72,14.25,11.86,3502400
21/03/1990,14.09,14.12,13.81,13.81,11.5,1260800
22/03/1990,13.72,13.78,13.41,13.47,11.21,1323200
23/03/1990,13.66,13.88,13.62,13.81,11.5,1000000
26/03/1990,13.88,14.38,13.88,14.25,11.86,843200
27/03/1990,14.19,14.34,14.06,14.31,11.91,619600
28/03/1990,14.19,14.19,14.03,14.09,11.73,326000
29/03/1990,14.03,14.31,14.03,14.09,11.73,797200
30/03/1990,14.03,14.09,13.84,13.94,11.6,732400
02/04/1990,13.62,13.84,13.62,13.84,11.52,554000
03/04/1990,13.91,14.06,13.91,13.94,11.6,872000
04/04/1990,14.0,14.09,13.91,14.06,11.7,694400
05/04/1990,14.0,14.03,13.94,13.94,11.6,316400
06/04/1990,13.94,13.97,13.81,13.84,11.52,336400
