Date,Open,High,Low,Close,Adj Close,Volume
04/06/1999,5.12,7.92,5.06,7.44,7.44,7386600
07/06/1999,7.91,8.31,7.31,7.75,7.75,1234600
08/06/1999,7.81,10.19,7.75,9.84,9.84,1477200
09/06/1999,10.0,10.59,9.31,9.69,9.69,1332600
10/06/1999,9.69,9.84,8.5,8.59,8.59,545600
11/06/1999,8.62,8.69,7.94,8.0,8.0,446200
14/06/1999,7.97,8.0,7.25,7.62,7.62,503600
15/06/1999,7.44,8.06,7.44,7.75,7.75,384400
16/06/1999,7.88,8.94,7.81,8.34,8.34,135400
17/06/1999,8.44,10.41,8.38,10.03,10.03,814000
18/06/1999,10.25,11.06,9.28,9.31,9.31,428600
21/06/1999,9.94,10.88,9.5,9.75,9.75,410400
22/06/1999,10.25,10.25,9.62,9.88,9.88,207600
23/06/1999,9.75,9.81,9.12,9.31,9.31,337800
24/06/1999,9.22,9.31,8.56,9.0,9.0,198200
25/06/1999,9.0,11.69,8.84,11.31,11.31,1423000
28/06/1999,12.25,14.5,11.5,13.94,13.94,1403200
29/06/1999,14.03,18.25,12.88,15.75,15.75,2018200
30/06/1999,16.97,22.56,16.0,20.5,20.5,2313600
01/07/1999,21.88,23.0,19.0,19.25,19.25,1578400
02/07/1999,18.94,19.94,17.0,18.5,18.5,1060600
06/07/1999,18.38,21.31,18.06,20.78,20.78,736800
07/07/1999,21.0,21.5,18.75,19.75,19.75,587400
08/07/1999,20.62,22.0,20.25,21.97,21.97,672000
09/07/1999,22.41,25.94,22.0,25.38,25.38,1105600
12/07/1999,27.5,28.25,26.5,27.47,27.47,1173600
13/07/1999,27.25,27.31,23.75,25.34,25.34,697800
14/07/1999,26.25,27.62,26.19,26.72,26.72,339200
15/07/1999,28.5,37.0,27.81,35.62,35.62,2381000
16/07/1999,35.59,42.5,33.03,34.56,34.56,3667000
19/07/1999,36.0,36.38,32.75,34.5,34.5,1256000
20/07/1999,33.62,34.0,30.84,31.41,31.41,900400
21/07/1999,32.81,35.75,27.75,29.34,29.34,1656400
22/07/1999,31.0,31.56,28.0,30.41,30.41,918800
23/07/1999,30.41,30.62,28.75,29.44,29.44,419600
26/07/1999,29.03,29.22,25.12,25.75,25.75,683200
