Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,0.48,0.47,0.47,0.47,441956
03/01/1990,0.0,0.49,0.48,0.48,0.48,1325869
04/01/1990,0.0,0.5,0.48,0.49,0.49,665213
05/01/1990,0.0,0.5,0.49,0.5,0.5,441956
08/01/1990,0.0,0.5,0.49,0.5,0.5,391838
09/01/1990,0.0,0.51,0.49,0.5,0.5,7203431
10/01/1990,0.0,0.51,0.5,0.5,0.5,4050506
11/01/1990,0.0,0.51,0.5,0.5,0.5,1020600
12/01/1990,0.0,0.5,0.49,0.49,0.49,1899956
15/01/1990,0.0,0.5,0.49,0.49,0.49,464738
16/01/1990,0.0,0.5,0.49,0.49,0.49,255150
17/01/1990,0.0,0.5,0.49,0.49,0.49,2205225
18/01/1990,0.0,0.51,0.49,0.5,0.5,1476225
19/01/1990,0.0,0.51,0.5,0.5,0.5,3020794
22/01/1990,0.0,0.5,0.5,0.5,0.5,464738
23/01/1990,0.0,0.49,0.47,0.49,0.49,2123213
24/01/1990,0.0,0.47,0.46,0.47,0.47,1129950
25/01/1990,0.0,0.48,0.47,0.48,0.48,45563
26/01/1990,0.0,0.47,0.47,0.47,0.47,13669
29/01/1990,0.0,0.47,0.47,0.47,0.47,18225
30/01/1990,0.0,0.47,0.46,0.46,0.46,9071494
31/01/1990,0.0,0.47,0.46,0.46,0.46,214144
01/02/1990,0.0,0.46,0.45,0.46,0.46,3098250
02/02/1990,0.0,0.46,0.45,0.45,0.45,387281
05/02/1990,0.0,0.46,0.45,0.46,0.46,3326063
06/02/1990,0.0,0.46,0.46,0.46,0.46,95681
07/02/1990,0.0,0.46,0.45,0.45,0.45,2123213
08/02/1990,0.0,0.45,0.45,0.45,0.45,136688
09/02/1990,0.0,0.46,0.44,0.45,0.45,4118850
12/02/1990,0.45,0.45,0.45,0.45,0.45,0
13/02/1990,0.0,0.46,0.45,0.46,0.46,1029713
14/02/1990,0.0,0.46,0.46,0.46,0.46,241481
15/02/1990,0.0,0.46,0.46,0.46,0.46,72900
16/02/1990,0.0,0.47,0.46,0.46,0.46,619650
20/02/1990,0.0,0.47,0.46,0.46,0.46,18225
21/02/1990,0.0,0.46,0.46,0.46,0.46,164025
22/02/1990,0.46,0.46,0.46,0.46,0.46,0
23/02/1990,0.0,0.46,0.46,0.46,0.46,1180069
26/02/1990,0.0,0.46,0.46,0.46,0.46,123019
27/02/1990,0.46,0.46,0.46,0.46,0.46,0
28/02/1990,0.0,0.46,0.46,0.46,0.46,487519
01/03/1990,0.0,0.46,0.46,0.46,0.46,100238
02/03/1990,0.0,0.46,0.45,0.45,0.45,1471669
05/03/1990,0.0,0.46,0.45,0.45,0.45,1603800
06/03/1990,0.0,0.46,0.45,0.45,0.45,1088944
07/03/1990,0.0,0.46,0.45,0.46,0.46,255150
08/03/1990,0.0,0.46,0.46,0.46,0.46,1120838
09/03/1990,0.0,0.47,0.46,0.46,0.46,478406
12/03/1990,0.0,0.49,0.46,0.48,0.48,651544
13/03/1990,0.0,0.49,0.48,0.48,0.48,3777131
14/03/1990,0.0,0.49,0.48,0.49,0.49,469294
15/03/1990,0.0,0.49,0.48,0.49,0.49,1704038
16/03/1990,0.0,0.49,0.48,0.49,0.49,697106
19/03/1990,0.0,0.49,0.48,0.49,0.49,268819
20/03/1990,0.0,0.49,0.48,0.48,0.48,1239300
21/03/1990,0.0,0.49,0.48,0.48,0.48,678881
22/03/1990,0.0,0.49,0.48,0.48,0.48,173138
23/03/1990,0.48,0.48,0.48,0.48,0.48,0
26/03/1990,0.49,0.49,0.48,0.48,0.48,1116281
27/03/1990,0.48,0.48,0.48,0.48,0.48,287044
28/03/1990,0.48,0.49,0.48,0.48,0.48,943144
29/03/1990,0.48,0.48,0.48,0.48,0.48,150356
30/03/1990,0.49,0.49,0.48,0.48,0.48,446513
02/04/1990,0.48,0.48,0.48,0.48,0.48,72900
03/04/1990,0.49,0.49,0.48,0.48,0.48,437400
04/04/1990,0.49,0.49,0.49,0.49,0.49,373613
05/04/1990,0.48,0.49,0.48,0.49,0.49,419175
06/04/1990,0.49,0.49,0.47,0.48,0.48,4237313
09/04/1990,0.49,0.49,0.48,0.48,0.48,1430663
10/04/1990,0.48,0.48,0.47,0.48,0.48,373613
11/04/1990,0.48,0.48,0.47,0.47,0.47,282488
