Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,1.0,1.0,1.0,0.89,16875
03/01/1990,0.0,1.0,1.0,1.0,0.89,13500
04/01/1990,1.0,1.0,1.0,1.0,0.89,0
05/01/1990,1.0,1.0,1.0,1.0,0.89,0
08/01/1990,1.0,1.0,1.0,1.0,0.89,0
09/01/1990,1.0,1.0,1.0,1.0,0.89,0
10/01/1990,1.0,1.0,1.0,1.0,0.89,0
11/01/1990,0.0,0.96,0.96,0.96,0.86,675
12/01/1990,0.0,0.93,0.93,0.93,0.83,33750
15/01/1990,0.93,0.93,0.93,0.93,0.83,0
16/01/1990,0.0,0.93,0.93,0.93,0.83,17550
17/01/1990,0.0,1.0,0.93,0.93,0.83,20250
18/01/1990,0.93,0.93,0.93,0.93,0.83,0
19/01/1990,0.93,0.93,0.93,0.93,0.83,0
22/01/1990,0.0,0.93,0.93,0.93,0.83,4050
23/01/1990,0.93,0.93,0.93,0.93,0.83,0
24/01/1990,0.0,0.93,0.93,0.93,0.83,1350
25/01/1990,0.93,0.93,0.93,0.93,0.83,0
26/01/1990,0.0,0.89,0.89,0.89,0.8,12150
29/01/1990,0.89,0.89,0.89,0.89,0.8,0
30/01/1990,0.0,0.85,0.85,0.85,0.76,4725
31/01/1990,0.0,0.85,0.67,0.72,0.65,95850
01/02/1990,0.0,0.78,0.78,0.78,0.7,10125
02/02/1990,0.0,0.78,0.78,0.78,0.7,8100
05/02/1990,0.78,0.78,0.78,0.78,0.7,0
06/02/1990,0.0,0.78,0.78,0.78,0.7,675
07/02/1990,0.0,0.74,0.74,0.74,0.66,6750
08/02/1990,0.74,0.74,0.74,0.74,0.66,0
09/02/1990,0.74,0.74,0.74,0.74,0.66,0
12/02/1990,0.74,0.74,0.74,0.74,0.66,0
13/02/1990,0.0,0.7,0.7,0.7,0.64,2025
14/02/1990,0.0,0.72,0.7,0.72,0.65,371250
15/02/1990,0.0,0.78,0.74,0.74,0.67,13500
16/02/1990,0.74,0.74,0.74,0.74,0.67,0
20/02/1990,0.74,0.74,0.74,0.74,0.67,0
21/02/1990,0.0,0.74,0.74,0.74,0.67,18900
22/02/1990,0.0,0.78,0.78,0.78,0.7,3375
23/02/1990,0.0,0.8,0.78,0.8,0.72,37800
26/02/1990,0.0,0.85,0.85,0.85,0.77,675
27/02/1990,0.85,0.85,0.85,0.85,0.77,0
28/02/1990,0.85,0.85,0.85,0.85,0.77,0
01/03/1990,0.85,0.85,0.85,0.85,0.77,0
02/03/1990,0.0,0.81,0.78,0.81,0.74,67500
05/03/1990,0.81,0.81,0.81,0.81,0.74,0
06/03/1990,0.81,0.81,0.81,0.81,0.74,0
07/03/1990,0.0,0.85,0.85,0.85,0.77,6750
08/03/1990,0.85,0.85,0.85,0.85,0.77,0
09/03/1990,0.85,0.85,0.85,0.85,0.77,0
12/03/1990,0.0,0.78,0.78,0.78,0.7,4725
13/03/1990,0.78,0.78,0.78,0.78,0.7,0
14/03/1990,0.0,0.78,0.78,0.78,0.7,1350
15/03/1990,0.78,0.78,0.78,0.78,0.7,0
16/03/1990,0.78,0.78,0.78,0.78,0.7,0
19/03/1990,0.0,0.85,0.85,0.85,0.77,3375
20/03/1990,0.85,0.85,0.85,0.85,0.77,0
21/03/1990,0.0,0.78,0.78,0.78,0.7,3375
22/03/1990,0.0,0.78,0.78,0.78,0.7,1350
23/03/1990,0.78,0.78,0.78,0.78,0.7,0
26/03/1990,0.78,0.78,0.78,0.78,0.7,0
27/03/1990,0.0,0.78,0.78,0.78,0.7,4050
28/03/1990,0.78,0.78,0.78,0.78,0.7,0
29/03/1990,0.78,0.78,0.78,0.78,0.7,0
30/03/1990,0.78,0.78,0.78,0.78,0.7,0
02/04/1990,0.78,0.78,0.78,0.78,0.7,0
03/04/1990,0.0,0.74,0.74,0.74,0.67,6750
04/04/1990,0.0,0.74,0.74,0.74,0.67,10125
05/04/1990,0.74,0.74,0.74,0.74,0.67,0
06/04/1990,0.74,0.74,0.74,0.74,0.67,0
09/04/1990,0.0,0.81,0.81,0.81,0.74,6750
10/04/1990,0.81,0.81,0.81,0.81,0.74,0
11/04/1990,0.0,0.81,0.74,0.81,0.74,5400
12/04/1990,0.0,0.74,0.74,0.74,0.67,675
16/04/1990,0.0,0.81,0.81,0.81,0.74,2025
17/04/1990,0.81,0.81,0.81,0.81,0.74,0
18/04/1990,0.81,0.81,0.81,0.81,0.74,0
19/04/1990,0.81,0.81,0.81,0.81,0.74,0
20/04/1990,0.0,0.74,0.74,0.74,0.67,675
23/04/1990,0.0,0.81,0.81,0.81,0.74,2025
24/04/1990,0.0,0.78,0.78,0.78,0.7,8775
25/04/1990,0.78,0.78,0.78,0.78,0.7,0
26/04/1990,0.0,0.74,0.74,0.74,0.67,13500
27/04/1990,0.74,0.74,0.74,0.74,0.67,0
30/04/1990,0.74,0.74,0.74,0.74,0.67,0
01/05/1990,0.0,0.8,0.8,0.8,0.72,675
02/05/1990,0.0,0.81,0.81,0.81,0.74,6750
03/05/1990,0.0,0.81,0.74,0.81,0.74,8775
04/05/1990,0.0,0.81,0.81,0.81,0.74,2025
07/05/1990,0.81,0.81,0.81,0.81,0.74,0
08/05/1990,0.0,0.81,0.78,0.78,0.7,232875
09/05/1990,0.78,0.78,0.78,0.78,0.7,0
10/05/1990,0.0,0.74,0.74,0.74,0.67,2025
11/05/1990,0.0,0.81,0.74,0.74,0.67,2700
14/05/1990,0.74,0.74,0.74,0.74,0.67,0
15/05/1990,0.0,0.74,0.74,0.74,0.67,7425
16/05/1990,0.74,0.74,0.74,0.74,0.67,0
17/05/1990,0.74,0.74,0.74,0.74,0.67,0
18/05/1990,0.0,0.74,0.74,0.74,0.67,1350
21/05/1990,0.0,0.81,0.81,0.81,0.74,13500
22/05/1990,0.0,0.8,0.8,0.8,0.72,13500
23/05/1990,0.8,0.8,0.8,0.8,0.72,0
24/05/1990,0.8,0.8,0.8,0.8,0.72,0
25/05/1990,0.0,0.78,0.74,0.78,0.7,15525
29/05/1990,0.78,0.78,0.78,0.78,0.7,0
30/05/1990,0.78,0.78,0.78,0.78,0.7,0
31/05/1990,0.0,0.74,0.74,0.74,0.67,1350
01/06/1990,0.74,0.74,0.74,0.74,0.67,0
04/06/1990,0.0,0.81,0.74,0.74,0.67,164025
05/06/1990,0.74,0.74,0.74,0.74,0.67,0
06/06/1990,0.0,0.81,0.81,0.81,0.74,675
07/06/1990,0.81,0.81,0.81,0.81,0.74,0
08/06/1990,0.0,0.74,0.74,0.74,0.67,1350
11/06/1990,0.0,0.81,0.81,0.81,0.74,3375
12/06/1990,0.81,0.81,0.81,0.81,0.74,0
13/06/1990,0.81,0.81,0.81,0.81,0.74,0
14/06/1990,0.0,0.81,0.74,0.81,0.74,9450
15/06/1990,0.81,0.81,0.81,0.81,0.74,0
18/06/1990,0.0,0.74,0.74,0.74,0.67,675
19/06/1990,0.74,0.74,0.74,0.74,0.67,0
20/06/1990,0.74,0.74,0.74,0.74,0.67,0
21/06/1990,0.74,0.74,0.74,0.74,0.67,0
22/06/1990,0.74,0.74,0.74,0.74,0.67,0
25/06/1990,0.74,0.74,0.74,0.74,0.67,0
26/06/1990,0.74,0.74,0.74,0.74,0.67,0
27/06/1990,0.0,0.74,0.74,0.74,0.67,3375
28/06/1990,0.0,0.81,0.81,0.81,0.74,6750
29/06/1990,0.0,0.81,0.81,0.81,0.74,9450
02/07/1990,0.0,0.81,0.81,0.81,0.74,2025
03/07/1990,0.0,0.81,0.81,0.81,0.74,3375
05/07/1990,0.81,0.81,0.81,0.81,0.74,0
06/07/1990,0.81,0.81,0.81,0.81,0.74,0
09/07/1990,0.81,0.81,0.81,0.81,0.74,0
10/07/1990,0.0,0.74,0.74,0.74,0.67,675
11/07/1990,0.74,0.74,0.74,0.74,0.67,0
12/07/1990,0.0,0.78,0.74,0.74,0.67,9450
13/07/1990,0.74,0.74,0.74,0.74,0.67,0
16/07/1990,0.0,0.74,0.74,0.74,0.67,1350
17/07/1990,0.74,0.74,0.74,0.74,0.67,0
18/07/1990,0.0,0.74,0.74,0.74,0.67,8775
19/07/1990,0.0,0.74,0.74,0.74,0.67,6750
20/07/1990,0.74,0.74,0.74,0.74,0.67,0
23/07/1990,0.0,0.74,0.74,0.74,0.67,6750
24/07/1990,0.0,0.74,0.74,0.74,0.67,5400
25/07/1990,0.74,0.74,0.74,0.74,0.67,0
26/07/1990,0.74,0.74,0.74,0.74,0.67,0
27/07/1990,0.74,0.74,0.74,0.74,0.67,0
30/07/1990,0.74,0.74,0.74,0.74,0.67,0
31/07/1990,0.0,0.7,0.7,0.7,0.64,3375
01/08/1990,0.0,0.7,0.7,0.7,0.64,3375
02/08/1990,0.7,0.7,0.7,0.7,0.64,0
03/08/1990,0.7,0.7,0.7,0.7,0.64,0
06/08/1990,0.0,0.81,0.7,0.81,0.74,6075
07/08/1990,0.0,0.7,0.7,0.7,0.64,16200
08/08/1990,0.0,0.72,0.72,0.72,0.65,13500
09/08/1990,0.0,0.72,0.7,0.72,0.65,120150
10/08/1990,0.0,0.7,0.7,0.7,0.64,1350
13/08/1990,0.7,0.7,0.7,0.7,0.64,0
14/08/1990,0.0,0.81,0.81,0.81,0.74,675
15/08/1990,0.0,0.7,0.7,0.7,0.64,2025
16/08/1990,0.7,0.7,0.7,0.7,0.64,0
17/08/1990,0.7,0.7,0.7,0.7,0.64,0
20/08/1990,0.0,0.7,0.7,0.7,0.64,675
