Date,Open,High,Low,Close,Adj Close,Volume
20/06/2001,24.0,24.5,23.9,23.9,9.29,11000
21/06/2001,24.5,25.5,24.5,25.5,9.92,39300
22/06/2001,25.5,25.65,25.5,25.6,9.96,33800
25/06/2001,25.9,26.5,25.9,26.5,10.31,9100
26/06/2001,26.5,26.5,26.15,26.45,10.29,109800
27/06/2001,26.45,26.6,26.44,26.6,10.34,185300
28/06/2001,26.8,27.5,26.8,27.5,10.69,66000
29/06/2001,27.55,28.1,27.55,28.0,10.89,71300
02/07/2001,28.0,28.4,28.0,28.0,10.89,69700
03/07/2001,28.01,28.16,28.01,28.05,10.91,56200
05/07/2001,28.05,28.05,27.94,27.95,10.87,61900
06/07/2001,27.95,30.0,26.9,30.0,11.67,3337400
09/07/2001,30.0,31.3,29.8,29.91,11.63,1674700
10/07/2001,29.91,30.01,28.55,28.55,11.1,1210400
11/07/2001,28.45,29.01,28.38,28.5,11.08,2426400
12/07/2001,28.51,30.2,28.51,29.45,11.45,1294600
13/07/2001,29.35,30.02,28.99,29.0,11.28,709500
16/07/2001,29.0,29.61,28.52,28.75,11.18,593900
17/07/2001,28.75,29.75,28.71,29.59,11.51,837100
18/07/2001,29.52,30.0,29.43,29.49,11.47,396600
19/07/2001,29.44,29.5,28.81,28.9,11.24,303600
20/07/2001,28.8,29.15,28.8,28.96,11.26,519000
23/07/2001,28.96,29.01,28.6,29.01,11.28,206100
24/07/2001,28.95,29.3,28.74,28.98,11.27,268600
25/07/2001,28.97,29.79,28.75,29.55,11.49,385200
26/07/2001,29.4,29.95,29.18,29.93,11.64,208500
27/07/2001,29.92,30.55,29.9,30.53,11.87,274600
30/07/2001,30.54,32.15,30.54,31.62,12.3,289200
31/07/2001,31.6,33.5,31.6,33.02,12.84,357300
01/08/2001,33.1,34.28,33.1,34.0,13.22,759800
02/08/2001,33.95,34.2,33.66,33.71,13.11,365500
03/08/2001,33.5,33.55,32.6,32.65,12.7,139800
06/08/2001,32.8,32.9,32.08,32.14,12.5,161700
07/08/2001,32.14,32.7,32.1,32.45,12.62,186400
08/08/2001,32.5,32.6,32.0,32.49,12.63,322400
09/08/2001,32.5,32.6,32.35,32.51,12.64,169400
10/08/2001,32.51,32.75,32.1,32.15,12.5,328500
13/08/2001,32.14,32.14,31.99,32.0,12.44,396200
14/08/2001,33.0,33.0,32.48,32.79,12.75,269000
15/08/2001,32.8,33.1,32.0,32.0,12.44,307000
16/08/2001,32.0,32.15,31.8,32.0,12.44,280600
17/08/2001,31.95,32.25,31.79,32.24,12.54,211200
20/08/2001,32.29,32.29,32.0,32.02,12.45,150900
21/08/2001,32.0,32.45,32.0,32.3,12.56,321800
22/08/2001,32.2,32.63,32.15,32.5,12.64,234300
23/08/2001,32.25,32.5,32.2,32.4,12.6,72300
24/08/2001,32.35,32.4,32.2,32.35,12.58,69600
27/08/2001,32.35,32.73,32.35,32.65,12.7,80900
28/08/2001,32.72,32.72,32.31,32.38,12.59,241000
29/08/2001,32.38,32.74,32.3,32.73,12.73,261600
30/08/2001,32.68,33.12,32.68,33.01,12.84,182300
31/08/2001,33.25,34.36,33.25,34.36,13.36,277600
04/09/2001,34.35,35.1,34.33,34.9,13.57,760800
05/09/2001,34.9,34.9,33.71,33.72,13.11,296900
06/09/2001,33.7,33.7,32.83,33.0,12.83,333900
07/09/2001,33.0,33.05,32.5,32.64,12.69,186200
10/09/2001,32.5,32.86,32.5,32.75,12.74,179400
17/09/2001,32.0,32.05,29.99,30.09,11.7,279800
18/09/2001,30.09,30.78,29.98,30.75,11.96,389000
19/09/2001,30.85,31.2,30.34,30.82,11.99,222200
20/09/2001,30.7,30.85,29.3,29.87,11.62,653700
21/09/2001,28.4,29.9,27.75,29.64,11.53,685900
24/09/2001,29.54,30.0,28.75,29.43,11.44,364400
25/09/2001,29.43,29.43,28.3,28.73,11.17,245300
26/09/2001,28.72,28.72,25.6,25.6,9.96,619500
27/09/2001,25.6,25.95,24.81,24.98,9.71,597300
28/09/2001,25.0,26.25,25.0,25.96,10.1,1213300
01/10/2001,26.05,28.24,26.0,28.23,10.98,208600
02/10/2001,28.25,28.45,27.79,28.0,10.89,179100
03/10/2001,28.01,29.25,27.82,29.22,11.36,235300
04/10/2001,29.2,31.9,29.2,31.0,12.06,274100
05/10/2001,30.95,30.95,29.4,30.19,11.74,176000
08/10/2001,30.24,30.75,28.51,28.51,11.09,246600
09/10/2001,28.52,30.2,26.75,29.89,11.62,397600
10/10/2001,29.9,30.3,29.5,29.74,11.57,347100
11/10/2001,29.74,29.74,28.55,28.79,11.2,339700
12/10/2001,28.8,28.9,27.8,27.81,10.81,468100
15/10/2001,27.79,30.0,27.3,29.0,11.28,453100
16/10/2001,29.1,29.1,28.6,28.7,11.16,94600
17/10/2001,28.76,29.54,28.65,28.66,11.15,342800
18/10/2001,28.66,30.2,28.66,29.46,11.46,850100
19/10/2001,29.5,29.7,29.3,29.4,11.43,366800
22/10/2001,29.46,29.68,29.3,29.51,11.48,365200
23/10/2001,29.56,29.94,29.56,29.85,11.61,248500
