Date,Open,High,Low,Close,Adj Close,Volume
13/03/2019,38.6,39.3,38.0,39.2,36.11,306000
14/03/2019,39.5,40.65,39.32,39.96,36.81,279700
15/03/2019,40.55,41.05,40.5,41.02,37.79,164200
18/03/2019,41.73,41.73,40.47,40.86,37.64,581700
19/03/2019,41.4,41.4,39.05,39.55,36.44,2540200
20/03/2019,39.85,39.85,37.46,37.6,34.64,5147900
21/03/2019,38.0,38.91,37.84,38.88,35.82,8865500
22/03/2019,38.76,38.84,36.55,37.46,34.51,4902500
25/03/2019,37.57,37.81,36.35,36.45,33.58,4035100
26/03/2019,36.46,37.35,36.46,36.71,33.82,3350900
27/03/2019,36.75,37.17,36.06,36.2,33.35,2871300
28/03/2019,36.14,36.47,35.55,35.67,32.86,2220600
29/03/2019,35.88,36.17,35.39,35.88,33.06,2679200
01/04/2019,36.17,36.34,35.94,36.15,33.3,4338400
02/04/2019,36.21,36.46,35.21,35.7,32.89,1491200
03/04/2019,35.78,35.89,35.3,35.5,32.71,2831600
04/04/2019,35.56,36.07,35.39,36.03,33.19,2223200
05/04/2019,35.99,37.09,35.94,36.98,34.07,2116200
08/04/2019,36.94,36.94,36.65,36.85,33.95,1929000
09/04/2019,36.81,37.07,36.59,36.89,33.99,1793900
10/04/2019,36.91,37.05,35.86,35.93,33.1,843600
11/04/2019,35.98,36.5,35.53,36.41,33.54,978200
12/04/2019,36.47,37.08,35.92,36.95,34.04,3175200
15/04/2019,36.91,36.99,36.47,36.98,34.07,891200
16/04/2019,37.11,37.28,36.93,37.21,34.28,1869000
17/04/2019,37.18,38.25,37.18,38.21,35.2,2122100
18/04/2019,38.34,38.37,37.92,37.92,34.93,2315200
22/04/2019,37.84,37.88,37.11,37.24,34.31,1665000
23/04/2019,37.22,37.82,37.07,37.6,34.64,5455100
24/04/2019,37.51,37.76,37.33,37.45,34.5,1230800
25/04/2019,37.48,37.68,37.04,37.64,34.68,1422800
26/04/2019,37.8,37.94,37.4,37.91,34.93,2505700
29/04/2019,37.74,38.91,37.69,38.73,35.68,1716800
30/04/2019,38.59,38.78,37.89,38.5,35.47,1810000
01/05/2019,38.66,38.8,38.09,38.74,35.69,1475000
02/05/2019,38.75,38.8,36.5,36.84,33.94,2627700
03/05/2019,36.86,37.26,36.64,37.02,34.11,1229700
06/05/2019,36.72,37.4,36.47,37.31,34.37,1533900
07/05/2019,36.97,37.22,36.58,36.7,33.81,1412300
08/05/2019,36.56,37.08,36.27,36.82,33.92,2108700
09/05/2019,38.08,38.63,36.95,37.97,34.98,3458200
10/05/2019,37.9,38.25,36.98,38.05,35.05,1633500
13/05/2019,37.48,38.15,37.22,37.5,34.55,1598400
14/05/2019,37.54,38.03,37.4,37.48,34.53,1663100
15/05/2019,37.24,37.48,37.13,37.23,34.3,873900
16/05/2019,37.28,37.6,36.28,36.32,33.46,2680000
17/05/2019,36.08,37.07,36.08,36.83,34.15,1084400
20/05/2019,36.54,37.14,36.54,36.68,34.01,996400
21/05/2019,36.82,37.53,36.64,37.18,34.47,1272400
22/05/2019,37.1,37.29,36.62,36.67,34.0,830200
23/05/2019,36.39,36.63,36.18,36.51,33.85,1860100
24/05/2019,36.51,36.76,36.4,36.45,33.79,828100
28/05/2019,36.59,36.95,36.11,36.16,33.53,2384600
29/05/2019,36.0,36.16,35.28,35.3,32.73,1437600
30/05/2019,35.36,35.69,34.69,34.81,32.27,1079700
31/05/2019,34.55,34.81,34.25,34.71,32.18,1736500
03/06/2019,34.61,34.81,33.32,33.78,31.32,2219500
04/06/2019,34.03,34.81,33.75,34.09,31.61,2276200
05/06/2019,34.24,34.57,33.9,34.02,31.54,1346900
06/06/2019,34.01,34.23,33.6,33.74,31.28,1209100
07/06/2019,33.84,34.05,33.66,33.68,31.23,925100
10/06/2019,33.86,34.04,33.56,33.74,31.28,1142800
11/06/2019,33.77,34.04,33.65,33.83,31.37,1201800
12/06/2019,33.81,34.74,33.8,34.7,32.17,2240300
13/06/2019,34.96,35.12,34.6,34.94,32.39,1315400
14/06/2019,34.99,35.16,34.56,34.96,32.41,2414700
17/06/2019,35.18,35.97,35.04,35.8,33.19,2288000
18/06/2019,36.09,36.72,35.71,35.83,33.22,2680900
19/06/2019,35.88,36.08,35.35,35.74,33.14,2011500
20/06/2019,36.15,36.15,35.31,35.35,32.77,1879700
21/06/2019,35.36,37.0,35.04,35.88,33.27,4338300
24/06/2019,35.72,35.79,35.39,35.54,32.95,1621000
