Date,Open,High,Low,Close,Adj Close,Volume
12/03/2019,38.0,38.0,38.0,38.0,35.16,10000
13/03/2019,39.0,39.9,38.7,39.75,36.78,20477400
14/03/2019,39.75,41.4,39.75,40.65,37.61,6248600
15/03/2019,41.38,41.87,41.24,41.7,38.58,7107300
18/03/2019,41.95,41.95,41.05,41.7,38.58,4020900
19/03/2019,41.55,41.7,39.84,40.34,37.32,10118500
20/03/2019,40.49,40.81,38.24,38.62,35.73,15683200
21/03/2019,39.0,40.07,38.75,40.02,37.03,12751700
22/03/2019,39.93,39.99,37.69,38.72,35.82,10898000
25/03/2019,38.89,38.96,37.39,37.44,34.64,9338900
26/03/2019,37.65,38.28,37.51,37.54,34.73,6287100
27/03/2019,37.52,37.91,36.76,36.92,34.16,5578100
28/03/2019,36.85,37.15,36.34,36.4,33.68,5326200
29/03/2019,36.55,36.91,36.15,36.71,33.97,5895300
01/04/2019,36.91,37.15,36.71,36.85,34.09,5311200
02/04/2019,36.96,37.18,35.9,36.28,33.57,6704600
03/04/2019,36.37,36.56,35.9,36.08,33.38,8393500
04/04/2019,36.2,36.8,36.01,36.76,34.01,4908400
05/04/2019,36.79,37.85,36.69,37.68,34.86,7344900
08/04/2019,37.6,37.68,37.26,37.47,34.67,3393300
09/04/2019,37.42,37.65,37.17,37.31,34.52,5725900
10/04/2019,37.33,37.53,36.36,36.48,33.75,4828400
11/04/2019,36.57,37.16,35.99,37.09,34.32,4791400
12/04/2019,37.15,37.62,36.47,37.53,34.72,6368500
15/04/2019,37.46,37.57,36.99,37.53,34.72,3927100
16/04/2019,37.67,37.85,37.47,37.75,34.93,5722000
17/04/2019,37.87,38.85,37.76,38.84,35.94,7603800
18/04/2019,38.91,39.0,38.43,38.44,35.57,4737400
22/04/2019,38.36,38.44,37.62,37.7,34.88,7675300
23/04/2019,37.79,38.39,37.63,38.08,35.23,6328800
24/04/2019,37.95,38.31,37.81,37.96,35.12,5323500
25/04/2019,37.98,38.2,37.54,38.15,35.3,5309700
26/04/2019,38.08,38.53,37.9,38.48,35.6,5297400
29/04/2019,38.54,39.53,38.31,39.2,36.27,6885200
30/04/2019,39.19,39.33,38.47,38.99,36.07,5044400
01/05/2019,39.12,39.49,38.66,39.4,36.45,5149800
02/05/2019,39.23,39.47,37.08,37.28,34.49,11495900
03/05/2019,37.41,37.75,37.12,37.47,34.67,4809800
06/05/2019,37.17,37.99,36.96,37.92,35.08,4801300
07/05/2019,37.58,37.81,37.12,37.26,34.47,6053300
08/05/2019,37.34,37.7,36.85,37.42,34.62,8635300
09/05/2019,38.5,39.25,37.51,38.5,35.62,15210200
10/05/2019,38.64,38.75,37.44,38.53,35.65,6742500
13/05/2019,37.77,38.68,37.73,37.97,35.13,5604000
14/05/2019,38.05,38.52,37.87,37.89,35.06,6198600
15/05/2019,37.7,37.97,37.57,37.71,34.89,2975400
16/05/2019,37.91,38.08,36.7,36.74,33.99,8704900
17/05/2019,36.56,37.59,36.55,37.32,34.75,5508000
20/05/2019,37.18,37.64,37.0,37.14,34.58,3670000
21/05/2019,37.26,38.0,37.1,37.69,35.09,4668600
22/05/2019,37.66,37.76,37.06,37.12,34.56,3431200
23/05/2019,36.82,37.08,36.63,36.91,34.37,4431900
24/05/2019,37.05,37.21,36.85,36.92,34.37,2879000
28/05/2019,36.97,37.34,36.51,36.64,34.11,4380400
29/05/2019,36.5,36.65,35.79,35.79,33.32,3691300
30/05/2019,35.88,36.15,35.15,35.22,32.79,4730400
31/05/2019,34.97,35.27,34.7,35.23,32.8,6706100
03/06/2019,35.05,35.3,33.78,34.24,31.88,7665000
04/06/2019,34.52,35.25,34.15,34.48,32.1,8058900
05/06/2019,34.62,34.98,34.28,34.36,31.99,6240600
06/06/2019,34.66,34.66,33.98,34.12,31.77,5288300
07/06/2019,34.18,34.44,34.0,34.01,31.67,4226800
10/06/2019,34.05,34.4,33.9,34.03,31.68,5620500
11/06/2019,34.23,34.41,34.01,34.18,31.82,3166900
12/06/2019,34.2,35.1,34.16,35.05,32.63,4426800
13/06/2019,35.17,35.5,34.96,35.29,32.86,4384800
14/06/2019,35.24,35.5,34.93,35.24,32.81,4362200
17/06/2019,35.42,36.33,35.34,36.13,33.64,7195400
18/06/2019,36.45,37.05,36.08,36.19,33.69,4938900
19/06/2019,36.26,36.42,35.68,35.99,33.51,4790000
20/06/2019,36.38,36.47,35.56,35.58,33.13,5916500
21/06/2019,35.61,37.29,35.31,36.18,33.69,11402200
24/06/2019,36.01,36.07,35.6,35.8,33.33,5280100
25/06/2019,35.78,35.86,35.14,35.34,32.9,7204300
26/06/2019,35.79,36.1,35.33,35.47,33.02,4297300
27/06/2019,35.53,36.33,35.2,35.99,33.51,5083900
28/06/2019,35.98,36.76,35.81,36.64,34.11,10930000
01/07/2019,36.46,36.99,35.74,35.92,33.44,6396600
02/07/2019,36.01,36.62,35.92,36.59,34.07,3599500
03/07/2019,36.6,36.82,36.27,36.35,33.84,3160300
05/07/2019,36.24,36.8,36.08,36.6,34.08,1982000
08/07/2019,36.53,36.67,36.08,36.13,33.64,1644600
09/07/2019,36.03,36.27,35.82,36.02,33.54,2379600
10/07/2019,36.19,36.43,36.08,36.14,33.65,2400700
11/07/2019,36.17,36.35,35.85,36.29,33.79,2987000
12/07/2019,36.46,37.04,36.1,36.96,34.41,2755700
15/07/2019,37.03,37.16,36.64,37.01,34.46,2861600
16/07/2019,36.93,37.11,36.63,36.69,34.16,2721500
17/07/2019,36.73,36.76,36.11,36.17,33.68,5740500
18/07/2019,36.17,36.72,35.96,36.55,34.03,5286800
19/07/2019,36.7,36.74,36.14,36.43,33.92,4402000
22/07/2019,36.51,36.61,36.06,36.1,33.61,7865700
23/07/2019,36.19,36.39,35.84,36.22,33.72,5573600
24/07/2019,36.13,36.86,36.13,36.6,34.08,5980600
25/07/2019,36.63,37.34,36.63,37.17,34.61,3251600
26/07/2019,37.29,37.8,37.08,37.21,34.64,2669100
29/07/2019,37.16,37.57,37.07,37.51,34.92,2130600
30/07/2019,37.35,37.98,37.32,37.82,35.21,2971800
31/07/2019,37.67,37.69,36.81,37.32,34.75,5280600
01/08/2019,37.25,37.49,36.72,36.89,34.35,3280700
02/08/2019,36.73,36.96,36.33,36.63,34.1,2419000
05/08/2019,36.47,36.56,35.77,36.05,33.56,4517200
06/08/2019,36.16,36.6,35.93,36.45,33.94,3366700
07/08/2019,35.89,37.15,35.8,37.04,34.49,4657400
08/08/2019,37.22,37.25,35.0,35.13,32.71,9539900
09/08/2019,35.11,35.65,34.98,35.4,32.96,4234400
12/08/2019,35.04,35.32,34.7,34.95,32.54,4172900
13/08/2019,34.84,35.59,34.8,35.06,32.64,2940800
14/08/2019,34.7,34.75,33.38,33.69,31.37,7489800
15/08/2019,33.88,34.09,32.72,32.75,30.49,7037700
16/08/2019,33.0,33.3,32.67,32.99,30.72,3230900
19/08/2019,33.32,34.03,33.29,33.87,31.53,3915100
20/08/2019,33.83,34.05,33.52,33.59,31.27,2810700
21/08/2019,33.64,33.72,33.01,33.41,31.11,3050400
22/08/2019,33.38,33.54,32.95,33.05,30.77,3725400
23/08/2019,32.93,33.08,31.63,31.75,29.56,3866200
26/08/2019,31.84,32.14,31.58,32.08,29.87,3235600
27/08/2019,32.22,32.38,31.92,31.93,29.73,3449400
28/08/2019,32.05,32.28,31.62,31.79,29.6,3567200
29/08/2019,32.0,33.12,31.88,32.74,30.48,3687100
30/08/2019,33.72,33.72,32.79,33.17,30.88,2924600
03/09/2019,32.66,33.11,32.54,32.77,30.72,2090800
04/09/2019,32.99,33.61,32.9,33.56,31.46,2280900
05/09/2019,33.64,34.4,33.56,34.25,32.11,3946900
06/09/2019,34.32,34.74,34.06,34.23,32.09,2514600
09/09/2019,33.39,34.34,33.39,34.3,32.16,2659800
10/09/2019,33.85,34.72,33.85,34.3,32.16,3198100
11/09/2019,34.28,34.43,33.8,34.0,31.88,3287100
12/09/2019,34.19,34.19,33.67,33.79,31.68,4290500
13/09/2019,33.96,34.21,33.51,33.83,31.72,4606100
16/09/2019,33.68,33.83,33.47,33.6,31.5,2175600
17/09/2019,33.59,33.59,32.79,32.86,30.81,6701300
18/09/2019,32.88,32.96,32.13,32.64,30.6,5590600
19/09/2019,32.48,32.78,31.96,32.04,30.04,4889000
20/09/2019,31.99,32.42,31.72,32.27,30.25,8111700
23/09/2019,32.37,32.49,32.0,32.27,30.25,3485400
24/09/2019,32.28,32.44,31.48,31.59,29.62,5844900
