Date,Open,High,Low,Close,Adj Close,Volume
18/11/2009,1.7,1.75,1.63,1.66,1.66,136704000
19/11/2009,1.66,1.71,1.61,1.69,1.69,22173000
20/11/2009,1.69,1.7,1.61,1.69,1.69,11390000
23/11/2009,1.71,1.72,1.66,1.69,1.69,11858000
24/11/2009,1.68,1.71,1.67,1.7,1.7,4677000
25/11/2009,1.72,1.73,1.7,1.72,1.72,4280000
27/11/2009,1.68,1.77,1.67,1.69,1.69,1740000
30/11/2009,1.71,1.73,1.68,1.7,1.7,4338000
01/12/2009,1.7,1.72,1.66,1.68,1.68,4125000
02/12/2009,1.69,1.69,1.62,1.66,1.66,9602000
03/12/2009,1.66,1.69,1.65,1.67,1.67,5699000
04/12/2009,1.68,1.73,1.64,1.73,1.73,8127000
07/12/2009,1.71,1.76,1.68,1.69,1.69,5232000
08/12/2009,1.7,1.7,1.64,1.65,1.65,2080000
09/12/2009,1.65,1.73,1.65,1.7,1.7,4055000
10/12/2009,1.72,1.72,1.68,1.69,1.69,763000
11/12/2009,1.68,1.7,1.67,1.69,1.69,1312000
14/12/2009,1.69,1.72,1.68,1.7,1.7,787000
15/12/2009,1.71,1.72,1.68,1.7,1.7,2445000
16/12/2009,1.7,1.83,1.7,1.83,1.83,7823000
17/12/2009,1.83,1.85,1.78,1.79,1.79,6717000
18/12/2009,1.82,1.84,1.75,1.76,1.76,19493000
21/12/2009,1.76,1.8,1.72,1.76,1.76,3028000
22/12/2009,1.77,1.78,1.71,1.72,1.72,2614000
23/12/2009,1.73,1.82,1.72,1.8,1.8,4023000
24/12/2009,1.8,1.86,1.79,1.84,1.84,2376000
28/12/2009,1.87,1.88,1.75,1.77,1.77,5537000
29/12/2009,1.77,1.84,1.77,1.84,1.84,3317000
30/12/2009,1.83,1.83,1.79,1.8,1.8,1173000
31/12/2009,1.81,1.82,1.75,1.76,1.76,1518000
04/01/2010,1.79,1.82,1.76,1.8,1.8,3580000
05/01/2010,1.8,1.86,1.8,1.84,1.84,4114000
06/01/2010,1.89,1.99,1.88,1.94,1.94,9367000
07/01/2010,1.95,1.96,1.9,1.95,1.95,1376000
08/01/2010,1.96,2.06,1.92,2.01,2.01,4571000
11/01/2010,2.03,2.03,1.97,2.01,2.01,1879000
12/01/2010,1.99,2.02,1.97,1.98,1.98,4737000
13/01/2010,1.98,1.99,1.84,1.94,1.94,3909000
14/01/2010,1.95,2.01,1.92,1.99,1.99,3534000
15/01/2010,2.0,2.0,1.91,1.96,1.96,3255000
19/01/2010,1.97,2.05,1.96,1.98,1.98,3086000
20/01/2010,1.97,2.0,1.89,1.91,1.91,2316000
21/01/2010,1.91,1.91,1.83,1.84,1.84,3555000
22/01/2010,1.84,1.88,1.78,1.79,1.79,4645000
25/01/2010,1.81,1.81,1.77,1.8,1.8,2456000
26/01/2010,1.8,1.87,1.8,1.83,1.83,3386000
