Date,Open,High,Low,Close,Adj Close,Volume
05/07/2016,41.34,45.47,40.5,40.67,39.39,7445687
06/07/2016,39.39,40.67,38.74,39.96,38.7,8014268
07/07/2016,39.85,40.17,39.62,39.95,38.7,6556726
08/07/2016,40.13,42.35,39.77,42.01,40.69,5070983
11/07/2016,41.18,42.87,40.99,42.78,41.44,7220549
12/07/2016,42.68,42.73,42.06,42.32,40.99,6635716
13/07/2016,42.32,42.76,41.7,42.36,41.03,5813317
14/07/2016,42.12,43.3,41.8,43.15,41.8,4160512
15/07/2016,43.33,43.44,42.35,42.87,41.53,4409311
18/07/2016,42.49,43.16,42.27,42.92,41.57,1861213
19/07/2016,42.71,43.15,42.21,43.14,41.79,2335867
20/07/2016,43.38,43.45,41.85,42.13,40.8,4005282
21/07/2016,42.18,42.36,41.83,42.04,40.72,3620731
22/07/2016,41.84,42.08,41.25,41.34,40.04,2928467
25/07/2016,41.19,41.38,40.05,40.99,39.7,3638536
26/07/2016,40.64,41.36,40.4,41.24,39.95,1877823
27/07/2016,41.07,41.42,40.77,40.94,39.65,1946177
28/07/2016,40.79,41.08,40.46,40.71,39.43,3493105
29/07/2016,40.55,40.84,40.18,40.34,39.08,5358500
01/08/2016,40.26,40.59,39.82,40.0,38.75,3562295
02/08/2016,39.75,40.18,39.48,39.75,38.5,3904424
03/08/2016,39.75,41.41,39.62,41.24,39.95,5628331
04/08/2016,41.5,41.93,41.41,41.87,40.55,3640926
05/08/2016,42.06,42.66,42.06,42.33,41.0,3185751
08/08/2016,42.37,42.57,41.79,41.88,40.57,2529218
09/08/2016,40.78,42.28,40.52,42.23,40.9,1288091
10/08/2016,42.23,42.51,41.92,42.22,40.89,1412968
11/08/2016,42.45,44.11,42.43,43.97,42.6,2381277
12/08/2016,43.51,44.24,43.35,44.11,42.73,1538921
15/08/2016,44.31,45.0,44.23,44.9,43.5,1742191
16/08/2016,44.84,45.15,44.58,44.81,43.41,1197749
17/08/2016,44.91,44.96,44.64,44.69,43.29,1233360
18/08/2016,44.54,44.79,44.29,44.49,43.09,1045267
19/08/2016,44.31,44.31,43.27,43.45,42.09,1429340
22/08/2016,43.45,43.55,42.74,42.9,41.55,1292632
23/08/2016,42.98,43.6,42.79,43.43,42.07,3003752
24/08/2016,42.9,43.33,42.35,42.99,41.7,827896
25/08/2016,42.83,43.42,42.66,43.2,41.9,1654956
26/08/2016,43.21,43.8,43.12,43.41,42.1,1120432
29/08/2016,43.33,44.18,43.15,43.86,42.54,1248536
30/08/2016,43.67,44.74,43.67,44.03,42.7,1137760
31/08/2016,43.91,44.2,43.51,44.08,42.75,1976052
01/09/2016,44.32,44.44,43.63,44.04,42.72,1146483
02/09/2016,44.37,44.74,44.19,44.67,43.33,1004756
06/09/2016,44.77,44.81,43.76,44.13,42.8,1546091
07/09/2016,43.87,44.45,43.53,44.3,42.97,2083124
08/09/2016,44.08,44.32,43.74,43.79,42.47,1311871
09/09/2016,43.32,43.52,42.3,42.3,41.03,2593987
12/09/2016,41.86,43.05,41.72,42.85,41.57,2225568
13/09/2016,42.56,43.01,41.82,41.87,40.62,1920485
14/09/2016,41.88,42.26,41.54,41.86,40.6,1376999
15/09/2016,41.82,42.34,41.42,42.25,40.98,1685070
16/09/2016,41.93,42.17,41.36,42.06,40.79,2810521
19/09/2016,42.18,43.02,42.16,42.49,41.22,1165484
20/09/2016,42.49,42.74,42.02,42.05,40.79,1279128
21/09/2016,42.23,42.69,42.03,42.66,41.38,1016706
22/09/2016,42.97,43.51,42.92,43.21,41.91,1970794
23/09/2016,42.93,43.16,42.38,42.58,41.3,964604
26/09/2016,42.39,43.09,42.09,42.86,41.57,1274229
27/09/2016,42.76,43.33,42.72,43.19,41.89,1429698
28/09/2016,43.3,43.32,42.97,43.28,41.98,1082312
29/09/2016,42.75,43.19,42.37,42.43,41.15,1742430
30/09/2016,42.78,42.9,42.08,42.59,41.31,2333118
03/10/2016,42.35,43.23,42.35,43.0,41.71,1626037
04/10/2016,42.9,43.05,42.31,42.52,41.24,1449296
05/10/2016,42.69,42.92,42.34,42.63,41.35,1056978
06/10/2016,42.54,42.65,42.26,42.43,41.15,912980
07/10/2016,42.26,42.52,41.73,41.78,40.53,1261442
10/10/2016,42.03,42.11,41.76,41.8,40.54,1220334
11/10/2016,41.77,41.97,41.02,41.19,39.95,1675271
12/10/2016,41.34,41.34,40.71,41.0,39.76,1935900
13/10/2016,40.69,41.57,40.17,40.85,39.63,1445472
14/10/2016,41.06,41.79,40.85,41.39,40.15,1042399
17/10/2016,41.47,41.5,40.93,41.05,39.82,1334218
18/10/2016,41.55,42.11,41.0,41.08,39.84,1377357
19/10/2016,41.23,41.67,40.55,41.33,40.09,908081
20/10/2016,41.12,41.15,40.54,40.75,39.53,1696064
21/10/2016,40.35,40.91,40.28,40.73,39.5,2039865
24/10/2016,40.9,41.22,40.47,40.63,39.41,1517172
25/10/2016,40.59,40.59,40.05,40.1,38.9,1528883
26/10/2016,40.0,40.27,39.78,39.97,38.77,1881767
27/10/2016,39.91,39.91,39.17,39.74,38.55,3757319
28/10/2016,42.03,43.26,41.62,42.02,40.75,4754666
31/10/2016,42.02,42.97,41.87,42.72,41.44,1866232
01/11/2016,42.63,42.69,41.83,42.25,40.98,2122081
02/11/2016,42.22,42.8,42.08,42.11,40.84,1035587
03/11/2016,42.08,42.85,41.83,42.66,41.38,1369112
04/11/2016,42.69,43.23,42.29,42.77,41.48,1873999
07/11/2016,43.15,43.57,42.71,43.34,42.04,1689611
08/11/2016,43.41,44.18,42.99,44.06,42.73,1393251
09/11/2016,43.51,45.13,43.43,44.74,43.39,2000311
10/11/2016,45.15,46.31,44.93,45.36,43.99,2146459
11/11/2016,45.26,45.81,44.59,44.69,43.34,1710523
14/11/2016,44.9,45.24,44.76,45.04,43.68,3143328
15/11/2016,45.14,45.56,44.93,45.29,43.93,2035563
16/11/2016,45.01,45.57,44.95,45.56,44.19,1832533
17/11/2016,45.51,45.74,45.12,45.61,44.24,1114218
18/11/2016,45.59,45.82,45.26,45.72,44.34,1451806
21/11/2016,45.4,46.16,45.19,45.88,44.5,1662604
22/11/2016,45.81,46.67,45.66,46.33,45.0,1593174
23/11/2016,46.54,46.8,46.25,46.69,45.35,1177195
