Date,Open,High,Low,Close,Adj Close,Volume
15/12/2022,63.0,63.0,60.0,60.0,59.9,1318200
16/12/2022,60.0,60.0,55.0,56.74,56.65,2307500
19/12/2022,53.0,58.99,53.0,56.5,56.41,117200
20/12/2022,58.0,58.0,56.76,57.21,57.12,22200
21/12/2022,59.0,66.28,55.5,56.96,56.87,290700
22/12/2022,58.43,61.02,57.0,57.6,57.51,3253200
23/12/2022,58.09,60.65,57.0,57.5,57.41,125800
27/12/2022,57.98,58.99,57.38,57.45,57.36,26500
28/12/2022,57.93,58.0,57.0,57.5,57.41,514800
29/12/2022,58.5,58.78,57.75,58.0,57.91,374800
30/12/2022,58.74,59.0,57.73,58.38,58.29,351100
03/01/2023,60.68,60.68,55.87,56.0,55.91,1794100
04/01/2023,54.13,60.71,53.5,60.49,60.39,33338500
05/01/2023,60.64,62.98,58.14,59.0,58.91,8850600
06/01/2023,59.68,59.94,57.87,58.95,58.86,5902600
09/01/2023,58.79,59.98,57.73,58.1,58.01,5288900
10/01/2023,59.15,60.06,58.06,60.0,59.9,6663000
11/01/2023,60.44,66.38,60.08,64.99,64.89,9219400
12/01/2023,66.09,66.52,63.66,65.65,65.55,5819800
13/01/2023,65.0,65.5,63.74,65.44,65.34,3772100
17/01/2023,63.94,65.73,63.26,63.33,63.23,3774600
18/01/2023,63.2,63.5,61.99,62.08,61.98,2610300
19/01/2023,61.33,64.5,61.3,63.94,63.84,2585600
20/01/2023,63.96,67.82,63.54,66.77,66.66,4001600
23/01/2023,67.35,69.91,66.78,69.52,69.41,3724100
24/01/2023,69.03,70.63,68.71,69.6,69.49,2591000
25/01/2023,68.46,69.7,66.95,68.71,68.6,2802100
26/01/2023,68.51,69.45,67.8,69.22,69.11,2075900
27/01/2023,68.86,70.51,68.36,70.08,69.97,2810600
30/01/2023,68.41,73.95,67.92,71.5,71.39,4259900
31/01/2023,71.01,71.11,68.5,69.52,69.41,3084300
01/02/2023,69.0,70.74,67.53,70.01,69.9,2698700
02/02/2023,69.59,71.89,69.0,70.65,70.54,2776000
03/02/2023,69.63,70.63,69.1,70.55,70.44,3074900
06/02/2023,69.91,72.35,69.54,71.86,71.75,2227400
07/02/2023,71.58,72.2,71.1,71.63,71.52,1932300
