Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,1.03,0.94,1.03,0.38,1700800
03/01/1990,0.0,1.08,1.02,1.06,0.39,6456000
04/01/1990,0.0,1.09,1.05,1.05,0.39,294400
05/01/1990,0.0,1.12,1.06,1.12,0.42,1577600
08/01/1990,0.0,1.14,1.09,1.13,0.42,732800
09/01/1990,0.0,1.14,1.11,1.14,0.42,3304000
10/01/1990,0.0,1.14,1.11,1.11,0.41,211200
11/01/1990,0.0,1.12,1.09,1.11,0.41,150400
12/01/1990,0.0,1.09,1.05,1.05,0.39,417600
15/01/1990,0.0,1.08,1.05,1.05,0.39,188800
16/01/1990,0.0,1.06,1.02,1.06,0.39,188800
17/01/1990,0.0,1.08,1.05,1.05,0.39,416000
18/01/1990,0.0,1.05,1.05,1.05,0.39,24000
19/01/1990,0.0,1.09,1.05,1.06,0.39,8950400
22/01/1990,0.0,1.08,1.06,1.06,0.39,547200
23/01/1990,0.0,1.09,1.05,1.08,0.4,252800
24/01/1990,0.0,1.05,1.0,1.05,0.39,449600
25/01/1990,0.0,1.05,1.02,1.02,0.38,1920000
26/01/1990,0.0,1.05,1.02,1.02,0.38,158400
29/01/1990,0.0,1.02,1.02,1.02,0.38,25600
30/01/1990,0.0,1.05,1.02,1.02,0.38,121600
31/01/1990,0.0,1.03,1.02,1.03,0.38,11200
01/02/1990,0.0,1.05,1.03,1.04,0.39,336000
02/02/1990,0.0,1.03,1.03,1.03,0.38,56000
05/02/1990,0.0,1.14,1.03,1.11,0.41,1088000
06/02/1990,0.0,1.12,1.09,1.11,0.41,262400
07/02/1990,0.0,1.12,1.09,1.11,0.41,1441600
08/02/1990,0.0,1.14,1.09,1.11,0.41,110400
09/02/1990,0.0,1.14,1.11,1.11,0.41,36800
12/02/1990,0.0,1.14,1.05,1.06,0.39,368000
13/02/1990,0.0,1.09,1.09,1.09,0.41,57600
14/02/1990,0.0,1.1,1.06,1.08,0.4,176000
15/02/1990,0.0,1.09,1.06,1.06,0.39,115200
16/02/1990,0.0,1.09,1.06,1.09,0.4,2939200
20/02/1990,0.0,1.08,1.06,1.08,0.4,121600
21/02/1990,0.0,1.08,1.06,1.06,0.39,212800
22/02/1990,0.0,1.11,1.06,1.1,0.41,4353600
23/02/1990,0.0,1.09,1.08,1.09,0.41,30400
26/02/1990,0.0,1.09,1.06,1.09,0.41,281600
27/02/1990,0.0,1.09,1.09,1.09,0.41,16000
28/02/1990,0.0,1.12,1.11,1.11,0.41,512000
01/03/1990,0.0,1.19,1.12,1.17,0.43,1947200
02/03/1990,0.0,1.19,1.17,1.19,0.44,900800
05/03/1990,0.0,1.25,1.17,1.25,0.46,542400
06/03/1990,0.0,1.27,1.23,1.27,0.47,542400
07/03/1990,0.0,1.28,1.25,1.25,0.46,1288000
08/03/1990,0.0,1.27,1.23,1.25,0.46,272000
09/03/1990,0.0,1.25,1.23,1.23,0.46,27200
12/03/1990,0.0,1.27,1.23,1.25,0.46,822400
13/03/1990,0.0,1.27,1.23,1.27,0.47,987200
14/03/1990,0.0,1.28,1.25,1.27,0.47,878400
15/03/1990,0.0,1.28,1.25,1.27,0.47,195200
16/03/1990,0.0,1.28,1.25,1.28,0.48,2417600
19/03/1990,0.0,1.3,1.25,1.27,0.47,1352000
20/03/1990,0.0,1.3,1.25,1.3,0.48,1480000
21/03/1990,0.0,1.3,1.27,1.27,0.47,150400
22/03/1990,0.0,1.27,1.2,1.23,0.46,425600
23/03/1990,0.0,1.23,1.23,1.23,0.46,16000
26/03/1990,1.27,1.27,1.23,1.23,0.46,27200
27/03/1990,1.27,1.27,1.23,1.23,0.46,363200
28/03/1990,1.23,1.27,1.2,1.2,0.45,678400
29/03/1990,1.25,1.25,1.22,1.23,0.45,233600
30/03/1990,1.22,1.25,1.22,1.25,0.46,139200
02/04/1990,1.23,1.25,1.23,1.23,0.46,118400
03/04/1990,1.27,1.27,1.23,1.23,0.46,830400
04/04/1990,1.25,1.25,1.23,1.25,0.46,243200
05/04/1990,1.25,1.25,1.25,1.25,0.46,24000
06/04/1990,1.25,1.27,1.25,1.25,0.46,518400
09/04/1990,1.27,1.27,1.23,1.25,0.46,211200
10/04/1990,1.23,1.23,1.16,1.23,0.46,1732800
11/04/1990,1.25,1.25,1.23,1.23,0.46,75200
12/04/1990,1.25,1.25,1.23,1.23,0.46,243200
16/04/1990,1.27,1.27,1.2,1.2,0.45,171200
17/04/1990,1.2,1.23,1.19,1.2,0.45,521600
18/04/1990,1.22,1.22,1.19,1.19,0.44,38400
19/04/1990,1.19,1.22,1.19,1.2,0.45,968000
20/04/1990,1.2,1.22,1.19,1.2,0.45,470400
23/04/1990,1.18,1.2,1.17,1.17,0.43,774400
24/04/1990,1.19,1.19,1.19,1.19,0.44,35200
25/04/1990,1.19,1.2,1.19,1.2,0.45,153600
26/04/1990,1.2,1.2,1.19,1.2,0.45,94400
27/04/1990,1.2,1.25,1.2,1.23,0.46,705600
30/04/1990,1.25,1.27,1.23,1.27,0.47,80000
01/05/1990,1.25,1.27,1.25,1.25,0.46,163200
02/05/1990,1.27,1.27,1.25,1.25,0.46,113600
03/05/1990,1.27,1.3,1.27,1.3,0.48,332800
04/05/1990,1.3,1.31,1.3,1.31,0.49,67200
07/05/1990,1.3,1.31,1.3,1.31,0.49,84800
08/05/1990,1.3,1.31,1.3,1.3,0.48,121600
09/05/1990,1.31,1.31,1.3,1.31,0.49,160000
10/05/1990,1.3,1.31,1.29,1.3,0.48,233600
11/05/1990,1.33,1.34,1.31,1.34,0.5,1302400
14/05/1990,1.34,1.41,1.31,1.41,0.52,488000
15/05/1990,1.39,1.44,1.39,1.44,0.53,739200
16/05/1990,1.44,1.45,1.42,1.44,0.53,1108800
17/05/1990,1.44,1.44,1.41,1.41,0.52,124800
18/05/1990,1.41,1.45,1.41,1.43,0.53,550400
21/05/1990,1.42,1.55,1.42,1.52,0.56,1976000
