Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.3,8.48,8.26,8.48,4.58,456975
03/01/1990,8.48,8.5,8.39,8.39,4.53,504225
04/01/1990,8.3,8.39,8.3,8.39,4.56,301050
05/01/1990,8.35,8.35,8.17,8.19,4.45,199800
08/01/1990,8.15,8.15,8.06,8.13,4.42,278775
09/01/1990,8.13,8.13,7.98,8.02,4.36,209250
10/01/1990,8.06,8.06,7.72,7.76,4.22,257175
11/01/1990,7.81,7.85,7.7,7.74,4.21,317925
12/01/1990,7.67,7.72,7.63,7.67,4.17,374625
15/01/1990,7.67,7.7,7.56,7.59,4.13,269325
16/01/1990,7.56,7.63,7.5,7.63,4.15,288225
17/01/1990,7.67,7.72,7.56,7.59,4.13,281475
18/01/1990,7.56,7.7,7.56,7.7,4.19,230175
19/01/1990,7.74,7.81,7.69,7.7,4.19,405675
22/01/1990,7.69,7.72,7.56,7.56,4.11,166725
23/01/1990,7.56,7.59,7.48,7.52,4.09,547425
24/01/1990,7.41,7.52,7.3,7.5,4.08,508950
25/01/1990,7.54,7.59,7.3,7.37,4.01,562950
26/01/1990,7.41,7.46,7.31,7.43,4.04,1070550
29/01/1990,7.43,7.43,7.19,7.26,3.95,947025
30/01/1990,7.28,7.3,6.96,7.13,3.88,299025
31/01/1990,7.07,7.44,7.07,7.37,4.01,432675
01/02/1990,7.35,7.35,7.3,7.3,3.97,405000
02/02/1990,7.26,7.28,7.17,7.24,3.94,197100
05/02/1990,7.26,7.26,7.17,7.17,3.9,541350
06/02/1990,7.15,7.19,7.11,7.15,3.89,337500
07/02/1990,7.13,7.26,7.07,7.26,3.95,1011825
08/02/1990,7.3,7.3,7.19,7.24,3.94,564300
09/02/1990,7.24,7.24,7.15,7.17,3.9,214650
12/02/1990,7.17,7.19,6.96,7.02,3.82,998325
13/02/1990,6.98,7.0,6.89,6.89,3.75,558900
14/02/1990,6.91,6.91,6.67,6.81,3.7,1377000
15/02/1990,6.78,7.0,6.74,6.94,3.78,941625
16/02/1990,6.96,7.11,6.96,7.06,3.84,481950
20/02/1990,6.98,7.0,6.89,6.91,3.76,209250
21/02/1990,6.87,6.96,6.85,6.96,3.79,110700
22/02/1990,6.93,7.04,6.83,6.93,3.77,485325
23/02/1990,6.91,6.98,6.89,6.91,3.76,105975
26/02/1990,6.91,7.02,6.89,6.96,3.79,168750
27/02/1990,6.98,7.2,6.98,7.19,3.91,438075
28/02/1990,7.2,7.24,7.19,7.2,3.92,511650
01/03/1990,7.19,7.3,7.19,7.28,3.96,305100
02/03/1990,7.31,7.39,7.28,7.39,4.02,141750
05/03/1990,7.39,7.41,7.31,7.31,3.98,253800
06/03/1990,7.35,7.37,7.3,7.37,4.01,151875
07/03/1990,7.35,7.37,7.26,7.28,3.96,311175
08/03/1990,7.31,7.31,7.26,7.3,3.97,91125
09/03/1990,7.26,7.56,7.26,7.39,4.02,1003050
12/03/1990,7.35,7.41,7.33,7.39,4.02,166050
13/03/1990,7.37,7.39,7.26,7.28,3.96,217350
14/03/1990,7.31,7.31,7.28,7.31,3.98,182250
15/03/1990,7.31,7.37,7.31,7.35,4.0,338850
16/03/1990,7.44,7.46,7.41,7.46,4.06,1150875
19/03/1990,7.43,7.43,7.35,7.37,4.01,481275
20/03/1990,7.37,7.37,7.31,7.35,4.0,605475
21/03/1990,7.33,7.33,7.28,7.3,3.97,389475
22/03/1990,7.26,7.26,7.15,7.15,3.89,430650
23/03/1990,7.17,7.17,7.07,7.09,3.86,156600
26/03/1990,7.11,7.13,7.06,7.06,3.84,189000
27/03/1990,7.04,7.11,7.02,7.11,3.87,222750
28/03/1990,7.04,7.22,6.81,6.89,3.75,3759075
29/03/1990,6.81,6.81,6.67,6.74,3.66,2115450
30/03/1990,6.7,6.74,6.57,6.7,3.64,1237275
02/04/1990,6.78,6.85,6.67,6.74,3.66,588600
03/04/1990,6.7,6.76,6.69,6.74,3.66,635175
04/04/1990,6.65,6.81,6.63,6.8,3.72,974025
05/04/1990,6.8,6.98,6.8,6.93,3.79,952425
06/04/1990,6.96,6.96,6.81,6.89,3.77,298350
09/04/1990,6.89,6.91,6.85,6.89,3.77,494775
10/04/1990,6.93,6.93,6.83,6.87,3.76,828900
11/04/1990,6.91,6.91,6.8,6.85,3.75,1078650
12/04/1990,6.89,6.91,6.81,6.87,3.76,608175
16/04/1990,6.87,6.94,6.83,6.83,3.74,471825
17/04/1990,6.81,6.81,6.76,6.78,3.71,403650
18/04/1990,6.81,6.81,6.78,6.78,3.71,324675
19/04/1990,6.78,6.87,6.78,6.83,3.74,267300
20/04/1990,6.81,6.83,6.76,6.81,3.73,450225
23/04/1990,6.8,6.81,6.74,6.76,3.7,1057725
24/04/1990,6.76,6.8,6.7,6.7,3.67,608175
25/04/1990,6.74,6.74,6.63,6.69,3.66,238275
26/04/1990,6.69,6.7,6.59,6.59,3.61,215325
27/04/1990,6.63,6.63,6.41,6.43,3.52,277425
30/04/1990,6.39,6.46,6.33,6.46,3.54,736425
01/05/1990,6.5,6.5,6.43,6.46,3.54,233550
02/05/1990,6.44,6.63,6.44,6.56,3.59,560925
03/05/1990,6.59,6.63,6.52,6.54,3.58,620325
04/05/1990,6.56,6.63,6.48,6.63,3.63,230850
07/05/1990,6.63,6.74,6.61,6.74,3.69,346950
08/05/1990,6.74,6.8,6.72,6.78,3.71,265950
09/05/1990,6.81,6.91,6.78,6.89,3.77,276075
10/05/1990,6.85,6.96,6.81,6.81,3.73,125550
11/05/1990,6.78,7.0,6.78,6.96,3.81,294975
14/05/1990,6.96,7.0,6.93,6.94,3.8,1451925
15/05/1990,6.93,6.96,6.93,6.94,3.8,199125
16/05/1990,6.96,6.96,6.93,6.94,3.8,112725
17/05/1990,6.96,6.98,6.87,6.89,3.77,326025
18/05/1990,6.89,6.89,6.76,6.81,3.73,268650
21/05/1990,6.81,6.83,6.8,6.81,3.73,338850
22/05/1990,6.81,6.81,6.78,6.81,3.73,483300
23/05/1990,6.81,6.87,6.78,6.81,3.73,153225
24/05/1990,6.83,6.85,6.76,6.78,3.71,261900
25/05/1990,6.78,6.8,6.69,6.72,3.68,345600
29/05/1990,6.69,6.87,6.69,6.87,3.76,330750
30/05/1990,6.81,6.94,6.81,6.94,3.8,6542775
31/05/1990,6.94,7.07,6.94,7.06,3.87,380025
01/06/1990,7.07,7.07,6.96,6.98,3.82,386100
04/06/1990,6.96,7.0,6.94,7.0,3.83,610875
05/06/1990,7.02,7.15,7.02,7.15,3.92,359100
06/06/1990,7.15,7.19,7.11,7.17,3.93,381375
07/06/1990,7.13,7.17,7.09,7.09,3.89,252450
08/06/1990,7.13,7.15,7.11,7.15,3.92,865350
11/06/1990,7.13,7.19,7.13,7.17,3.93,230175
12/06/1990,7.17,7.22,7.13,7.2,3.95,457650
13/06/1990,7.2,7.2,7.04,7.06,3.87,166050
14/06/1990,7.04,7.04,6.93,6.93,3.79,289575
15/06/1990,6.81,6.85,6.78,6.8,3.72,866700
18/06/1990,6.78,6.78,6.7,6.78,3.71,1109025
19/06/1990,6.78,6.85,6.78,6.85,3.75,189675
20/06/1990,6.81,6.89,6.76,6.8,3.72,249750
21/06/1990,6.81,6.85,6.76,6.85,3.75,133650
22/06/1990,6.89,6.91,6.7,6.7,3.67,706050
25/06/1990,6.7,6.76,6.67,6.7,3.67,1077975
26/06/1990,6.74,6.87,6.74,6.81,3.73,157275
27/06/1990,6.85,6.98,6.85,6.93,3.79,365175
28/06/1990,6.89,7.07,6.89,7.04,3.86,496125
29/06/1990,7.04,7.11,7.04,7.07,3.88,518400
02/07/1990,7.09,7.09,7.04,7.09,3.89,710775
03/07/1990,7.07,7.07,6.98,7.02,3.87,87075
05/07/1990,6.98,6.98,6.83,6.93,3.82,220725
06/07/1990,6.93,7.09,6.93,7.04,3.88,459000
09/07/1990,7.07,7.13,7.04,7.13,3.93,143775
10/07/1990,7.11,7.13,7.0,7.0,3.86,135000
11/07/1990,7.04,7.09,7.0,7.09,3.91,253800
12/07/1990,7.11,7.11,6.96,7.06,3.89,293625
13/07/1990,7.06,7.11,7.02,7.04,3.88,194400
16/07/1990,7.07,7.11,7.07,7.11,3.92,243675
17/07/1990,7.15,7.24,7.11,7.22,3.99,743175
18/07/1990,7.2,7.31,7.17,7.31,4.04,195750
19/07/1990,7.3,7.39,7.3,7.35,4.06,292950
20/07/1990,7.41,7.43,7.35,7.35,4.06,460350
