Date,Open,High,Low,Close,Adj Close,Volume
18/11/2010,35.0,35.99,33.89,34.19,25.95,457044300
19/11/2010,34.15,34.5,33.11,34.26,26.0,107842000
22/11/2010,34.2,34.48,33.81,34.08,25.87,36650600
23/11/2010,33.95,33.99,33.19,33.25,25.24,31170200
24/11/2010,33.73,33.8,33.22,33.48,25.41,26138000
26/11/2010,33.41,33.81,33.21,33.8,25.65,12301200
29/11/2010,33.8,33.81,33.07,33.8,25.65,27776900
30/11/2010,33.53,34.25,33.36,34.2,25.96,57476900
01/12/2010,34.65,34.95,34.42,34.78,26.4,34633200
02/12/2010,34.92,34.98,34.51,34.68,26.32,23196100
03/12/2010,34.55,34.6,33.97,34.55,26.22,19395200
06/12/2010,34.48,34.78,34.41,34.48,26.17,11676500
07/12/2010,34.75,34.89,34.46,34.68,26.32,20823000
08/12/2010,34.61,34.73,34.33,34.45,26.15,12603900
09/12/2010,34.36,34.43,33.62,33.74,25.61,18402200
10/12/2010,33.85,33.99,33.53,33.81,25.66,11741700
13/12/2010,33.96,34.05,33.7,33.8,25.65,11029300
14/12/2010,33.73,33.92,33.45,33.89,25.72,15165600
15/12/2010,33.81,34.01,33.61,33.61,25.51,10182700
16/12/2010,33.57,33.86,33.56,33.61,25.51,9885700
17/12/2010,33.53,34.0,33.19,34.0,25.81,35681600
20/12/2010,33.91,34.05,33.74,33.76,25.62,12476400
21/12/2010,33.86,33.94,33.72,33.85,25.69,9012400
22/12/2010,33.72,34.95,33.53,34.92,26.5,20935100
23/12/2010,34.67,35.52,34.62,34.81,26.42,20529200
27/12/2010,34.41,34.89,34.19,34.6,26.26,7368300
28/12/2010,35.38,35.67,35.07,35.32,26.81,23489000
29/12/2010,35.47,36.3,35.25,36.02,27.34,20960800
30/12/2010,36.1,36.98,36.02,36.82,27.95,16980800
31/12/2010,36.84,36.96,36.57,36.86,27.98,6163900
03/01/2011,37.32,38.0,37.03,37.06,28.13,24874900
04/01/2011,37.1,37.99,36.68,37.9,28.77,32363400
05/01/2011,37.47,38.3,37.47,38.07,28.9,22503900
06/01/2011,38.24,39.48,38.07,38.9,29.53,38556900
07/01/2011,38.84,39.33,38.51,38.98,29.59,19901100
10/01/2011,39.34,39.36,38.44,38.56,29.27,18341600
11/01/2011,38.66,39.43,38.51,38.75,29.41,14856500
12/01/2011,38.95,39.37,38.37,38.62,29.31,16773900
13/01/2011,38.66,38.71,38.11,38.27,29.05,11358300
14/01/2011,38.18,38.47,38.04,38.2,28.99,5894200
18/01/2011,38.05,38.33,37.32,38.03,28.87,8918200
19/01/2011,37.78,37.93,37.26,37.4,28.39,12667700
20/01/2011,37.11,37.29,36.27,37.18,28.22,15844900
21/01/2011,37.33,37.85,36.82,37.24,28.27,9548500
24/01/2011,37.71,37.86,37.03,37.64,28.57,12202800
25/01/2011,37.85,38.49,37.71,38.4,29.15,12318700
26/01/2011,38.75,38.91,37.86,37.89,28.76,11534600
27/01/2011,38.2,38.95,38.03,38.67,29.35,13950000
28/01/2011,38.0,38.02,36.01,36.6,27.78,37134600
31/01/2011,36.89,37.05,35.89,36.49,27.7,13954800
