Date,Open,High,Low,Close,Adj Close,Volume
19/08/2004,2.5,2.6,2.4,2.51,2.51,893181924
20/08/2004,2.53,2.73,2.52,2.71,2.71,456686856
23/08/2004,2.77,2.84,2.73,2.74,2.74,365122512
24/08/2004,2.78,2.79,2.59,2.62,2.62,304946748
25/08/2004,2.63,2.7,2.6,2.65,2.65,183772044
26/08/2004,2.63,2.7,2.62,2.7,2.7,141897960
27/08/2004,2.71,2.72,2.64,2.66,2.66,124235640
30/08/2004,2.63,2.64,2.55,2.55,2.55,103935960
31/08/2004,2.56,2.6,2.56,2.56,2.56,98357544
01/09/2004,2.57,2.58,2.49,2.51,2.51,182765052
02/09/2004,2.48,2.56,2.48,2.54,2.54,302373324
03/09/2004,2.53,2.55,2.49,2.5,2.5,103048848
07/09/2004,2.53,2.55,2.49,2.54,2.54,116950932
08/09/2004,2.52,2.58,2.52,2.56,2.56,99712188
09/09/2004,2.57,2.57,2.53,2.56,2.56,81234684
10/09/2004,2.54,2.67,2.54,2.64,2.64,173977848
13/09/2004,2.67,2.71,2.66,2.69,2.69,156882960
14/09/2004,2.69,2.8,2.67,2.79,2.79,216579204
15/09/2004,2.77,2.86,2.76,2.8,2.8,214261524
16/09/2004,2.81,2.9,2.79,2.85,2.85,185326488
17/09/2004,2.86,2.94,2.84,2.94,2.94,189450360
20/09/2004,2.93,3.04,2.92,2.99,2.99,212575212
21/09/2004,3.0,3.01,2.94,2.95,2.95,144575280
22/09/2004,2.94,2.99,2.92,2.96,2.96,151624224
23/09/2004,2.97,3.07,2.93,3.02,3.02,170713116
24/09/2004,3.03,3.11,3.0,3.0,3.0,182469348
27/09/2004,2.99,3.03,2.95,2.96,2.96,141322536
28/09/2004,3.04,3.19,3.01,3.17,3.17,338581080
29/09/2004,3.17,3.38,3.16,3.28,3.28,610329060
30/09/2004,3.25,3.31,3.23,3.24,3.24,275160564
01/10/2004,3.27,3.36,3.23,3.32,3.32,302497200
04/10/2004,3.38,3.43,3.35,3.38,3.38,260455284
05/10/2004,3.37,3.47,3.31,3.46,3.46,299464236
06/10/2004,3.44,3.46,3.4,3.43,3.43,267628104
07/10/2004,3.43,3.5,3.42,3.47,3.47,282301416
08/10/2004,3.47,3.5,3.43,3.45,3.45,221390388
11/10/2004,3.43,3.47,3.35,3.38,3.38,209442348
