Date,Open,High,Low,Close,Adj Close,Volume
04/05/1999,76.0,77.25,70.0,70.38,50.54,22320900
05/05/1999,69.88,69.88,66.25,69.12,49.64,7565700
06/05/1999,68.0,69.38,67.06,67.94,48.79,2905700
07/05/1999,67.94,74.88,66.75,74.12,53.23,4862300
10/05/1999,73.38,73.5,70.25,70.69,50.76,2589400
11/05/1999,70.0,71.19,69.5,70.62,50.72,1839800
12/05/1999,71.0,74.88,69.12,73.5,52.78,2659300
13/05/1999,73.25,75.25,72.5,73.19,52.56,1142900
14/05/1999,71.25,72.25,69.06,70.19,50.4,2058400
17/05/1999,69.12,70.25,68.0,68.62,49.28,2075000
18/05/1999,68.25,70.44,68.12,68.62,49.28,1407100
19/05/1999,69.38,69.81,68.75,69.31,49.77,727400
20/05/1999,69.56,70.12,68.38,68.38,49.1,520800
21/05/1999,68.12,68.81,67.5,67.5,48.47,936200
24/05/1999,67.0,67.25,65.0,65.31,46.9,1493000
25/05/1999,64.12,65.94,64.0,64.5,46.32,1662400
26/05/1999,65.62,66.62,63.06,66.06,47.44,1602900
27/05/1999,65.0,67.75,64.69,67.75,48.65,1220500
28/05/1999,67.75,68.81,67.0,67.94,48.79,901900
01/06/1999,66.62,66.62,63.56,64.19,46.09,953900
02/06/1999,63.75,64.06,62.0,63.25,45.42,2204300
03/06/1999,64.0,64.19,63.12,63.62,45.69,852600
04/06/1999,64.31,67.0,64.31,65.38,46.95,1357400
07/06/1999,65.19,67.75,65.19,65.94,47.35,891900
08/06/1999,65.38,65.69,63.75,63.75,45.78,571700
09/06/1999,64.25,65.5,63.62,65.5,47.04,611400
10/06/1999,64.88,64.94,63.31,63.38,45.51,664200
11/06/1999,63.94,64.31,62.31,63.25,45.42,969300
14/06/1999,63.5,64.0,60.5,61.25,43.98,821100
15/06/1999,62.88,63.38,62.25,62.75,45.06,831700
16/06/1999,63.94,65.44,63.94,65.25,46.86,690300
17/06/1999,64.5,66.88,64.5,65.0,46.68,955700
18/06/1999,64.25,64.88,63.5,64.81,46.54,613900
21/06/1999,66.69,69.94,66.56,69.5,49.91,1811000
22/06/1999,70.12,70.12,67.75,68.0,48.83,1165900
23/06/1999,67.06,67.44,64.88,65.0,46.68,1351700
24/06/1999,66.06,66.5,64.5,65.06,46.72,1408900
25/06/1999,65.5,66.81,65.38,66.25,47.57,1111500
28/06/1999,66.44,67.5,65.75,66.56,47.8,784600
29/06/1999,66.0,68.5,66.0,67.75,48.65,629800
30/06/1999,68.5,72.25,66.12,72.25,51.88,2127600
01/07/1999,71.38,71.44,69.75,70.81,50.85,813600
02/07/1999,70.56,71.19,69.69,70.94,50.94,536900
06/07/1999,70.0,71.19,69.25,70.5,50.63,747600
07/07/1999,69.56,70.0,68.0,68.0,48.83,648800
08/07/1999,68.0,68.88,67.19,67.25,48.29,424400
09/07/1999,67.44,68.19,67.25,67.25,48.29,312700
12/07/1999,68.0,68.94,67.88,68.38,49.1,547700
13/07/1999,68.25,68.69,67.62,67.88,48.74,969600
14/07/1999,67.38,67.75,67.31,67.62,48.56,888200
15/07/1999,68.0,68.0,67.5,67.94,48.79,864700
16/07/1999,67.75,68.75,67.75,68.06,48.88,476700
19/07/1999,68.25,70.75,68.25,69.44,49.86,646100
20/07/1999,69.12,70.44,67.88,68.12,48.92,886100
21/07/1999,68.0,68.06,67.12,67.88,48.74,626100
22/07/1999,68.12,68.25,66.5,66.5,47.75,579500
23/07/1999,66.38,66.38,64.0,64.06,46.0,767200
26/07/1999,64.25,64.75,63.19,63.25,45.42,749500
27/07/1999,64.25,65.75,63.31,65.5,47.04,592200
28/07/1999,65.25,66.38,64.0,66.06,47.44,584800
29/07/1999,65.5,65.5,64.5,65.0,46.68,646000
30/07/1999,65.0,65.0,63.62,64.31,46.18,629600
02/08/1999,64.25,64.56,62.38,62.81,45.11,566400
03/08/1999,62.81,62.81,60.75,60.81,43.67,837700
04/08/1999,60.56,61.5,60.0,60.0,43.09,1281600
05/08/1999,59.81,60.0,57.81,59.25,42.55,1539900
06/08/1999,58.94,58.94,56.0,56.25,40.39,1308500
09/08/1999,56.5,57.5,55.81,55.81,40.08,1347500
10/08/1999,56.25,57.19,55.19,57.0,41.02,1817400
11/08/1999,57.88,61.56,57.44,61.5,44.26,1369200
12/08/1999,61.44,62.19,60.56,60.69,43.67,832800
13/08/1999,62.44,63.25,62.06,63.12,45.43,557400
16/08/1999,63.0,63.0,60.88,62.88,45.25,762600
17/08/1999,63.25,64.5,62.62,63.0,45.34,936900
18/08/1999,63.0,63.0,61.06,62.31,44.84,819300
19/08/1999,61.62,62.5,60.81,61.56,44.3,624600
20/08/1999,61.81,62.94,61.62,62.31,44.84,439600
23/08/1999,62.81,63.81,62.62,63.62,45.79,837200
24/08/1999,63.56,65.0,62.81,63.44,45.65,894200
25/08/1999,63.12,64.31,62.31,64.0,46.06,449900
26/08/1999,64.0,64.88,62.75,62.75,45.16,378400
27/08/1999,63.0,63.0,61.5,61.56,44.3,265300
30/08/1999,61.75,61.75,59.31,59.31,42.68,438100
31/08/1999,59.5,60.5,58.69,59.81,43.04,496600
01/09/1999,60.56,60.69,59.81,60.31,43.4,560100
02/09/1999,59.5,60.44,58.88,59.25,42.64,727600
03/09/1999,60.75,63.12,60.75,63.12,45.43,754900
07/09/1999,63.0,64.44,62.44,62.5,44.98,813600
08/09/1999,62.44,63.62,62.12,62.56,45.02,732100
09/09/1999,62.5,62.56,61.0,61.75,44.44,448800
10/09/1999,62.38,63.09,61.62,63.09,45.4,636300
13/09/1999,62.19,62.81,62.0,62.12,44.71,250700
14/09/1999,61.38,61.38,58.75,59.38,42.73,1160600
15/09/1999,60.12,60.12,58.06,58.31,41.96,970200
16/09/1999,58.56,59.12,57.44,57.69,41.51,753200
17/09/1999,58.62,60.06,58.5,60.06,43.22,1116700
20/09/1999,60.06,60.75,59.5,60.75,43.72,721800
21/09/1999,60.56,61.75,58.38,59.12,42.55,2369100
22/09/1999,59.94,62.0,59.06,61.31,44.12,1534700
23/09/1999,61.75,62.25,60.75,60.81,43.76,889800
24/09/1999,61.06,62.19,60.88,61.94,44.57,831400
27/09/1999,62.0,62.62,61.25,61.56,44.3,624700
28/09/1999,61.31,62.25,61.06,62.25,44.8,819900
29/09/1999,62.38,62.75,61.12,61.44,44.21,800900
30/09/1999,61.94,62.5,61.0,61.0,43.9,1113400
01/10/1999,61.0,61.25,58.31,59.19,42.59,793300
04/10/1999,59.5,61.69,59.5,61.69,44.39,739400
05/10/1999,62.12,63.25,61.38,62.25,44.8,1040500
06/10/1999,62.12,64.0,61.81,64.0,46.06,944200
07/10/1999,64.0,64.12,63.19,63.19,45.47,366300
08/10/1999,62.5,63.94,61.88,63.94,46.01,488800
11/10/1999,63.75,63.94,63.5,63.69,45.83,229300
12/10/1999,63.69,63.75,62.75,62.94,45.29,644200
13/10/1999,62.38,62.62,60.69,61.0,43.9,393000
14/10/1999,60.5,62.56,58.88,62.0,44.62,1016000
15/10/1999,60.5,60.62,58.25,59.75,43.0,1088000
18/10/1999,60.25,60.25,57.94,59.25,42.64,732700
19/10/1999,59.5,61.0,59.5,60.38,43.45,1082700
20/10/1999,60.5,62.38,60.5,61.75,44.44,499800
21/10/1999,61.25,61.81,61.12,61.81,44.57,281900
22/10/1999,62.75,65.75,62.69,65.5,47.23,1644700
25/10/1999,64.94,65.0,63.25,64.0,46.15,665000
26/10/1999,63.5,64.56,61.81,61.81,44.57,650200
27/10/1999,62.06,64.75,62.0,64.38,46.42,1412500
28/10/1999,64.5,72.5,64.5,72.0,51.92,3983400
29/10/1999,72.06,73.75,70.19,71.0,51.19,2490500
01/11/1999,70.5,71.0,69.31,69.38,50.02,949300
02/11/1999,69.19,71.75,69.12,69.75,50.29,543000
03/11/1999,69.81,69.88,68.31,68.75,49.57,924000
04/11/1999,69.69,70.75,69.44,70.12,50.56,570400
05/11/1999,72.0,74.31,71.25,73.69,53.13,1304900
08/11/1999,73.5,73.5,72.5,73.0,52.64,651600
09/11/1999,73.5,73.56,71.75,71.88,51.82,695600
10/11/1999,71.0,72.75,70.62,71.94,51.87,678700
11/11/1999,72.0,73.5,71.56,73.31,52.86,574300
12/11/1999,73.94,79.81,73.75,79.75,57.5,2227700
15/11/1999,78.75,79.94,77.25,78.0,56.24,997100
