Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,16.06,16.44,16.03,16.44,9.48,299600
03/01/1990,16.38,16.41,16.06,16.06,9.27,136000
04/01/1990,16.06,16.16,16.03,16.09,9.28,262400
05/01/1990,16.06,16.12,15.97,16.09,9.28,223600
08/01/1990,16.06,16.38,16.06,16.38,9.45,162000
09/01/1990,16.31,16.38,16.06,16.06,9.27,93200
10/01/1990,16.12,16.44,16.12,16.44,9.48,113200
11/01/1990,16.38,16.5,16.38,16.5,9.52,169600
12/01/1990,16.44,16.44,16.0,16.0,9.23,71600
15/01/1990,16.0,16.03,15.91,15.91,9.18,115200
16/01/1990,15.75,15.75,15.47,15.72,9.07,219200
17/01/1990,15.75,15.75,15.47,15.62,9.01,162400
18/01/1990,15.56,15.78,15.53,15.78,9.1,100400
19/01/1990,15.91,16.03,15.62,15.62,9.01,161600
22/01/1990,15.69,15.75,15.44,15.5,8.94,122800
23/01/1990,15.5,15.5,15.12,15.16,8.74,379200
24/01/1990,14.84,15.25,14.84,15.19,8.76,232000
25/01/1990,15.22,15.25,15.03,15.06,8.69,92000
26/01/1990,15.09,15.28,15.09,15.19,8.76,80800
29/01/1990,15.25,15.31,15.22,15.31,8.83,97600
30/01/1990,15.34,15.34,15.25,15.31,8.83,61200
31/01/1990,15.44,15.56,15.44,15.53,8.96,71600
01/02/1990,15.47,15.59,15.44,15.56,8.98,48000
02/02/1990,15.59,15.84,15.59,15.84,9.14,160400
05/02/1990,15.88,15.88,15.78,15.81,9.12,58400
06/02/1990,15.69,15.69,15.34,15.34,8.89,40800
07/02/1990,15.28,15.56,15.19,15.56,9.02,91200
08/02/1990,15.53,15.66,15.53,15.66,9.07,51600
09/02/1990,15.66,15.81,15.66,15.81,9.16,61600
12/02/1990,15.84,16.12,15.84,16.03,9.29,127200
13/02/1990,16.09,16.12,16.03,16.12,9.34,179600
14/02/1990,16.19,16.44,16.19,16.44,9.52,150000
15/02/1990,16.47,17.19,16.47,17.19,9.96,241200
16/02/1990,17.12,17.12,16.84,16.84,9.76,154400
20/02/1990,16.78,16.78,16.53,16.56,9.59,155600
21/02/1990,16.44,16.84,16.44,16.84,9.76,158000
22/02/1990,16.84,17.06,16.78,16.91,9.79,211600
23/02/1990,16.84,17.06,16.84,17.03,9.87,151200
26/02/1990,17.06,17.31,17.03,17.28,10.01,236800
27/02/1990,17.31,17.75,17.31,17.62,10.21,385600
28/02/1990,17.62,17.75,17.5,17.75,10.28,502400
01/03/1990,17.72,17.78,17.59,17.75,10.28,219600
02/03/1990,17.78,17.91,17.69,17.78,10.3,250800
05/03/1990,17.72,17.75,17.59,17.59,10.19,196000
06/03/1990,17.59,17.81,17.5,17.81,10.32,67600
07/03/1990,17.66,17.81,17.66,17.75,10.28,314000
08/03/1990,17.75,17.97,17.75,17.97,10.41,193600
09/03/1990,17.94,18.0,17.84,18.0,10.43,285600
12/03/1990,17.97,18.44,17.94,18.19,10.54,268800
13/03/1990,18.19,18.25,18.06,18.12,10.5,448000
14/03/1990,18.09,18.12,17.94,17.94,10.39,86800
15/03/1990,17.97,18.03,17.84,17.94,10.39,121600
16/03/1990,17.94,18.44,17.91,18.41,10.66,320800
19/03/1990,18.34,18.47,18.12,18.44,10.68,204800
20/03/1990,18.41,18.59,18.34,18.5,10.72,128400
21/03/1990,18.59,18.66,18.44,18.44,10.68,80800
22/03/1990,18.41,18.44,18.25,18.41,10.66,75600
23/03/1990,18.47,18.56,18.44,18.47,10.7,42000
26/03/1990,18.5,18.56,18.28,18.28,10.59,58000
27/03/1990,18.31,18.34,18.09,18.34,10.63,83600
28/03/1990,18.28,18.41,18.19,18.34,10.63,93200
29/03/1990,18.31,18.31,18.22,18.31,10.61,81200
30/03/1990,18.38,18.44,18.19,18.44,10.68,75200
02/04/1990,18.38,18.5,18.28,18.5,10.72,82800
03/04/1990,18.44,18.62,18.44,18.62,10.79,174000
04/04/1990,18.59,18.62,18.5,18.5,10.72,97600
05/04/1990,18.5,18.66,18.5,18.62,10.79,118000
06/04/1990,18.66,18.66,18.56,18.59,10.77,53600
09/04/1990,18.56,18.66,18.56,18.62,10.79,50400
10/04/1990,18.56,18.56,18.34,18.41,10.66,32000
11/04/1990,18.47,18.47,18.25,18.25,10.57,39600
12/04/1990,18.19,18.28,18.12,18.25,10.57,156400
16/04/1990,18.38,18.44,18.28,18.28,10.59,106000
17/04/1990,18.22,18.5,18.19,18.41,10.66,156000
18/04/1990,18.5,18.53,18.25,18.25,10.57,289200
19/04/1990,18.28,18.44,18.22,18.41,10.66,136400
20/04/1990,18.38,18.38,18.25,18.34,10.63,144400
23/04/1990,18.31,18.31,18.03,18.06,10.46,107600
24/04/1990,18.06,18.09,17.81,17.91,10.37,223200
25/04/1990,17.78,17.94,17.75,17.84,10.34,277200
26/04/1990,17.84,17.84,17.62,17.62,10.21,252000
27/04/1990,17.56,17.72,17.47,17.5,10.14,134800
30/04/1990,17.47,17.59,17.41,17.59,10.19,101600
01/05/1990,17.59,17.62,17.53,17.56,10.22,60800
02/05/1990,17.5,17.53,17.47,17.5,10.18,211600
03/05/1990,17.47,17.47,17.31,17.31,10.07,252000
04/05/1990,17.34,17.41,17.31,17.41,10.13,45200
07/05/1990,17.41,17.41,17.34,17.41,10.13,204800
08/05/1990,17.44,17.62,17.44,17.62,10.25,285200
09/05/1990,17.59,17.84,17.59,17.78,10.34,145600
10/05/1990,17.78,17.84,17.78,17.78,10.34,85200
11/05/1990,17.78,18.5,17.78,18.44,10.72,189200
14/05/1990,18.34,18.47,18.34,18.41,10.71,356400
15/05/1990,18.38,18.44,18.28,18.41,10.71,134800
16/05/1990,18.38,18.38,18.06,18.19,10.58,236800
17/05/1990,18.22,18.22,18.03,18.03,10.49,322800
18/05/1990,18.0,18.09,18.0,18.09,10.53,562400
21/05/1990,18.09,18.38,18.09,18.31,10.65,108400
22/05/1990,18.38,18.69,18.38,18.66,10.85,252400
23/05/1990,18.56,18.56,18.47,18.56,10.8,302400
24/05/1990,18.56,18.56,18.47,18.53,10.78,124000
25/05/1990,18.47,18.47,18.34,18.34,10.67,112400
29/05/1990,18.25,18.41,18.22,18.34,10.67,188000
30/05/1990,18.41,18.41,18.31,18.31,10.65,170000
31/05/1990,18.34,18.56,18.31,18.47,10.74,149200
01/06/1990,18.59,18.66,18.47,18.5,10.76,161200
04/06/1990,18.47,18.5,18.44,18.44,10.72,163600
05/06/1990,18.47,18.5,18.38,18.41,10.71,281600
06/06/1990,18.41,18.41,18.28,18.28,10.63,140400
07/06/1990,18.28,18.28,18.03,18.16,10.56,80000
08/06/1990,18.12,18.12,17.88,18.0,10.47,124400
11/06/1990,18.0,18.06,17.91,18.06,10.51,31200
12/06/1990,18.12,18.34,18.12,18.28,10.63,88400
13/06/1990,18.31,18.31,18.22,18.22,10.6,67200
14/06/1990,18.25,18.28,18.19,18.22,10.6,88000
15/06/1990,18.16,18.22,18.16,18.19,10.58,472800
18/06/1990,18.19,18.19,18.06,18.06,10.51,141200
19/06/1990,17.97,18.06,17.97,18.0,10.47,136000
20/06/1990,18.06,18.09,18.0,18.03,10.49,147600
21/06/1990,18.09,18.16,18.0,18.12,10.54,92800
22/06/1990,18.16,18.38,18.12,18.12,10.54,256800
25/06/1990,18.19,18.19,18.06,18.12,10.54,143600
26/06/1990,18.22,18.34,18.22,18.25,10.62,54000
27/06/1990,18.28,18.38,18.25,18.28,10.63,75600
