Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,10.19,10.24,10.13,10.22,5.65,953610
03/01/1990,10.24,10.24,10.07,10.16,5.62,2209421
04/01/1990,10.13,10.16,9.74,9.95,5.5,1718345
05/01/1990,10.01,10.07,9.89,9.92,5.49,2005016
08/01/1990,9.86,10.01,9.83,9.98,5.52,904503
09/01/1990,10.01,10.07,9.89,9.89,5.47,755921
10/01/1990,9.83,9.89,9.74,9.83,5.44,673655
11/01/1990,9.89,9.95,9.86,9.95,5.5,829372
12/01/1990,9.83,9.89,9.65,9.83,5.44,1896307
15/01/1990,9.8,9.86,9.71,9.74,5.39,1231047
16/01/1990,9.62,9.71,9.53,9.71,5.37,3391360
17/01/1990,9.65,9.71,9.5,9.59,5.31,1330521
18/01/1990,9.53,9.68,9.5,9.68,5.36,1872383
19/01/1990,9.68,9.86,9.65,9.8,5.42,1846360
22/01/1990,9.83,9.86,9.44,9.44,5.22,1139547
23/01/1990,9.53,9.59,9.35,9.5,5.26,576279
24/01/1990,9.35,9.53,9.23,9.41,5.21,1225171
25/01/1990,9.44,9.56,9.41,9.53,5.27,1617612
26/01/1990,9.53,9.62,9.5,9.59,5.31,1901764
29/01/1990,9.65,9.68,9.56,9.65,5.34,1916454
30/01/1990,9.68,9.77,9.65,9.77,5.41,2504486
31/01/1990,9.8,10.1,9.8,10.01,5.54,3638996
01/02/1990,10.01,10.1,9.98,10.01,5.54,2035655
02/02/1990,9.98,10.13,9.98,10.04,5.55,1537445
05/02/1990,10.04,10.16,9.98,10.16,5.62,1633981
06/02/1990,10.19,10.19,10.04,10.1,5.59,1518557
07/02/1990,10.13,10.87,10.07,10.81,5.98,9425295
08/02/1990,10.72,10.99,10.69,10.87,6.02,6268979
09/02/1990,10.9,11.02,10.87,10.99,6.08,2658104
12/02/1990,10.99,11.02,10.87,10.9,6.03,1740171
13/02/1990,10.87,10.96,10.78,10.84,6.0,2662302
14/02/1990,10.84,10.99,10.81,10.96,6.06,1815721
15/02/1990,10.9,11.17,10.9,11.17,6.18,3416543
16/02/1990,11.14,11.17,10.93,11.08,6.13,2946874
20/02/1990,10.99,11.2,10.75,11.2,6.2,1923170
21/02/1990,11.14,11.32,11.11,11.29,6.25,5583152
22/02/1990,11.32,11.41,10.66,10.75,5.95,4235842
23/02/1990,10.6,10.69,10.24,10.42,5.8,4324404
26/02/1990,10.36,10.63,10.36,10.63,5.92,3274677
27/02/1990,10.72,10.84,10.45,10.45,5.82,2465452
28/02/1990,10.57,10.84,10.48,10.66,5.93,3418642
01/03/1990,10.66,11.02,10.6,10.96,6.1,2797033
02/03/1990,10.9,11.02,10.81,10.84,6.03,1800191
05/03/1990,10.87,10.9,10.66,10.75,5.98,1129474
06/03/1990,10.75,10.87,10.75,10.84,6.03,2807526
07/03/1990,10.84,10.84,10.78,10.84,6.03,2040692
08/03/1990,10.84,10.87,10.63,10.81,6.02,2662302
09/03/1990,10.75,10.84,10.72,10.75,5.98,1576479
12/03/1990,10.75,10.75,10.6,10.72,5.97,1228529
13/03/1990,10.63,10.72,10.6,10.63,5.92,839026
14/03/1990,10.6,10.78,10.57,10.69,5.95,1473227
15/03/1990,10.69,10.69,10.6,10.66,5.93,870925
16/03/1990,10.72,10.78,10.63,10.75,5.98,3267962
19/03/1990,10.69,11.05,10.66,11.05,6.15,2756319
20/03/1990,11.05,11.14,10.99,11.02,6.13,2386544
21/03/1990,11.02,11.05,10.78,10.81,6.02,776067
22/03/1990,10.75,10.84,10.57,10.66,5.93,1340595
23/03/1990,10.63,10.84,10.63,10.84,6.03,903243
26/03/1990,10.84,10.84,10.63,10.66,5.93,1042591
27/03/1990,10.63,10.81,10.6,10.69,5.95,1414046
28/03/1990,10.69,11.02,10.69,10.93,6.08,3258728
29/03/1990,10.93,10.99,10.87,10.93,6.08,1610476
30/03/1990,10.93,10.93,10.72,10.81,6.02,830631
02/04/1990,10.72,10.78,10.6,10.78,6.0,1112685
03/04/1990,10.81,10.99,10.72,10.96,6.1,3033336
04/04/1990,10.93,10.96,10.72,10.84,6.03,1746886
05/04/1990,10.84,10.96,10.78,10.84,6.03,2786539
06/04/1990,10.84,10.93,10.81,10.84,6.03,1453920
09/04/1990,10.84,10.93,10.84,10.87,6.05,1303659
10/04/1990,10.81,10.84,10.51,10.51,5.85,1472387
11/04/1990,10.36,10.45,10.27,10.36,5.77,2859991
12/04/1990,10.42,10.45,10.36,10.39,5.78,1869445
16/04/1990,10.39,10.42,10.27,10.3,5.73,1178582
17/04/1990,10.3,10.54,10.27,10.51,5.85,1680150
18/04/1990,10.54,10.54,10.36,10.39,5.78,757600
19/04/1990,10.36,10.51,10.33,10.39,5.78,1247416
20/04/1990,10.42,10.42,10.22,10.3,5.73,1626426
23/04/1990,10.24,10.27,10.13,10.16,5.65,1143745
24/04/1990,10.16,10.27,10.16,10.22,5.68,1250354
25/04/1990,10.16,10.22,10.16,10.16,5.65,692543
26/04/1990,10.16,10.36,10.16,10.3,5.73,1764515
27/04/1990,10.27,10.39,10.1,10.13,5.63,2758418
30/04/1990,10.07,10.19,9.95,10.19,5.67,1241120
01/05/1990,10.27,10.36,10.19,10.3,5.73,740811
02/05/1990,10.48,10.51,10.39,10.51,5.85,2536804
03/05/1990,10.66,10.72,10.63,10.69,5.95,1813202
04/05/1990,10.75,10.87,10.69,10.84,6.03,1662942
07/05/1990,10.84,10.84,10.72,10.75,5.98,1365778
08/05/1990,10.75,10.78,10.69,10.72,5.97,500310
09/05/1990,10.66,10.75,10.57,10.72,5.97,1368716
10/05/1990,10.72,10.75,10.63,10.72,5.97,1174804
11/05/1990,10.84,11.26,10.81,11.23,6.25,3770370
14/05/1990,11.17,11.41,11.17,11.38,6.33,3473206
