Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,5.56,6.0,5.56,6.0,2.97,1358438
03/01/1990,6.0,6.0,5.89,5.96,2.95,508613
04/01/1990,5.96,6.19,5.96,6.11,3.03,459338
05/01/1990,6.11,6.19,6.07,6.19,3.06,607500
08/01/1990,6.11,6.19,6.04,6.19,3.06,206213
09/01/1990,6.19,6.22,6.11,6.11,3.03,387788
10/01/1990,6.11,6.15,6.07,6.15,3.04,410738
11/01/1990,6.15,6.15,6.11,6.15,3.04,278775
12/01/1990,6.11,6.15,5.93,5.93,2.93,570713
15/01/1990,5.93,5.93,5.81,5.85,2.9,514688
16/01/1990,5.85,5.93,5.78,5.93,2.93,739463
17/01/1990,5.93,5.96,5.89,5.93,2.93,218700
18/01/1990,5.85,5.93,5.81,5.93,2.93,329738
19/01/1990,5.93,5.96,5.89,5.93,2.93,306450
22/01/1990,5.93,5.93,5.78,5.78,2.86,245025
23/01/1990,5.78,5.93,5.7,5.7,2.82,432675
24/01/1990,5.63,5.74,5.44,5.59,2.77,634163
25/01/1990,5.59,5.67,5.44,5.44,2.7,406013
26/01/1990,5.48,5.67,5.44,5.63,2.79,355050
29/01/1990,5.7,5.7,5.56,5.56,2.76,447525
30/01/1990,5.59,5.59,5.33,5.44,2.7,1035450
31/01/1990,5.48,5.59,5.44,5.59,2.77,181238
01/02/1990,5.59,5.59,5.33,5.52,2.74,264263
02/02/1990,5.48,5.63,5.48,5.59,2.77,218363
05/02/1990,5.59,5.59,5.37,5.44,2.7,640238
06/02/1990,5.41,5.48,5.41,5.41,2.68,145800
07/02/1990,5.41,5.56,5.37,5.56,2.76,261225
08/02/1990,5.52,5.7,5.52,5.59,2.77,108000
09/02/1990,5.63,5.85,5.59,5.85,2.9,225450
12/02/1990,5.81,5.85,5.63,5.63,2.79,352688
13/02/1990,5.63,5.67,5.59,5.67,2.81,220050
14/02/1990,5.63,5.63,5.37,5.59,2.77,289575
15/02/1990,5.59,5.7,5.48,5.56,2.76,401288
16/02/1990,5.59,5.63,5.52,5.59,2.77,176175
20/02/1990,5.56,5.59,5.52,5.52,2.74,454275
21/02/1990,5.44,5.48,5.37,5.48,2.72,400613
22/02/1990,5.44,5.48,5.3,5.3,2.63,579150
23/02/1990,5.22,5.48,5.22,5.44,2.7,400950
26/02/1990,5.44,5.59,5.44,5.59,2.77,160650
27/02/1990,5.63,5.67,5.59,5.59,2.77,328050
28/02/1990,5.56,5.59,5.52,5.59,2.77,715163
01/03/1990,5.52,5.59,5.48,5.52,2.74,210263
02/03/1990,5.56,5.56,5.44,5.56,2.76,102600
05/03/1990,5.48,5.52,5.41,5.41,2.68,234563
06/03/1990,5.44,5.56,5.41,5.56,2.76,132638
07/03/1990,5.63,5.7,5.63,5.63,2.79,321300
08/03/1990,5.63,5.63,5.52,5.56,2.76,95513
09/03/1990,5.56,5.56,5.48,5.56,2.76,106988
12/03/1990,5.48,5.48,5.41,5.48,2.72,481275
13/03/1990,5.44,5.52,5.44,5.48,2.72,251438
14/03/1990,5.48,5.56,5.41,5.52,2.74,340538
15/03/1990,5.52,5.59,5.48,5.52,2.74,411750
16/03/1990,5.56,5.56,5.44,5.56,2.76,638888
19/03/1990,5.48,5.63,5.48,5.63,2.79,270000
20/03/1990,5.63,5.7,5.56,5.56,2.76,678713
21/03/1990,5.52,5.7,5.52,5.63,2.79,591638
22/03/1990,5.67,5.78,5.67,5.78,2.87,735075
23/03/1990,5.81,5.93,5.81,5.89,2.92,437400
26/03/1990,5.93,6.0,5.81,5.81,2.88,444488
27/03/1990,5.81,5.81,5.7,5.78,2.87,409725
28/03/1990,5.78,5.81,5.7,5.78,2.87,353700
29/03/1990,5.78,5.78,5.7,5.78,2.87,197100
30/03/1990,5.74,5.78,5.67,5.7,2.83,128588
02/04/1990,5.63,5.67,5.59,5.63,2.79,183938
03/04/1990,5.7,5.85,5.67,5.81,2.88,613575
04/04/1990,5.78,5.85,5.63,5.74,2.85,261563
05/04/1990,5.81,5.81,5.7,5.74,2.85,305775
06/04/1990,5.78,5.78,5.63,5.7,2.83,314888
09/04/1990,5.67,5.7,5.59,5.63,2.79,106988
10/04/1990,5.63,5.78,5.63,5.67,2.81,417488
11/04/1990,5.7,5.74,5.7,5.74,2.85,50288
12/04/1990,5.7,5.74,5.63,5.7,2.83,422213
16/04/1990,5.67,5.74,5.59,5.59,2.77,433688
17/04/1990,5.56,5.56,5.37,5.41,2.68,898088
18/04/1990,5.41,5.44,5.33,5.33,2.65,727313
19/04/1990,5.33,5.52,5.33,5.37,2.66,1089113
20/04/1990,5.41,5.44,5.26,5.37,2.66,235575
23/04/1990,5.33,5.37,5.33,5.33,2.65,213300
24/04/1990,5.33,5.33,5.22,5.22,2.59,597713
25/04/1990,5.3,5.33,5.22,5.3,2.63,618300
26/04/1990,5.26,5.3,5.26,5.26,2.61,203175
27/04/1990,5.26,5.26,5.07,5.11,2.54,277425
30/04/1990,5.07,5.22,5.04,5.15,2.56,126900
01/05/1990,5.22,5.3,5.19,5.26,2.62,199800
02/05/1990,5.22,5.22,5.19,5.22,2.6,266288
03/05/1990,5.26,5.33,5.22,5.22,2.6,208913
04/05/1990,5.3,5.37,5.3,5.33,2.65,551813
07/05/1990,5.37,5.41,5.33,5.33,2.65,170100
08/05/1990,5.33,5.48,5.33,5.44,2.71,446850
09/05/1990,5.44,5.56,5.41,5.48,2.73,339188
10/05/1990,5.48,5.52,5.37,5.41,2.69,437738
11/05/1990,5.41,5.56,5.41,5.56,2.76,313538
14/05/1990,5.56,5.89,5.56,5.85,2.91,489038
15/05/1990,5.81,5.81,5.7,5.78,2.87,145800
16/05/1990,5.78,5.81,5.7,5.74,2.86,180900
17/05/1990,5.7,5.81,5.7,5.7,2.84,176850
18/05/1990,5.7,5.74,5.59,5.74,2.86,153900
21/05/1990,5.67,5.93,5.67,5.85,2.91,356400
22/05/1990,5.89,5.93,5.81,5.89,2.93,241650
23/05/1990,5.85,5.96,5.85,5.96,2.97,435038
24/05/1990,5.96,5.96,5.85,5.89,2.93,348300
25/05/1990,5.85,5.89,5.81,5.81,2.89,203175
29/05/1990,5.89,6.33,5.89,6.33,3.15,257850
30/05/1990,6.33,6.33,6.11,6.19,3.08,1095188
31/05/1990,6.19,6.37,6.19,6.3,3.13,2085413
01/06/1990,6.3,6.33,6.15,6.26,3.11,929475
04/06/1990,6.22,6.26,6.15,6.15,3.06,464063
05/06/1990,6.15,6.19,5.96,6.07,3.02,292950
06/06/1990,6.15,6.26,6.04,6.04,3.0,3807000
07/06/1990,6.07,6.07,6.0,6.07,3.02,183263
08/06/1990,6.07,6.07,5.85,5.93,2.95,116100
11/06/1990,5.93,5.96,5.59,5.67,2.82,772538
12/06/1990,5.63,5.78,5.56,5.74,2.86,207563
13/06/1990,5.63,5.67,5.52,5.67,2.82,279113
14/06/1990,5.59,5.7,5.56,5.67,2.82,130613
15/06/1990,5.56,5.63,5.52,5.59,2.78,501863
18/06/1990,5.59,5.63,5.56,5.59,2.78,131625
19/06/1990,5.59,5.63,5.56,5.56,2.76,183600
20/06/1990,5.59,5.63,5.56,5.63,2.8,160313
21/06/1990,5.63,5.67,5.63,5.67,2.82,850163
22/06/1990,5.67,5.7,5.59,5.59,2.78,325013
25/06/1990,5.63,5.67,5.56,5.56,2.76,591300
26/06/1990,5.63,5.7,5.56,5.56,2.76,212625
27/06/1990,5.56,5.67,5.52,5.63,2.8,188663
28/06/1990,5.67,5.78,5.63,5.7,2.84,273713
29/06/1990,5.7,5.78,5.04,5.44,2.71,1756013
02/07/1990,5.37,5.37,5.04,5.19,2.58,827213
03/07/1990,5.19,5.37,5.19,5.33,2.65,564975
05/07/1990,5.26,5.26,5.15,5.15,2.56,134663
06/07/1990,5.15,5.22,5.15,5.22,2.6,126563
09/07/1990,5.22,5.3,5.19,5.22,2.6,435713
10/07/1990,5.22,5.33,5.15,5.3,2.64,1315575
11/07/1990,5.22,5.37,5.22,5.37,2.67,376313
12/07/1990,5.37,5.41,5.26,5.37,2.67,734400
13/07/1990,5.33,5.41,5.3,5.37,2.67,490725
16/07/1990,5.33,5.41,5.3,5.37,2.67,571050
17/07/1990,5.33,5.37,5.3,5.37,2.67,630788
18/07/1990,5.33,5.33,5.19,5.26,2.62,97200
19/07/1990,5.22,5.22,5.07,5.15,2.56,956475
20/07/1990,5.07,5.07,4.89,4.96,2.47,1335488
23/07/1990,4.96,5.04,4.78,4.96,2.47,558900
24/07/1990,5.0,5.04,4.89,4.96,2.47,200138
25/07/1990,4.96,5.11,4.93,5.11,2.54,145463
26/07/1990,5.07,5.07,4.96,5.0,2.49,414450
27/07/1990,4.85,5.15,4.85,5.15,2.56,427950
30/07/1990,5.04,5.11,5.0,5.11,2.55,325350
31/07/1990,5.11,5.11,5.04,5.11,2.55,218700
01/08/1990,5.04,5.19,4.96,5.15,2.57,299025
02/08/1990,5.07,5.11,4.89,5.04,2.51,439088
03/08/1990,5.0,5.0,4.7,4.85,2.42,362813
06/08/1990,4.67,4.85,4.59,4.85,2.42,665888
07/08/1990,4.78,4.93,4.78,4.89,2.44,642263
08/08/1990,4.85,4.93,4.81,4.85,2.42,159638
09/08/1990,4.81,4.85,4.74,4.78,2.38,114075
10/08/1990,4.78,4.78,4.63,4.67,2.33,99225
13/08/1990,4.59,4.67,4.52,4.56,2.27,107663
14/08/1990,4.59,4.7,4.52,4.7,2.35,216675
15/08/1990,4.74,4.78,4.67,4.7,2.35,344588
16/08/1990,4.63,4.63,4.52,4.52,2.25,197438
17/08/1990,4.44,4.44,4.22,4.33,2.16,889988
20/08/1990,4.3,4.48,4.3,4.48,2.24,379013
21/08/1990,4.41,4.41,4.22,4.3,2.14,261225
22/08/1990,4.3,4.33,4.11,4.11,2.05,207900
23/08/1990,3.89,3.96,3.85,3.85,1.92,336825
24/08/1990,3.93,3.96,3.74,3.85,1.92,255488
27/08/1990,4.07,4.3,4.04,4.3,2.14,300375
28/08/1990,4.33,4.41,4.3,4.33,2.16,289913
29/08/1990,4.33,4.44,4.33,4.37,2.18,306788
30/08/1990,4.33,4.33,4.26,4.3,2.14,403988
31/08/1990,4.26,4.3,4.26,4.3,2.14,87413
04/09/1990,4.3,4.3,4.19,4.22,2.11,405675
05/09/1990,4.26,4.3,4.22,4.26,2.13,127575
06/09/1990,4.26,4.26,4.22,4.26,2.13,122175
07/09/1990,4.22,4.3,4.19,4.3,2.14,554850
10/09/1990,4.33,4.37,4.26,4.26,2.13,232200
11/09/1990,4.22,4.26,4.19,4.26,2.13,148163
12/09/1990,4.26,4.3,4.07,4.11,2.05,429638
13/09/1990,4.11,4.26,4.11,4.19,2.09,246713
14/09/1990,4.15,4.19,4.15,4.19,2.09,83025
17/09/1990,4.19,4.19,4.15,4.19,2.09,237600
18/09/1990,4.19,4.19,4.11,4.19,2.09,70875
19/09/1990,4.15,4.19,4.04,4.04,2.01,142425
20/09/1990,4.04,4.15,4.04,4.11,2.05,150863
21/09/1990,4.07,4.07,4.0,4.04,2.01,292613
24/09/1990,4.0,4.0,3.93,3.93,1.96,322313
25/09/1990,3.85,4.04,3.81,3.96,1.98,428625
26/09/1990,3.93,4.0,3.89,3.93,1.96,92813
27/09/1990,3.93,4.0,3.81,3.81,1.9,265950
28/09/1990,3.7,3.81,3.56,3.59,1.79,343913
01/10/1990,3.63,4.07,3.63,4.0,2.0,415125
02/10/1990,3.96,4.04,3.81,3.93,1.96,958500
03/10/1990,3.89,3.96,3.89,3.89,1.94,583538
04/10/1990,3.85,4.0,3.85,3.96,1.98,233213
05/10/1990,3.89,4.04,3.78,4.04,2.01,227813
08/10/1990,4.07,4.11,3.96,4.0,2.0,57375
09/10/1990,3.93,3.93,3.74,3.74,1.87,94163
10/10/1990,3.7,3.7,3.56,3.63,1.81,426600
11/10/1990,3.59,3.59,3.41,3.44,1.72,876150
12/10/1990,3.56,3.63,3.37,3.37,1.68,1257863
15/10/1990,3.44,3.63,3.33,3.56,1.77,376988
16/10/1990,3.52,3.56,3.44,3.44,1.72,863325
17/10/1990,3.41,3.52,3.41,3.48,1.74,107663
18/10/1990,3.52,3.63,3.52,3.63,1.81,442800
19/10/1990,3.63,3.63,3.52,3.63,1.81,483300
22/10/1990,3.59,3.67,3.52,3.56,1.77,575438
23/10/1990,3.59,3.59,3.52,3.56,1.77,597375
24/10/1990,3.56,3.67,3.52,3.63,1.81,554513
25/10/1990,3.67,3.78,3.63,3.78,1.88,183263
26/10/1990,3.78,3.96,3.78,3.93,1.96,756000
29/10/1990,3.93,4.07,3.93,3.96,1.98,450563
30/10/1990,3.96,4.0,3.89,3.89,1.95,284175
31/10/1990,3.78,4.0,3.78,3.85,1.93,311513
01/11/1990,3.93,3.96,3.85,3.96,1.98,241313
02/11/1990,3.96,4.04,3.93,3.93,1.97,785025
05/11/1990,4.0,4.0,3.89,4.0,2.0,243675
06/11/1990,4.0,4.04,3.93,3.96,1.98,662175
07/11/1990,3.96,4.07,3.93,4.07,2.04,319613
08/11/1990,4.11,4.15,4.0,4.04,2.02,316238
09/11/1990,4.0,4.19,4.0,4.15,2.08,341550
12/11/1990,4.19,4.26,4.15,4.26,2.13,186300
13/11/1990,4.22,4.3,4.19,4.22,2.11,320963
14/11/1990,4.15,4.48,4.15,4.44,2.23,483638
15/11/1990,4.44,4.48,4.33,4.37,2.19,116100
16/11/1990,4.37,4.44,4.33,4.37,2.19,432675
19/11/1990,4.44,4.48,4.37,4.44,2.23,435038
20/11/1990,4.37,4.48,4.37,4.41,2.21,379350
21/11/1990,4.44,4.48,4.41,4.48,2.24,155250
23/11/1990,4.44,4.56,4.44,4.52,2.26,61088
26/11/1990,4.44,4.44,4.3,4.41,2.21,456975
27/11/1990,4.44,4.59,4.41,4.48,2.24,113738
