Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,7.32,7.23,7.27,2.09,300058
03/01/1990,0.0,7.41,7.23,7.32,2.11,169682
04/01/1990,0.0,7.32,7.13,7.13,2.05,289540
05/01/1990,0.0,7.27,7.04,7.04,2.03,111830
08/01/1990,0.0,7.13,6.86,6.95,2.0,288432
09/01/1990,0.0,6.95,6.77,6.86,1.98,213141
10/01/1990,0.0,6.86,6.59,6.86,1.98,403307
11/01/1990,0.0,6.95,6.77,6.95,2.0,212587
12/01/1990,0.0,6.86,6.77,6.77,1.95,232517
15/01/1990,0.0,7.04,6.77,6.95,2.0,186291
16/01/1990,0.0,7.04,6.86,6.95,2.0,247742
17/01/1990,0.0,7.13,6.95,6.95,2.0,79720
18/01/1990,0.0,7.04,6.95,6.95,2.0,27404
19/01/1990,0.0,7.04,6.86,6.86,1.98,135912
22/01/1990,0.0,6.95,6.77,6.77,1.95,100204
23/01/1990,0.0,6.86,6.77,6.77,1.95,102972
24/01/1990,0.0,6.77,6.59,6.77,1.95,242482
25/01/1990,0.0,6.77,6.68,6.68,1.92,39030
26/01/1990,0.0,6.86,6.68,6.86,1.98,122072
29/01/1990,0.0,6.86,6.68,6.68,1.92,86087
30/01/1990,0.0,6.77,6.5,6.59,1.9,424067
31/01/1990,0.0,6.68,6.55,6.64,1.91,65050
01/02/1990,0.0,6.64,6.5,6.55,1.89,212864
02/02/1990,0.0,6.68,6.5,6.64,1.91,155012
05/02/1990,0.0,6.68,6.55,6.68,1.92,86917
06/02/1990,0.0,6.68,6.59,6.64,1.91,53700
07/02/1990,0.0,6.68,6.59,6.64,1.91,182692
08/02/1990,0.0,6.68,6.59,6.59,1.9,226981
09/02/1990,0.0,6.68,6.59,6.59,1.9,151967
12/02/1990,0.0,6.68,6.55,6.55,1.89,99373
13/02/1990,0.0,6.68,6.55,6.59,1.9,89132
14/02/1990,0.0,6.73,6.59,6.68,1.92,194318
15/02/1990,0.0,6.95,6.59,6.95,2.0,303380
16/02/1990,0.0,6.95,6.68,6.68,1.92,181308
20/02/1990,0.0,6.77,6.59,6.68,1.92,80827
21/02/1990,0.0,6.68,6.5,6.59,1.9,78890
22/02/1990,0.0,6.59,6.5,6.5,1.87,55084
23/02/1990,0.0,6.59,6.5,6.59,1.9,29895
26/02/1990,0.0,6.59,6.5,6.5,1.87,58960
27/02/1990,0.0,6.68,6.5,6.68,1.92,173834
28/02/1990,0.0,6.68,6.5,6.59,1.9,63942
01/03/1990,0.0,6.77,6.59,6.68,1.92,79997
02/03/1990,0.0,6.77,6.59,6.68,1.92,27127
05/03/1990,0.0,6.77,6.59,6.68,1.92,25743
06/03/1990,0.0,6.77,6.59,6.59,1.92,57299
07/03/1990,0.0,6.68,6.59,6.59,1.92,82212
08/03/1990,0.0,6.77,6.59,6.68,1.94,87471
09/03/1990,0.0,6.68,6.59,6.68,1.94,37092
12/03/1990,0.0,6.68,6.59,6.59,1.92,27957
13/03/1990,0.0,6.68,6.59,6.59,1.92,150583
14/03/1990,0.0,6.68,6.59,6.59,1.92,31556
15/03/1990,0.0,6.68,6.59,6.59,1.92,26297
16/03/1990,0.0,6.64,6.5,6.5,1.89,147261
19/03/1990,0.0,6.68,6.5,6.5,1.89,284557
20/03/1990,0.0,6.68,6.5,6.64,1.93,208989
21/03/1990,0.0,6.64,6.5,6.55,1.9,436801
22/03/1990,0.0,6.64,6.5,6.5,1.89,398324
23/03/1990,0.0,6.59,6.5,6.5,1.89,146431
26/03/1990,6.55,6.59,6.5,6.5,1.89,108508
27/03/1990,6.5,6.59,6.41,6.46,1.88,230857
28/03/1990,6.5,6.5,6.32,6.41,1.87,146984
29/03/1990,6.32,6.5,6.32,6.41,1.87,46503
30/03/1990,6.41,6.5,6.41,6.46,1.88,231133
02/04/1990,6.41,6.46,6.37,6.41,1.87,200685
03/04/1990,6.37,6.46,6.37,6.37,1.85,192380
04/04/1990,6.37,6.46,6.32,6.46,1.88,97159
05/04/1990,6.41,6.41,6.28,6.41,1.87,98820
06/04/1990,6.41,6.41,6.14,6.23,1.81,367876
09/04/1990,6.32,6.32,6.14,6.32,1.84,54254
10/04/1990,6.23,6.32,6.23,6.32,1.84,82212
11/04/1990,6.23,6.32,6.23,6.32,1.84,112660
12/04/1990,6.23,6.32,6.23,6.23,1.81,127054
16/04/1990,6.32,6.32,6.23,6.32,1.84,209819
17/04/1990,6.32,6.32,6.23,6.32,1.84,110446
18/04/1990,6.32,6.32,6.23,6.23,1.81,88578
19/04/1990,6.23,6.23,6.14,6.14,1.79,131483
20/04/1990,6.14,6.23,6.05,6.14,1.79,72246
23/04/1990,6.05,6.23,5.96,6.14,1.79,168021
24/04/1990,6.05,6.14,6.05,6.14,1.79,71970
25/04/1990,6.14,6.14,6.05,6.05,1.76,11349
26/04/1990,6.05,6.14,5.96,6.14,1.79,44012
27/04/1990,5.96,6.14,5.96,5.96,1.73,35431
30/04/1990,5.96,6.14,5.96,6.14,1.79,200131
01/05/1990,6.05,6.23,6.05,6.23,1.81,135082
02/05/1990,6.23,6.23,6.14,6.14,1.79,39583
03/05/1990,6.14,6.23,6.14,6.14,1.79,13840
04/05/1990,6.14,6.23,6.14,6.14,1.79,26573
07/05/1990,6.14,6.23,6.14,6.14,1.79,67818
08/05/1990,6.14,6.23,6.14,6.23,1.81,51486
09/05/1990,6.23,6.23,6.14,6.23,1.81,42351
10/05/1990,6.23,6.23,6.14,6.23,1.81,78336
11/05/1990,6.23,6.41,6.14,6.32,1.84,143109
14/05/1990,6.41,6.41,6.32,6.41,1.87,135358
15/05/1990,6.32,6.41,6.32,6.41,1.87,100204
16/05/1990,6.32,6.5,6.32,6.32,1.84,112937
17/05/1990,6.41,6.5,6.32,6.32,1.84,26573
18/05/1990,6.41,6.5,6.41,6.46,1.88,90516
21/05/1990,6.41,6.5,6.32,6.41,1.87,406075
22/05/1990,6.37,6.5,6.32,6.5,1.89,29895
23/05/1990,6.5,6.5,6.32,6.32,1.84,103802
24/05/1990,6.32,6.5,6.32,6.41,1.87,70309
25/05/1990,6.41,6.5,6.41,6.5,1.89,373412
29/05/1990,6.5,6.5,6.41,6.5,1.89,52316
30/05/1990,6.41,6.5,6.41,6.46,1.88,75015
31/05/1990,6.5,6.5,6.41,6.46,1.88,84980
01/06/1990,6.5,6.5,6.41,6.46,1.88,100758
04/06/1990,6.5,6.5,6.41,6.5,1.89,191827
05/06/1990,6.5,6.59,6.41,6.41,1.89,84426
06/06/1990,6.5,6.68,6.41,6.68,1.97,477768
07/06/1990,6.59,6.68,6.5,6.55,1.93,245527
08/06/1990,6.68,6.68,6.5,6.59,1.94,77506
11/06/1990,6.5,6.59,6.41,6.41,1.89,132867
12/06/1990,6.5,6.5,6.41,6.5,1.91,62835
13/06/1990,6.59,6.59,6.41,6.41,1.89,21037
14/06/1990,6.41,6.59,6.41,6.46,1.9,91069
15/06/1990,6.41,6.5,6.41,6.41,1.89,120411
18/06/1990,6.5,6.5,6.32,6.46,1.9,94114
19/06/1990,6.37,6.46,6.37,6.37,1.87,39030
20/06/1990,6.37,6.46,6.37,6.46,1.9,60621
21/06/1990,6.37,6.46,6.37,6.46,1.9,50656
22/06/1990,6.37,6.46,6.37,6.37,1.87,179371
25/06/1990,6.37,6.46,6.32,6.37,1.87,146984
26/06/1990,6.37,6.37,6.23,6.37,1.87,46503
27/06/1990,6.37,6.37,6.23,6.32,1.86,22698
28/06/1990,6.32,6.32,6.23,6.23,1.83,8581
29/06/1990,6.32,6.32,6.23,6.23,1.83,22698
02/07/1990,6.23,6.32,6.23,6.32,1.86,82212
03/07/1990,6.16,6.36,6.16,6.16,1.81,54355
05/07/1990,6.26,6.26,6.16,6.26,1.84,22396
06/07/1990,6.16,6.26,6.16,6.21,1.83,121795
09/07/1990,6.26,6.36,6.16,6.16,1.81,33217
10/07/1990,6.21,6.36,6.16,6.21,1.83,65930
11/07/1990,6.26,6.26,6.16,6.21,1.83,105438
12/07/1990,6.21,6.21,6.16,6.21,1.83,79267
13/07/1990,6.16,6.21,6.06,6.06,1.78,34978
16/07/1990,6.16,6.16,5.96,5.96,1.75,55361
17/07/1990,6.16,6.16,5.96,5.96,1.75,83294
18/07/1990,6.06,6.06,5.76,5.91,1.74,182692
19/07/1990,5.96,5.96,5.86,5.96,1.75,150985
20/07/1990,5.96,5.96,5.76,5.76,1.7,121795
23/07/1990,5.76,5.96,5.76,5.86,1.72,99147
24/07/1990,5.86,5.86,5.66,5.76,1.7,108961
25/07/1990,5.86,5.86,5.76,5.81,1.71,75493
26/07/1990,5.81,5.86,5.76,5.76,1.7,31707
27/07/1990,5.76,5.76,5.46,5.46,1.61,342233
30/07/1990,5.66,5.66,5.46,5.66,1.67,71466
31/07/1990,5.66,5.66,5.46,5.66,1.67,183950
01/08/1990,5.66,5.66,5.46,5.46,1.61,216161
02/08/1990,5.51,5.51,5.36,5.51,1.62,236544
03/08/1990,5.51,5.51,5.22,5.36,1.58,230504
06/08/1990,5.36,5.36,5.17,5.32,1.56,268251
07/08/1990,5.36,5.41,5.32,5.41,1.59,85307
08/08/1990,5.41,5.46,5.32,5.41,1.59,61904
09/08/1990,5.41,5.41,5.32,5.36,1.58,263218
10/08/1990,5.46,5.46,5.27,5.36,1.58,48819
13/08/1990,5.36,5.36,5.27,5.36,1.58,51587
14/08/1990,5.36,5.36,5.27,5.36,1.58,67943
15/08/1990,5.36,5.36,5.27,5.32,1.56,93611
16/08/1990,5.27,5.32,5.07,5.12,1.51,275045
17/08/1990,5.07,5.12,4.87,4.97,1.46,172878
20/08/1990,4.97,5.07,4.87,5.07,1.49,153502
21/08/1990,5.07,5.07,4.97,4.97,1.46,304990
22/08/1990,4.97,5.07,4.97,4.97,1.46,184202
23/08/1990,4.97,5.07,4.92,5.02,1.48,199301
24/08/1990,5.07,5.07,4.97,5.02,1.48,234782
27/08/1990,5.07,5.17,5.02,5.07,1.49,737563
28/08/1990,5.12,5.12,5.02,5.12,1.51,326380
29/08/1990,5.12,5.12,5.02,5.07,1.49,370166
30/08/1990,5.12,5.12,5.02,5.02,1.48,95372
31/08/1990,5.02,5.12,5.02,5.12,1.51,117517
04/09/1990,5.12,5.12,5.02,5.12,1.53,229749
05/09/1990,5.12,5.17,5.07,5.17,1.54,132364
06/09/1990,5.07,5.17,5.07,5.17,1.54,80526
07/09/1990,5.17,5.17,5.07,5.17,1.54,135887
10/09/1990,5.17,5.17,5.12,5.17,1.54,168097
11/09/1990,5.17,5.17,5.07,5.12,1.53,124563
12/09/1990,5.07,5.12,5.07,5.12,1.53,58633
13/09/1990,5.12,5.12,5.02,5.12,1.53,430308
14/09/1990,5.07,5.07,4.97,5.07,1.51,104180
17/09/1990,4.97,5.07,4.87,4.92,1.47,616272
18/09/1990,4.97,4.97,4.77,4.87,1.45,207102
19/09/1990,4.87,4.87,4.77,4.87,1.45,44541
20/09/1990,4.77,4.87,4.67,4.77,1.43,234279
21/09/1990,4.77,4.77,4.67,4.77,1.43,107200
24/09/1990,4.67,4.77,4.17,4.37,1.31,226730
25/09/1990,4.27,4.47,4.27,4.37,1.31,287879
26/09/1990,4.42,4.42,4.27,4.42,1.32,155515
27/09/1990,4.42,4.42,4.17,4.27,1.28,288382
28/09/1990,4.27,4.37,4.17,4.22,1.26,290647
01/10/1990,4.37,4.42,4.17,4.37,1.31,239815
02/10/1990,4.42,4.47,4.27,4.27,1.28,581797
03/10/1990,4.37,4.37,4.27,4.32,1.29,462770
04/10/1990,4.32,4.32,4.27,4.32,1.29,407157
05/10/1990,4.32,4.32,4.17,4.17,1.25,181937
08/10/1990,4.22,4.27,4.17,4.27,1.28,286872
09/10/1990,4.27,4.27,4.17,4.27,1.28,99902
10/10/1990,4.27,4.27,4.17,4.17,1.25,409170
11/10/1990,4.27,4.27,4.07,4.07,1.22,437102
12/10/1990,4.07,4.27,4.07,4.27,1.28,190996
15/10/1990,4.27,4.27,4.22,4.22,1.26,306500
16/10/1990,4.27,4.27,4.17,4.17,1.25,139158
17/10/1990,4.17,4.22,4.12,4.12,1.23,138655
18/10/1990,4.12,4.17,3.63,4.07,1.22,2445459
19/10/1990,4.07,4.22,3.97,4.17,1.25,328645
22/10/1990,4.07,4.47,4.07,4.37,1.31,231762
23/10/1990,4.32,4.47,4.27,4.47,1.34,331413
24/10/1990,4.27,4.47,4.27,4.37,1.31,223710
25/10/1990,4.42,4.47,4.37,4.47,1.34,56871
26/10/1990,4.37,4.47,4.37,4.37,1.31,247616
29/10/1990,4.47,4.52,4.37,4.47,1.34,63414
30/10/1990,4.37,4.47,4.37,4.37,1.31,98895
31/10/1990,4.37,4.57,4.37,4.57,1.37,137145
01/11/1990,4.57,4.57,4.37,4.57,1.37,128086
02/11/1990,4.57,4.57,4.37,4.57,1.37,53097
05/11/1990,4.47,4.57,4.47,4.47,1.34,171117
06/11/1990,4.67,4.67,4.47,4.47,1.34,334936
07/11/1990,4.57,4.57,4.47,4.57,1.37,79519
08/11/1990,4.57,4.57,4.47,4.52,1.35,131861
09/11/1990,4.52,4.67,4.52,4.67,1.4,124311
12/11/1990,4.67,4.77,4.57,4.77,1.43,82790
13/11/1990,4.67,4.77,4.67,4.77,1.43,302474
14/11/1990,4.77,4.87,4.67,4.87,1.45,97386
15/11/1990,4.87,4.87,4.67,4.87,1.45,139661
16/11/1990,4.77,4.87,4.67,4.77,1.43,166839
19/11/1990,4.87,4.87,4.57,4.77,1.43,269509
20/11/1990,4.77,4.77,4.57,4.72,1.41,77254
21/11/1990,4.62,4.77,4.62,4.72,1.41,139410
23/11/1990,4.62,4.72,4.62,4.72,1.41,71970
26/11/1990,4.72,4.72,4.62,4.67,1.4,196281
27/11/1990,4.72,4.72,4.62,4.72,1.41,85810
28/11/1990,4.67,4.72,4.62,4.72,1.41,129344
29/11/1990,4.62,4.72,4.62,4.72,1.41,156018
30/11/1990,4.72,4.72,4.62,4.72,1.41,44541
03/12/1990,4.67,4.72,4.62,4.72,1.41,48064
04/12/1990,4.72,4.72,4.62,4.72,1.41,132615
05/12/1990,4.72,5.02,4.67,5.02,1.5,559652
06/12/1990,5.07,5.07,4.87,4.87,1.46,326380
07/12/1990,4.97,4.97,4.77,4.87,1.46,199049
10/12/1990,4.87,4.97,4.87,4.87,1.46,223962
11/12/1990,4.97,4.97,4.82,4.92,1.47,268754
12/12/1990,4.87,4.97,4.87,4.87,1.46,155263
13/12/1990,4.87,4.97,4.87,4.97,1.49,130602
14/12/1990,4.97,4.97,4.87,4.87,1.46,342988
17/12/1990,4.87,4.97,4.87,4.87,1.46,104935
18/12/1990,4.97,4.97,4.77,4.92,1.47,386019
19/12/1990,4.92,4.92,4.82,4.87,1.46,285866
20/12/1990,4.82,4.87,4.72,4.87,1.46,122046
21/12/1990,4.87,4.87,4.77,4.82,1.44,241325
24/12/1990,4.77,4.82,4.67,4.77,1.43,33972
26/12/1990,4.77,4.77,4.42,4.57,1.37,160548
27/12/1990,4.37,4.52,4.37,4.47,1.34,292912
28/12/1990,4.47,4.57,4.37,4.52,1.36,268502
31/12/1990,4.42,4.57,4.42,4.42,1.33,135383
02/01/1991,4.57,4.57,4.42,4.52,1.36,175898
03/01/1991,4.57,4.57,4.47,4.52,1.36,128589
04/01/1991,4.47,4.57,4.47,4.57,1.37,40263
