Date,Open,High,Low,Close,Adj Close,Volume
10/03/2011,31.2,31.5,30.7,31.02,23.42,64599900
11/03/2011,30.5,31.29,30.5,31.12,23.49,9531600
14/03/2011,30.96,31.05,30.57,30.91,23.33,8663800
15/03/2011,30.39,31.5,30.36,31.34,23.66,7121200
16/03/2011,31.25,31.95,31.12,31.25,23.59,6157900
17/03/2011,31.54,31.93,31.4,31.91,24.09,3332400
18/03/2011,32.11,33.08,31.9,33.06,24.96,5463200
21/03/2011,33.39,33.39,32.0,32.25,24.34,3823500
22/03/2011,32.37,32.39,31.39,31.87,24.06,3943900
23/03/2011,31.7,32.68,31.5,32.68,24.67,4216300
24/03/2011,32.53,32.95,32.5,32.69,24.68,2125600
25/03/2011,32.71,33.1,32.58,32.95,24.87,3026600
28/03/2011,32.87,33.11,32.75,33.04,24.94,2098300
29/03/2011,33.44,34.01,33.05,33.89,25.58,5137300
30/03/2011,34.57,34.57,33.93,34.24,25.85,3049500
31/03/2011,34.0,34.11,33.67,33.87,25.57,1960600
01/04/2011,33.89,34.1,33.66,33.74,25.47,1822100
04/04/2011,33.87,33.87,33.31,33.67,25.42,2648000
05/04/2011,33.7,34.05,33.25,34.02,25.68,3607100
06/04/2011,33.75,34.2,33.24,33.3,25.14,2718500
07/04/2011,33.28,33.85,32.85,33.66,25.41,1946900
08/04/2011,33.52,33.99,32.99,33.17,25.04,2339800
11/04/2011,33.34,33.34,30.79,32.12,24.25,15028000
12/04/2011,32.11,32.59,31.33,31.53,23.8,3848800
13/04/2011,32.0,32.45,31.7,32.06,24.2,3969800
14/04/2011,31.89,32.5,31.79,32.14,24.26,1565900
15/04/2011,32.3,32.38,31.89,31.98,24.14,3072800
18/04/2011,31.82,32.54,30.75,32.08,24.22,2911100
19/04/2011,33.08,33.1,31.66,31.74,23.96,3838100
20/04/2011,32.0,32.19,31.15,31.65,23.89,3866100
21/04/2011,31.81,31.98,31.27,31.4,23.7,1462000
25/04/2011,31.56,31.6,31.1,31.4,23.7,732700
26/04/2011,31.35,32.07,31.16,32.0,24.16,1800000
27/04/2011,32.26,33.0,32.25,32.65,24.65,3354500
28/04/2011,32.51,32.99,32.25,32.57,24.59,1600000
29/04/2011,32.5,32.86,32.03,32.8,24.76,1233900
02/05/2011,32.8,33.79,32.8,33.44,25.24,2786200
03/05/2011,33.59,33.88,31.94,32.61,24.62,3429400
04/05/2011,33.1,33.96,32.79,33.55,25.33,4518300
05/05/2011,33.45,34.74,33.15,34.34,25.92,2613000
06/05/2011,34.06,34.5,33.89,34.25,25.85,1601300
09/05/2011,34.35,34.75,34.14,34.49,26.04,1996100
10/05/2011,34.03,34.86,34.0,34.59,26.11,1475100
11/05/2011,34.2,34.79,34.06,34.54,26.07,1431700
12/05/2011,34.3,34.59,34.12,34.51,26.05,814000
13/05/2011,34.43,34.77,34.23,34.6,26.12,1694000
16/05/2011,34.3,34.6,34.05,34.25,25.85,1719900
17/05/2011,34.21,34.95,34.0,34.54,26.07,3131000
18/05/2011,34.4,35.24,34.15,35.07,26.47,2070300
19/05/2011,35.02,35.23,34.5,35.05,26.46,1183900
20/05/2011,34.9,35.04,34.15,34.63,26.14,2012400
23/05/2011,34.4,34.55,34.0,34.41,25.98,2200000
24/05/2011,34.53,34.64,34.07,34.49,26.04,3000000
25/05/2011,34.57,35.0,34.24,34.68,26.18,2539100
26/05/2011,34.9,34.91,34.05,34.83,26.29,1796500
27/05/2011,34.92,35.1,34.41,34.74,26.22,1474700
31/05/2011,34.99,35.31,34.56,34.89,26.34,8113400
01/06/2011,35.0,35.27,34.42,34.77,26.25,3049800
02/06/2011,34.84,35.05,34.25,34.36,25.94,2160100
03/06/2011,34.0,34.15,33.72,34.14,25.77,2519100
06/06/2011,33.98,34.28,33.06,33.74,25.47,2361000
07/06/2011,33.79,34.9,33.73,34.52,26.06,1896300
08/06/2011,34.57,34.99,34.25,34.76,26.24,1458400
09/06/2011,35.03,35.37,34.58,35.24,26.6,1634100
10/06/2011,35.0,35.0,33.86,33.9,25.59,2222700
13/06/2011,34.15,34.15,33.25,33.65,25.4,1671700
14/06/2011,33.8,34.07,33.26,33.54,25.32,1846300
15/06/2011,33.25,33.52,32.62,33.15,25.02,2544700
16/06/2011,34.05,34.8,33.5,33.87,25.57,5779300
17/06/2011,34.0,34.99,33.95,34.59,26.11,3872600
20/06/2011,34.72,34.72,34.05,34.23,25.84,1461700
21/06/2011,34.2,34.36,33.5,33.9,25.59,2728100
22/06/2011,33.9,33.99,33.36,33.42,25.23,2487500
23/06/2011,33.3,33.44,32.28,33.21,25.07,3222100
24/06/2011,33.31,33.31,32.16,32.25,24.34,11475100
27/06/2011,32.4,32.71,31.49,32.48,24.52,3136700
28/06/2011,32.59,33.08,32.58,32.75,24.72,2536500
29/06/2011,32.98,33.3,32.59,32.76,24.73,1405800
30/06/2011,32.78,33.39,32.63,33.0,24.91,1479200
01/07/2011,33.14,33.5,32.54,33.06,24.96,1663200
05/07/2011,33.07,33.47,32.98,33.17,25.04,957900
06/07/2011,33.26,34.17,33.12,33.99,25.66,2467500
07/07/2011,34.25,34.74,34.0,34.29,25.88,1928600
08/07/2011,33.96,34.01,33.29,33.83,25.54,874800
11/07/2011,33.54,33.67,32.99,33.06,24.96,777900
12/07/2011,33.05,33.73,32.65,32.8,24.76,1075800
13/07/2011,32.98,33.67,32.81,33.24,25.09,1120100
14/07/2011,33.3,33.54,32.98,33.22,25.08,1107800
15/07/2011,33.27,33.28,32.74,33.22,25.08,1116700
18/07/2011,33.04,33.07,32.44,32.59,24.6,1609500
19/07/2011,33.04,33.93,32.87,33.03,24.93,2768200
20/07/2011,33.2,33.51,32.69,33.25,25.1,721700
21/07/2011,33.43,34.56,33.43,34.43,25.99,1554300
22/07/2011,34.32,34.92,34.02,34.61,26.13,2101300
25/07/2011,30.05,30.8,27.51,27.97,21.11,25100300
26/07/2011,27.67,28.38,26.96,28.04,21.17,7726300
27/07/2011,27.96,28.38,27.33,27.37,20.66,7519300
28/07/2011,27.52,27.9,26.89,27.22,20.55,3745300
29/07/2011,27.03,27.15,26.5,26.68,20.14,4122700
01/08/2011,26.96,27.19,23.53,24.94,18.83,11984800
02/08/2011,25.95,26.09,24.34,24.64,18.6,4763100
03/08/2011,24.57,24.9,22.71,24.76,18.69,8645800
04/08/2011,24.63,24.65,22.58,22.9,17.29,6587900
05/08/2011,23.09,23.25,21.69,21.99,16.6,5344500
08/08/2011,21.58,21.67,17.25,18.19,13.73,10496600
09/08/2011,18.51,19.26,17.03,18.35,13.85,8246200
10/08/2011,17.8,18.96,17.68,18.58,14.03,12044400
11/08/2011,18.79,19.87,18.75,19.47,14.7,7056800
12/08/2011,19.52,21.41,18.59,21.22,16.02,6145000
15/08/2011,21.42,23.55,21.42,22.58,17.05,7085300
16/08/2011,22.33,22.41,21.52,21.77,16.43,2753200
17/08/2011,21.95,22.06,20.81,20.99,15.84,3437400
18/08/2011,20.49,20.7,19.67,19.96,15.07,3699900
19/08/2011,19.67,20.05,19.06,19.27,14.55,1865200
22/08/2011,19.57,19.91,18.8,19.06,14.39,1310900
23/08/2011,19.14,19.6,18.55,19.58,14.78,3408800
24/08/2011,19.56,20.24,19.09,20.04,15.13,2030400
25/08/2011,20.24,20.24,18.87,19.06,14.39,1532500
26/08/2011,19.02,19.6,18.47,19.5,14.72,1456000
29/08/2011,19.73,20.44,19.64,19.98,15.08,2126400
30/08/2011,19.93,20.0,19.61,19.86,14.99,1880200
31/08/2011,19.89,20.41,19.75,20.03,15.12,2863200
01/09/2011,20.16,20.62,19.08,19.19,14.49,1599200
02/09/2011,18.82,19.0,18.31,18.65,14.08,1920900
06/09/2011,18.08,18.91,17.87,18.76,14.16,2363000
07/09/2011,19.1,20.11,18.9,19.84,14.98,2327200
08/09/2011,19.71,20.15,19.42,19.49,14.71,1371000
09/09/2011,19.32,19.59,18.28,18.3,13.81,2378000
12/09/2011,18.09,18.84,17.6,18.4,13.89,3584300
13/09/2011,18.07,18.07,17.2,17.66,13.33,4192500
14/09/2011,17.71,19.11,17.6,18.61,14.05,7234800
15/09/2011,19.96,21.0,19.93,20.84,15.73,7338600
16/09/2011,21.26,21.54,20.75,21.23,16.03,3972600
19/09/2011,20.73,20.74,19.74,19.81,14.95,3967900
20/09/2011,20.0,20.19,19.49,19.9,15.02,2470400
21/09/2011,19.89,20.52,19.75,19.82,14.96,4255800
22/09/2011,19.03,20.33,19.03,19.92,15.04,3843300
23/09/2011,19.53,19.84,19.23,19.46,14.69,2915600
26/09/2011,19.77,20.0,19.37,19.85,14.98,2518400
27/09/2011,20.3,20.37,19.75,19.83,14.97,1372800
