Date,Open,High,Low,Close,Adj Close,Volume
15/12/1995,24.0,24.88,24.0,24.88,13.58,1283000
18/12/1995,24.88,25.06,24.25,24.44,13.35,2710200
19/12/1995,24.44,24.44,23.75,23.94,13.07,1096600
20/12/1995,23.94,24.69,23.94,24.56,13.41,3904000
21/12/1995,24.5,24.69,24.06,24.25,13.24,3891400
22/12/1995,24.38,24.56,24.25,24.38,13.31,2170200
26/12/1995,24.38,24.38,24.19,24.31,13.28,935600
27/12/1995,24.25,24.31,24.06,24.06,13.14,1391400
28/12/1995,23.94,24.25,23.88,24.06,13.14,1983000
29/12/1995,23.94,24.19,23.69,24.19,13.21,1028000
02/01/1996,24.06,24.38,23.88,24.25,13.24,1641200
03/01/1996,24.19,24.38,24.12,24.19,13.21,2544000
04/01/1996,24.0,24.5,24.0,24.44,13.35,2348200
05/01/1996,24.44,24.5,24.19,24.38,13.31,3229000
08/01/1996,24.62,24.94,24.5,24.94,13.62,1086400
09/01/1996,24.94,24.94,24.62,24.82,13.55,4461400
10/01/1996,24.56,24.69,23.94,24.12,13.17,1805000
11/01/1996,24.38,24.44,24.12,24.38,13.31,2521600
12/01/1996,24.88,24.88,24.31,24.81,13.55,1359200
15/01/1996,24.94,25.25,24.88,25.25,13.79,945600
16/01/1996,25.69,25.69,25.31,25.38,13.86,1892000
17/01/1996,25.12,25.31,25.06,25.06,13.69,1104800
18/01/1996,24.94,25.25,24.69,25.12,13.72,1987200
19/01/1996,24.94,25.12,24.88,25.0,13.65,1019200
22/01/1996,24.88,25.0,24.75,25.0,13.65,1224000
23/01/1996,25.25,25.5,25.19,25.44,13.89,2034400
24/01/1996,25.38,25.44,25.19,25.25,13.79,2159600
25/01/1996,25.12,25.44,24.75,24.88,13.58,2170000
26/01/1996,24.75,25.19,24.56,25.19,13.76,1425600
29/01/1996,25.0,25.12,24.81,25.0,13.65,412800
30/01/1996,24.88,25.0,24.69,24.81,13.55,635200
31/01/1996,24.75,25.06,24.62,25.06,13.69,1502800
01/02/1996,25.31,25.31,25.12,25.19,13.76,1231400
02/02/1996,25.06,25.06,24.69,25.0,13.65,917200
05/02/1996,24.75,25.06,24.75,25.0,13.65,702000
06/02/1996,25.0,25.19,24.94,25.12,13.72,726800
07/02/1996,25.12,25.25,24.94,25.19,13.76,1627800
08/02/1996,25.19,25.62,25.12,25.62,13.99,1513200
09/02/1996,25.62,25.81,25.31,25.38,13.86,1344800
12/02/1996,25.38,25.81,25.38,25.75,14.06,904400
13/02/1996,25.44,26.12,25.44,25.94,14.16,1055600
14/02/1996,25.81,26.19,25.81,26.0,14.2,717000
15/02/1996,25.81,26.12,25.81,25.88,14.13,691800
16/02/1996,25.75,25.81,25.31,25.44,13.89,1504200
20/02/1996,25.0,25.62,24.94,25.44,13.89,1628200
21/02/1996,25.25,26.06,25.25,25.69,14.03,997800
22/02/1996,25.5,26.25,25.5,26.19,14.3,1141000
23/02/1996,26.25,26.56,26.19,26.38,14.4,1193800
26/02/1996,26.38,26.5,26.12,26.5,14.47,748200
27/02/1996,26.44,26.44,26.19,26.31,14.37,782200
28/02/1996,26.12,26.44,25.88,25.88,14.24,732000
29/02/1996,25.75,26.25,25.69,25.75,14.17,1416000
01/03/1996,25.75,26.38,25.62,26.19,14.41,714600
04/03/1996,26.56,26.88,26.25,26.38,14.51,1050600
05/03/1996,26.38,26.44,26.0,26.25,14.45,1455600
06/03/1996,26.25,26.31,26.0,26.25,14.45,613400
