Date,Open,High,Low,Close,Adj Close,Volume
12/12/2013,43.71,44.98,43.6,44.12,41.9,12935478
13/12/2013,45.12,45.92,44.22,45.35,43.07,1224854
16/12/2013,47.36,52.84,44.16,44.16,41.94,4717690
17/12/2013,44.34,45.12,44.28,44.75,42.51,2313840
18/12/2013,44.8,45.51,44.45,44.8,42.54,2857846
19/12/2013,44.63,45.99,44.22,45.72,43.42,1469103
20/12/2013,46.17,46.27,44.86,45.0,42.74,994834
23/12/2013,45.16,45.53,44.24,44.24,42.02,1220712
24/12/2013,44.32,44.47,43.4,44.14,41.92,1234064
26/12/2013,44.24,45.06,44.22,44.53,42.29,1309211
27/12/2013,44.32,44.82,44.22,44.32,42.1,1090302
30/12/2013,44.57,45.08,44.32,44.92,42.66,871832
31/12/2013,45.14,46.11,45.04,45.66,43.36,1134308
02/01/2014,45.66,45.86,44.67,44.86,42.6,1763791
03/01/2014,44.73,45.33,44.63,45.16,42.9,461257
06/01/2014,45.12,45.39,44.65,45.14,42.88,1172320
07/01/2014,45.14,45.35,44.94,45.14,42.88,1992593
08/01/2014,45.21,45.21,44.73,45.21,42.93,1154240
09/01/2014,45.14,45.19,44.55,44.88,42.62,459600
10/01/2014,44.65,44.86,44.26,44.51,42.27,812329
13/01/2014,44.24,44.8,44.24,44.57,42.33,728216
14/01/2014,44.55,45.37,44.41,45.35,43.07,1251608
15/01/2014,45.25,45.49,44.8,44.96,42.7,915253
16/01/2014,44.94,45.21,44.51,45.06,42.8,1130019
17/01/2014,45.06,46.29,44.73,45.66,43.36,2702290
21/01/2014,46.19,46.35,44.82,44.98,42.72,1280214
22/01/2014,45.12,46.15,44.94,46.09,43.77,1428655
23/01/2014,46.03,46.5,45.35,46.5,44.16,936062
24/01/2014,45.86,46.13,45.33,46.07,43.75,891033
27/01/2014,46.07,46.07,44.92,45.12,42.86,1099610
28/01/2014,44.82,45.14,44.63,44.94,42.68,686209
29/01/2014,44.75,44.9,44.24,44.45,42.21,437865
30/01/2014,44.65,44.77,44.32,44.45,42.21,520273
31/01/2014,44.14,44.51,43.79,44.43,42.19,428606
03/02/2014,44.43,44.53,42.76,42.99,40.83,1115010
04/02/2014,43.09,43.26,42.76,43.15,40.99,835770
05/02/2014,42.78,43.01,42.17,42.68,40.54,694786
06/02/2014,42.76,43.5,42.72,43.5,41.32,294103
07/02/2014,43.63,44.88,43.54,44.43,42.19,513012
10/02/2014,44.47,44.51,43.71,43.93,41.73,562427
11/02/2014,44.59,44.67,44.04,44.51,42.27,642446
12/02/2014,44.61,45.04,44.36,44.92,42.66,436647
13/02/2014,44.69,45.19,44.43,45.04,42.78,551608
14/02/2014,45.14,45.25,44.86,45.14,42.88,647856
18/02/2014,45.14,45.14,44.59,44.65,42.41,616179
19/02/2014,44.65,45.04,44.12,44.18,41.96,441033
20/02/2014,44.12,44.47,43.73,44.1,41.88,602096
21/02/2014,44.12,45.53,44.06,45.45,43.17,1166082
24/02/2014,45.57,46.17,45.23,45.68,43.38,743177
25/02/2014,45.66,46.33,45.57,45.9,43.6,823197
26/02/2014,45.99,46.54,45.76,46.25,43.93,1072027
27/02/2014,45.99,46.91,44.73,46.15,43.83,2187817
28/02/2014,46.17,46.33,45.31,45.88,43.58,970565
03/03/2014,45.6,46.17,45.37,46.15,43.83,676754
04/03/2014,47.01,47.4,46.09,46.29,43.97,2307018
05/03/2014,46.11,46.97,46.07,46.72,44.38,668713
06/03/2014,46.72,46.91,45.96,46.13,43.81,682407
07/03/2014,46.07,46.85,45.96,46.6,44.26,642349
10/03/2014,46.7,46.89,45.62,45.92,43.62,922027
11/03/2014,45.94,46.09,45.14,45.37,43.09,835429
12/03/2014,45.23,45.96,44.67,45.86,43.56,788645
13/03/2014,45.62,46.03,45.06,45.25,42.97,992690
14/03/2014,45.06,45.68,44.88,45.21,42.93,609064
17/03/2014,45.37,45.94,45.33,45.39,43.11,369250
18/03/2014,45.35,46.35,45.27,46.31,43.99,677778
19/03/2014,46.21,46.23,45.47,45.68,43.38,733382
20/03/2014,45.66,46.01,45.37,45.49,43.21,652729
21/03/2014,45.7,47.18,45.45,47.18,44.81,3026754
24/03/2014,47.07,47.38,46.09,46.7,44.36,966033
25/03/2014,46.74,46.99,46.13,46.13,43.81,781774
26/03/2014,46.17,46.31,45.74,45.84,43.54,781969
27/03/2014,45.78,46.21,45.49,45.62,43.32,670517
28/03/2014,45.49,45.92,45.04,45.66,43.36,2073051
31/03/2014,45.84,46.03,45.14,45.64,43.34,4896930
01/04/2014,45.6,46.58,45.57,46.27,43.95,1052534
02/04/2014,46.17,46.56,46.07,46.11,43.79,1061550
03/04/2014,46.17,46.33,45.19,45.19,42.91,959357
04/04/2014,45.21,45.25,44.24,44.3,42.08,2767300
07/04/2014,44.32,44.38,43.63,43.85,41.65,694298
08/04/2014,43.81,43.91,43.38,43.83,41.63,686160
09/04/2014,43.97,44.43,43.87,44.14,41.92,864815
10/04/2014,44.06,44.26,43.17,43.46,41.28,527973
11/04/2014,43.3,43.87,43.01,43.6,41.41,760136
14/04/2014,43.69,44.34,43.32,43.81,41.61,515400
15/04/2014,44.14,44.14,43.09,43.87,41.67,484990
16/04/2014,43.65,44.36,43.56,44.32,42.1,523977
17/04/2014,44.2,44.86,43.71,44.67,42.43,805166
21/04/2014,44.57,44.57,43.85,44.04,41.82,498148
22/04/2014,44.02,44.57,43.97,44.14,41.92,511745
23/04/2014,44.08,44.43,43.83,44.1,41.88,469883
24/04/2014,44.24,44.47,44.04,44.12,41.9,302339
25/04/2014,44.12,44.16,43.58,43.77,41.57,204922
28/04/2014,43.79,43.97,43.19,43.85,41.65,625682
29/04/2014,44.36,44.49,43.03,43.28,41.1,1292836
30/04/2014,43.52,44.84,43.4,44.8,42.54,920906
01/05/2014,44.71,45.41,44.02,45.31,43.03,700536
02/05/2014,45.31,46.52,45.23,45.25,42.97,991033
05/05/2014,45.02,45.53,44.77,45.47,43.19,410867
06/05/2014,45.35,45.72,44.94,45.47,43.19,683187
07/05/2014,46.79,47.15,45.37,46.5,44.16,1038060
08/05/2014,46.7,46.91,46.29,46.46,44.12,1212865
09/05/2014,48.69,48.84,46.74,47.34,44.96,3461111
12/05/2014,48.12,48.32,46.52,47.15,44.79,1586745
13/05/2014,47.4,47.65,46.97,47.2,44.82,1098538
14/05/2014,47.2,47.32,45.74,46.27,43.95,1191764
15/05/2014,46.38,46.38,44.45,44.94,42.68,1821394
16/05/2014,45.14,45.27,43.99,44.88,42.62,1228850
19/05/2014,44.94,45.16,44.57,44.96,42.7,970419
20/05/2014,45.0,45.12,43.85,43.93,41.73,1359211
21/05/2014,44.12,45.14,44.02,44.84,42.58,1872807
22/05/2014,44.82,45.25,44.82,45.12,42.86,1002388
23/05/2014,45.7,45.84,45.16,45.25,42.97,527778
27/05/2014,45.51,45.82,45.04,45.64,43.34,1164815
28/05/2014,45.8,46.23,45.14,45.16,42.9,1054191
29/05/2014,45.27,45.55,44.9,45.51,43.23,732943
30/05/2014,45.41,46.48,45.41,46.42,44.08,1272563
02/06/2014,46.42,46.87,45.96,46.74,44.4,1202437
03/06/2014,46.54,47.01,46.05,46.6,44.26,1484600
04/06/2014,46.44,47.09,46.35,46.72,44.38,665692
