Date,Open,High,Low,Close,Adj Close,Volume
01/03/1990,0.0,2.44,1.97,2.39,2.39,17829600
02/03/1990,0.0,2.44,2.25,2.25,2.25,2263200
05/03/1990,0.0,2.31,2.22,2.28,2.28,741600
06/03/1990,0.0,2.34,2.19,2.23,2.23,779200
07/03/1990,0.0,2.25,2.16,2.16,2.16,293600
08/03/1990,0.0,2.25,2.16,2.22,2.22,839200
09/03/1990,0.0,2.28,2.16,2.22,2.22,360800
12/03/1990,0.0,2.22,2.19,2.19,2.19,151200
13/03/1990,0.0,2.22,2.16,2.19,2.19,204000
14/03/1990,0.0,2.19,2.16,2.17,2.17,215200
15/03/1990,0.0,2.34,2.16,2.31,2.31,880800
16/03/1990,0.0,2.41,2.34,2.34,2.34,255200
19/03/1990,0.0,2.41,2.34,2.41,2.41,146400
20/03/1990,0.0,2.41,2.38,2.41,2.41,69600
21/03/1990,0.0,2.41,2.31,2.34,2.34,63200
22/03/1990,0.0,2.41,2.25,2.25,2.25,182400
23/03/1990,0.0,2.31,2.25,2.31,2.31,12000
26/03/1990,2.34,2.34,2.28,2.28,2.28,18400
27/03/1990,2.3,2.3,2.22,2.28,2.28,141600
28/03/1990,2.19,2.25,2.19,2.22,2.22,136800
29/03/1990,2.25,2.28,2.22,2.22,2.22,164000
30/03/1990,2.22,2.34,2.22,2.34,2.34,453600
02/04/1990,2.28,2.31,2.25,2.31,2.31,113600
03/04/1990,2.31,2.31,2.28,2.28,2.28,48800
04/04/1990,2.31,2.31,2.19,2.19,2.19,333600
05/04/1990,2.25,2.25,2.22,2.25,2.25,15200
06/04/1990,2.19,2.25,2.16,2.19,2.19,111200
09/04/1990,2.16,2.19,2.12,2.12,2.12,88800
10/04/1990,2.19,2.19,2.06,2.12,2.12,356800
11/04/1990,2.16,2.19,2.12,2.17,2.17,240000
12/04/1990,2.19,2.22,2.12,2.16,2.16,120800
16/04/1990,2.22,2.22,2.12,2.12,2.12,84800
17/04/1990,2.12,2.16,2.09,2.09,2.09,103200
18/04/1990,2.09,2.12,2.09,2.12,2.12,7200
