Date,Open,High,Low,Close,Adj Close,Volume
19/10/2015,10.75,10.75,9.58,9.62,7.61,2721233
20/10/2015,9.44,9.84,9.44,9.8,7.76,1220907
21/10/2015,10.03,10.08,9.53,9.58,7.58,135236
22/10/2015,9.71,9.91,9.44,9.85,7.8,189261
23/10/2015,10.03,10.03,9.79,9.88,7.82,103061
26/10/2015,9.94,9.94,9.48,9.54,7.56,885743
27/10/2015,9.62,9.74,9.07,9.14,7.24,1094274
28/10/2015,9.24,9.5,9.21,9.46,7.49,509801
29/10/2015,9.31,9.46,9.04,9.27,7.34,499650
30/10/2015,9.24,9.36,8.56,8.56,6.77,4214161
02/11/2015,8.71,8.82,8.06,8.42,6.67,70312635
03/11/2015,8.18,8.55,7.95,8.35,6.61,69176379
04/11/2015,8.36,8.43,7.91,7.94,6.29,54241942
05/11/2015,7.93,8.07,7.63,7.72,6.11,38180025
06/11/2015,7.66,8.42,7.64,8.37,6.63,51702744
09/11/2015,8.29,8.42,8.21,8.25,6.53,30158099
10/11/2015,8.21,8.39,8.14,8.38,6.63,25426050
11/11/2015,8.25,8.32,8.19,8.2,6.49,18942302
12/11/2015,8.03,8.03,7.9,7.96,6.3,35050675
13/11/2015,7.91,8.0,7.64,7.78,6.16,25678456
16/11/2015,7.77,7.91,7.64,7.78,6.16,23712203
17/11/2015,7.78,7.84,7.63,7.68,6.08,21370697
18/11/2015,7.83,7.98,7.67,7.93,6.28,22402515
19/11/2015,7.86,8.07,7.86,8.01,6.34,22662319
20/11/2015,8.01,8.5,7.95,8.26,6.54,31932509
23/11/2015,8.24,8.26,7.89,8.05,6.37,26354291
24/11/2015,7.89,8.15,7.85,7.96,6.3,41484183
25/11/2015,8.08,8.64,8.04,8.21,6.5,39017248
27/11/2015,8.21,8.51,8.17,8.34,6.6,10395090
30/11/2015,8.27,8.72,8.24,8.64,6.84,50075613
01/12/2015,8.65,9.23,8.63,9.07,7.18,43197341
02/12/2015,8.93,9.03,8.64,8.69,6.88,21818558
03/12/2015,8.72,8.92,8.47,8.5,6.73,32527478
04/12/2015,8.36,8.89,8.28,8.85,7.0,20648579
07/12/2015,8.72,9.0,8.67,8.98,7.13,16424439
08/12/2015,8.77,8.89,8.5,8.82,7.01,19988745
09/12/2015,8.71,8.94,8.53,8.63,6.86,24538415
10/12/2015,8.6,8.61,8.44,8.56,6.8,19528668
11/12/2015,8.71,8.95,8.22,8.24,6.55,18265779
14/12/2015,8.31,8.43,8.09,8.39,6.67,19834755
15/12/2015,8.43,8.71,8.42,8.46,6.72,22175746
16/12/2015,8.5,8.61,8.46,8.54,6.79,13490889
17/12/2015,8.49,8.56,8.26,8.32,6.61,13118732
18/12/2015,8.29,8.36,8.14,8.23,6.54,33271447
21/12/2015,8.21,8.37,8.06,8.15,6.47,16970372
22/12/2015,8.16,8.22,8.09,8.17,6.49,12547163
23/12/2015,8.25,8.7,8.17,8.67,6.89,19359710
24/12/2015,8.61,8.82,8.6,8.73,6.94,3748234
28/12/2015,8.65,8.88,8.61,8.85,7.03,10203937
29/12/2015,8.89,8.97,8.82,8.83,7.02,10797873
30/12/2015,8.89,9.0,8.81,8.88,7.06,10796841
31/12/2015,8.85,8.9,8.78,8.83,7.02,11644903
04/01/2016,8.7,8.81,8.57,8.79,6.99,25940497
05/01/2016,8.79,8.86,8.68,8.74,6.94,17770259
06/01/2016,8.5,8.72,8.43,8.6,6.83,19468277
07/01/2016,8.43,8.46,7.93,7.97,6.33,34143941
08/01/2016,8.0,8.15,7.74,7.87,6.25,28272024
11/01/2016,7.81,7.97,7.6,7.71,6.12,25998996
12/01/2016,7.76,7.8,7.61,7.71,6.12,21435562
13/01/2016,7.76,7.76,7.28,7.41,5.89,30489650
14/01/2016,7.41,7.65,7.35,7.56,6.0,22973740
15/01/2016,7.32,7.44,7.26,7.29,5.79,33945733
19/01/2016,7.37,7.43,7.09,7.16,5.69,22239750
20/01/2016,6.97,7.09,6.76,7.01,5.57,28630244
21/01/2016,6.97,7.29,6.87,7.21,5.73,28784234
22/01/2016,7.38,7.81,7.35,7.76,6.16,26272736
25/01/2016,7.72,7.88,7.63,7.75,6.16,19241679
26/01/2016,7.76,7.98,7.76,7.9,6.28,18454869
27/01/2016,7.86,7.91,7.53,7.78,6.18,31803640
28/01/2016,7.82,7.96,7.6,7.67,6.09,16989470
29/01/2016,7.79,8.07,7.76,8.0,6.35,19548799
01/02/2016,7.95,8.07,7.86,8.01,6.37,16430633
02/02/2016,7.96,8.12,7.76,7.82,6.21,16650692
03/02/2016,7.94,8.0,7.62,7.77,6.17,12995369
04/02/2016,7.74,8.07,7.74,8.05,6.4,11182073
05/02/2016,7.96,7.99,7.58,7.67,6.1,22759014
08/02/2016,7.56,7.58,7.19,7.27,5.78,25491603
09/02/2016,7.19,7.47,7.15,7.39,5.87,11504506
10/02/2016,7.42,7.6,7.39,7.47,5.94,10292717
11/02/2016,7.31,7.36,6.98,7.21,5.73,16920476
12/02/2016,7.27,7.43,7.08,7.14,5.68,18150846
16/02/2016,7.21,7.26,7.13,7.17,5.69,20606942
17/02/2016,7.2,7.64,7.19,7.57,6.01,14910693
18/02/2016,7.58,7.96,7.57,7.86,6.25,20189190
19/02/2016,7.85,7.99,7.7,7.95,6.31,16198014
22/02/2016,7.99,8.07,7.89,8.02,6.37,18505625
23/02/2016,7.97,8.03,7.46,7.61,6.04,25201001
24/02/2016,7.56,7.89,7.45,7.86,6.25,22757638
25/02/2016,7.82,7.97,7.7,7.95,6.32,20784159
26/02/2016,8.01,8.02,7.64,7.81,6.21,18624516
29/02/2016,7.74,7.83,7.67,7.71,6.13,21932459
01/03/2016,7.8,7.83,7.61,7.72,6.13,14373879
02/03/2016,7.78,8.17,7.76,8.08,6.42,17234305
03/03/2016,8.08,8.11,7.72,7.9,6.28,17256500
04/03/2016,8.66,9.21,8.61,8.97,7.13,57415854
07/03/2016,8.79,9.29,8.75,9.28,7.4,31792800
08/03/2016,9.15,9.18,8.84,8.85,7.06,21215331
09/03/2016,8.92,9.2,8.89,9.0,7.18,19045536
10/03/2016,9.04,9.42,9.02,9.24,7.37,24578332
11/03/2016,9.3,9.56,9.3,9.49,7.57,26984531
14/03/2016,9.42,9.63,9.32,9.54,7.61,16641917
15/03/2016,9.51,9.81,9.44,9.75,7.77,23974588
16/03/2016,9.71,10.01,9.65,9.99,7.97,21531053
17/03/2016,9.96,10.07,9.86,9.97,7.95,18699360
18/03/2016,9.98,10.22,9.93,10.07,8.03,53273441
21/03/2016,10.07,10.43,10.05,10.29,8.21,18463127
22/03/2016,10.12,10.51,10.08,10.18,8.11,19474127
23/03/2016,10.18,10.21,9.93,10.15,8.09,19674400
24/03/2016,10.12,10.25,9.94,10.21,8.14,15261342
28/03/2016,10.16,10.27,10.01,10.18,8.11,9518639
29/03/2016,10.1,10.28,10.01,10.26,8.18,10197054
30/03/2016,10.3,10.41,10.25,10.4,8.29,18156352
31/03/2016,10.37,10.44,10.18,10.3,8.22,17876245
01/04/2016,10.24,10.78,10.21,10.69,8.53,25550102
04/04/2016,10.72,10.72,10.42,10.48,8.36,13191512
05/04/2016,10.39,10.41,10.21,10.24,8.16,14280625
06/04/2016,10.26,10.45,10.15,10.44,8.32,17879858
07/04/2016,10.34,10.48,10.24,10.31,8.22,16196809
08/04/2016,10.37,10.63,10.35,10.4,8.29,12525312
11/04/2016,10.43,10.5,10.26,10.3,8.22,10114296
12/04/2016,10.29,10.32,9.99,10.02,7.99,15120085
13/04/2016,10.05,10.18,9.97,10.17,8.11,14182897
14/04/2016,10.09,10.11,9.92,10.03,8.0,11503990
15/04/2016,10.12,10.16,9.79,10.11,8.06,20409250
18/04/2016,10.0,10.16,9.96,10.14,8.08,9740935
19/04/2016,10.15,10.16,9.97,10.02,7.99,11079872
20/04/2016,9.92,10.17,9.92,10.11,8.06,9360003
21/04/2016,10.08,10.31,10.07,10.15,8.09,10272415
22/04/2016,10.14,10.29,10.07,10.17,8.11,13692194
25/04/2016,10.09,10.12,9.78,10.0,7.98,10051667
26/04/2016,10.03,10.15,10.01,10.09,8.05,10813874
27/04/2016,10.05,10.18,10.03,10.06,8.02,10948938
28/04/2016,9.98,10.1,9.83,9.9,7.89,8237340
29/04/2016,9.82,9.83,9.6,9.68,7.72,12195481
02/05/2016,9.68,9.74,9.46,9.53,7.6,14557979
03/05/2016,9.43,9.44,9.17,9.26,7.38,19039170
04/05/2016,9.18,9.3,9.11,9.26,7.38,11420887
05/05/2016,9.27,9.28,9.09,9.14,7.29,6054985
06/05/2016,9.08,9.22,9.04,9.17,7.31,8574569
09/05/2016,9.13,9.28,9.11,9.22,7.35,8505230
10/05/2016,9.24,9.24,9.07,9.24,7.36,8192777
11/05/2016,9.24,9.51,9.23,9.31,7.42,11132349
12/05/2016,9.35,9.38,9.21,9.24,7.37,9321807
13/05/2016,9.24,9.37,9.12,9.17,7.31,11680863
16/05/2016,9.16,9.35,9.13,9.28,7.4,15174282
17/05/2016,9.23,9.42,9.12,9.19,7.33,25107403
18/05/2016,9.18,9.26,9.02,9.11,7.26,11315244
19/05/2016,9.01,9.18,8.94,9.17,7.31,11501753
20/05/2016,9.16,9.29,9.1,9.22,7.35,15455593
23/05/2016,9.23,9.46,9.22,9.34,7.45,14882648
24/05/2016,9.36,9.5,9.29,9.44,7.53,21613812
25/05/2016,10.65,10.75,9.95,10.08,8.04,75418560
26/05/2016,9.88,10.28,9.79,10.11,8.06,37393042
27/05/2016,10.15,10.66,10.15,10.61,8.46,39501412
31/05/2016,10.46,10.73,10.32,10.73,8.56,42932892
01/06/2016,10.64,10.68,10.54,10.63,8.48,21150982
02/06/2016,10.54,10.77,10.52,10.75,8.57,23508489
03/06/2016,10.69,10.75,10.62,10.67,8.5,15976234
06/06/2016,10.62,11.03,10.62,10.98,8.79,22094191
07/06/2016,10.95,11.19,10.91,11.14,8.91,24580224
08/06/2016,11.2,11.4,11.16,11.25,8.99,27220419
09/06/2016,11.27,11.42,11.23,11.36,9.09,16130912
10/06/2016,11.22,11.23,10.98,11.11,8.89,16914282
13/06/2016,11.05,11.13,10.8,10.81,8.65,17458838
14/06/2016,10.73,10.83,10.59,10.64,8.51,24700491
15/06/2016,10.71,11.08,10.7,10.93,8.74,20590940
16/06/2016,10.86,10.94,10.8,10.85,8.67,21213266
17/06/2016,10.8,11.05,10.75,11.01,8.8,28631964
20/06/2016,11.17,11.4,11.14,11.26,9.01,27304382
21/06/2016,11.28,11.54,11.19,11.48,9.19,19885684
22/06/2016,11.43,11.48,11.15,11.16,8.93,18191967
23/06/2016,11.26,11.44,11.24,11.42,9.13,17522843
24/06/2016,10.82,11.09,10.53,10.55,8.44,43737768
27/06/2016,10.46,10.47,9.86,10.0,8.0,31383479
28/06/2016,10.17,10.22,9.94,10.11,8.09,23461174
29/06/2016,10.31,10.41,10.23,10.33,8.26,14211630
30/06/2016,10.42,10.75,10.39,10.62,8.49,21494405
01/07/2016,10.73,10.83,10.55,10.75,8.59,15361995
05/07/2016,10.69,10.71,10.43,10.58,8.46,10555274
06/07/2016,10.46,10.71,10.42,10.69,8.55,12498988
07/07/2016,10.66,10.87,10.66,10.73,8.59,10799938
08/07/2016,10.9,11.07,10.8,11.07,8.85,18751493
11/07/2016,11.13,11.31,11.12,11.24,8.99,17483786
12/07/2016,11.29,11.57,11.29,11.44,9.15,22280355
13/07/2016,11.44,11.48,11.22,11.33,9.06,11816099
14/07/2016,11.4,11.72,11.4,11.62,9.29,25671058
15/07/2016,11.67,11.72,11.44,11.49,9.19,15047133
18/07/2016,11.46,11.61,11.42,11.5,9.2,10118425
19/07/2016,11.44,11.59,11.44,11.5,9.2,9522768
20/07/2016,11.51,11.67,11.46,11.66,9.32,9143041
21/07/2016,11.64,11.72,11.45,11.48,9.18,15580334
22/07/2016,11.52,11.65,11.47,11.65,9.32,14395042
25/07/2016,11.83,11.91,11.73,11.75,9.39,16715041
26/07/2016,11.73,11.89,11.71,11.89,9.51,13674300
27/07/2016,11.91,12.01,11.77,11.83,9.46,11275327
28/07/2016,11.8,11.87,11.71,11.8,9.44,7497328
29/07/2016,11.81,12.73,11.68,12.22,9.77,54130278
01/08/2016,12.29,12.55,11.99,12.25,9.8,23908347
02/08/2016,12.22,12.26,12.0,12.07,9.65,18970348
03/08/2016,12.07,12.51,12.02,12.5,10.0,23912476
04/08/2016,12.48,12.74,12.47,12.65,10.11,15358554
05/08/2016,12.69,12.9,12.65,12.73,10.18,16329980
08/08/2016,12.79,12.89,12.54,12.58,10.06,13379397
09/08/2016,12.63,12.71,12.57,12.61,10.09,13865282
10/08/2016,12.63,12.64,12.46,12.53,10.02,9788938
11/08/2016,12.55,12.71,12.51,12.66,10.12,13035974
12/08/2016,12.6,12.76,12.49,12.72,10.18,18171321
15/08/2016,12.75,12.9,12.73,12.79,10.23,12316609
16/08/2016,12.73,12.89,12.68,12.82,10.26,10498152
17/08/2016,12.82,12.9,12.48,12.58,10.06,16809156
18/08/2016,12.52,12.72,12.52,12.71,10.16,11558875
19/08/2016,12.66,12.76,12.64,12.72,10.17,10394402
22/08/2016,12.68,12.77,12.57,12.75,10.2,7638586
23/08/2016,12.8,12.83,12.71,12.75,10.19,13619071
24/08/2016,12.74,12.82,12.59,12.61,10.08,7765219
25/08/2016,12.57,12.75,12.47,12.69,10.15,12335363
26/08/2016,12.73,12.84,12.56,12.66,10.12,9102436
29/08/2016,12.65,12.86,12.63,12.69,10.15,10135630
30/08/2016,12.69,12.76,12.47,12.54,10.03,15767186
31/08/2016,12.52,12.6,12.3,12.48,9.98,16448183
01/09/2016,12.46,12.97,12.25,12.88,10.3,32542619
02/09/2016,12.89,12.96,12.75,12.91,10.32,11299759
06/09/2016,12.89,12.89,12.64,12.71,10.16,14693214
07/09/2016,12.79,12.97,12.5,12.84,10.27,35346783
08/09/2016,12.79,12.9,12.39,12.43,9.94,50323029
09/09/2016,12.29,12.48,12.16,12.16,9.72,27124584
12/09/2016,12.04,12.45,11.99,12.37,9.9,21937448
13/09/2016,12.26,12.42,12.23,12.3,9.84,20650988
14/09/2016,12.28,12.45,12.26,12.41,9.93,18886212
15/09/2016,12.39,12.87,12.37,12.86,10.29,22183488
16/09/2016,12.83,12.97,12.76,12.94,10.35,28129562
19/09/2016,13.0,13.37,13.0,13.18,10.54,20660279
20/09/2016,13.23,13.34,13.15,13.15,10.51,16635035
21/09/2016,13.14,13.44,13.12,13.44,10.75,18368841
22/09/2016,13.45,13.68,13.45,13.51,10.8,17617129
23/09/2016,13.44,13.52,13.32,13.36,10.68,12469050
26/09/2016,13.29,13.35,13.16,13.25,10.59,13948729
27/09/2016,13.19,13.38,13.11,13.32,10.65,22581969
28/09/2016,13.37,13.48,13.26,13.39,10.71,12168813
29/09/2016,13.34,13.55,13.3,13.31,10.64,15577065
30/09/2016,13.41,13.54,13.13,13.22,10.57,27890404
03/10/2016,13.13,13.27,13.11,13.16,10.53,20113314
04/10/2016,13.18,13.33,12.94,13.01,10.41,15717118
05/10/2016,13.05,13.29,13.05,13.25,10.6,12511204
06/10/2016,13.22,13.28,13.15,13.18,10.54,11269994
07/10/2016,13.18,13.19,12.89,12.98,10.41,16110609
10/10/2016,13.07,13.19,13.04,13.08,10.48,15833256
11/10/2016,13.08,13.08,12.73,12.77,10.24,17394317
12/10/2016,12.83,12.86,12.67,12.79,10.25,13356341
13/10/2016,12.66,12.76,12.47,12.65,10.14,23763648
14/10/2016,12.52,12.76,12.48,12.51,10.03,23332992
17/10/2016,12.5,12.61,12.33,12.36,9.91,20037265
18/10/2016,12.52,12.55,12.26,12.48,10.0,20106431
19/10/2016,12.56,12.77,12.53,12.63,10.13,30091857
20/10/2016,12.57,12.73,12.52,12.72,10.2,18222937
21/10/2016,12.61,12.63,12.47,12.57,10.08,20590424
24/10/2016,12.6,12.66,12.55,12.6,10.1,15560891
25/10/2016,12.6,12.61,12.43,12.55,10.06,15908616
26/10/2016,12.51,12.68,12.48,12.67,10.16,13082601
27/10/2016,12.72,13.01,12.72,12.9,10.34,21757478
28/10/2016,12.9,13.07,12.79,12.89,10.33,12916567
31/10/2016,12.93,13.09,12.91,13.06,10.47,14006884
01/11/2016,13.03,13.11,12.65,12.83,10.29,12696336
02/11/2016,12.81,12.89,12.71,12.8,10.26,14294905
03/11/2016,12.83,12.89,12.65,12.67,10.16,12041664
04/11/2016,12.58,13.02,12.51,12.81,10.27,13275991
07/11/2016,13.01,13.48,13.0,13.43,10.77,18590104
08/11/2016,13.43,13.65,13.3,13.51,10.83,22014013
09/11/2016,13.04,13.69,13.0,13.5,10.82,26421737
10/11/2016,13.57,13.77,13.32,13.41,10.75,22441744
11/11/2016,13.38,13.59,13.32,13.55,10.86,16257201
14/11/2016,13.57,13.73,13.41,13.57,10.88,21289487
15/11/2016,13.64,13.68,13.45,13.61,10.91,25421921
16/11/2016,13.55,13.75,13.49,13.68,10.96,19870715
17/11/2016,13.64,13.76,13.52,13.72,11.0,18754934
18/11/2016,13.77,13.86,13.52,13.55,10.86,28549550
21/11/2016,13.61,13.69,13.26,13.44,10.77,40098274
22/11/2016,13.43,13.57,13.14,13.29,10.66,41580190
23/11/2016,13.19,13.73,13.06,13.69,10.97,37097794
25/11/2016,13.38,13.59,13.2,13.5,10.82,18320149
28/11/2016,13.35,13.59,13.3,13.57,10.88,37604498
29/11/2016,13.5,13.89,13.5,13.8,11.06,24233188
30/11/2016,13.83,13.89,13.73,13.83,11.09,24902141
01/12/2016,13.82,13.89,13.56,13.58,10.89,20974453
02/12/2016,13.58,13.89,13.57,13.86,11.11,12629234
05/12/2016,13.9,14.08,13.85,14.07,11.28,17673908
06/12/2016,14.04,14.05,13.89,13.93,11.16,16941294
07/12/2016,13.86,14.41,13.84,14.34,11.5,28028909
08/12/2016,14.33,14.41,14.25,14.32,11.48,12216300
09/12/2016,14.27,14.4,14.13,14.25,11.42,22907671
12/12/2016,14.0,14.08,13.77,13.89,11.17,21249914
13/12/2016,13.86,14.08,13.8,13.91,11.18,18690585
14/12/2016,13.8,14.17,13.79,13.9,11.18,16920304
15/12/2016,13.86,13.87,13.76,13.79,11.09,27706305
16/12/2016,13.73,13.82,13.59,13.65,10.97,35485116
19/12/2016,13.61,13.89,13.61,13.79,11.09,11699617
20/12/2016,13.82,13.94,13.75,13.86,11.14,15602185
21/12/2016,13.86,13.97,13.83,13.89,11.16,9327829
22/12/2016,13.9,13.94,13.67,13.81,11.1,11015867
23/12/2016,13.82,13.86,13.76,13.84,11.13,10125823
27/12/2016,13.84,13.89,13.73,13.8,11.09,6512137
28/12/2016,13.84,13.84,13.54,13.54,10.89,11347591
29/12/2016,13.53,13.64,13.47,13.57,10.9,8858805
30/12/2016,13.5,13.63,13.39,13.45,10.81,10862394
03/01/2017,13.48,13.64,13.36,13.48,10.84,13861841
04/01/2017,13.54,13.78,13.51,13.63,10.96,11969056
05/01/2017,13.63,13.7,13.56,13.69,11.01,19883103
06/01/2017,13.7,13.7,13.02,13.43,10.79,25019655
09/01/2017,13.45,13.47,13.08,13.11,10.54,24591408
10/01/2017,13.19,13.37,13.08,13.34,10.72,23212897
11/01/2017,13.32,13.36,13.14,13.23,10.63,15961609
12/01/2017,13.21,13.27,13.03,13.22,10.63,14234514
13/01/2017,13.22,13.4,13.22,13.33,10.72,9905248
17/01/2017,13.27,13.36,13.16,13.19,10.6,10155589
18/01/2017,13.23,13.36,13.13,13.29,10.68,14536128
19/01/2017,13.25,13.3,13.18,13.23,10.64,9976651
20/01/2017,13.25,13.31,13.16,13.3,10.69,15579301
23/01/2017,13.26,13.33,13.01,13.12,10.54,15614573
24/01/2017,13.2,13.42,13.17,13.3,10.69,14144701
