Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,2.68,2.8,2.67,2.8,1.2,11561381
03/01/1990,2.8,2.82,2.72,2.75,1.17,12022920
04/01/1990,2.75,2.77,2.68,2.72,1.16,6810346
05/01/1990,2.72,2.72,2.68,2.69,1.15,5281277
08/01/1990,2.69,2.77,2.66,2.74,1.17,5903122
09/01/1990,2.74,2.74,2.65,2.68,1.14,6206117
10/01/1990,2.67,2.67,2.61,2.67,1.14,6373469
11/01/1990,2.67,2.69,2.65,2.66,1.14,5804472
12/01/1990,2.63,2.63,2.58,2.6,1.11,8362315
15/01/1990,2.6,2.65,2.58,2.58,1.1,7439237
16/01/1990,2.58,2.65,2.53,2.65,1.13,10955390
17/01/1990,2.65,2.7,2.58,2.6,1.11,11290094
18/01/1990,2.6,2.6,2.53,2.58,1.1,14344709
19/01/1990,2.58,2.6,2.52,2.53,1.08,11575474
22/01/1990,2.53,2.56,2.51,2.53,1.08,8323560
23/01/1990,2.53,2.56,2.48,2.53,1.08,10173240
24/01/1990,2.53,2.55,2.48,2.54,1.08,6972413
25/01/1990,2.54,2.57,2.47,2.49,1.06,5173819
26/01/1990,2.49,2.51,2.41,2.5,1.07,6642994
29/01/1990,2.5,2.53,2.43,2.48,1.06,4495603
30/01/1990,2.48,2.54,2.48,2.51,1.07,9991795
31/01/1990,2.51,2.55,2.51,2.53,1.08,6410462
01/02/1990,2.53,2.56,2.52,2.52,1.07,13004131
02/02/1990,2.52,2.58,2.5,2.53,1.08,11096318
05/02/1990,2.53,2.58,2.53,2.58,1.1,4516742
06/02/1990,2.58,2.58,2.53,2.57,1.1,4987090
07/02/1990,2.57,2.71,2.55,2.7,1.15,16687637
08/02/1990,2.7,2.74,2.68,2.7,1.15,11513818
09/02/1990,2.7,2.72,2.64,2.65,1.13,6732835
12/02/1990,2.64,2.64,2.6,2.6,1.11,4384622
13/02/1990,2.6,2.66,2.58,2.63,1.12,6162077
14/02/1990,2.65,2.71,2.65,2.65,1.13,4775698
15/02/1990,2.65,2.7,2.65,2.68,1.14,5046984
16/02/1990,2.6,2.6,2.47,2.49,1.06,28999459
20/02/1990,2.45,2.45,2.39,2.4,1.02,15990043
21/02/1990,2.39,2.39,2.33,2.39,1.02,13923686
22/02/1990,2.39,2.42,2.35,2.35,1.0,12870250
23/02/1990,2.35,2.41,2.33,2.36,1.01,8418686
26/02/1990,2.36,2.4,2.35,2.4,1.02,6049334
27/02/1990,2.4,2.48,2.39,2.41,1.03,12340008
28/02/1990,2.41,2.46,2.4,2.45,1.04,8358792
01/03/1990,2.44,2.44,2.38,2.38,1.02,7583688
02/03/1990,2.38,2.42,2.38,2.41,1.03,6056381
05/03/1990,2.41,2.44,2.38,2.41,1.03,6877286
06/03/1990,2.41,2.43,2.41,2.41,1.03,7044638
07/03/1990,2.45,2.5,2.45,2.48,1.06,12421042
08/03/1990,2.48,2.56,2.48,2.54,1.08,18070493
09/03/1990,2.54,2.57,2.53,2.53,1.08,8156208
12/03/1990,2.53,2.55,2.49,2.53,1.08,4738704
13/03/1990,2.53,2.54,2.48,2.51,1.07,7055208
14/03/1990,2.51,2.51,2.43,2.5,1.07,8665310
15/03/1990,2.5,2.55,2.5,2.5,1.07,7895491
16/03/1990,2.52,2.58,2.52,2.56,1.1,18868498
19/03/1990,2.56,2.71,2.53,2.7,1.16,16465675
20/03/1990,2.7,2.71,2.65,2.66,1.14,16994155
21/03/1990,2.66,2.69,2.64,2.64,1.13,6658848
22/03/1990,2.64,2.7,2.61,2.65,1.13,11339419
23/03/1990,2.65,2.67,2.63,2.64,1.13,8029373
26/03/1990,2.64,2.65,2.63,2.63,1.12,4888440
27/03/1990,2.63,2.65,2.6,2.65,1.13,6382277
28/03/1990,2.65,2.66,2.62,2.65,1.13,4897248
29/03/1990,2.65,2.7,2.64,2.65,1.14,7395197
30/03/1990,2.65,2.65,2.58,2.6,1.11,8815046
02/04/1990,2.6,2.63,2.55,2.63,1.12,4869062
03/04/1990,2.65,2.68,2.65,2.65,1.14,7476230
04/04/1990,2.65,2.67,2.58,2.59,1.11,13268371
05/04/1990,2.59,2.6,2.55,2.55,1.09,11332373
06/04/1990,2.55,2.56,2.48,2.48,1.06,15746942
09/04/1990,2.48,2.51,2.46,2.48,1.06,8756914
10/04/1990,2.5,2.56,2.5,2.56,1.1,6334714
11/04/1990,2.56,2.58,2.54,2.54,1.09,8360554
12/04/1990,2.54,2.55,2.52,2.53,1.08,8098075
16/04/1990,2.54,2.61,2.54,2.55,1.09,6318859
17/04/1990,2.55,2.55,2.52,2.53,1.08,5957731
18/04/1990,2.53,2.53,2.47,2.47,1.06,8661787
19/04/1990,2.47,2.5,2.46,2.46,1.05,8765722
20/04/1990,2.46,2.48,2.43,2.46,1.05,9001776
23/04/1990,2.46,2.48,2.42,2.43,1.04,7115102
24/04/1990,2.43,2.46,2.41,2.41,1.03,8055797
25/04/1990,2.42,2.47,2.42,2.47,1.06,5693491
26/04/1990,2.48,2.53,2.48,2.49,1.07,6493258
27/04/1990,2.49,2.5,2.43,2.44,1.04,4125667
30/04/1990,2.44,2.48,2.43,2.47,1.06,5883744
01/05/1990,2.47,2.51,2.47,2.49,1.07,5652974
02/05/1990,2.49,2.52,2.48,2.52,1.08,5066362
03/05/1990,2.52,2.53,2.48,2.5,1.07,7361726
04/05/1990,2.5,2.55,2.49,2.54,1.09,9928378
07/05/1990,2.54,2.58,2.52,2.53,1.08,9502070
08/05/1990,2.53,2.54,2.48,2.53,1.08,12873773
09/05/1990,2.53,2.55,2.52,2.55,1.09,9866722
10/05/1990,2.57,2.64,2.57,2.63,1.12,15576067
11/05/1990,2.63,2.69,2.6,2.68,1.14,25402272
14/05/1990,2.71,2.78,2.71,2.75,1.17,30366461
15/05/1990,2.75,2.76,2.72,2.72,1.17,16435728
16/05/1990,2.72,2.72,2.6,2.62,1.12,32150962
17/05/1990,2.58,2.58,2.53,2.58,1.1,25139794
18/05/1990,2.58,2.58,2.55,2.57,1.1,11367605
21/05/1990,2.57,2.63,2.56,2.6,1.11,11105126
22/05/1990,2.6,2.64,2.6,2.63,1.12,11992973
23/05/1990,2.63,2.71,2.62,2.69,1.15,20802734
24/05/1990,2.7,2.75,2.7,2.72,1.16,25250774
25/05/1990,2.7,2.7,2.64,2.68,1.15,7803888
29/05/1990,2.68,2.72,2.68,2.72,1.16,6410462
30/05/1990,2.72,2.76,2.68,2.72,1.17,20047008
31/05/1990,2.72,2.75,2.71,2.71,1.16,8283043
01/06/1990,2.71,2.74,2.71,2.71,1.16,6116275
04/06/1990,2.71,2.79,2.71,2.77,1.18,11172067
05/06/1990,2.78,2.85,2.78,2.82,1.2,17811538
