Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.91,9.06,8.84,9.06,4.22,530800
03/01/1990,9.12,9.16,8.97,9.0,4.19,619600
04/01/1990,8.97,9.03,8.84,8.94,4.16,719600
05/01/1990,8.94,8.97,8.84,8.88,4.13,307200
08/01/1990,8.78,8.91,8.78,8.84,4.12,312400
09/01/1990,8.84,8.88,8.62,8.62,4.02,395600
10/01/1990,8.59,8.69,8.5,8.59,4.0,595600
11/01/1990,8.56,8.69,8.56,8.59,4.0,129200
12/01/1990,8.53,8.59,8.47,8.47,3.95,288400
15/01/1990,8.47,8.5,8.34,8.38,3.9,449600
16/01/1990,8.28,8.47,8.28,8.44,3.93,236400
17/01/1990,8.41,8.5,8.28,8.34,3.89,338800
18/01/1990,8.31,8.38,8.28,8.38,3.9,256000
19/01/1990,8.44,8.47,8.38,8.38,3.9,967200
22/01/1990,8.31,8.38,8.16,8.16,3.8,495600
23/01/1990,8.22,8.31,8.16,8.28,3.86,346800
24/01/1990,8.28,8.28,8.06,8.19,3.81,395200
25/01/1990,8.22,8.28,8.03,8.03,3.74,348800
26/01/1990,8.06,8.06,7.88,8.06,3.76,520000
29/01/1990,8.0,8.03,7.84,7.94,3.7,250000
30/01/1990,7.91,7.94,7.69,7.72,3.6,1165600
31/01/1990,7.75,7.97,7.75,7.97,3.71,311200
01/02/1990,7.97,8.03,7.88,8.0,3.73,355200
02/02/1990,7.94,8.03,7.94,8.0,3.73,221200
05/02/1990,7.97,8.0,7.88,7.94,3.7,260800
06/02/1990,7.94,7.94,7.78,7.91,3.68,186400
07/02/1990,7.84,8.06,7.75,8.03,3.74,348800
08/02/1990,7.91,7.94,7.81,7.88,3.67,428800
09/02/1990,7.97,8.0,7.88,7.94,3.7,188000
12/02/1990,7.88,7.94,7.75,7.75,3.61,414000
13/02/1990,7.75,7.78,7.66,7.75,3.61,454400
14/02/1990,7.66,7.75,7.62,7.69,3.58,312800
15/02/1990,7.69,7.72,7.56,7.59,3.54,354000
16/02/1990,7.62,7.62,7.5,7.53,3.51,874800
20/02/1990,7.5,7.53,7.38,7.5,3.52,374800
21/02/1990,7.06,7.38,7.06,7.22,3.39,2087200
22/02/1990,7.38,7.47,7.31,7.34,3.44,565600
23/02/1990,7.31,7.41,7.28,7.38,3.46,358400
26/02/1990,7.38,7.44,7.28,7.31,3.43,226000
27/02/1990,7.28,7.34,7.28,7.28,3.41,772800
28/02/1990,7.28,7.31,7.22,7.25,3.4,1275600
01/03/1990,7.25,7.56,7.25,7.53,3.53,596400
02/03/1990,7.59,7.66,7.53,7.53,3.53,707200
05/03/1990,7.59,7.62,7.53,7.56,3.55,280000
06/03/1990,7.56,7.69,7.56,7.69,3.6,288400
07/03/1990,7.72,7.91,7.72,7.84,3.68,689600
08/03/1990,7.88,7.97,7.75,7.91,3.71,433600
09/03/1990,7.88,7.91,7.81,7.88,3.69,232400
12/03/1990,7.81,7.88,7.75,7.84,3.68,316000
13/03/1990,7.78,7.81,7.66,7.69,3.6,356400
14/03/1990,7.69,7.72,7.66,7.72,3.62,140800
15/03/1990,7.72,7.84,7.69,7.78,3.65,292000
16/03/1990,8.0,8.0,7.88,7.94,3.72,786800
19/03/1990,7.88,8.0,7.84,8.0,3.75,271600
20/03/1990,7.94,8.03,7.88,7.91,3.71,225600
21/03/1990,7.88,8.0,7.88,7.88,3.69,402800
22/03/1990,7.88,7.91,7.66,7.69,3.6,254400
23/03/1990,7.69,7.78,7.69,7.75,3.63,181600
26/03/1990,7.72,7.88,7.72,7.72,3.62,262000
27/03/1990,7.66,7.84,7.66,7.81,3.66,160400
28/03/1990,7.75,7.78,7.56,7.69,3.6,630400
29/03/1990,7.78,7.94,7.78,7.91,3.71,807200
30/03/1990,7.88,7.94,7.84,7.94,3.72,295600
02/04/1990,7.94,7.94,7.81,7.84,3.68,301200
03/04/1990,7.88,8.09,7.84,8.03,3.77,785600
04/04/1990,8.03,8.06,7.91,8.0,3.75,436800
05/04/1990,7.97,8.12,7.91,8.06,3.78,402000
06/04/1990,8.12,8.19,8.03,8.16,3.82,372800
09/04/1990,8.22,8.44,8.22,8.41,3.94,576000
10/04/1990,8.44,8.5,8.44,8.47,3.97,617600
11/04/1990,8.44,8.47,8.41,8.41,3.94,338800
12/04/1990,8.44,8.5,8.41,8.41,3.94,264000
16/04/1990,8.47,8.5,8.44,8.44,3.96,312800
17/04/1990,8.41,8.41,8.22,8.31,3.9,646400
18/04/1990,8.25,8.25,8.03,8.09,3.8,439200
19/04/1990,8.03,8.12,7.88,7.94,3.72,340400
20/04/1990,7.91,8.06,7.81,7.84,3.68,948800
23/04/1990,7.84,7.84,7.69,7.78,3.65,373200
24/04/1990,7.84,7.94,7.81,7.81,3.66,246400
25/04/1990,7.81,7.94,7.81,7.81,3.66,312800
26/04/1990,7.84,7.94,7.78,7.94,3.72,324400
27/04/1990,7.91,7.94,7.81,7.81,3.66,370800
30/04/1990,7.75,8.06,7.72,8.06,3.78,730400
01/05/1990,8.12,8.12,7.97,8.03,3.77,423600
02/05/1990,8.06,8.16,7.91,8.16,3.82,875600
03/05/1990,8.12,8.28,8.09,8.19,3.84,763600
04/05/1990,8.19,8.25,8.16,8.25,3.87,283600
07/05/1990,8.25,8.34,8.22,8.31,3.9,521200
08/05/1990,8.31,8.56,8.31,8.5,3.99,911200
09/05/1990,8.5,8.5,8.34,8.44,3.96,348000
10/05/1990,8.44,8.62,8.44,8.53,4.0,590000
11/05/1990,8.59,8.81,8.56,8.75,4.1,817200
14/05/1990,8.72,8.84,8.59,8.66,4.06,1400400
