Date,Open,High,Low,Close,Adj Close,Volume
16/11/2005,7.8,8.84,7.71,7.85,6.86,97759000
17/11/2005,8.06,8.35,6.8,7.05,6.16,34308500
18/11/2005,7.24,7.39,6.91,7.0,6.12,12810000
21/11/2005,7.05,7.19,6.96,7.18,6.27,6404000
22/11/2005,7.09,7.09,6.86,6.99,6.11,6533000
23/11/2005,6.94,6.99,6.31,6.79,5.93,12421000
25/11/2005,6.75,6.89,6.73,6.83,5.97,1316000
28/11/2005,6.78,6.78,6.51,6.66,5.82,3155000
29/11/2005,6.66,6.7,6.25,6.39,5.59,4477500
30/11/2005,6.42,6.48,6.32,6.46,5.64,3894500
01/12/2005,6.46,7.04,6.43,7.0,6.12,5688500
02/12/2005,7.0,7.26,6.98,7.22,6.31,5120000
05/12/2005,7.24,7.49,7.24,7.36,6.43,4592500
06/12/2005,7.36,7.52,7.29,7.32,6.39,3202500
07/12/2005,7.33,7.33,6.9,7.09,6.19,2473000
08/12/2005,7.14,7.26,7.11,7.2,6.29,1823500
09/12/2005,7.2,7.29,7.16,7.24,6.33,808000
12/12/2005,7.29,7.3,7.21,7.29,6.37,953500
13/12/2005,7.29,7.29,7.1,7.12,6.22,1843000
14/12/2005,7.1,7.14,6.96,7.0,6.12,1422000
15/12/2005,6.99,6.99,6.73,6.8,5.94,3273000
16/12/2005,6.77,6.9,6.7,6.84,5.97,8170500
19/12/2005,6.8,6.88,6.77,6.87,6.01,2242000
20/12/2005,6.92,7.08,6.88,6.99,6.1,2423500
21/12/2005,6.98,7.0,6.91,6.96,6.08,916500
22/12/2005,6.96,6.96,6.86,6.94,6.06,1171000
23/12/2005,6.89,6.94,6.81,6.85,5.98,985000
27/12/2005,6.9,7.09,6.9,7.05,6.16,1214000
28/12/2005,7.05,7.09,7.01,7.02,6.13,581000
29/12/2005,6.98,7.24,6.98,7.23,6.31,1076500
30/12/2005,7.25,7.27,7.09,7.27,6.35,923500
03/01/2006,7.3,7.65,7.2,7.57,6.62,2993000
04/01/2006,7.58,7.58,7.27,7.38,6.45,1196500
05/01/2006,7.64,7.95,7.64,7.86,6.87,3478500
06/01/2006,7.85,8.08,7.82,8.06,7.04,2306500
09/01/2006,8.2,8.86,8.18,8.72,7.62,8702000
10/01/2006,8.67,9.36,8.67,9.2,8.04,8667500
11/01/2006,9.3,9.64,9.07,9.38,8.2,7560000
12/01/2006,9.47,9.57,8.65,8.79,7.68,4841500
13/01/2006,8.74,8.92,8.6,8.91,7.78,2010500
17/01/2006,9.1,9.4,9.0,9.28,8.1,2609500
18/01/2006,9.27,9.27,9.0,9.16,8.0,1397500
19/01/2006,9.14,9.56,8.8,9.49,8.29,3307000
20/01/2006,9.6,9.68,9.25,9.26,8.09,2309500
23/01/2006,9.26,9.56,9.23,9.55,8.35,1744500
24/01/2006,9.55,10.68,9.38,10.56,9.22,5615000
25/01/2006,10.7,11.03,10.03,10.6,9.26,7019000
26/01/2006,10.65,10.83,10.44,10.49,9.16,2424000
27/01/2006,10.01,10.52,9.71,10.2,8.91,6929000
