Date,Open,High,Low,Close,Adj Close,Volume
21/06/1991,0.0,0.97,0.94,0.95,0.95,11384000
24/06/1991,0.94,0.95,0.91,0.91,0.91,1881600
25/06/1991,0.95,0.95,0.91,0.91,0.91,1881600
26/06/1991,0.92,0.92,0.91,0.91,0.91,2684800
27/06/1991,0.91,0.91,0.91,0.91,0.91,84800
28/06/1991,0.91,0.91,0.91,0.91,0.91,1560000
01/07/1991,0.91,0.94,0.91,0.93,0.93,233600
02/07/1991,0.93,0.93,0.88,0.91,0.91,1380800
03/07/1991,0.88,0.9,0.88,0.88,0.88,572800
05/07/1991,0.88,0.88,0.88,0.88,0.88,78400
08/07/1991,0.87,0.88,0.86,0.86,0.86,326400
09/07/1991,0.88,0.88,0.86,0.88,0.88,627200
10/07/1991,0.86,0.88,0.86,0.88,0.88,105600
11/07/1991,0.86,0.88,0.86,0.88,0.88,88000
12/07/1991,0.86,0.88,0.86,0.86,0.86,112000
15/07/1991,0.88,0.88,0.86,0.86,0.86,56000
16/07/1991,0.86,0.88,0.86,0.88,0.88,203200
17/07/1991,0.87,0.88,0.86,0.86,0.86,216000
18/07/1991,0.86,0.88,0.86,0.87,0.87,284800
19/07/1991,0.88,0.92,0.87,0.89,0.89,532800
22/07/1991,0.89,0.91,0.88,0.88,0.88,275200
23/07/1991,0.88,0.89,0.88,0.88,0.88,139200
24/07/1991,0.88,0.9,0.88,0.9,0.9,46400
25/07/1991,0.88,0.9,0.87,0.88,0.88,419200
26/07/1991,0.9,0.95,0.9,0.94,0.94,524800
29/07/1991,0.94,0.95,0.92,0.95,0.95,112000
30/07/1991,0.92,0.95,0.91,0.93,0.93,92800
31/07/1991,0.91,0.93,0.91,0.91,0.91,457600
01/08/1991,0.93,0.94,0.91,0.94,0.94,728000
02/08/1991,0.92,0.94,0.92,0.92,0.92,198400
05/08/1991,0.94,0.94,0.92,0.92,0.92,160000
06/08/1991,0.91,0.93,0.91,0.92,0.92,46400
07/08/1991,0.93,0.93,0.92,0.93,0.93,240000
08/08/1991,0.93,0.94,0.92,0.94,0.94,217600
09/08/1991,0.92,0.92,0.92,0.92,0.92,3200
12/08/1991,0.92,0.94,0.92,0.94,0.94,230400
13/08/1991,0.94,0.94,0.92,0.92,0.92,120000
14/08/1991,0.91,0.93,0.91,0.93,0.93,219200
15/08/1991,0.93,0.93,0.92,0.93,0.93,17600
16/08/1991,0.91,0.93,0.91,0.93,0.93,203200
19/08/1991,0.88,0.88,0.84,0.84,0.84,577600
20/08/1991,0.88,0.88,0.87,0.88,0.88,204800
21/08/1991,0.92,0.92,0.9,0.9,0.9,41600
22/08/1991,0.9,0.92,0.9,0.91,0.91,108800
23/08/1991,0.92,0.92,0.9,0.92,0.92,134400
26/08/1991,0.89,0.92,0.89,0.92,0.92,32000
27/08/1991,0.92,0.92,0.9,0.9,0.9,24000
28/08/1991,0.9,0.93,0.9,0.93,0.93,1107200
29/08/1991,0.93,1.05,0.92,1.03,1.03,3358400
30/08/1991,1.05,1.05,0.98,1.03,1.03,1681600
