Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.33,3.46,3.31,3.36,2.14,44550
03/01/1990,3.38,3.38,3.31,3.36,2.14,41006
04/01/1990,3.33,3.33,3.26,3.26,2.08,36956
05/01/1990,3.23,3.23,3.23,3.23,2.06,1013
08/01/1990,3.19,3.31,3.19,3.28,2.09,36956
09/01/1990,3.26,3.26,3.23,3.23,2.06,22781
10/01/1990,3.21,3.23,3.19,3.21,2.05,17719
11/01/1990,3.19,3.19,3.11,3.11,1.98,5569
12/01/1990,3.09,3.09,3.06,3.09,1.97,55181
15/01/1990,3.04,3.09,3.04,3.09,1.97,18731
16/01/1990,3.09,3.11,3.06,3.11,1.98,106819
17/01/1990,3.14,3.14,3.09,3.09,1.97,29363
18/01/1990,3.09,3.09,3.04,3.04,1.94,61256
19/01/1990,3.04,3.04,3.04,3.04,1.94,5063
22/01/1990,3.06,3.06,3.04,3.04,1.94,38981
23/01/1990,3.04,3.09,2.72,2.72,1.73,250088
24/01/1990,2.67,2.69,2.62,2.67,1.7,65306
25/01/1990,2.64,2.64,2.62,2.62,1.67,5569
26/01/1990,2.64,2.64,2.47,2.47,1.57,44550
29/01/1990,2.49,2.49,2.32,2.37,1.51,146306
30/01/1990,2.27,2.27,2.1,2.1,1.34,100238
31/01/1990,2.12,2.17,2.1,2.17,1.39,64800
01/02/1990,2.17,2.17,2.15,2.15,1.37,53663
02/02/1990,2.17,2.17,2.12,2.17,1.39,231863
05/02/1990,2.2,2.2,2.15,2.17,1.39,211106
06/02/1990,2.17,2.32,2.17,2.3,1.46,86063
07/02/1990,2.27,2.49,2.27,2.49,1.59,37463
08/02/1990,2.54,2.57,2.54,2.54,1.62,17719
09/02/1990,2.54,2.57,2.49,2.52,1.61,22275
12/02/1990,2.52,2.52,2.47,2.47,1.57,4556
13/02/1990,2.42,2.42,2.4,2.4,1.53,13163
14/02/1990,2.35,2.4,2.32,2.32,1.48,47081
15/02/1990,2.32,2.32,2.22,2.25,1.43,25313
16/02/1990,2.22,2.22,2.22,2.22,1.42,12656
20/02/1990,2.2,2.25,2.2,2.25,1.43,19744
21/02/1990,2.27,2.27,2.17,2.2,1.4,165038
22/02/1990,2.25,2.3,2.25,2.3,1.46,16706
23/02/1990,2.25,2.3,2.2,2.3,1.46,22781
26/02/1990,2.25,2.25,2.25,2.25,1.43,10125
27/02/1990,2.27,2.27,2.25,2.25,1.43,8606
28/02/1990,2.3,2.35,2.3,2.35,1.5,19744
01/03/1990,2.35,2.35,2.35,2.35,1.5,0
02/03/1990,2.35,2.37,2.35,2.37,1.51,3544
05/03/1990,2.37,2.37,2.37,2.37,1.51,4050
06/03/1990,2.35,2.37,2.35,2.37,1.51,37463
07/03/1990,2.4,2.4,2.37,2.37,1.51,8100
08/03/1990,2.42,2.44,2.42,2.42,1.54,42019
09/03/1990,2.42,2.49,2.4,2.49,1.59,12150
12/03/1990,2.49,2.54,2.49,2.54,1.62,6581
13/03/1990,2.57,2.57,2.57,2.57,1.64,5063
14/03/1990,2.52,2.52,2.49,2.49,1.59,41513
15/03/1990,2.47,2.49,2.42,2.49,1.59,47588
16/03/1990,2.52,2.54,2.52,2.52,1.61,183263
19/03/1990,2.57,2.59,2.57,2.59,1.65,11644
20/03/1990,2.62,2.64,2.57,2.57,1.64,35438
21/03/1990,2.57,2.57,2.49,2.52,1.61,128588
22/03/1990,2.52,2.52,2.42,2.49,1.59,35944
23/03/1990,2.42,2.49,2.42,2.49,1.59,22275
26/03/1990,2.49,2.52,2.49,2.49,1.59,110869
27/03/1990,2.49,2.52,2.49,2.49,1.59,94669
28/03/1990,2.44,2.44,2.44,2.44,1.56,13163
29/03/1990,2.47,2.47,2.42,2.47,1.57,43031
30/03/1990,2.47,2.47,2.47,2.47,1.57,59231
02/04/1990,2.47,2.47,2.47,2.47,1.57,78469
03/04/1990,2.47,2.52,2.47,2.47,1.57,9113
04/04/1990,2.47,2.52,2.47,2.47,1.57,260719
05/04/1990,2.47,2.47,2.47,2.47,1.57,254644
06/04/1990,2.47,2.47,2.47,2.47,1.57,0
09/04/1990,2.49,2.49,2.49,2.49,1.59,5063
10/04/1990,2.49,2.59,2.49,2.57,1.64,37969
11/04/1990,2.59,2.59,2.57,2.57,1.64,3038
12/04/1990,2.57,2.62,2.57,2.62,1.67,131119
16/04/1990,2.62,2.62,2.57,2.57,1.64,157950
17/04/1990,2.57,2.59,2.54,2.57,1.64,149850
18/04/1990,2.62,2.62,2.59,2.59,1.65,9113
19/04/1990,2.57,2.59,2.57,2.57,1.64,20250
20/04/1990,2.57,2.57,2.57,2.57,1.64,26325
23/04/1990,2.57,2.57,2.57,2.57,1.64,136688
24/04/1990,2.57,2.57,2.57,2.57,1.64,162506
25/04/1990,2.59,2.67,2.59,2.67,1.7,14175
26/04/1990,2.67,2.67,2.64,2.64,1.68,9113
27/04/1990,2.67,2.67,2.67,2.67,1.7,29869
30/04/1990,2.67,2.72,2.64,2.72,1.73,26325
01/05/1990,2.74,2.74,2.69,2.74,1.75,22781
02/05/1990,2.72,2.81,2.72,2.81,1.79,17719
03/05/1990,2.89,2.89,2.86,2.89,1.84,10125
04/05/1990,2.89,2.91,2.89,2.89,1.84,7594
07/05/1990,2.94,2.94,2.86,2.86,1.83,34931
08/05/1990,2.89,2.89,2.86,2.86,1.83,11644
09/05/1990,2.89,2.91,2.86,2.89,1.84,87581
10/05/1990,2.86,2.86,2.86,2.86,1.83,10631
11/05/1990,2.86,2.91,2.86,2.91,1.86,18731
14/05/1990,2.94,2.94,2.91,2.91,1.86,71888
15/05/1990,2.91,2.91,2.89,2.89,1.84,137194
16/05/1990,2.86,2.86,2.84,2.84,1.81,10631
17/05/1990,2.86,2.91,2.86,2.86,1.83,112388
18/05/1990,2.86,2.86,2.84,2.84,1.81,3544
21/05/1990,2.84,2.84,2.84,2.84,1.81,288563
22/05/1990,2.84,2.84,2.84,2.84,1.81,0
23/05/1990,2.84,2.89,2.84,2.86,1.83,37463
24/05/1990,2.89,2.91,2.86,2.91,1.86,17213
25/05/1990,2.96,2.99,2.96,2.96,1.89,33413
29/05/1990,3.01,3.01,2.96,2.96,1.89,19238
30/05/1990,3.01,3.01,3.01,3.01,1.92,42525
31/05/1990,2.99,2.99,2.96,2.96,1.89,51131
01/06/1990,2.96,2.96,2.96,2.96,1.89,128588
04/06/1990,2.94,2.96,2.91,2.96,1.89,65306
05/06/1990,2.96,2.99,2.91,2.91,1.86,56194
06/06/1990,2.94,2.94,2.91,2.94,1.87,161494
07/06/1990,2.91,2.96,2.91,2.96,1.89,17719
08/06/1990,2.94,2.96,2.94,2.96,1.89,103781
11/06/1990,2.94,2.96,2.91,2.96,1.89,29869
12/06/1990,2.96,3.09,2.91,3.06,1.95,103781
13/06/1990,3.09,3.11,3.04,3.04,1.94,32400
14/06/1990,3.01,3.06,3.01,3.06,1.95,25313
15/06/1990,3.04,3.06,3.01,3.04,1.94,34425
18/06/1990,3.01,3.01,3.01,3.01,1.92,9619
19/06/1990,2.96,2.99,2.96,2.99,1.9,14175
20/06/1990,2.96,2.96,2.91,2.91,1.86,51638
21/06/1990,2.91,2.91,2.91,2.91,1.86,0
22/06/1990,2.96,2.96,2.96,2.96,1.89,22781
25/06/1990,2.96,2.96,2.96,2.96,1.89,7594
26/06/1990,2.96,2.99,2.96,2.99,1.9,25313
27/06/1990,2.96,2.96,2.96,2.96,1.89,2531
28/06/1990,2.96,2.96,2.96,2.96,1.89,2025
29/06/1990,2.96,3.11,2.96,3.11,1.98,84038
02/07/1990,3.09,3.16,3.09,3.16,2.01,15694
03/07/1990,3.11,3.11,3.09,3.09,1.97,7088
05/07/1990,3.09,3.09,3.09,3.09,1.97,1013
06/07/1990,3.09,3.09,3.01,3.01,1.92,152381
09/07/1990,3.06,3.06,3.04,3.04,1.94,27844
10/07/1990,3.04,3.04,3.04,3.04,1.94,10125
11/07/1990,3.04,3.06,3.04,3.06,1.95,10125
12/07/1990,3.06,3.11,3.06,3.11,1.98,42019
13/07/1990,3.14,3.14,3.11,3.11,1.98,1013
16/07/1990,3.09,3.16,3.09,3.16,2.01,47588
17/07/1990,3.14,3.16,3.14,3.16,2.01,13163
18/07/1990,3.14,3.16,3.11,3.11,1.98,38475
19/07/1990,3.11,3.11,3.09,3.11,1.98,12150
20/07/1990,3.11,3.11,3.11,3.11,1.98,7088
23/07/1990,3.11,3.16,3.11,3.11,1.98,59231
24/07/1990,3.11,3.11,3.09,3.11,1.98,11138
25/07/1990,3.14,3.14,3.09,3.09,1.97,3038
26/07/1990,3.09,3.11,3.09,3.11,1.98,3544
27/07/1990,3.11,3.11,3.11,3.11,1.98,19744
30/07/1990,3.11,3.11,3.09,3.09,1.97,8606
31/07/1990,3.09,3.11,3.09,3.11,1.98,19238
01/08/1990,3.09,3.14,3.09,3.09,1.97,117450
02/08/1990,3.09,3.09,3.04,3.04,1.94,33919
03/08/1990,3.04,3.04,3.01,3.01,1.92,11138
06/08/1990,2.96,2.96,2.89,2.89,1.84,24806
07/08/1990,2.91,2.91,2.77,2.77,1.76,78975
08/08/1990,2.72,2.74,2.69,2.69,1.72,25313
09/08/1990,2.69,2.74,2.69,2.74,1.75,37463
10/08/1990,2.69,2.72,2.69,2.72,1.73,7594
13/08/1990,2.69,2.69,2.69,2.69,1.72,506
14/08/1990,2.69,2.69,2.69,2.69,1.72,3544
15/08/1990,2.69,2.74,2.67,2.74,1.75,151875
16/08/1990,2.77,2.77,2.77,2.77,1.76,20250
17/08/1990,2.77,2.81,2.77,2.77,1.76,54169
20/08/1990,2.74,2.77,2.74,2.77,1.76,34931
21/08/1990,2.74,2.74,2.74,2.74,1.75,16706
22/08/1990,2.72,2.72,2.69,2.69,1.72,65306
23/08/1990,2.67,2.67,2.49,2.49,1.59,32400
24/08/1990,2.4,2.4,2.2,2.25,1.43,248063
27/08/1990,2.27,2.3,2.27,2.27,1.45,153900
28/08/1990,2.27,2.3,2.22,2.22,1.42,57713
29/08/1990,2.22,2.27,2.22,2.27,1.45,76950
30/08/1990,2.25,2.25,2.2,2.2,1.4,131625
31/08/1990,2.25,2.27,2.25,2.27,1.45,30375
04/09/1990,2.27,2.27,2.27,2.27,1.45,2531
05/09/1990,2.27,2.27,2.25,2.25,1.43,10631
06/09/1990,2.27,2.27,2.22,2.22,1.42,42019
07/09/1990,2.27,2.27,2.25,2.25,1.43,12656
10/09/1990,2.27,2.35,2.27,2.3,1.46,38981
11/09/1990,2.3,2.3,2.27,2.27,1.45,75938
12/09/1990,2.3,2.32,2.27,2.32,1.48,33413
13/09/1990,2.27,2.27,2.27,2.27,1.45,17213
14/09/1990,2.35,2.35,2.32,2.32,1.48,37969
17/09/1990,2.27,2.32,2.27,2.32,1.48,66825
18/09/1990,2.32,2.32,2.3,2.32,1.48,28856
19/09/1990,2.32,2.32,2.3,2.3,1.46,18225
20/09/1990,2.27,2.27,2.22,2.22,1.42,21769
21/09/1990,2.27,2.27,2.27,2.27,1.45,29869
24/09/1990,2.27,2.27,2.27,2.27,1.45,9113
25/09/1990,2.27,2.27,2.2,2.2,1.4,34425
26/09/1990,2.22,2.22,2.17,2.17,1.39,18731
27/09/1990,2.12,2.17,2.12,2.12,1.35,40500
28/09/1990,2.12,2.17,2.12,2.17,1.39,8606
01/10/1990,2.17,2.32,2.17,2.32,1.48,36450
02/10/1990,2.37,2.37,2.37,2.37,1.51,10631
03/10/1990,2.37,2.4,2.37,2.4,1.53,3544
04/10/1990,2.37,2.37,2.3,2.3,1.46,26325
05/10/1990,2.3,2.3,2.3,2.3,1.46,0
08/10/1990,2.3,2.32,2.27,2.32,1.48,9113
09/10/1990,2.3,2.3,2.3,2.3,1.46,31894
10/10/1990,2.25,2.25,2.17,2.17,1.39,35438
11/10/1990,2.12,2.15,2.07,2.07,1.32,110363
12/10/1990,2.07,2.15,2.07,2.15,1.37,10125
15/10/1990,2.15,2.15,2.15,2.15,1.37,0
16/10/1990,2.17,2.17,2.17,2.17,1.39,19238
17/10/1990,2.22,2.27,2.2,2.2,1.4,162000
18/10/1990,2.2,2.2,2.17,2.17,1.39,339188
