Date,Open,High,Low,Close,Adj Close,Volume
04/11/1993,1.88,1.94,1.88,1.88,1.88,1406400
05/11/1993,1.88,2.0,1.88,1.97,1.97,802000
08/11/1993,2.0,2.06,1.97,1.97,1.97,430400
09/11/1993,1.97,2.0,1.97,1.97,1.97,142000
10/11/1993,1.97,2.0,1.97,2.0,2.0,90800
11/11/1993,2.0,2.12,2.0,2.03,2.03,408800
12/11/1993,2.03,2.16,2.03,2.09,2.09,393200
15/11/1993,2.16,2.38,2.09,2.31,2.31,602800
16/11/1993,2.31,2.5,2.31,2.44,2.44,455200
17/11/1993,2.47,2.5,2.38,2.38,2.38,165600
18/11/1993,2.38,2.38,2.31,2.31,2.31,299200
19/11/1993,2.31,2.34,2.31,2.34,2.34,58800
22/11/1993,2.28,2.28,2.09,2.25,2.25,244400
23/11/1993,2.22,2.44,2.22,2.41,2.41,259200
24/11/1993,2.41,2.47,2.34,2.34,2.34,48400
26/11/1993,2.38,2.41,2.38,2.38,2.38,16800
29/11/1993,2.38,2.38,2.25,2.25,2.25,92000
30/11/1993,2.22,2.31,2.22,2.25,2.25,89200
01/12/1993,2.28,2.28,2.19,2.19,2.19,98400
02/12/1993,2.22,2.59,2.22,2.59,2.59,612400
03/12/1993,2.75,2.97,2.44,2.56,2.56,494800
06/12/1993,2.53,2.56,2.41,2.41,2.41,74400
07/12/1993,2.41,2.41,2.34,2.34,2.34,88000
08/12/1993,2.41,2.44,2.38,2.38,2.38,64800
09/12/1993,2.41,2.41,2.34,2.34,2.34,10800
10/12/1993,2.38,2.38,2.31,2.31,2.31,16000
13/12/1993,2.31,2.31,2.19,2.22,2.22,96400
14/12/1993,2.22,2.22,2.16,2.19,2.19,236000
15/12/1993,2.16,2.25,2.12,2.22,2.22,60800
16/12/1993,2.25,2.28,2.22,2.22,2.22,52000
17/12/1993,2.25,2.25,2.16,2.16,2.16,23200
20/12/1993,2.16,2.25,2.16,2.22,2.22,29600
21/12/1993,2.19,2.19,2.19,2.19,2.19,20800
22/12/1993,2.22,2.22,2.19,2.19,2.19,40800
23/12/1993,2.25,2.31,2.25,2.28,2.28,42800
27/12/1993,2.34,2.34,2.31,2.31,2.31,22000
28/12/1993,2.34,2.34,2.25,2.28,2.28,58800
29/12/1993,2.25,2.25,2.25,2.25,2.25,12000
30/12/1993,2.25,2.25,2.22,2.22,2.22,17600
31/12/1993,2.25,2.25,2.25,2.25,2.25,7200
03/01/1994,2.22,2.25,2.19,2.19,2.19,22400
04/01/1994,2.19,2.19,2.16,2.16,2.16,57600
05/01/1994,2.19,2.22,2.19,2.22,2.22,23200
06/01/1994,2.22,2.22,2.19,2.22,2.22,27200
07/01/1994,2.19,2.19,2.16,2.19,2.19,25200
10/01/1994,2.16,2.16,2.16,2.16,2.16,5200
11/01/1994,2.19,2.22,2.16,2.16,2.16,39600
12/01/1994,2.19,2.19,2.19,2.19,2.19,4000
13/01/1994,2.19,2.19,2.0,2.12,2.12,466400
14/01/1994,2.09,2.12,2.06,2.06,2.06,157200
17/01/1994,2.09,2.12,2.09,2.09,2.09,39600
18/01/1994,2.12,2.12,2.09,2.12,2.12,30000
19/01/1994,2.19,2.31,2.19,2.25,2.25,271200
20/01/1994,2.31,2.31,2.25,2.28,2.28,78000
21/01/1994,2.25,2.28,2.25,2.28,2.28,26400
24/01/1994,2.31,2.38,2.28,2.34,2.34,90400
25/01/1994,2.34,2.34,2.31,2.31,2.31,12000
26/01/1994,2.34,2.62,2.34,2.62,2.62,144000
27/01/1994,2.66,2.88,2.66,2.69,2.69,247200
28/01/1994,2.72,2.78,2.66,2.72,2.72,69200
31/01/1994,2.78,2.81,2.62,2.78,2.78,438400
01/02/1994,2.78,2.78,2.66,2.72,2.72,33200
02/02/1994,2.66,2.72,2.66,2.66,2.66,65200
03/02/1994,2.69,2.69,2.62,2.66,2.66,35200
04/02/1994,2.62,2.62,2.53,2.53,2.53,60000
07/02/1994,2.56,2.59,2.44,2.56,2.56,97200
08/02/1994,2.56,2.56,2.5,2.5,2.5,51200
09/02/1994,2.5,2.78,2.5,2.78,2.78,150000
10/02/1994,2.81,2.81,2.75,2.81,2.81,21600
11/02/1994,2.78,2.78,2.69,2.75,2.75,44400
14/02/1994,2.81,2.81,2.75,2.81,2.81,34400
15/02/1994,2.78,2.78,2.72,2.75,2.75,14400
16/02/1994,2.72,2.81,2.72,2.75,2.75,30800
17/02/1994,2.72,2.75,2.72,2.72,2.72,25600
18/02/1994,2.69,2.69,2.66,2.66,2.66,4000
22/02/1994,2.62,2.62,2.56,2.56,2.56,18000
23/02/1994,2.53,2.53,2.53,2.53,2.53,14800
24/02/1994,2.5,2.5,2.5,2.5,2.5,4000
25/02/1994,2.53,2.59,2.5,2.5,2.5,401200
28/02/1994,2.53,2.59,2.53,2.59,2.59,170000
01/03/1994,2.56,2.59,2.53,2.59,2.59,32000
02/03/1994,2.53,2.56,2.53,2.53,2.53,31200
03/03/1994,2.56,2.56,2.56,2.56,2.56,800
04/03/1994,2.53,2.56,2.53,2.53,2.53,16000
07/03/1994,2.5,2.59,2.5,2.59,2.59,50000
08/03/1994,2.59,2.59,2.53,2.53,2.53,14800
09/03/1994,2.5,2.53,2.5,2.5,2.5,91200
10/03/1994,2.5,2.5,2.44,2.44,2.44,16400
11/03/1994,2.44,2.44,2.41,2.41,2.41,6400
14/03/1994,2.41,2.41,2.34,2.41,2.41,65200
15/03/1994,2.38,2.38,2.31,2.34,2.34,34400
16/03/1994,2.34,2.47,2.34,2.44,2.44,240000
17/03/1994,2.41,2.41,2.38,2.38,2.38,7200
18/03/1994,2.41,2.62,2.41,2.56,2.56,120800
21/03/1994,2.53,2.59,2.53,2.59,2.59,5600
22/03/1994,2.56,2.59,2.5,2.5,2.5,27600
23/03/1994,2.47,2.53,2.47,2.47,2.47,50400
24/03/1994,2.5,2.5,2.5,2.5,2.5,6000
25/03/1994,2.47,2.56,2.44,2.44,2.44,42000
28/03/1994,2.44,2.44,2.38,2.38,2.38,16800
29/03/1994,2.38,2.38,2.38,2.38,2.38,12400
30/03/1994,2.34,2.34,2.28,2.31,2.31,28800
31/03/1994,2.34,2.34,2.19,2.19,2.19,79600
04/04/1994,2.22,2.22,2.22,2.22,2.22,1200
05/04/1994,2.25,2.25,2.19,2.19,2.19,8000
06/04/1994,2.16,2.19,2.16,2.19,2.19,9200
07/04/1994,2.16,2.19,2.16,2.16,2.16,11200
08/04/1994,2.16,2.16,2.16,2.16,2.16,20800
11/04/1994,2.19,2.19,2.09,2.09,2.09,20400
12/04/1994,2.06,2.06,1.94,1.97,1.97,83600
13/04/1994,1.97,2.0,1.81,1.88,1.88,125600
14/04/1994,1.88,2.06,1.88,2.06,2.06,152000
15/04/1994,2.03,2.03,1.97,1.97,1.97,51200
18/04/1994,1.91,1.94,1.91,1.94,1.94,32400
19/04/1994,1.94,1.94,1.88,1.88,1.88,24800
20/04/1994,1.91,1.91,1.72,1.72,1.72,60800
21/04/1994,1.72,1.72,1.72,1.72,1.72,2000
22/04/1994,1.75,1.78,1.75,1.75,1.75,56400
25/04/1994,1.78,2.03,1.78,2.03,2.03,76000
26/04/1994,2.06,2.16,2.06,2.12,2.12,216400
28/04/1994,2.16,2.19,2.16,2.16,2.16,52400
29/04/1994,2.19,2.22,2.16,2.22,2.22,51600
02/05/1994,2.25,2.38,2.25,2.31,2.31,31600
03/05/1994,2.34,2.34,2.25,2.25,2.25,35600
04/05/1994,2.19,2.28,2.19,2.28,2.28,64400
05/05/1994,2.25,2.28,2.25,2.25,2.25,13600
06/05/1994,2.28,2.28,2.22,2.25,2.25,11600
09/05/1994,2.19,2.19,2.19,2.19,2.19,11600
10/05/1994,2.19,2.59,2.19,2.59,2.59,90800
11/05/1994,2.56,2.59,2.47,2.53,2.53,342000
12/05/1994,2.59,2.75,2.59,2.69,2.69,88800
13/05/1994,2.66,2.72,2.62,2.62,2.62,48800
16/05/1994,2.66,2.69,2.59,2.59,2.59,35600
17/05/1994,2.56,2.59,2.56,2.56,2.56,21200
18/05/1994,2.59,2.69,2.59,2.59,2.59,54800
19/05/1994,2.56,2.75,2.56,2.66,2.66,90400
20/05/1994,2.69,2.75,2.66,2.69,2.69,52800
23/05/1994,2.62,2.66,2.59,2.59,2.59,18400
24/05/1994,2.59,2.62,2.59,2.59,2.59,8000
25/05/1994,2.62,2.62,2.62,2.62,2.62,4000
26/05/1994,2.62,2.66,2.62,2.66,2.66,24400
27/05/1994,2.62,2.66,2.59,2.66,2.66,16000
31/05/1994,2.66,2.66,2.62,2.62,2.62,15600
01/06/1994,2.56,2.59,2.56,2.59,2.59,11200
02/06/1994,2.59,2.66,2.59,2.59,2.59,129200
03/06/1994,2.62,2.62,2.56,2.56,2.56,13200
06/06/1994,2.53,2.69,2.53,2.66,2.66,43600
07/06/1994,2.66,2.66,2.66,2.66,2.66,11600
08/06/1994,2.69,2.69,2.59,2.59,2.59,202000
09/06/1994,2.62,2.69,2.59,2.69,2.69,15200
10/06/1994,2.69,2.69,2.66,2.69,2.69,58800
13/06/1994,2.66,2.66,2.66,2.66,2.66,7200
14/06/1994,2.69,2.69,2.62,2.66,2.66,20000
15/06/1994,2.66,2.66,2.5,2.59,2.59,61200
16/06/1994,2.62,2.62,2.53,2.53,2.53,15600
17/06/1994,2.59,2.72,2.56,2.72,2.72,365600
20/06/1994,2.69,2.78,2.69,2.72,2.72,58000
21/06/1994,2.69,2.72,2.66,2.69,2.69,62000
22/06/1994,2.69,2.78,2.69,2.72,2.72,295600
23/06/1994,2.78,2.94,2.78,2.78,2.78,138000
24/06/1994,2.81,2.81,2.75,2.78,2.78,49600
27/06/1994,2.81,2.81,2.72,2.72,2.72,58800
28/06/1994,2.69,2.72,2.62,2.69,2.69,66000
29/06/1994,2.69,2.69,2.66,2.66,2.66,4000
30/06/1994,2.69,2.69,2.62,2.66,2.66,70400
01/07/1994,2.69,2.69,2.66,2.66,2.66,12000
05/07/1994,2.66,2.69,2.62,2.62,2.62,28400
06/07/1994,2.59,2.62,2.53,2.53,2.53,52000
07/07/1994,2.5,2.5,2.41,2.41,2.41,75200
08/07/1994,2.44,2.47,2.38,2.47,2.47,50400
11/07/1994,2.47,2.47,2.44,2.44,2.44,21600
12/07/1994,2.41,2.44,2.41,2.44,2.44,24000
13/07/1994,2.38,2.47,2.31,2.44,2.44,131200
14/07/1994,2.47,2.47,2.38,2.38,2.38,29200
15/07/1994,2.38,2.41,2.25,2.41,2.41,77600
18/07/1994,2.34,2.34,2.31,2.31,2.31,19600
19/07/1994,2.31,2.34,2.31,2.34,2.34,10400
20/07/1994,2.31,2.31,2.28,2.28,2.28,10800
21/07/1994,2.28,2.31,2.28,2.31,2.31,7200
22/07/1994,2.28,2.31,2.28,2.31,2.31,10800
25/07/1994,2.31,2.44,2.31,2.41,2.41,44800
26/07/1994,2.38,2.56,2.38,2.53,2.53,53200
27/07/1994,2.56,2.56,2.5,2.5,2.5,10000
28/07/1994,2.47,2.5,2.47,2.5,2.5,19200
29/07/1994,2.47,2.47,2.47,2.47,2.47,6000
01/08/1994,2.47,2.47,2.47,2.47,2.47,0
02/08/1994,2.47,2.47,2.47,2.47,2.47,12000
03/08/1994,2.53,2.59,2.5,2.5,2.5,46800
04/08/1994,2.53,2.53,2.38,2.47,2.47,303200
05/08/1994,2.44,2.44,2.25,2.25,2.25,2771200
08/08/1994,2.31,2.34,2.25,2.25,2.25,51600
09/08/1994,2.25,2.25,2.22,2.25,2.25,74800
10/08/1994,2.25,2.38,2.22,2.25,2.25,809200
