Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,26.27,26.79,26.03,26.73,9.06,822790
03/01/1990,26.85,26.91,26.38,26.67,9.04,2102163
04/01/1990,26.67,26.67,26.32,26.56,9.0,991760
05/01/1990,26.56,26.97,26.38,26.62,9.02,1030308
08/01/1990,26.32,26.73,26.32,26.56,9.0,894105
09/01/1990,26.56,26.73,25.92,25.97,8.8,1215126
10/01/1990,25.68,25.86,25.33,25.62,8.68,1675991
11/01/1990,25.62,25.74,25.45,25.45,8.63,742482
12/01/1990,25.39,25.45,24.63,24.69,8.37,1017887
15/01/1990,24.81,25.27,24.28,24.28,8.23,1020243
16/01/1990,24.4,24.57,23.99,24.51,8.31,893248
17/01/1990,24.4,25.1,24.22,24.34,8.25,1034806
18/01/1990,24.05,24.69,24.05,24.22,8.21,1001397
19/01/1990,24.46,24.51,24.16,24.46,8.29,1280015
22/01/1990,24.28,24.51,23.87,23.87,8.09,685302
23/01/1990,24.05,24.16,23.87,24.11,8.17,826859
24/01/1990,23.64,24.51,23.58,24.4,8.27,908239
25/01/1990,24.46,24.46,23.81,23.99,8.13,936936
26/01/1990,23.99,24.22,23.64,23.93,8.11,698579
29/01/1990,23.76,23.93,23.58,23.7,8.03,835426
30/01/1990,23.64,23.81,22.94,23.29,7.89,908667
31/01/1990,23.41,23.58,23.23,23.58,7.99,658104
01/02/1990,23.58,23.7,23.17,23.23,7.87,630478
02/02/1990,23.17,23.46,22.88,22.94,7.77,840351
05/02/1990,23.11,23.29,23.0,23.17,7.85,630906
06/02/1990,23.29,23.29,23.0,23.11,7.83,404756
07/02/1990,23.0,23.29,22.76,23.06,7.81,1406154
08/02/1990,23.11,23.23,23.0,23.11,7.83,833712
09/02/1990,23.35,23.52,23.23,23.35,7.91,777389
12/02/1990,23.35,23.35,22.94,22.94,7.77,379272
13/02/1990,23.0,23.17,22.88,23.0,7.79,1003110
14/02/1990,22.94,23.11,22.82,23.0,7.79,752975
15/02/1990,23.0,23.23,22.94,23.23,7.87,873974
16/02/1990,23.11,23.76,23.06,23.46,8.02,1255387
20/02/1990,23.23,23.29,22.88,23.0,7.86,769037
21/02/1990,22.59,22.88,22.53,22.82,7.8,632833
22/02/1990,23.06,23.23,22.71,22.94,7.84,1040588
23/02/1990,22.88,23.0,22.65,22.71,7.76,544172
26/02/1990,22.76,23.11,22.76,23.06,7.88,455297
27/02/1990,23.35,23.52,23.23,23.29,7.96,1168225
28/02/1990,23.06,23.58,23.06,23.58,8.06,1071212
01/03/1990,23.35,23.81,23.23,23.76,8.12,831143
02/03/1990,23.87,24.16,23.87,24.05,8.22,821291
05/03/1990,23.99,24.22,23.93,23.99,8.2,540103
06/03/1990,24.11,24.4,23.93,24.28,8.3,800946
07/03/1990,23.81,24.05,23.64,23.81,8.14,970130
08/03/1990,23.7,24.11,23.64,24.05,8.22,606278
09/03/1990,24.05,24.16,23.81,23.87,8.16,570514
12/03/1990,23.87,24.16,23.81,24.05,8.22,380128
13/03/1990,23.99,23.99,23.64,23.93,8.18,532394
14/03/1990,23.87,23.93,23.29,23.46,8.02,1103550
15/03/1990,23.58,23.7,23.46,23.58,8.06,370920
16/03/1990,23.58,24.51,23.41,24.28,8.3,1696336
19/03/1990,24.28,24.51,23.99,24.51,8.38,798377
20/03/1990,24.46,24.46,23.81,24.05,8.22,652750
21/03/1990,24.16,24.34,23.81,23.99,8.2,453798
22/03/1990,24.11,24.11,23.7,23.99,8.2,688086
23/03/1990,23.99,24.11,23.87,24.11,8.24,635403
26/03/1990,24.28,24.4,24.05,24.05,8.22,377130
27/03/1990,24.05,24.16,23.81,24.16,8.26,320379
28/03/1990,23.99,24.22,23.93,24.22,8.28,490419
29/03/1990,24.22,24.22,23.76,23.87,8.16,660674
30/03/1990,23.76,23.81,23.52,23.64,8.08,750191
02/04/1990,23.35,23.7,23.23,23.7,8.1,544387
03/04/1990,23.64,24.05,23.64,23.87,8.16,591287
04/04/1990,23.93,23.93,23.76,23.76,8.12,604350
05/04/1990,23.81,23.99,23.7,23.93,8.18,419533
06/04/1990,24.05,24.05,23.87,23.93,8.18,423388
09/04/1990,23.87,24.16,23.87,24.05,8.22,323163
10/04/1990,24.05,24.4,23.99,24.34,8.32,778460
11/04/1990,24.28,24.63,24.22,24.51,8.38,416107
12/04/1990,24.63,24.81,24.57,24.69,8.44,623625
16/04/1990,25.16,25.16,24.51,24.81,8.48,462579
17/04/1990,24.46,24.63,24.22,24.57,8.4,962207
18/04/1990,24.69,24.75,24.11,24.16,8.26,1039731
19/04/1990,23.76,24.28,23.76,23.99,8.2,578866
20/04/1990,23.93,24.11,23.41,23.81,8.14,1298647
23/04/1990,23.7,23.7,23.29,23.41,8.0,784028
24/04/1990,23.41,23.58,23.17,23.17,7.92,985121
25/04/1990,23.23,23.29,23.0,23.0,7.86,904598
26/04/1990,23.11,23.46,23.0,23.35,7.98,722993
27/04/1990,23.29,23.35,22.94,23.0,7.86,460651
30/04/1990,23.0,23.23,22.94,23.17,7.92,337511
01/05/1990,23.06,23.29,23.0,23.17,7.92,391479
02/05/1990,23.23,23.23,22.88,23.23,7.94,1435279
03/05/1990,23.29,23.29,22.88,22.94,7.84,774605
04/05/1990,23.11,23.11,22.53,22.94,7.84,1184287
07/05/1990,23.0,23.11,22.82,23.11,7.9,554880
08/05/1990,23.06,23.41,23.06,23.35,7.98,667955
09/05/1990,23.35,23.46,23.11,23.23,7.94,649109
10/05/1990,23.29,23.52,23.17,23.41,8.0,823433
11/05/1990,23.52,24.05,23.35,23.81,8.14,1031379
14/05/1990,23.7,24.05,23.58,23.64,8.15,883183
15/05/1990,23.64,24.16,23.52,24.11,8.31,814224
16/05/1990,24.16,24.22,23.87,24.11,8.31,433453
17/05/1990,24.05,24.57,24.05,24.28,8.37,872475
18/05/1990,24.4,24.46,23.93,23.93,8.25,1287939
21/05/1990,23.93,24.34,23.93,24.22,8.35,551882
22/05/1990,24.69,24.69,23.7,24.16,8.33,1195852
23/05/1990,23.99,24.16,23.93,24.05,8.29,622126
24/05/1990,24.05,24.05,23.64,23.7,8.17,663244
25/05/1990,23.76,23.99,23.64,23.87,8.23,516975
29/05/1990,23.87,23.93,23.64,23.93,8.25,522757
30/05/1990,24.22,24.57,24.11,24.4,8.41,1195209
31/05/1990,24.28,24.63,24.22,24.51,8.45,876758
01/06/1990,24.69,24.81,24.4,24.51,8.45,911451
04/06/1990,24.57,24.57,24.16,24.22,8.35,877400
05/06/1990,24.34,24.57,24.22,24.22,8.35,816794
06/06/1990,24.16,24.4,24.16,24.4,8.41,588717
07/06/1990,24.28,24.34,24.05,24.11,8.31,826859
08/06/1990,24.22,24.46,23.93,24.22,8.35,601352
11/06/1990,24.34,24.57,24.28,24.51,8.45,379058
12/06/1990,24.57,25.1,24.34,24.75,8.53,641400
13/06/1990,24.75,25.1,24.51,24.69,8.51,808870
14/06/1990,24.75,25.04,24.63,25.04,8.63,433453
15/06/1990,24.86,25.39,24.81,25.39,8.75,1866162
18/06/1990,25.27,25.33,24.81,24.86,8.57,534321
19/06/1990,24.75,25.04,24.51,24.86,8.57,894961
20/06/1990,24.98,25.04,24.57,24.69,8.51,723636
21/06/1990,24.75,24.86,24.4,24.51,8.45,454227
22/06/1990,24.51,24.57,23.64,23.76,8.19,515261
25/06/1990,23.87,24.05,23.81,23.93,8.25,537534
26/06/1990,23.99,24.28,23.99,24.22,8.35,563447
27/06/1990,24.16,24.4,23.87,23.93,8.25,674808
28/06/1990,23.93,24.4,23.87,23.99,8.27,635617
29/06/1990,23.99,24.11,23.64,23.76,8.19,589574
02/07/1990,23.76,24.16,23.76,23.99,8.27,544815
03/07/1990,24.34,24.34,24.05,24.22,8.35,526397
05/07/1990,24.05,24.16,23.81,23.93,8.25,554238
06/07/1990,23.81,24.16,23.81,24.05,8.29,332157
09/07/1990,24.16,24.28,23.99,24.11,8.31,453584
10/07/1990,23.99,24.86,23.99,24.51,8.45,1386879
11/07/1990,24.63,25.1,24.46,24.92,8.59,1780928
12/07/1990,24.98,25.57,24.92,25.45,8.77,2080319
13/07/1990,25.33,25.45,25.04,25.22,8.69,774605
16/07/1990,25.27,25.57,25.16,25.16,8.67,740340
17/07/1990,25.27,25.33,25.04,25.33,8.73,686158
18/07/1990,25.16,25.51,24.98,25.39,8.75,771179
19/07/1990,25.45,25.8,25.27,25.68,8.85,931368
20/07/1990,25.8,26.09,25.74,25.92,8.93,1829542
23/07/1990,25.86,25.92,24.92,25.27,8.71,1333340
24/07/1990,25.33,25.74,24.81,25.74,8.87,987905
25/07/1990,25.68,25.86,25.45,25.8,8.89,766681
26/07/1990,25.86,26.27,25.57,26.15,9.01,925800
27/07/1990,26.15,26.5,25.92,26.38,9.09,938007
30/07/1990,25.92,26.32,25.86,26.21,9.03,868620
31/07/1990,26.15,26.5,26.15,26.32,9.07,1063289
01/08/1990,26.32,26.62,26.32,26.56,9.15,678235
02/08/1990,25.97,26.5,25.92,26.5,9.13,1935977
03/08/1990,26.27,27.9,25.86,27.26,9.39,2220164
06/08/1990,25.68,25.86,24.81,24.98,8.61,1987803
07/08/1990,25.22,25.51,23.93,24.22,8.35,1705545
08/08/1990,24.34,24.51,24.11,24.28,8.37,736914
09/08/1990,24.16,24.63,23.99,24.57,8.47,497272
10/08/1990,24.46,24.57,23.76,23.93,8.25,528753
13/08/1990,23.41,24.05,23.29,24.05,8.29,716997
14/08/1990,23.7,24.28,23.7,24.22,8.35,878900
15/08/1990,24.63,24.69,24.11,24.11,8.31,974842
16/08/1990,23.99,24.05,23.17,23.23,8.01,871190
17/08/1990,22.88,23.29,22.65,23.0,7.93,2871414
20/08/1990,22.88,22.94,22.47,22.47,7.81,552739
21/08/1990,22.18,22.24,21.77,22.0,7.65,1600822
22/08/1990,22.06,22.24,21.83,21.83,7.59,1172294
23/08/1990,21.13,22.24,21.07,21.65,7.53,969916
24/08/1990,22.24,22.24,21.83,22.0,7.65,1279801
27/08/1990,22.65,22.76,22.18,22.24,7.73,1186429
28/08/1990,22.12,22.24,22.06,22.24,7.73,478640
29/08/1990,22.24,22.59,22.0,22.41,7.79,471573
30/08/1990,22.47,22.47,21.89,22.06,7.67,714427
31/08/1990,22.12,22.36,21.95,22.24,7.73,195739
04/09/1990,22.12,22.18,21.95,22.12,7.69,459152
05/09/1990,22.24,22.53,22.0,22.47,7.81,495131
06/09/1990,22.36,22.41,21.95,22.18,7.71,472644
07/09/1990,22.24,22.47,22.0,22.36,7.77,486993
10/09/1990,22.59,22.76,22.3,22.3,7.75,433668
11/09/1990,22.36,22.59,21.77,21.83,7.59,824290
12/09/1990,21.89,22.0,21.83,21.95,7.63,531751
13/09/1990,21.95,22.0,21.89,21.95,7.63,452513
14/09/1990,21.89,21.89,21.54,21.71,7.55,480140
17/09/1990,21.54,21.71,21.48,21.48,7.47,513334
18/09/1990,21.3,21.71,21.19,21.48,7.47,568372
19/09/1990,21.6,21.83,21.54,21.6,7.51,651465
