Date,Open,High,Low,Close,Adj Close,Volume
05/10/1993,3.19,3.28,3.12,3.22,3.03,25536800
06/10/1993,3.25,3.25,3.16,3.19,3.0,4008000
07/10/1993,3.16,3.22,3.16,3.19,3.0,1502400
08/10/1993,3.19,3.22,3.12,3.19,3.0,1222400
11/10/1993,3.12,3.19,3.09,3.12,2.95,1073600
12/10/1993,3.09,3.16,3.09,3.09,2.92,765600
13/10/1993,3.09,3.16,3.09,3.12,2.95,960000
14/10/1993,3.12,3.19,3.12,3.12,2.95,1547200
15/10/1993,3.16,3.22,3.16,3.16,2.97,524800
18/10/1993,3.16,3.34,3.16,3.28,3.09,1245600
19/10/1993,3.28,3.44,3.28,3.39,3.2,1716800
20/10/1993,3.44,3.44,3.28,3.28,3.09,1695200
21/10/1993,3.28,3.31,3.28,3.28,3.09,719200
22/10/1993,3.28,3.31,3.28,3.28,3.09,396000
25/10/1993,3.31,3.31,3.28,3.31,3.12,292000
26/10/1993,3.28,3.34,3.28,3.28,3.09,436000
27/10/1993,3.28,3.41,3.28,3.34,3.15,317600
28/10/1993,3.34,3.41,3.34,3.34,3.15,440800
29/10/1993,3.34,3.41,3.28,3.28,3.09,1345600
01/11/1993,3.38,3.53,3.38,3.44,3.24,1580800
02/11/1993,3.47,3.47,3.31,3.39,3.2,1986400
03/11/1993,3.41,3.59,3.34,3.53,3.33,2524000
04/11/1993,3.59,3.66,3.53,3.56,3.36,1926400
05/11/1993,3.59,3.59,3.53,3.56,3.36,652800
08/11/1993,3.56,3.59,3.53,3.59,3.39,293600
09/11/1993,3.53,3.69,3.5,3.5,3.3,534400
10/11/1993,3.56,3.59,3.53,3.58,3.37,264800
11/11/1993,3.59,3.88,3.53,3.84,3.62,1232800
12/11/1993,3.78,4.03,3.78,3.95,3.73,1564800
15/11/1993,4.0,4.0,3.94,3.94,3.71,452800
16/11/1993,3.94,4.09,3.94,4.08,3.84,1070400
17/11/1993,4.12,4.12,4.06,4.12,3.89,164000
18/11/1993,4.12,4.12,3.97,3.97,3.74,1188000
19/11/1993,3.94,3.94,3.81,3.81,3.59,419200
22/11/1993,3.81,3.81,3.72,3.72,3.5,602400
