Date,Open,High,Low,Close,Adj Close,Volume
25/08/1995,6.72,6.82,6.72,6.8,3.04,3541000
28/08/1995,6.78,6.78,6.65,6.7,3.0,1418500
29/08/1995,6.75,6.78,6.62,6.7,3.0,879000
30/08/1995,6.7,6.72,6.68,6.72,3.01,436500
31/08/1995,6.72,6.72,6.65,6.7,3.0,606500
01/09/1995,6.7,6.72,6.68,6.72,3.01,217000
05/09/1995,6.7,6.72,6.68,6.7,3.0,385500
06/09/1995,6.68,6.7,6.65,6.68,2.99,247000
07/09/1995,6.68,6.68,6.6,6.62,2.97,738000
08/09/1995,6.57,6.6,6.28,6.28,2.81,946000
11/09/1995,6.3,6.53,6.3,6.43,2.88,434000
12/09/1995,6.55,6.68,6.55,6.65,2.98,817500
13/09/1995,6.75,6.78,6.65,6.68,2.99,542500
14/09/1995,6.68,6.7,6.65,6.7,3.0,154500
15/09/1995,6.68,6.7,6.68,6.7,3.0,218500
18/09/1995,6.68,6.72,6.65,6.72,3.01,422500
19/09/1995,6.7,6.7,6.65,6.68,2.99,116500
20/09/1995,6.65,6.65,6.53,6.55,2.93,124500
21/09/1995,6.6,6.62,6.55,6.6,2.95,157000
22/09/1995,6.55,6.55,6.45,6.45,2.89,94500
25/09/1995,6.5,6.5,6.43,6.43,2.88,53000
26/09/1995,6.55,6.6,6.53,6.53,2.92,266500
27/09/1995,6.5,6.53,6.5,6.5,2.91,95000
28/09/1995,6.55,6.62,6.55,6.6,2.95,205000
29/09/1995,6.8,6.93,6.8,6.9,3.09,1303000
02/10/1995,7.0,7.12,7.0,7.03,3.14,570000
03/10/1995,7.05,7.07,7.0,7.05,3.16,165000
04/10/1995,7.03,7.03,6.97,6.97,3.12,108500
05/10/1995,7.0,7.03,6.97,7.03,3.14,70500
06/10/1995,7.03,7.03,6.95,6.97,3.12,277000
09/10/1995,6.95,7.0,6.93,6.93,3.1,77000
10/10/1995,6.93,6.93,6.8,6.82,3.05,80000
11/10/1995,6.82,6.9,6.82,6.82,3.05,80500
12/10/1995,6.88,7.05,6.88,7.03,3.14,170000
13/10/1995,7.15,7.28,7.15,7.25,3.24,201000
16/10/1995,7.3,7.43,7.3,7.38,3.3,130000
17/10/1995,7.35,7.35,7.28,7.28,3.26,154500
18/10/1995,7.28,7.47,7.28,7.38,3.3,169000
19/10/1995,7.43,7.53,7.43,7.53,3.37,130500
20/10/1995,7.57,7.7,7.57,7.65,3.42,212500
23/10/1995,7.68,7.68,7.65,7.68,3.44,66000
24/10/1995,7.62,7.62,7.55,7.55,3.38,71500
25/10/1995,7.55,7.55,7.53,7.53,3.37,284500
26/10/1995,7.53,7.55,7.43,7.45,3.33,96000
27/10/1995,7.43,7.45,7.4,7.45,3.33,25000
30/10/1995,7.43,7.47,7.43,7.43,3.32,18500
31/10/1995,7.55,7.65,7.55,7.65,3.42,208000
01/11/1995,7.62,7.62,7.47,7.5,3.36,107000
02/11/1995,7.53,7.65,7.53,7.6,3.4,291000
03/11/1995,7.9,7.93,7.9,7.93,3.55,252500
06/11/1995,7.93,8.0,7.85,8.0,3.58,235000
07/11/1995,8.0,8.0,7.93,7.93,3.55,192000
08/11/1995,7.93,7.95,7.9,7.95,3.56,14500
09/11/1995,7.93,8.05,7.93,8.02,3.59,41500
10/11/1995,8.0,8.0,7.95,7.95,3.56,11000
13/11/1995,7.93,7.93,7.88,7.93,3.55,29000
14/11/1995,7.9,7.9,7.8,7.8,3.49,35500
15/11/1995,7.8,7.88,7.8,7.88,3.52,11500
16/11/1995,7.88,8.0,7.88,8.0,3.58,31000
17/11/1995,8.0,8.0,8.0,8.0,3.58,14500
20/11/1995,8.0,8.1,8.0,8.07,3.61,25000
21/11/1995,8.07,8.12,8.07,8.12,3.64,6500
22/11/1995,8.1,8.23,8.1,8.23,3.68,21500
24/11/1995,8.23,8.23,8.15,8.15,3.65,12000
27/11/1995,8.15,8.15,8.05,8.05,3.6,21000
28/11/1995,8.05,8.15,8.05,8.12,3.64,12000
29/11/1995,8.1,8.1,8.07,8.07,3.61,6500
30/11/1995,8.1,8.18,8.1,8.15,3.65,16000
01/12/1995,8.15,8.15,8.12,8.12,3.64,8500
04/12/1995,8.1,8.12,8.1,8.12,3.64,6500
05/12/1995,8.1,8.12,8.1,8.12,3.64,3000
06/12/1995,8.1,8.1,8.05,8.05,3.6,18000
07/12/1995,8.1,8.2,8.1,8.18,3.66,102500
08/12/1995,8.12,8.12,8.1,8.1,3.63,5500
11/12/1995,8.07,8.07,8.07,8.07,3.61,2500
12/12/1995,8.05,8.05,8.05,8.05,3.6,2000
13/12/1995,8.1,8.1,8.02,8.02,3.59,8500
14/12/1995,8.0,8.0,7.97,7.97,3.57,17000
15/12/1995,7.95,7.95,7.95,7.95,3.56,8000
18/12/1995,7.9,7.9,7.9,7.9,3.54,4000
19/12/1995,7.85,7.85,7.75,7.75,3.47,15500
20/12/1995,7.75,7.75,7.68,7.68,3.44,6500
21/12/1995,7.68,7.72,7.65,7.65,3.42,7000
22/12/1995,7.65,7.65,7.65,7.65,3.42,3000
26/12/1995,7.62,7.62,7.62,7.62,3.41,1500
27/12/1995,7.62,7.68,7.62,7.62,3.41,19500
28/12/1995,7.7,7.75,7.7,7.75,3.47,28000
29/12/1995,7.72,7.75,7.72,7.75,3.47,10500
02/01/1996,7.8,7.85,7.8,7.82,3.5,38500
03/01/1996,7.88,7.97,7.88,7.95,3.56,25000
04/01/1996,7.95,7.95,7.8,7.8,3.49,19500
05/01/1996,7.8,7.82,7.8,7.8,3.49,15500
08/01/1996,7.75,7.75,7.7,7.7,3.45,8500
09/01/1996,7.7,7.7,7.6,7.6,3.4,17500
10/01/1996,7.6,7.6,7.45,7.45,3.33,14500
11/01/1996,7.45,7.5,7.45,7.45,3.33,204000
12/01/1996,7.43,7.43,7.35,7.38,3.3,19000
15/01/1996,7.35,7.38,7.35,7.38,3.3,8000
16/01/1996,7.35,7.35,7.32,7.32,3.28,7000
17/01/1996,7.35,7.43,7.35,7.4,3.31,10000
18/01/1996,7.45,7.5,7.45,7.5,3.36,59000
19/01/1996,7.4,7.4,7.4,7.4,3.31,285000
22/01/1996,7.43,7.43,7.4,7.4,3.31,2000
23/01/1996,7.35,7.35,7.2,7.2,3.22,18000
24/01/1996,7.25,7.3,7.25,7.25,3.24,19000
25/01/1996,7.3,7.3,7.15,7.15,3.2,44000
26/01/1996,7.1,7.1,7.07,7.1,3.18,23000
29/01/1996,7.15,7.25,7.1,7.25,3.24,45000
30/01/1996,7.25,7.25,7.2,7.2,3.22,18000
31/01/1996,7.25,7.55,7.25,7.5,3.36,174000
01/02/1996,7.55,7.7,7.55,7.7,3.45,23500
02/02/1996,7.7,7.75,7.65,7.65,3.42,67500
05/02/1996,7.7,7.82,7.7,7.8,3.49,23000
06/02/1996,7.85,7.95,7.85,7.95,3.56,21000
07/02/1996,8.0,8.0,8.0,8.0,3.58,4000
