Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,3.42,3.29,3.42,2.48,307800
03/01/1990,0.0,3.54,3.38,3.5,2.54,495600
04/01/1990,0.0,3.54,3.48,3.5,2.54,456000
05/01/1990,0.0,3.46,3.38,3.44,2.5,99600
08/01/1990,0.0,3.46,3.38,3.46,2.51,93600
09/01/1990,0.0,3.46,3.42,3.46,2.51,87600
10/01/1990,0.0,3.46,3.38,3.42,2.48,301200
11/01/1990,0.0,3.46,3.38,3.46,2.51,67800
12/01/1990,0.0,3.44,3.38,3.42,2.48,151800
15/01/1990,0.0,3.4,3.38,3.38,2.45,15000
16/01/1990,0.0,3.42,3.25,3.4,2.47,306000
17/01/1990,0.0,3.4,3.29,3.33,2.42,150000
18/01/1990,0.0,3.29,3.17,3.21,2.33,194400
19/01/1990,0.0,3.25,3.17,3.17,2.3,10200
22/01/1990,0.0,3.25,3.04,3.04,2.21,315000
23/01/1990,0.0,3.08,3.04,3.04,2.21,66600
24/01/1990,0.0,3.0,2.92,2.96,2.15,144600
25/01/1990,0.0,3.04,2.96,2.98,2.16,322200
26/01/1990,0.0,3.04,2.88,2.96,2.15,288600
29/01/1990,0.0,2.96,2.92,2.96,2.15,95400
30/01/1990,0.0,2.94,2.83,2.88,2.09,1057200
31/01/1990,0.0,2.88,2.62,2.75,2.0,820200
01/02/1990,0.0,2.96,2.83,2.92,2.13,235800
02/02/1990,0.0,3.12,2.9,3.04,2.22,726600
05/02/1990,0.0,3.08,3.0,3.08,2.25,880200
06/02/1990,0.0,3.17,3.08,3.1,2.26,187800
07/02/1990,0.0,3.17,3.0,3.04,2.22,280800
08/02/1990,0.0,3.12,3.12,3.12,2.28,9600
09/02/1990,0.0,3.12,3.04,3.12,2.28,192000
12/02/1990,0.0,3.25,3.08,3.21,2.34,288600
13/02/1990,0.0,3.33,3.17,3.29,2.4,86400
14/02/1990,0.0,3.58,3.29,3.5,2.55,328800
15/02/1990,0.0,3.58,3.38,3.46,2.52,455400
16/02/1990,0.0,3.54,3.46,3.5,2.55,213600
20/02/1990,0.0,3.5,3.33,3.33,2.43,379200
21/02/1990,0.0,3.38,3.29,3.33,2.43,415200
22/02/1990,0.0,3.42,3.33,3.38,2.46,94800
23/02/1990,0.0,3.46,3.33,3.38,2.46,232800
26/02/1990,0.0,3.42,3.29,3.29,2.4,16800
27/02/1990,0.0,3.42,3.33,3.33,2.43,64800
28/02/1990,0.0,3.46,3.33,3.46,2.52,230400
01/03/1990,0.0,3.58,3.42,3.5,2.55,596400
02/03/1990,0.0,3.62,3.46,3.54,2.58,438000
05/03/1990,0.0,3.71,3.54,3.67,2.67,526200
06/03/1990,0.0,3.71,3.67,3.67,2.67,393600
07/03/1990,0.0,3.71,3.54,3.54,2.58,807000
08/03/1990,0.0,3.62,3.54,3.62,2.64,460800
09/03/1990,0.0,3.58,3.5,3.56,2.6,495600
12/03/1990,0.0,3.5,3.5,3.5,2.55,36000
13/03/1990,0.0,3.58,3.5,3.5,2.55,317400
14/03/1990,0.0,3.67,3.54,3.65,2.66,180600
15/03/1990,0.0,3.71,3.62,3.62,2.64,46200
16/03/1990,0.0,3.67,3.62,3.62,2.64,60000
19/03/1990,0.0,3.71,3.58,3.71,2.7,221400
20/03/1990,0.0,3.71,3.62,3.62,2.64,13800
21/03/1990,0.0,3.69,3.62,3.62,2.64,145800
22/03/1990,0.0,3.67,3.62,3.62,2.64,178800
23/03/1990,0.0,3.67,3.62,3.62,2.64,98400
26/03/1990,3.62,3.67,3.62,3.62,2.64,356400
27/03/1990,3.71,3.71,3.62,3.67,2.67,121800
28/03/1990,3.62,3.71,3.62,3.71,2.7,100800
29/03/1990,3.67,3.67,3.67,3.67,2.67,33600
30/03/1990,3.62,3.75,3.62,3.71,2.7,154800
02/04/1990,3.67,3.79,3.67,3.79,2.76,90000
03/04/1990,3.79,3.88,3.75,3.83,2.79,978600
04/04/1990,3.83,3.83,3.75,3.75,2.73,496200
05/04/1990,3.75,3.79,3.75,3.75,2.73,1087200
06/04/1990,3.75,3.79,3.75,3.75,2.73,123000
09/04/1990,3.75,3.79,3.75,3.79,2.76,59400
10/04/1990,3.71,3.71,3.62,3.67,2.67,517200
11/04/1990,3.71,3.75,3.67,3.75,2.73,253200
12/04/1990,3.67,3.71,3.62,3.69,2.69,223200
16/04/1990,3.62,3.67,3.62,3.62,2.64,678600
17/04/1990,3.58,3.62,3.58,3.62,2.64,225600
18/04/1990,3.62,3.62,3.58,3.62,2.64,527400
19/04/1990,3.58,3.71,3.58,3.62,2.64,217800
20/04/1990,3.62,3.71,3.62,3.62,2.64,597600
23/04/1990,3.67,3.67,3.54,3.58,2.61,148200
24/04/1990,3.5,3.54,3.44,3.44,2.51,322800
25/04/1990,3.42,3.46,3.38,3.46,2.52,181800
26/04/1990,3.38,3.46,3.38,3.46,2.52,128400
27/04/1990,3.38,3.46,3.38,3.4,2.48,284400
30/04/1990,3.38,3.38,3.29,3.35,2.45,228600
01/05/1990,3.35,3.42,3.35,3.38,2.46,123000
02/05/1990,3.46,3.5,3.42,3.46,2.52,207600
03/05/1990,3.44,3.44,3.21,3.38,2.46,409800
04/05/1990,3.33,3.42,3.33,3.42,2.49,637200
07/05/1990,3.38,3.42,3.38,3.38,2.46,133800
08/05/1990,3.42,3.42,3.38,3.42,2.49,52200
09/05/1990,3.42,3.46,3.38,3.46,2.52,648000
10/05/1990,3.42,3.5,3.42,3.5,2.55,1025400
11/05/1990,3.46,3.54,3.42,3.5,2.55,1180200
14/05/1990,3.58,3.71,3.58,3.62,2.64,308400
15/05/1990,3.67,3.71,3.62,3.71,2.7,212400
16/05/1990,3.62,3.67,3.58,3.58,2.61,94800
17/05/1990,3.58,3.71,3.58,3.65,2.66,1250400
18/05/1990,3.62,3.71,3.62,3.62,2.64,378600
21/05/1990,3.62,3.71,3.62,3.69,2.69,1994400
22/05/1990,3.67,3.71,3.67,3.67,2.67,598800
23/05/1990,3.67,3.71,3.67,3.69,2.69,1464600
24/05/1990,3.71,3.75,3.67,3.71,2.7,395400
25/05/1990,3.67,3.71,3.62,3.71,2.7,121200
29/05/1990,3.62,3.71,3.62,3.71,2.7,261600
30/05/1990,3.67,3.71,3.67,3.67,2.67,235200
31/05/1990,3.71,3.75,3.67,3.71,2.7,964200
01/06/1990,3.71,3.75,3.67,3.67,2.67,333600
04/06/1990,3.71,3.71,3.62,3.67,2.67,231600
05/06/1990,3.67,3.71,3.52,3.58,2.61,378000
06/06/1990,3.54,3.56,3.5,3.54,2.58,518400
07/06/1990,3.5,3.58,3.5,3.58,2.61,149400
08/06/1990,3.5,3.62,3.5,3.62,2.64,119400
11/06/1990,3.58,3.71,3.5,3.62,2.64,332400
12/06/1990,3.67,3.79,3.67,3.67,2.67,865800
13/06/1990,3.75,3.75,3.67,3.75,2.73,665400
14/06/1990,3.67,3.75,3.67,3.67,2.67,108000
15/06/1990,3.67,3.71,3.67,3.69,2.69,570000
18/06/1990,3.67,3.67,3.58,3.67,2.67,159000
19/06/1990,3.58,3.67,3.58,3.58,2.61,69600
20/06/1990,3.67,3.67,3.58,3.67,2.67,93600
21/06/1990,3.62,3.67,3.58,3.58,2.61,97200
22/06/1990,3.58,3.58,3.38,3.42,2.49,581400
25/06/1990,3.38,3.46,3.38,3.44,2.51,198000
26/06/1990,3.46,3.54,3.38,3.46,2.52,169200
27/06/1990,3.46,3.5,3.38,3.38,2.46,198600
28/06/1990,3.38,3.5,3.38,3.38,2.46,49200
29/06/1990,3.38,3.5,3.38,3.5,2.55,550800
02/07/1990,3.42,3.58,3.42,3.58,2.61,135000
03/07/1990,3.54,3.58,3.54,3.54,2.58,55800
05/07/1990,3.46,3.54,3.46,3.54,2.58,86400
06/07/1990,3.42,3.62,3.42,3.54,2.58,159000
09/07/1990,3.54,3.56,3.42,3.42,2.49,298800
10/07/1990,3.5,3.5,3.42,3.5,2.55,214800
11/07/1990,3.38,3.54,3.38,3.5,2.55,607200
12/07/1990,3.52,3.54,3.44,3.48,2.54,337800
13/07/1990,3.46,3.54,3.46,3.46,2.52,78000
16/07/1990,3.5,3.54,3.46,3.5,2.55,66600
17/07/1990,3.46,3.54,3.46,3.48,2.54,207600
18/07/1990,3.46,3.46,3.38,3.42,2.49,809400
19/07/1990,3.38,3.42,3.29,3.29,2.4,643800
20/07/1990,3.29,3.38,3.29,3.33,2.43,87600
23/07/1990,3.29,3.35,3.25,3.33,2.43,270600
24/07/1990,3.38,3.5,3.29,3.38,2.46,189600
25/07/1990,3.42,3.42,3.38,3.38,2.46,92400
26/07/1990,3.42,3.42,3.38,3.4,2.48,40800
27/07/1990,3.4,3.42,3.29,3.29,2.4,397800
30/07/1990,3.29,3.33,3.25,3.25,2.38,175800
31/07/1990,3.29,3.33,3.29,3.29,2.41,1837200
01/08/1990,3.29,3.33,3.25,3.29,2.41,101400
02/08/1990,3.21,3.21,3.0,3.06,2.24,278400
03/08/1990,3.0,3.0,2.88,3.0,2.19,584400
06/08/1990,2.88,2.88,2.67,2.75,2.01,386400
07/08/1990,2.75,2.92,2.71,2.83,2.07,314400
08/08/1990,2.83,2.92,2.83,2.83,2.07,71400
09/08/1990,2.96,3.0,2.92,2.92,2.13,559800
10/08/1990,3.0,3.0,2.92,3.0,2.19,616800
13/08/1990,2.92,2.92,2.92,2.92,2.13,30000
14/08/1990,2.92,3.0,2.92,2.96,2.16,118200
15/08/1990,2.96,2.98,2.96,2.96,2.16,63000
16/08/1990,3.0,3.0,2.92,2.96,2.16,1137000
17/08/1990,2.92,2.96,2.83,2.88,2.1,275400
20/08/1990,2.83,2.92,2.83,2.83,2.07,66000
21/08/1990,2.83,2.83,2.71,2.79,2.04,276600
22/08/1990,2.75,2.79,2.75,2.75,2.01,418800
23/08/1990,2.79,2.79,2.46,2.5,1.83,759000
24/08/1990,2.62,2.67,2.5,2.62,1.92,621000
27/08/1990,2.71,2.79,2.67,2.79,2.04,274200
28/08/1990,2.71,2.83,2.71,2.79,2.04,270600
29/08/1990,2.83,2.83,2.75,2.75,2.01,35400
