Date,Open,High,Low,Close,Adj Close,Volume
03/05/1993,0.94,0.97,0.92,0.95,0.74,859200
04/05/1993,0.95,0.95,0.91,0.94,0.73,1188000
05/05/1993,0.91,0.97,0.91,0.94,0.73,1298400
06/05/1993,0.92,1.02,0.92,1.02,0.79,1876800
07/05/1993,1.02,1.06,1.0,1.06,0.83,1213600
10/05/1993,1.06,1.1,1.05,1.09,0.85,940000
11/05/1993,1.09,1.09,1.03,1.08,0.84,768800
12/05/1993,1.08,1.08,1.0,1.0,0.78,532800
13/05/1993,1.06,1.06,1.0,1.05,0.82,255200
14/05/1993,1.0,1.05,1.0,1.05,0.82,207200
17/05/1993,1.05,1.06,1.0,1.03,0.8,460800
18/05/1993,1.06,1.06,1.02,1.03,0.8,278400
19/05/1993,1.02,1.06,1.02,1.03,0.8,164800
20/05/1993,1.03,1.06,1.03,1.06,0.83,515200
21/05/1993,1.06,1.12,1.03,1.12,0.88,838400
24/05/1993,1.08,1.11,1.06,1.11,0.86,405600
25/05/1993,1.11,1.11,1.03,1.09,0.85,303200
26/05/1993,1.09,1.11,1.03,1.06,0.83,1228000
27/05/1993,1.08,1.09,1.02,1.02,0.79,1132800
28/05/1993,1.0,1.03,0.97,0.97,0.75,1062400
01/06/1993,1.0,1.0,0.94,0.94,0.73,1884000
02/06/1993,0.94,0.94,0.78,0.86,0.67,2239200
03/06/1993,0.86,0.88,0.81,0.88,0.68,525600
04/06/1993,0.84,1.0,0.84,1.0,0.78,482400
07/06/1993,1.03,1.03,0.94,1.0,0.78,964000
08/06/1993,1.03,1.03,0.95,1.03,0.8,470400
09/06/1993,1.03,1.06,1.0,1.06,0.83,627200
10/06/1993,1.06,1.09,1.0,1.06,0.83,232800
11/06/1993,1.06,1.09,1.0,1.0,0.78,234400
14/06/1993,1.06,1.06,1.0,1.01,0.78,244800
15/06/1993,1.0,1.03,0.94,1.03,0.8,512000
16/06/1993,1.03,1.03,0.97,1.0,0.78,188000
17/06/1993,1.03,1.03,0.97,1.0,0.78,247200
18/06/1993,1.03,1.03,0.97,1.0,0.78,104000
21/06/1993,1.03,1.03,0.97,1.0,0.78,76000
22/06/1993,1.0,1.05,0.94,1.0,0.78,698400
23/06/1993,1.02,1.11,0.97,1.03,0.8,1614400
24/06/1993,1.11,1.22,1.03,1.12,0.88,1463200
25/06/1993,1.12,1.19,1.09,1.12,0.88,889600
28/06/1993,1.12,1.19,1.12,1.19,0.92,940000
29/06/1993,1.19,1.19,1.12,1.19,0.92,884800
30/06/1993,1.16,1.22,1.16,1.22,0.95,876800
01/07/1993,1.22,1.25,1.19,1.19,0.92,262400
02/07/1993,1.23,1.25,1.19,1.19,0.92,315200
06/07/1993,1.25,1.25,1.12,1.12,0.88,216000
07/07/1993,1.09,1.16,1.09,1.12,0.88,210400
08/07/1993,1.12,1.12,1.08,1.12,0.88,20000
09/07/1993,1.08,1.16,1.08,1.16,0.9,114400
12/07/1993,1.16,1.16,1.12,1.12,0.88,216000
13/07/1993,1.12,1.16,1.12,1.12,0.88,77600
14/07/1993,1.16,1.19,1.12,1.12,0.88,126400
15/07/1993,1.09,1.16,1.06,1.09,0.85,165600
16/07/1993,1.12,1.12,1.06,1.06,0.83,32000
19/07/1993,1.06,1.12,1.0,1.02,0.79,292800
20/07/1993,1.06,1.06,1.0,1.0,0.78,131200
21/07/1993,1.06,1.06,1.0,1.06,0.83,308000
22/07/1993,1.06,1.06,1.03,1.06,0.83,110400
23/07/1993,1.03,1.09,1.03,1.09,0.85,486400
26/07/1993,1.05,1.12,1.05,1.06,0.83,62400
27/07/1993,1.06,1.12,1.06,1.12,0.88,220000
28/07/1993,1.09,1.16,1.06,1.11,0.86,512800
29/07/1993,0.97,1.03,0.81,0.83,0.64,2735200
30/07/1993,0.88,0.88,0.81,0.81,0.63,1904000
02/08/1993,0.84,0.84,0.78,0.8,0.62,946400
03/08/1993,0.81,0.81,0.75,0.78,0.61,899200
04/08/1993,0.75,0.84,0.75,0.81,0.63,925600
05/08/1993,0.83,0.84,0.78,0.78,0.61,568000
06/08/1993,0.78,0.84,0.78,0.84,0.66,522400
09/08/1993,0.78,0.84,0.78,0.8,0.62,447200
10/08/1993,0.84,0.84,0.78,0.81,0.63,524000
11/08/1993,0.84,0.91,0.84,0.91,0.71,160800
12/08/1993,0.91,0.97,0.88,0.94,0.73,555200
13/08/1993,0.94,0.94,0.88,0.91,0.71,211200
16/08/1993,0.88,0.94,0.88,0.94,0.73,1297600
17/08/1993,0.94,0.94,0.88,0.91,0.71,231200
18/08/1993,0.91,0.94,0.88,0.94,0.73,529600
19/08/1993,0.94,0.94,0.88,0.89,0.69,436000
