Date,Open,High,Low,Close,Adj Close,Volume
25/06/1999,17.5,17.67,15.67,16.48,13.0,44833800
28/06/1999,16.31,16.58,15.02,16.52,13.03,9166200
29/06/1999,16.31,22.46,15.97,19.25,15.18,14730000
30/06/1999,20.29,26.52,19.83,24.83,19.58,16852800
01/07/1999,26.31,27.0,23.67,24.33,19.19,9501000
02/07/1999,24.56,25.16,22.5,23.79,18.76,3912600
06/07/1999,24.0,25.71,22.83,23.25,18.33,3632400
07/07/1999,23.1,23.83,21.33,22.51,17.75,4234800
08/07/1999,22.92,23.0,21.33,21.33,16.82,2370000
09/07/1999,22.0,22.17,20.33,22.12,17.45,2935200
12/07/1999,22.33,22.5,21.27,21.33,16.82,1416000
13/07/1999,20.96,22.16,20.33,20.83,16.43,1843800
14/07/1999,21.24,22.83,20.92,22.01,17.36,3486000
15/07/1999,22.12,25.0,22.0,24.92,19.65,5128200
16/07/1999,25.77,26.33,23.52,23.81,18.78,5008800
19/07/1999,24.71,24.83,22.46,22.5,17.74,2044800
20/07/1999,22.1,23.96,21.23,23.0,18.14,3841800
21/07/1999,24.08,26.23,23.67,23.96,18.89,12091200
22/07/1999,24.8,25.6,22.62,24.75,19.52,7816800
23/07/1999,25.33,25.5,23.83,24.31,19.17,3629400
26/07/1999,24.16,24.67,23.17,24.04,18.96,4404000
27/07/1999,24.75,24.96,24.17,24.35,19.21,2255400
28/07/1999,24.19,24.21,23.58,23.96,18.89,2297400
29/07/1999,23.0,24.58,22.83,24.17,19.06,1638000
30/07/1999,24.48,27.5,24.33,27.07,21.35,9073800
02/08/1999,26.67,28.75,26.0,26.88,21.19,6874200
03/08/1999,27.4,28.08,25.52,25.9,20.42,6499800
04/08/1999,25.62,26.0,24.67,25.98,20.49,4508400
05/08/1999,25.61,26.83,24.33,26.28,20.72,5100000
06/08/1999,26.08,27.29,25.56,26.67,21.03,3399000
09/08/1999,27.0,28.28,26.81,27.07,21.35,2832600
10/08/1999,27.12,28.52,26.83,28.49,22.47,3091800
11/08/1999,28.83,30.9,28.79,30.9,24.36,4552200
12/08/1999,30.88,33.17,30.83,32.83,25.89,4590600
13/08/1999,34.17,35.82,33.17,35.62,28.09,6362400
16/08/1999,35.4,35.5,33.33,34.0,26.81,4176000
17/08/1999,34.65,36.58,33.68,36.43,28.73,4975800
18/08/1999,36.0,37.31,34.47,34.47,27.18,3699600
19/08/1999,33.83,35.0,33.5,34.5,27.21,2773800
20/08/1999,34.91,34.92,33.5,34.1,26.89,1428000
23/08/1999,34.0,37.99,33.92,37.83,29.83,4897800
24/08/1999,37.18,39.06,36.15,36.89,29.09,7678800
25/08/1999,37.5,37.83,35.75,36.08,28.45,3115200
26/08/1999,36.16,37.54,35.76,35.89,28.3,3348000
27/08/1999,36.38,37.17,35.33,36.33,28.65,2197200
30/08/1999,36.33,36.33,34.77,35.01,27.61,2007600
31/08/1999,35.08,35.58,33.77,34.17,26.94,2745600
01/09/1999,34.4,34.75,29.85,30.04,23.69,12541200
02/09/1999,28.25,33.62,28.25,33.1,26.11,13288800
03/09/1999,34.08,34.19,31.51,32.21,25.4,7052400
07/09/1999,31.94,32.76,31.02,32.25,25.43,1929600
08/09/1999,32.06,34.0,31.43,32.25,25.43,3897600
09/09/1999,32.71,32.71,31.0,32.03,25.26,1240800
10/09/1999,32.42,33.33,31.69,31.92,25.17,1700400
13/09/1999,32.0,32.12,29.98,30.0,23.66,1663200
14/09/1999,30.25,31.65,29.98,30.52,24.07,2368800
15/09/1999,31.27,32.46,30.35,30.74,24.24,4597800
16/09/1999,30.98,31.0,29.73,30.56,24.1,2417400
17/09/1999,30.88,31.36,30.29,30.42,23.99,1386000
20/09/1999,30.54,30.96,29.83,30.5,24.05,1418400
21/09/1999,30.46,32.31,30.21,31.17,24.58,3106800
22/09/1999,31.15,31.91,30.33,31.62,24.94,1777800
23/09/1999,31.5,32.58,30.33,30.49,24.04,3078000
24/09/1999,30.56,33.17,30.17,33.16,26.15,3400800
27/09/1999,33.32,36.31,33.32,34.48,27.19,7338000
28/09/1999,34.43,34.5,32.39,32.88,25.92,4234200
29/09/1999,33.0,34.04,31.62,31.91,25.16,3924000
30/09/1999,31.67,33.0,30.25,30.34,23.93,25374000
01/10/1999,30.46,31.33,30.0,30.84,24.32,8881800
04/10/1999,30.85,30.88,30.33,30.35,23.94,2006400
05/10/1999,31.33,32.0,30.57,30.67,24.18,6773400
06/10/1999,30.95,32.17,30.94,31.81,25.09,5298600
07/10/1999,32.4,33.77,31.96,32.98,26.01,6293400
08/10/1999,33.26,35.73,32.33,35.5,27.99,4926000
11/10/1999,36.46,40.67,36.46,40.67,32.07,7929600
12/10/1999,40.19,41.96,36.17,37.08,29.24,11836800
13/10/1999,37.19,38.67,35.67,36.5,28.78,8487000
14/10/1999,37.17,37.83,35.56,36.79,29.01,4494000
15/10/1999,35.26,36.69,35.08,36.1,28.47,3349200
18/10/1999,36.33,38.27,35.06,38.12,30.06,7405800
19/10/1999,39.33,40.19,38.67,39.32,31.01,5288400
20/10/1999,40.33,41.5,38.67,41.25,32.53,7446000
21/10/1999,39.57,44.25,39.5,43.12,34.01,7382400
22/10/1999,40.33,43.75,40.15,43.62,34.4,12225000
25/10/1999,43.83,44.17,42.22,42.96,33.88,3238200
26/10/1999,43.33,43.67,41.52,42.04,33.15,2779800
27/10/1999,42.08,42.17,40.83,41.66,32.85,2317200
28/10/1999,42.23,44.67,42.17,44.17,34.83,4138200
29/10/1999,44.8,46.5,44.79,45.94,36.23,3544800
01/11/1999,46.17,46.17,44.55,44.76,35.3,2276400
02/11/1999,45.31,45.81,43.5,44.21,34.86,2169600
03/11/1999,44.92,47.12,44.25,46.62,36.77,3111000
04/11/1999,47.49,47.5,46.0,46.35,36.55,2762400
05/11/1999,46.65,46.67,44.58,45.52,35.9,2499000
08/11/1999,45.1,48.53,44.65,48.15,37.97,3085200
