Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,15.82,16.14,15.76,16.08,5.96,668820
03/01/1990,16.2,16.2,15.79,15.87,5.88,500124
04/01/1990,15.79,15.87,15.7,15.82,5.86,773190
05/01/1990,15.82,15.85,15.7,15.76,5.84,515460
08/01/1990,15.67,15.79,15.67,15.7,5.81,528240
09/01/1990,15.76,15.76,15.55,15.61,5.78,1487166
10/01/1990,15.55,15.61,15.35,15.43,5.72,511626
11/01/1990,15.49,15.61,15.43,15.49,5.74,425574
12/01/1990,15.38,15.46,15.35,15.38,5.69,1032624
15/01/1990,15.32,15.46,15.29,15.32,5.67,719088
16/01/1990,15.26,15.82,15.23,15.82,5.86,1251588
17/01/1990,15.85,15.85,15.55,15.64,5.79,778302
18/01/1990,15.52,15.67,15.46,15.67,5.8,560616
19/01/1990,15.67,15.73,15.35,15.38,5.69,1976214
22/01/1990,15.2,15.35,15.08,15.14,5.61,1458198
23/01/1990,15.2,15.26,15.05,15.14,5.61,1020270
24/01/1990,15.14,15.14,14.85,15.08,5.59,1550214
25/01/1990,15.11,15.23,14.99,15.02,5.56,949128
26/01/1990,14.91,15.08,14.82,15.02,5.56,1238808
29/01/1990,15.02,15.02,14.82,14.91,5.52,1161702
30/01/1990,14.99,15.05,14.82,15.05,5.58,613440
31/01/1990,15.08,15.26,15.05,15.17,5.62,944868
01/02/1990,15.23,15.23,15.05,15.08,5.59,510348
02/02/1990,15.05,15.14,15.02,15.08,5.59,582768
05/02/1990,15.02,15.14,14.96,14.96,5.54,515034
06/02/1990,15.02,15.02,14.7,14.76,5.47,699918
07/02/1990,14.7,14.94,14.61,14.91,5.52,528666
08/02/1990,14.96,15.05,14.79,14.85,5.5,681600
09/02/1990,14.91,15.14,14.88,15.11,5.6,716106
12/02/1990,15.05,15.08,14.91,14.91,5.52,406404
13/02/1990,14.91,15.05,14.85,14.96,5.54,695658
14/02/1990,15.02,15.11,14.88,14.96,5.54,266250
15/02/1990,14.91,14.99,14.88,14.94,5.53,316944
16/02/1990,14.96,15.05,14.91,14.99,5.55,575100
20/02/1990,14.85,14.91,14.73,14.82,5.49,436224
21/02/1990,14.67,14.73,14.64,14.73,5.46,663708
22/02/1990,14.73,14.88,14.61,14.61,5.41,861798
23/02/1990,14.61,14.67,14.44,14.64,5.42,1096098
26/02/1990,14.5,14.55,14.38,14.47,5.4,453690
27/02/1990,14.41,14.5,14.38,14.38,5.37,730590
28/02/1990,14.35,14.47,14.32,14.32,5.34,1301856
01/03/1990,14.26,14.29,14.11,14.14,5.28,1186836
