Date,Open,High,Low,Close,Adj Close,Volume
07/05/2008,25.2,25.8,24.8,25.5,2.86,38943400
08/05/2008,25.58,25.83,24.74,25.4,2.85,12468400
09/05/2008,25.1,25.4,24.94,25.24,2.83,9747000
12/05/2008,25.11,26.85,25.1,25.57,2.87,7921800
13/05/2008,25.38,25.92,25.2,25.9,2.91,4518800
14/05/2008,25.5,26.31,24.6,26.17,2.94,4295600
15/05/2008,25.75,26.41,25.58,26.03,2.92,3969300
16/05/2008,25.86,26.75,25.67,26.5,2.97,11418200
19/05/2008,26.15,26.45,25.97,26.07,2.93,5645100
20/05/2008,25.7,25.94,25.0,25.55,2.87,8338100
21/05/2008,25.37,25.78,25.26,25.51,2.86,1729100
22/05/2008,25.14,26.13,25.12,25.72,2.89,7980000
23/05/2008,25.52,25.72,25.26,25.42,2.85,2421100
27/05/2008,25.36,25.53,25.12,25.38,2.85,1899300
28/05/2008,25.22,25.47,25.05,25.21,2.83,5346300
29/05/2008,25.01,25.14,24.85,24.95,2.8,6850900
30/05/2008,24.82,25.47,24.77,25.18,2.83,5456400
02/06/2008,24.97,25.07,24.11,24.12,2.71,2692600
03/06/2008,23.8,24.25,23.59,24.2,2.72,4636400
04/06/2008,23.95,24.19,23.88,23.9,2.68,2871200
05/06/2008,24.8,26.38,24.7,25.56,2.87,10802100
06/06/2008,25.12,25.37,24.93,24.98,2.8,4040900
09/06/2008,24.8,25.3,24.69,24.97,2.8,2018400
10/06/2008,24.88,25.1,24.85,24.93,2.8,3237600
11/06/2008,24.98,24.98,24.06,24.33,2.73,2352300
12/06/2008,24.77,24.85,24.0,24.18,2.71,1885800
13/06/2008,24.15,24.73,24.03,24.67,2.77,2718300
16/06/2008,24.73,24.77,23.5,23.71,2.66,2799100
17/06/2008,23.72,23.74,23.22,23.46,2.63,3945100
18/06/2008,23.1,24.0,23.06,23.79,2.67,1883200
19/06/2008,23.85,24.01,23.4,23.89,2.68,2262100
20/06/2008,23.35,24.0,23.32,24.0,2.69,2339500
23/06/2008,24.0,24.0,23.56,23.6,2.65,1562800
24/06/2008,23.25,23.25,22.2,22.54,2.53,4845600
25/06/2008,22.33,22.88,22.29,22.54,2.53,2268100
26/06/2008,22.15,22.56,22.07,22.17,2.49,2938500
27/06/2008,22.02,22.08,21.52,21.6,2.42,3329000
30/06/2008,21.58,21.58,20.62,20.98,2.35,3048100
01/07/2008,20.8,20.84,20.03,20.6,2.31,3516700
02/07/2008,20.91,21.49,20.79,21.34,2.39,1593500
03/07/2008,21.21,21.34,20.54,20.94,2.35,1530400
07/07/2008,21.05,21.57,20.94,21.32,2.39,1491700
08/07/2008,21.15,21.91,21.13,21.5,2.41,3116200
09/07/2008,21.59,21.78,21.51,21.65,2.43,1155500
10/07/2008,21.97,22.02,21.46,21.85,2.45,1238400
11/07/2008,21.42,21.97,21.23,21.64,2.43,1310900
14/07/2008,21.9,22.14,21.4,21.79,2.44,1323800
15/07/2008,21.6,21.73,20.46,21.0,2.36,1486900
16/07/2008,20.86,21.08,20.75,21.03,2.36,1055600
17/07/2008,20.87,20.91,19.37,20.4,2.29,3484300
18/07/2008,20.44,20.48,19.92,20.2,2.27,1702100
21/07/2008,20.6,20.88,20.21,20.56,2.31,1737700
22/07/2008,20.27,20.84,20.15,20.76,2.33,1582300
23/07/2008,20.7,20.7,20.08,20.21,2.27,1757200
24/07/2008,20.1,20.61,20.1,20.45,2.29,912300
25/07/2008,20.45,20.74,20.21,20.29,2.28,862800
28/07/2008,20.09,20.3,20.07,20.18,2.26,1285100
29/07/2008,20.4,20.58,20.17,20.25,2.27,2786700
30/07/2008,20.26,20.71,20.26,20.67,2.32,3516900
31/07/2008,20.35,20.86,20.35,20.67,2.32,1119000
01/08/2008,20.79,21.02,20.6,20.92,2.35,1795300
04/08/2008,20.82,20.86,20.49,20.72,2.32,2325300
05/08/2008,20.85,21.11,20.7,21.0,2.36,960400
06/08/2008,20.98,21.28,20.93,21.07,2.36,1260000
07/08/2008,21.29,21.48,21.05,21.07,2.36,1239900
08/08/2008,21.07,22.05,21.05,21.95,2.46,2200600
11/08/2008,21.89,22.55,21.83,21.98,2.47,3210200
12/08/2008,21.96,22.11,21.49,21.66,2.43,3140400
13/08/2008,22.21,23.77,22.12,22.79,2.56,6515600
14/08/2008,22.75,23.54,22.75,23.25,2.61,3319000
15/08/2008,23.5,24.03,23.5,23.82,2.67,2482400
18/08/2008,23.67,24.1,23.53,23.88,2.68,2105100
19/08/2008,23.99,24.07,23.43,23.97,2.69,2280100
20/08/2008,23.34,24.32,23.25,23.99,2.69,3635400
21/08/2008,23.91,24.02,23.06,24.02,2.7,1376900
22/08/2008,24.31,24.41,24.08,24.3,2.73,1353900
25/08/2008,24.59,24.65,24.0,24.17,2.71,1409900
26/08/2008,24.3,24.3,23.94,24.15,2.71,2507700
27/08/2008,24.34,24.94,24.1,24.9,2.79,1619100
28/08/2008,24.86,24.88,24.52,24.81,2.78,1380100
29/08/2008,24.46,24.73,24.46,24.71,2.77,1330200
02/09/2008,25.08,25.48,24.59,25.28,2.84,1757800
03/09/2008,25.0,25.3,24.91,25.3,2.84,1610800
04/09/2008,25.37,25.38,24.92,25.15,2.82,2950800
05/09/2008,24.88,25.24,24.76,25.16,2.82,2369800
08/09/2008,25.55,26.0,25.39,25.61,2.87,1414200
09/09/2008,25.7,25.94,25.5,25.52,2.86,1541700
10/09/2008,25.55,25.87,25.28,25.43,2.85,1395900
11/09/2008,25.07,25.96,24.8,25.67,2.88,1390200
12/09/2008,25.28,26.59,25.28,26.52,2.98,2564000
15/09/2008,26.17,26.17,25.05,25.32,2.84,1466700
16/09/2008,25.01,25.19,24.53,25.05,2.81,2049000
17/09/2008,24.39,25.02,24.39,24.75,2.78,12691600
18/09/2008,25.0,25.1,24.36,24.65,2.77,3415500
19/09/2008,24.5,25.39,24.4,25.19,2.83,1550300
22/09/2008,25.1,25.48,24.84,25.0,2.8,913900
23/09/2008,24.7,25.0,23.93,24.5,2.75,2014100
24/09/2008,24.5,24.65,24.26,24.44,2.74,1231200
25/09/2008,24.38,24.64,24.26,24.47,2.75,1093200
26/09/2008,23.52,25.49,23.52,25.39,2.85,1024000
29/09/2008,24.93,25.27,23.99,24.28,2.72,1930300
30/09/2008,25.3,26.82,25.3,26.48,2.97,10640200
01/10/2008,26.5,26.7,25.98,26.13,2.93,4701000
02/10/2008,26.09,26.09,25.2,25.36,2.85,4504400
03/10/2008,25.38,25.95,24.93,25.15,2.82,5904500
06/10/2008,24.85,25.01,24.28,24.9,2.79,45280300
07/10/2008,25.25,25.42,23.94,23.94,2.69,6162700
08/10/2008,23.87,24.63,23.34,23.79,2.67,7149000
09/10/2008,23.69,24.0,22.7,22.99,2.58,4917100
10/10/2008,22.38,23.75,21.03,22.52,2.53,4589100
13/10/2008,22.66,23.85,22.19,23.79,2.67,3309800
14/10/2008,24.17,24.24,22.51,23.0,2.58,2988400
15/10/2008,22.64,22.92,20.91,21.09,2.37,2134200
16/10/2008,21.15,21.28,20.1,20.88,2.34,3228200
17/10/2008,20.36,21.28,20.1,20.92,2.35,3075200
20/10/2008,20.61,21.53,20.4,21.53,2.42,1154700
21/10/2008,21.27,22.2,21.05,21.49,2.41,1185500
22/10/2008,21.0,21.56,20.63,20.91,2.35,2260600
23/10/2008,21.0,21.21,19.85,20.24,2.27,4003800
24/10/2008,19.44,20.09,18.98,19.17,2.15,3180800
27/10/2008,19.0,19.61,18.62,19.22,2.16,2442300
28/10/2008,19.55,21.72,19.5,21.68,2.43,2254400
29/10/2008,21.53,22.57,21.2,22.05,2.47,1894600
30/10/2008,22.68,22.8,21.39,21.92,2.46,1814200
31/10/2008,21.89,23.27,21.78,22.9,2.57,2214000
03/11/2008,22.55,23.35,22.33,22.57,2.53,1667900
04/11/2008,22.99,23.84,22.97,23.31,2.62,1565800
05/11/2008,23.4,23.68,22.4,22.49,2.52,1837200
06/11/2008,22.49,22.84,21.63,21.91,2.46,1367700
07/11/2008,22.05,22.88,22.01,22.68,2.54,1320900
10/11/2008,22.99,23.5,22.5,22.77,2.55,1240200
11/11/2008,22.29,22.7,21.22,21.38,2.4,1223300
12/11/2008,21.1,21.78,20.79,20.91,2.35,1503100
13/11/2008,18.98,19.37,17.57,18.19,2.04,7936900
14/11/2008,17.93,18.9,17.52,17.56,1.97,4674300
17/11/2008,17.37,17.78,16.96,17.13,1.92,2338300
18/11/2008,17.16,17.18,16.25,16.63,1.87,2810600
19/11/2008,16.78,17.13,16.53,16.56,1.86,3573500
20/11/2008,16.36,16.47,14.55,14.69,1.65,3045700
21/11/2008,14.98,15.65,14.26,15.57,1.75,2998500
24/11/2008,15.86,16.2,15.09,15.99,1.79,2126600
25/11/2008,16.29,16.7,15.39,15.93,1.79,2864200
26/11/2008,15.6,16.3,15.43,16.22,1.82,2195300
28/11/2008,15.92,16.2,15.72,16.14,1.81,718200
01/12/2008,15.75,16.07,14.8,14.83,1.66,2582100
02/12/2008,15.1,15.22,14.47,14.86,1.67,1855100
03/12/2008,14.85,15.34,14.48,15.06,1.69,2155500
04/12/2008,14.88,14.88,13.7,13.78,1.55,2795500
05/12/2008,13.66,14.6,13.45,14.47,1.62,3482100
08/12/2008,14.96,15.03,14.39,14.44,1.62,3139300
09/12/2008,14.38,14.89,14.03,14.64,1.64,2642300
10/12/2008,14.83,15.52,14.75,15.35,1.72,2123000
11/12/2008,15.31,15.96,15.11,15.25,1.71,2215000
12/12/2008,14.75,15.62,14.43,15.55,1.74,3273900
15/12/2008,15.63,16.14,15.56,15.78,1.77,2950500
16/12/2008,15.94,16.26,15.83,16.11,1.81,3309200
17/12/2008,15.72,16.18,15.63,16.04,1.8,2975000
18/12/2008,16.14,16.96,15.77,16.75,1.88,3003400
19/12/2008,16.92,17.32,16.62,16.96,1.9,4388900
22/12/2008,17.06,17.38,16.7,17.06,1.91,2314300
23/12/2008,16.69,17.11,16.55,16.86,1.89,1841800
24/12/2008,16.96,17.05,16.81,16.91,1.9,723200
26/12/2008,16.99,17.0,16.8,16.89,1.9,726700
29/12/2008,16.9,16.96,16.47,16.66,1.87,1814500
30/12/2008,16.65,16.96,16.36,16.44,1.84,2231400
31/12/2008,16.44,16.44,16.19,16.25,1.82,2694600
02/01/2009,16.34,16.59,16.28,16.55,1.86,2551800
05/01/2009,16.55,16.91,16.49,16.91,1.9,2692900
06/01/2009,16.9,17.63,16.65,17.23,1.93,3023900
07/01/2009,17.1,17.17,16.35,16.46,1.85,2434800
08/01/2009,16.34,16.74,16.31,16.61,1.86,2377700
09/01/2009,16.54,16.68,15.96,16.29,1.83,2364300
12/01/2009,16.29,16.52,15.55,15.78,1.77,2109600
13/01/2009,15.8,16.1,15.65,15.87,1.78,2725600
14/01/2009,15.47,15.76,15.28,15.71,1.76,2373700
15/01/2009,15.69,15.85,15.49,15.8,1.77,4494900
16/01/2009,16.14,16.59,15.94,16.45,1.85,4286100
20/01/2009,16.53,16.8,15.95,15.96,1.79,2652800
21/01/2009,16.21,16.44,16.01,16.35,1.83,3426000
22/01/2009,16.16,16.49,15.85,16.16,1.81,3399300
23/01/2009,15.74,16.08,15.66,15.94,1.79,2481200
26/01/2009,16.01,16.68,15.99,16.5,1.85,1636000
27/01/2009,16.77,16.82,16.49,16.59,1.86,2688900
28/01/2009,16.82,16.93,16.61,16.81,1.89,1585400
29/01/2009,16.66,17.11,16.59,16.77,1.88,2025700
30/01/2009,16.77,16.8,16.1,16.45,1.85,2660400
02/02/2009,16.09,16.19,15.77,15.89,1.78,1666400
03/02/2009,15.91,16.28,15.78,16.19,1.82,1436300
04/02/2009,16.27,16.42,15.56,15.67,1.76,1966100
05/02/2009,15.54,16.18,15.46,16.1,1.81,1583100
06/02/2009,16.02,16.72,15.99,16.62,1.86,1262800
09/02/2009,16.6,16.64,16.13,16.31,1.83,928700
10/02/2009,16.09,16.31,15.4,15.47,1.74,1718000
11/02/2009,15.59,16.03,15.42,16.02,1.8,1529100
12/02/2009,15.78,16.42,15.58,16.33,1.83,2561900
13/02/2009,16.23,16.72,16.2,16.6,1.86,1795700
17/02/2009,16.02,16.11,15.73,15.86,1.78,1604600
18/02/2009,15.97,16.23,15.63,16.18,1.82,1368500
19/02/2009,16.34,16.34,15.88,16.02,1.8,1467200
20/02/2009,15.78,15.93,15.24,15.48,1.74,2520600
23/02/2009,15.51,15.61,14.94,14.99,1.68,1699600
24/02/2009,15.12,15.34,14.84,15.29,1.72,1314300
25/02/2009,15.24,15.24,14.7,14.79,1.66,2134700
26/02/2009,14.88,14.95,14.4,14.4,1.62,1226200
27/02/2009,14.13,14.48,14.0,14.05,1.58,2208300
02/03/2009,13.73,14.0,13.46,13.48,1.51,1688200
03/03/2009,13.65,13.74,13.07,13.13,1.47,1046000
04/03/2009,13.26,13.38,12.8,13.1,1.47,1964200
05/03/2009,12.78,12.8,11.96,12.11,1.36,3067500
06/03/2009,12.22,12.55,11.83,12.21,1.37,1775800
09/03/2009,12.07,12.3,11.86,11.9,1.34,1510100
10/03/2009,12.85,13.64,12.51,13.42,1.51,2958300
11/03/2009,13.45,13.73,13.39,13.49,1.51,1466300
